model,seed,scenario,category,task,depth,auc,average_precision,iou_top7,centroid_error,relative_residual
analytic-Chebyshev,17,four obstacles,ID,34,8,0.9964589717398705,0.9364386811030574,0.6027397260273972,0.022141143679618835,0.018852176144719124
analytic-Chebyshev,17,four obstacles,ID,35,8,0.9963413837409351,0.9183413675038085,0.6527777777777778,0.030355315655469894,0.009103917516767979
exact,17,four obstacles,ID,24,0,0.995090505464481,0.9190953715523047,0.6438356164383562,0.02336626499891281,1.5460411304957233e-05
exact,17,four obstacles,ID,25,0,0.9955464200068516,0.9137071800571974,0.684931506849315,0.03230816870927811,1.6050329577410594e-05
exact,17,four obstacles,ID,26,0,0.9990305476416588,0.9813501237631007,0.7222222222222222,0.011675788089632988,1.482861625845544e-05
exact,17,four obstacles,ID,27,0,0.9961813754427391,0.9369577988108078,0.7297297297297297,0.03100806660950184,1.536197669338435e-05
exact,17,four obstacles,ID,28,0,0.9982849752586593,0.9594805279739966,0.5,0.0035842270590364933,1.4266975085774902e-05
exact,17,four obstacles,ID,29,0,0.99957296893349,0.9890131335171262,0.5277777777777778,0.017104294151067734,1.7193020539707504e-05
exact,17,four obstacles,ID,30,0,0.997631084789831,0.9396272345384785,0.4861111111111111,0.04851736128330231,1.6861069525475614e-05
exact,17,four obstacles,ID,31,0,0.9971036585365853,0.9401113491477491,0.5555555555555556,0.009027711115777493,1.579617128300015e-05
exact,17,four obstacles,ID,32,0,0.9977755078878674,0.9525465318710167,0.625,0.006538660731166601,1.4123181244940497e-05
exact,17,four obstacles,ID,33,0,0.997444358980721,0.9426071501947495,0.5694444444444444,0.007860638201236725,1.4740798178536352e-05
exact,17,four obstacles,ID,34,0,0.9964589717398705,0.9364386811030576,0.6027397260273972,0.022141143679618835,1.5062650163599756e-05
exact,17,four obstacles,ID,35,0,0.9963413837409351,0.9183413675038085,0.6527777777777778,0.030355315655469894,1.3761255104327574e-05
identity,17,four obstacles,ID,36,8,0.9966273907103825,0.928101174531926,0.6438356164383562,0.020062094554305077,0.5100115537643433
identity,17,four obstacles,ID,37,8,0.9961722488038277,0.9429604812889512,0.6933333333333334,0.03065185807645321,0.9203260540962219
identity,17,four obstacles,ID,38,8,0.9977545934992743,0.9367468395431702,0.5138888888888888,0.004581169690936804,0.34333235025405884
identity,17,four obstacles,ID,39,8,0.9971182412358883,0.9367567159598235,0.4722222222222222,0.02219439670443535,0.4106764793395996
identity,17,four obstacles,ID,40,8,0.9963555902642197,0.9203047026277161,0.5416666666666666,0.044609829783439636,0.4501029849052429
identity,17,four obstacles,ID,41,8,0.9977982067869708,0.960833250820793,0.6027397260273972,0.020639637485146523,0.4840344488620758
identity,17,four obstacles,ID,42,8,0.9969973600951171,0.9557765712456209,0.6621621621621622,0.01889706775546074,1.1893463134765625
identity,17,four obstacles,ID,43,8,0.9978663563184949,0.9460310983030191,0.5833333333333334,0.02680199034512043,0.33279067277908325
identity,17,four obstacles,ID,44,8,0.9947080729109955,0.9172450468439934,0.5866666666666667,0.026100514456629753,0.44585850834846497
identity,17,four obstacles,ID,45,8,0.9970641614177431,0.9294681117509536,0.5277777777777778,0.022612402215600014,0.468800812959671
identity,17,four obstacles,ID,46,8,0.9970881123855251,0.9490977670657114,0.6164383561643836,0.007898814976215363,0.4506637156009674
identity,17,four obstacles,ID,47,8,0.9972737832776237,0.9560228817137241,0.5753424657534246,0.04075103625655174,0.44118446111679077
graph-small,17,four obstacles,ID,36,8,0.9966487363387978,0.9283226052570881,0.6438356164383562,0.020062094554305077,0.49784043431282043
graph-small,17,four obstacles,ID,37,8,0.996153485317572,0.9426727555466798,0.6933333333333334,0.03065185807645321,0.9056898951530457
graph-small,17,four obstacles,ID,38,8,0.9976998274870615,0.9346076166014495,0.5138888888888888,0.004581169690936804,0.34506380558013916
graph-small,17,four obstacles,ID,39,8,0.99708853238265,0.9356199627102755,0.4722222222222222,0.02219439670443535,0.40737026929855347
graph-small,17,four obstacles,ID,40,8,0.9962774957698816,0.9176219955031966,0.5416666666666666,0.051634956151247025,0.4523147642612457
graph-small,17,four obstacles,ID,41,8,0.9978663034842811,0.9623185509803301,0.6027397260273972,0.020639637485146523,0.49450644850730896
graph-small,17,four obstacles,ID,42,8,0.9969369042581061,0.955148397665952,0.6621621621621622,0.01889706775546074,1.0830836296081543
graph-small,17,four obstacles,ID,43,8,0.9978663563184949,0.9460310983030191,0.5833333333333334,0.02680199034512043,0.33287176489830017
graph-small,17,four obstacles,ID,44,8,0.9947734053441931,0.9185714611133905,0.5866666666666667,0.026100514456629753,0.45112350583076477
graph-small,17,four obstacles,ID,45,8,0.9971976086260275,0.9331392974494188,0.5277777777777778,0.014601225964725018,0.45729169249534607
graph-small,17,four obstacles,ID,46,8,0.9970881123855251,0.9490977670657115,0.6164383561643836,0.007898814976215363,0.44994160532951355
graph-small,17,four obstacles,ID,47,8,0.9972737832776237,0.9560228817137241,0.5753424657534246,0.0394311361014843,0.4076440930366516
graph-foundation,17,four obstacles,ID,36,8,0.9966273907103825,0.928101174531926,0.6438356164383562,0.020062094554305077,0.4882000982761383
graph-foundation,17,four obstacles,ID,37,8,0.9961534853175721,0.9425632643484894,0.6933333333333334,0.03065185807645321,0.8938813805580139
graph-foundation,17,four obstacles,ID,38,8,0.9977545934992743,0.9356467009430316,0.5138888888888888,0.004581169690936804,0.35385367274284363
graph-foundation,17,four obstacles,ID,39,8,0.9969994058229353,0.9345626770509137,0.4722222222222222,0.02219439670443535,0.42286160588264465
graph-foundation,17,four obstacles,ID,40,8,0.9962514642717688,0.9169707948519958,0.5416666666666666,0.051634956151247025,0.43287158012390137
graph-foundation,17,four obstacles,ID,41,8,0.9978209056860743,0.9615959571675896,0.6027397260273972,0.020639637485146523,0.5049448609352112
graph-foundation,17,four obstacles,ID,42,8,0.9969772081494468,0.9553941487730855,0.6621621621621622,0.01889706775546074,1.1392430067062378
graph-foundation,17,four obstacles,ID,43,8,0.9978421103675686,0.9448973114549466,0.5833333333333334,0.02680199034512043,0.33265525102615356
graph-foundation,17,four obstacles,ID,44,8,0.994729850388728,0.9175340331575864,0.5866666666666667,0.026100514456629753,0.4809442162513733
graph-foundation,17,four obstacles,ID,45,8,0.9972509875093413,0.9348208531180042,0.5277777777777778,0.014601225964725018,0.459010511636734
graph-foundation,17,four obstacles,ID,46,8,0.9970881123855251,0.9490977670657114,0.6164383561643836,0.007898814976215363,0.4501088857650757
graph-foundation,17,four obstacles,ID,47,8,0.9973211957423607,0.95723270939774,0.5753424657534246,0.0394311361014843,0.444309800863266
A-equivariant,17,four obstacles,ID,36,8,0.9968408469945355,0.9304220110106288,0.6666666666666666,0.01877874881029129,0.005764657631516457
A-equivariant,17,four obstacles,ID,37,8,0.9968102073365231,0.9507222159650053,0.6933333333333334,0.01653323881328106,0.12270037084817886
A-equivariant,17,four obstacles,ID,38,8,0.9973712314137846,0.9280996175722371,0.5138888888888888,0.005939541384577751,0.0097190598025918
A-equivariant,17,four obstacles,ID,39,8,0.9969994058229353,0.9340897266903255,0.4722222222222222,0.02219439670443535,9.743297414388508e-05
A-equivariant,17,four obstacles,ID,40,8,0.996329558766107,0.9212429103474017,0.5416666666666666,0.03725191950798035,0.10809697955846786
A-equivariant,17,four obstacles,ID,41,8,0.9974350244013165,0.9524885498726783,0.6027397260273972,0.026358075439929962,0.01943461038172245
A-equivariant,17,four obstacles,ID,42,8,0.9964331056163472,0.9481710335300497,0.64,0.016210777685046196,0.27932438254356384
A-equivariant,17,four obstacles,ID,43,8,0.9977936184657162,0.9453620647939449,0.5833333333333334,0.025234656408429146,0.0003210192371625453
A-equivariant,17,four obstacles,ID,44,8,0.9955573945425641,0.9305963879635363,0.6301369863013698,0.013195272535085678,0.17757970094680786
A-equivariant,17,four obstacles,ID,45,8,0.9968239564428313,0.9289753626641852,0.5277777777777778,0.04982762783765793,0.28526681661605835
A-equivariant,17,four obstacles,ID,46,8,0.9971992531341691,0.9508349511066747,0.6164383561643836,0.017636887729167938,0.0058553386479616165
A-equivariant,17,four obstacles,ID,47,8,0.9973686082070976,0.9569807055406212,0.5753424657534246,0.04189052805304527,0.004103629384189844
analytic-Chebyshev,17,four obstacles,ID,36,8,0.9968195013661202,0.9300842156360685,0.6666666666666666,0.01877874881029129,0.018317751586437225
analytic-Chebyshev,17,four obstacles,ID,37,8,0.9968664977952904,0.9512581888333502,0.7162162162162162,0.020162435248494148,0.0077675324864685535
analytic-Chebyshev,17,four obstacles,ID,38,8,0.9973712314137846,0.9280996175722371,0.5138888888888888,0.005939541384577751,0.003596128663048148
analytic-Chebyshev,17,four obstacles,ID,39,8,0.9969994058229353,0.9340897266903255,0.4722222222222222,0.02219439670443535,0.004610351286828518
analytic-Chebyshev,17,four obstacles,ID,40,8,0.9963816217623324,0.9219616396537198,0.5416666666666666,0.03725191950798035,0.009305420331656933
analytic-Chebyshev,17,four obstacles,ID,41,8,0.9974577233004199,0.953161950546079,0.6027397260273972,0.026358075439929962,0.017948485910892487
analytic-Chebyshev,17,four obstacles,ID,42,8,0.9968966003667654,0.9561387224769012,0.6621621621621622,0.017394503578543663,0.006198393180966377
analytic-Chebyshev,17,four obstacles,ID,43,8,0.9977936184657162,0.9453620647939449,0.5833333333333334,0.025234656408429146,0.00701929023489356
analytic-Chebyshev,17,four obstacles,ID,44,8,0.9955573945425641,0.9307217347956493,0.6301369863013698,0.013195272535085678,0.0035442234948277473
analytic-Chebyshev,17,four obstacles,ID,45,8,0.9971976086260275,0.9346955308562225,0.5277777777777778,0.022612402215600014,0.0015241132350638509
analytic-Chebyshev,17,four obstacles,ID,46,8,0.9971992531341691,0.9508349511066747,0.6164383561643836,0.017636887729167938,0.014538079500198364
analytic-Chebyshev,17,four obstacles,ID,47,8,0.9974160206718345,0.9575889915834238,0.5753424657534246,0.04189052805304527,0.009309196844696999
exact,17,four obstacles,ID,36,0,0.9968408469945355,0.9304220110106285,0.6666666666666666,0.01877874881029129,1.4321346498036291e-05
exact,17,four obstacles,ID,37,0,0.9968664977952904,0.9512581888333502,0.7162162162162162,0.020162435248494148,1.5503748727496713e-05
exact,17,four obstacles,ID,38,0,0.9973712314137846,0.9280996175722371,0.5138888888888888,0.005939541384577751,1.5324403648264706e-05
exact,17,four obstacles,ID,39,0,0.9969994058229352,0.9340897266903255,0.4722222222222222,0.02219439670443535,1.601655822014436e-05
exact,17,four obstacles,ID,40,0,0.9963816217623324,0.9219616396537198,0.5416666666666666,0.03725191950798035,1.4733003808942158e-05
exact,17,four obstacles,ID,41,0,0.9974123255022131,0.9523220497061781,0.6027397260273972,0.026358075439929962,1.6517580661457032e-05
exact,17,four obstacles,ID,42,0,0.9968966003667654,0.9561387224769012,0.6621621621621622,0.017394503578543663,1.5657129551982507e-05
exact,17,four obstacles,ID,43,0,0.9977936184657162,0.9453620647939449,0.5833333333333334,0.025234656408429146,1.5415136658702977e-05
exact,17,four obstacles,ID,44,0,0.9955573945425641,0.9307217347956493,0.6301369863013698,0.013195272535085678,1.532883288746234e-05
exact,17,four obstacles,ID,45,0,0.9971976086260275,0.9346955308562225,0.5277777777777778,0.022612402215600014,1.579556737851817e-05
exact,17,four obstacles,ID,46,0,0.9971992531341691,0.9508349511066747,0.6164383561643836,0.017636887729167938,1.546910425531678e-05
exact,17,four obstacles,ID,47,0,0.9973686082070976,0.9569807055406212,0.5753424657534246,0.04189052805304527,1.6681364286341704e-05
identity,17,six obstacles,OOD count,0,8,0.9800997565667399,0.77702629367594,0.5113636363636364,0.04757341742515564,0.34526515007019043
identity,17,six obstacles,OOD count,1,8,0.9826644419074383,0.8436541166629896,0.5411764705882353,0.033928100019693375,0.6418635249137878
identity,17,six obstacles,OOD count,2,8,0.9724949503820145,0.7361826107171829,0.43956043956043955,0.0949593186378479,0.3432495594024658
identity,17,six obstacles,OOD count,3,8,0.9904803723544393,0.8474500704884309,0.6375,0.03165626525878906,0.7852498888969421
identity,17,six obstacles,OOD count,4,8,0.9663557628247834,0.7558811683180132,0.45098039215686275,0.048963434994220734,0.5283393859863281
identity,17,six obstacles,OOD count,5,8,0.987725947067172,0.8236261278536061,0.5795454545454546,0.05888887867331505,1.8838022947311401
identity,17,six obstacles,OOD count,6,8,0.989832285115304,0.8694626950859815,0.6136363636363636,0.01670357957482338,0.3729371428489685
identity,17,six obstacles,OOD count,7,8,0.987663056296377,0.8471509934706904,0.6329113924050633,0.00521488394588232,0.7159739136695862
identity,17,six obstacles,OOD count,8,8,0.9902836134453781,0.852198667441481,0.6363636363636364,0.04153374955058098,0.5992059707641602
identity,17,six obstacles,OOD count,9,8,0.9674355495251018,0.7308540077388572,0.41836734693877553,0.026881257072091103,0.4716418981552124
identity,17,six obstacles,OOD count,10,8,0.9784353896350254,0.7712897866149199,0.5494505494505495,0.039787378162145615,0.6796268820762634
identity,17,six obstacles,OOD count,11,8,0.9760528112906897,0.7739903504388654,0.5,0.029483890160918236,0.36859676241874695
graph-small,17,six obstacles,OOD count,0,8,0.9801167798716444,0.776528802283617,0.5113636363636364,0.04757341742515564,0.3455568850040436
graph-small,17,six obstacles,OOD count,1,8,0.982436111355054,0.8443404698818581,0.5411764705882353,0.033928100019693375,0.6809759140014648
graph-small,17,six obstacles,OOD count,2,8,0.9724422587160797,0.737813963030529,0.43956043956043955,0.0949593186378479,0.3427729904651642
graph-small,17,six obstacles,OOD count,3,8,0.9904101167998595,0.8612231915053455,0.6375,0.02040877752006054,0.8381232619285583
graph-small,17,six obstacles,OOD count,4,8,0.9663418831889851,0.7552351440165759,0.45098039215686275,0.048963434994220734,0.5327728986740112
graph-small,17,six obstacles,OOD count,5,8,0.9873984310422808,0.8179890922963853,0.5977011494252874,0.05464072525501251,1.906670093536377
graph-small,17,six obstacles,OOD count,6,8,0.989832285115304,0.8692130848907553,0.6136363636363636,0.01670357957482338,0.3740873634815216
graph-small,17,six obstacles,OOD count,7,8,0.9878263393748072,0.8538494458189914,0.6538461538461539,0.004981476813554764,0.7835603356361389
graph-small,17,six obstacles,OOD count,8,8,0.9903711484593837,0.8591827720370973,0.6363636363636364,0.04153374955058098,0.5937705039978027
graph-small,17,six obstacles,OOD count,9,8,0.9673731655203606,0.7303557540200274,0.41836734693877553,0.026881257072091103,0.48670583963394165
graph-small,17,six obstacles,OOD count,10,8,0.9783898626602929,0.769983471558763,0.5494505494505495,0.039787378162145615,0.6958274841308594
graph-small,17,six obstacles,OOD count,11,8,0.976083162607178,0.7742068944254685,0.5,0.029483890160918236,0.3681141138076782
graph-foundation,17,six obstacles,OOD count,0,8,0.9801848730912619,0.7774020859670749,0.5113636363636364,0.04757341742515564,0.34468603134155273
graph-foundation,17,six obstacles,OOD count,1,8,0.9821550891367349,0.8407734914444891,0.5411764705882353,0.033928100019693375,0.6413761973381042
graph-foundation,17,six obstacles,OOD count,2,8,0.9723720031615001,0.7329269436148927,0.43956043956043955,0.0949593186378479,0.34323880076408386
graph-foundation,17,six obstacles,OOD count,3,8,0.9905330640203741,0.8602864177196122,0.6375,0.03928253427147865,0.8089210987091064
graph-foundation,17,six obstacles,OOD count,4,8,0.9663974017321786,0.7561623317183445,0.45098039215686275,0.05581528693437576,0.5289849638938904
graph-foundation,17,six obstacles,OOD count,5,8,0.9876011790576896,0.8224510794039638,0.5977011494252874,0.06328573822975159,1.9240992069244385
graph-foundation,17,six obstacles,OOD count,6,8,0.9897424378556454,0.8684204446571613,0.6136363636363636,0.01670357957482338,0.3760501444339752
graph-foundation,17,six obstacles,OOD count,7,8,0.9876449137321068,0.8474093458337865,0.6329113924050633,0.008692095056176186,0.7811179161071777
graph-foundation,17,six obstacles,OOD count,8,8,0.9902690242763772,0.8521131430159536,0.6363636363636364,0.04153374955058098,0.6040776371955872
graph-foundation,17,six obstacles,OOD count,9,8,0.9675603175345842,0.730212199608617,0.41836734693877553,0.026881257072091103,0.4849376380443573
graph-foundation,17,six obstacles,OOD count,10,8,0.9780104712041885,0.7671404485656426,0.5494505494505495,0.039787378162145615,0.706524133682251
graph-foundation,17,six obstacles,OOD count,11,8,0.9760679869489338,0.7741156931729041,0.5,0.029483890160918236,0.3685787320137024
A-equivariant,17,six obstacles,OOD count,0,8,0.9797082205539384,0.7746529596033692,0.5113636363636364,0.05051196739077568,0.0009284596890211105
A-equivariant,17,six obstacles,OOD count,1,8,0.9831913585667866,0.8549570537831002,0.5595238095238095,0.0379587858915329,0.3107687532901764
A-equivariant,17,six obstacles,OOD count,2,8,0.9723017476069201,0.7329652848640418,0.43956043956043955,0.0935041680932045,0.05121023207902908
A-equivariant,17,six obstacles,OOD count,3,8,0.9908667779046281,0.8624524965219392,0.6582278481012658,0.03694363310933113,0.0009229126735590398
A-equivariant,17,six obstacles,OOD count,4,8,0.9649261603375527,0.7503441464778784,0.45098039215686275,0.046263325959444046,0.22931145131587982
A-equivariant,17,six obstacles,OOD count,5,8,0.9880066750885074,0.8222319552717953,0.5977011494252874,0.055289771407842636,7.51819388824515e-05
A-equivariant,17,six obstacles,OOD count,6,8,0.989412997903564,0.8594747514267704,0.5955056179775281,0.02476673386991024,0.2736324369907379
A-equivariant,17,six obstacles,OOD count,7,8,0.988787895281119,0.8544066505855682,0.6329113924050633,0.014379763975739479,0.0032081925310194492
A-equivariant,17,six obstacles,OOD count,8,8,0.9894520308123249,0.8427768001005101,0.6363636363636364,0.03491264954209328,0.3108321726322174
A-equivariant,17,six obstacles,OOD count,9,8,0.9685272696080724,0.737867255538822,0.4479166666666667,0.038980238139629364,0.009949930012226105
A-equivariant,17,six obstacles,OOD count,10,8,0.9833978298808712,0.8034516980130864,0.5842696629213483,0.05447504669427872,0.20490390062332153
A-equivariant,17,six obstacles,OOD count,11,8,0.9750056908718416,0.7672354838884868,0.4842105263157895,0.03675861284136772,0.27427560091018677
analytic-Chebyshev,17,six obstacles,OOD count,0,8,0.9797252438588427,0.7747205487596108,0.5113636363636364,0.05051196739077568,0.005576322786509991
analytic-Chebyshev,17,six obstacles,OOD count,1,8,0.982084833582155,0.8406884992773395,0.5411764705882353,0.034067343920469284,0.0074960459023714066
analytic-Chebyshev,17,six obstacles,OOD count,2,8,0.9721963642750504,0.7323089975955805,0.43956043956043955,0.0935041680932045,0.003007386112585664
analytic-Chebyshev,17,six obstacles,OOD count,3,8,0.9908667779046281,0.8624524965219392,0.6582278481012658,0.03694363310933113,0.019519632682204247
analytic-Chebyshev,17,six obstacles,OOD count,4,8,0.9669803464357095,0.7583444007955619,0.45098039215686275,0.05169202387332916,0.008300334215164185
analytic-Chebyshev,17,six obstacles,OOD count,5,8,0.9880066750885074,0.8222319552717953,0.5977011494252874,0.055289771407842636,0.01712624542415142
analytic-Chebyshev,17,six obstacles,OOD count,6,8,0.9894579215333933,0.8632123887603012,0.632183908045977,0.0183196272701025,0.004889989271759987
analytic-Chebyshev,17,six obstacles,OOD count,7,8,0.988787895281119,0.8544574327880058,0.6329113924050633,0.014379763975739479,0.006834517698734999
analytic-Chebyshev,17,six obstacles,OOD count,8,8,0.9903127917833799,0.8518343359348723,0.6363636363636364,0.04153374955058098,0.008901712484657764
analytic-Chebyshev,17,six obstacles,OOD count,9,8,0.9684648856033312,0.7374795571488513,0.4479166666666667,0.038980238139629364,0.01493014208972454
analytic-Chebyshev,17,six obstacles,OOD count,10,8,0.983306775931406,0.8039189504161899,0.6022727272727273,0.045215290039777756,0.0034494376741349697
analytic-Chebyshev,17,six obstacles,OOD count,11,8,0.9767964185446544,0.7827221537502586,0.4842105263157895,0.03496338799595833,0.014703662134706974
exact,17,six obstacles,OOD count,0,0,0.9797252438588427,0.7748493743162684,0.5113636363636364,0.05051196739077568,1.1200300832570065e-05
exact,17,six obstacles,OOD count,1,0,0.982084833582155,0.8406884992773395,0.5411764705882353,0.034067343920469284,1.0736205695138779e-05
exact,17,six obstacles,OOD count,2,0,0.9721963642750504,0.7323089975955805,0.43956043956043955,0.0935041680932045,1.1158535016875248e-05
exact,17,six obstacles,OOD count,3,0,0.9908667779046281,0.8624524965219392,0.6582278481012658,0.03694363310933113,1.1757437277992722e-05
exact,17,six obstacles,OOD count,4,0,0.9669803464357095,0.7581744290533453,0.45098039215686275,0.046263325959444046,1.014516965369694e-05
exact,17,six obstacles,OOD count,5,0,0.9880066750885074,0.8222319552717953,0.5977011494252874,0.055289771407842636,1.1486727998999413e-05
exact,17,six obstacles,OOD count,6,0,0.9894579215333933,0.8632123887603012,0.632183908045977,0.0183196272701025,1.2130232789786533e-05
exact,17,six obstacles,OOD count,7,0,0.988769752716849,0.8542794516031597,0.6329113924050633,0.014379763975739479,1.2306961252761539e-05
exact,17,six obstacles,OOD count,8,0,0.9902982026143791,0.8516891907897273,0.6363636363636364,0.04153374955058098,1.2790461369149853e-05
exact,17,six obstacles,OOD count,9,0,0.9684180975997754,0.7372020229335094,0.4479166666666667,0.038980238139629364,1.1780666682170704e-05
exact,17,six obstacles,OOD count,10,0,0.983306775931406,0.8039189504161899,0.6022727272727273,0.045215290039777756,1.1721514056262095e-05
exact,17,six obstacles,OOD count,11,0,0.9767812428864102,0.7826580553646687,0.4842105263157895,0.03496338799595833,1.1018159057130106e-05
identity,17,six obstacles,OOD count,12,8,0.9774013772175537,0.781996020937465,0.5824175824175825,0.1120574027299881,0.5439631342887878
identity,17,six obstacles,OOD count,13,8,0.9718036269823203,0.7310833660078608,0.4842105263157895,0.08017942309379578,0.718883216381073
identity,17,six obstacles,OOD count,14,8,0.9834721239499992,0.842188252291119,0.5542168674698795,0.017248108983039856,0.44755643606185913
identity,17,six obstacles,OOD count,15,8,0.9878746490629031,0.8079853501507556,0.6395348837209303,0.001967743271961808,1.0216500759124756
identity,17,six obstacles,OOD count,16,8,0.9775578698702159,0.7622601636500864,0.5104166666666666,0.05692965164780617,0.8613162636756897
identity,17,six obstacles,OOD count,17,8,0.9647091021707503,0.7289584565864575,0.4215686274509804,0.03728824481368065,0.9411105513572693
identity,17,six obstacles,OOD count,18,8,0.9798343704674122,0.779315475888282,0.5274725274725275,0.08852390199899673,0.3758969008922577
identity,17,six obstacles,OOD count,19,8,0.97524665115906,0.7602634965357565,0.4731182795698925,0.011165323667228222,0.6232490539550781
identity,17,six obstacles,OOD count,20,8,0.9813373821724553,0.8228848941004498,0.4838709677419355,0.03143991157412529,0.33546996116638184
identity,17,six obstacles,OOD count,21,8,0.9888976423902894,0.8409431339438059,0.6363636363636364,0.06495270878076553,0.931638240814209
identity,17,six obstacles,OOD count,22,8,0.9855475823217759,0.8580979023705544,0.654320987654321,0.07141535729169846,2.3715856075286865
identity,17,six obstacles,OOD count,23,8,0.9853533327985883,0.8218477645353197,0.5393258426966292,0.04717010259628296,0.7619612812995911
graph-small,17,six obstacles,OOD count,12,8,0.9774451447245565,0.7833742598447367,0.5652173913043478,0.11901575326919556,0.5502405762672424
graph-small,17,six obstacles,OOD count,13,8,0.9716366947416344,0.7305052971865611,0.46875,0.077616386115551,0.7472377419471741
graph-small,17,six obstacles,OOD count,14,8,0.983417696257189,0.8423358222904789,0.5542168674698795,0.017248108983039856,0.45924270153045654
graph-small,17,six obstacles,OOD count,15,8,0.9879960543288566,0.8299418947013228,0.6206896551724138,0.007391417399048805,1.0388123989105225
graph-small,17,six obstacles,OOD count,16,8,0.9778027454878067,0.7656295633969404,0.5104166666666666,0.05692965164780617,0.8923302292823792
graph-small,17,six obstacles,OOD count,17,8,0.9643777998645982,0.7315215892772118,0.43564356435643564,0.042883723974227905,0.9386299848556519
graph-small,17,six obstacles,OOD count,18,8,0.9796472184531886,0.7783168065251443,0.5274725274725275,0.08852390199899673,0.37627023458480835
graph-small,17,six obstacles,OOD count,19,8,0.9755193711398091,0.7631615205565373,0.4574468085106383,0.0041798874735832214,0.6168915033340454
graph-small,17,six obstacles,OOD count,20,8,0.981400645283735,0.8235055413733305,0.4838709677419355,0.031757041811943054,0.3354679346084595
graph-small,17,six obstacles,OOD count,21,8,0.9886933940242764,0.839989389784538,0.6551724137931034,0.06499619781970978,0.9802485108375549
graph-small,17,six obstacles,OOD count,22,8,0.9857990745087518,0.8535702937724646,0.654320987654321,0.07555662840604782,2.395571708679199
graph-small,17,six obstacles,OOD count,23,8,0.9853372904467794,0.821530648608626,0.5393258426966292,0.047741930931806564,0.8219565749168396
graph-foundation,17,six obstacles,OOD count,12,8,0.9771971288515406,0.7808132411153385,0.5652173913043478,0.11901575326919556,0.5432701110839844
graph-foundation,17,six obstacles,OOD count,13,8,0.9713938842097276,0.7332580395233574,0.46875,0.07875483483076096,0.7242146730422974
graph-foundation,17,six obstacles,OOD count,14,8,0.9833451260001089,0.8417568469214549,0.5542168674698795,0.017248108983039856,0.45069894194602966
graph-foundation,17,six obstacles,OOD count,15,8,0.9880567569618331,0.8201110265064282,0.6206896551724138,0.005172049626708031,1.0408437252044678
graph-foundation,17,six obstacles,OOD count,16,8,0.9778891721763681,0.7692845765526654,0.5104166666666666,0.04922940954566002,0.8945071697235107
graph-foundation,17,six obstacles,OOD count,17,8,0.9638736441813232,0.725364664700596,0.4215686274509804,0.03728824481368065,0.9578575491905212
graph-foundation,17,six obstacles,OOD count,18,8,0.9798967544721534,0.7797959583285632,0.5444444444444444,0.08813255280256271,0.374434232711792
graph-foundation,17,six obstacles,OOD count,19,8,0.974893719419267,0.7589555808402269,0.4574468085106383,0.0041798874735832214,0.6237353086471558
graph-foundation,17,six obstacles,OOD count,20,8,0.9813531979502752,0.8232873253610342,0.4838709677419355,0.03143991157412529,0.33623644709587097
graph-foundation,17,six obstacles,OOD count,21,8,0.9891018907563025,0.8403770138912332,0.6551724137931034,0.05905172601342201,0.9421868920326233
graph-foundation,17,six obstacles,OOD count,22,8,0.9855140500301791,0.8577226655036787,0.654320987654321,0.07086872309446335,2.4477975368499756
graph-foundation,17,six obstacles,OOD count,23,8,0.9855618833721024,0.8266275282059637,0.5393258426966292,0.047741930931806564,0.7858720421791077
A-equivariant,17,six obstacles,OOD count,12,8,0.972718253968254,0.778622982921674,0.5652173913043478,0.12211856991052628,0.38558679819107056
A-equivariant,17,six obstacles,OOD count,13,8,0.9736854086045983,0.7406346832832641,0.5,0.08368537575006485,0.03239478915929794
A-equivariant,17,six obstacles,OOD count,14,8,0.9847239608846314,0.8537578637053445,0.5925925925925926,0.015735246241092682,0.001898441114462912
A-equivariant,17,six obstacles,OOD count,15,8,0.9883450944684726,0.8309141579398027,0.6395348837209303,0.020421626046299934,0.2559218406677246
A-equivariant,17,six obstacles,OOD count,16,8,0.9735534333002032,0.7057182216692315,0.43564356435643564,0.06983210146427155,0.4241698086261749
A-equivariant,17,six obstacles,OOD count,17,8,0.9681661697132073,0.7807660524459533,0.4948453608247423,0.04212579131126404,0.2928258776664734
A-equivariant,17,six obstacles,OOD count,18,8,0.9817682746143889,0.7944318316561255,0.5444444444444444,0.08880700916051865,0.04867876321077347
A-equivariant,17,six obstacles,OOD count,19,8,0.9650758001122965,0.6186102485812434,0.37,0.02100249007344246,0.30380505323410034
A-equivariant,17,six obstacles,OOD count,20,8,0.9804991459479977,0.8194284178206565,0.5,0.027431903406977654,0.001785767963156104
A-equivariant,17,six obstacles,OOD count,21,8,0.9888830532212886,0.8396907861641172,0.6363636363636364,0.061373043805360794,0.290584921836853
A-equivariant,17,six obstacles,OOD count,22,8,0.9865367849238817,0.8618641525428711,0.6341463414634146,0.07824134081602097,0.0018543287878856063
A-equivariant,17,six obstacles,OOD count,23,8,0.9846635116708109,0.8226668710911272,0.5393258426966292,0.05783098191022873,0.018386470153927803
analytic-Chebyshev,17,six obstacles,OOD count,12,8,0.9798815359477123,0.8160226985208591,0.5824175824175825,0.11470424383878708,0.015292910858988762
analytic-Chebyshev,17,six obstacles,OOD count,13,8,0.9736550572881099,0.7408424003956051,0.5,0.08368537575006485,0.005066630896180868
