model,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,average_precision_q10,auc_mean,auc_ci95,auc_q10,relative_residual_mean,relative_residual_ci95,relative_residual_q10
A-equivariant,two obstacles,ID,144,0.9489175181791438,0.005503725392240419,0.9036905556844723,0.9985486312042406,0.00017740660228875385,0.9969242237690183,0.07051680320526227,0.019043991636514334,0.0005524181819055229
A-equivariant,wavenumber 12,OOD frequency,144,0.9810077079774019,0.0018944503390351086,0.9653771701105437,0.9992803605356667,7.532966491912347e-05,0.998684219073705,0.11305455146844502,0.018498021507441505,0.0017230510478839281
analytic-Chebyshev,180-degree aperture,OOD aperture,144,0.7855999793722709,0.009211358878596112,0.7170928522155899,0.9889929856804033,0.000594806754539487,0.9844600208643814,0.026606071108188998,0.00375548500345073,0.004207164980471134
analytic-Chebyshev,30% noise,OOD noise,144,0.935697748706597,0.004085379805494974,0.9050481476202324,0.9963942613829828,0.0003073856072736859,0.9941196116153161,0.011230382618830644,0.0013570780411636821,0.0030447713099420073
analytic-Chebyshev,four obstacles,ID,144,0.9390250706746117,0.004233500091245813,0.90792377385552,0.9966947473284455,0.0002657323286165059,0.9945437152133582,0.011260253406766828,0.0013480205391095809,0.002316388860344887
analytic-Chebyshev,heteroscedastic noise,OOD noise,144,0.9427343920592907,0.005990638202934349,0.8886783555431403,0.9974924487819857,0.00032238969749715814,0.9947467194798251,0.017511974470835412,0.002574057417618456,0.0017035292228683829
analytic-Chebyshev,mirrored kites,lsmlab-inspired,144,0.930241317361467,0.005085500616723872,0.8895282368295698,0.9978087579620829,0.00020530385793161548,0.9961903438701221,0.018258313886083972,0.00400748699247577,0.002385283028706908
analytic-Chebyshev,one obstacle,ID,144,0.9900999366000539,0.00286605053391407,0.9661363636363637,0.9998665914889485,3.6505606269269146e-05,0.9995178773140425,0.0002555751398792457,6.902367895877815e-05,1.5864582201174927e-05
analytic-Chebyshev,six obstacles,OOD count,144,0.7799083564708771,0.00697719262441341,0.7282044378655952,0.9771741495677497,0.001311731254266841,0.9659454415994247,0.008444638923821104,0.0010824790301672603,0.0015533892554230988
analytic-Chebyshev,three obstacles,ID,144,0.9371375393387981,0.005952002001402089,0.8851578051023716,0.9972701676844711,0.0003150657659930388,0.9942796465077103,0.012593229770977309,0.0019526441914988516,0.0014993266086094081
analytic-Chebyshev,three stars,OOD shape,144,0.8639273747186438,0.006851708180958441,0.807968686984731,0.9933010303375451,0.0005028089798212455,0.9891333938823221,0.015229891610538794,0.0020831685556501472,0.0022457780316472056
analytic-Chebyshev,two crescents,OOD shape,144,0.7617041969740048,0.015454114227449668,0.6437120151090739,0.9958711722075072,0.0003218240488131336,0.9930590680472694,0.024009958123820577,0.004237910812684837,0.0021783004282042383
analytic-Chebyshev,two obstacles,ID,144,0.9505590045136416,0.005328826010118799,0.9075679102296849,0.9986060204662416,0.00016933383868701678,0.9971101325871013,0.01617438600078458,0.0038484596592888664,0.002406794112175703
analytic-Chebyshev,wavenumber 12,OOD frequency,144,0.9817890435572423,0.001826427366724384,0.9658868813935877,0.9993077910077793,7.430294054928831e-05,0.9987419460760116,0.009392667748114845,0.0008777532123607672,0.003118213824927807
exact,180-degree aperture,OOD aperture,144,0.7856357994769456,0.009210709829190093,0.7170928522155899,0.9889969985389543,0.0005950496523557243,0.9844682158281692,1.949375132426212e-05,2.63100813279175e-07,1.7627825036470314e-05
exact,30% noise,OOD noise,144,0.9357075062551039,0.004083497388872077,0.9050481476202324,0.9963949807843827,0.0003071423022395713,0.9940596633125443,1.2001489279908936e-05,1.8499390173068684e-07,1.0602053316688398e-05
exact,four obstacles,ID,144,0.9390032149865196,0.004234971786204662,0.9078783853297391,0.9966937216256184,0.0002656716359675264,0.9945437152133582,1.5351718250005637e-05,1.9421167380579477e-07,1.3881524228054332e-05
exact,heteroscedastic noise,OOD noise,144,0.94269835497682,0.00599248126314017,0.888438159464709,0.9974912349271625,0.0003224043784930543,0.994766400091611,1.651583937700707e-05,2.411816305472454e-07,1.4852104595775017e-05
exact,mirrored kites,lsmlab-inspired,144,0.9302351173315563,0.005085748839442058,0.8895282368295698,0.9978090416561058,0.0002050313317307268,0.9961903438701221,2.296053086562703e-05,3.5543043915724304e-07,2.038025741057936e-05
exact,one obstacle,ID,144,0.9900999366000539,0.002866050533914071,0.9661363636363637,0.9998665914889485,3.650560626926836e-05,0.9995178773140425,5.011679228219792e-05,3.493787023226452e-07,4.768283870362211e-05
exact,six obstacles,OOD count,144,0.7798476123468241,0.006974747068319514,0.7282826271127304,0.9771702666991473,0.0013111952528947369,0.9659540842682809,1.1323506100779923e-05,1.4879304572989581e-07,1.0215964903181884e-05
exact,three obstacles,ID,144,0.9371562041953483,0.005949615043405832,0.8851578051023716,0.9972715669175476,0.00031475378615371475,0.9942796465077103,1.773764843922739e-05,2.410729571615999e-07,1.5753107618365902e-05
exact,three stars,OOD shape,144,0.8639089149549068,0.006851467207837976,0.8079686869847308,0.9932987181810164,0.0005030579061707274,0.9891727551058939,1.6764252532336992e-05,2.282244908429727e-07,1.4963270314183318e-05
exact,two crescents,OOD shape,144,0.761787696680789,0.015447860429017345,0.6437120151090739,0.9958729743281778,0.0003214981960397071,0.9930590680472694,2.4507081131256807e-05,4.47314072568231e-07,2.146522565453779e-05
exact,two obstacles,ID,144,0.9505676568459975,0.005333777141664075,0.9075679102296846,0.9986061111978947,0.000169450982112057,0.9971101325871013,2.3498735180914486e-05,3.785899028712595e-07,2.0425948059710207e-05
exact,wavenumber 12,OOD frequency,144,0.9818053371750172,0.0018273307030906964,0.9658868813935877,0.9993080874109587,7.445906889240777e-05,0.9987419460760116,1.4114882611061654e-05,1.7586671544575746e-07,1.280673232031404e-05
graph-foundation,180-degree aperture,OOD aperture,144,0.7891962295252557,0.008822688150608278,0.7202379453242275,0.9891140680731634,0.0006002825754192605,0.9842507772907447,0.26832269851325286,0.020961842702316186,0.14316258877515792
graph-foundation,30% noise,OOD noise,144,0.9351880579282024,0.00433480544203394,0.8997984790770595,0.9963577862970558,0.00032017178677573176,0.9939774127310061,1.0365139732344284,0.061916808549256165,0.5382439196109772
graph-foundation,four obstacles,ID,144,0.9400202415465565,0.00417193491147363,0.9088247462120844,0.9967461728816738,0.0002634399787177463,0.9947842421007196,0.5640089260414243,0.05164961870658985,0.3051398515701294
graph-foundation,heteroscedastic noise,OOD noise,144,0.937254578995081,0.006322475916223734,0.8809530971482807,0.9972286739067234,0.00034888462685597017,0.9941852805302949,1.4888844326552417,0.055089502244379245,1.0573705434799194
graph-foundation,mirrored kites,lsmlab-inspired,144,0.9292648069243078,0.005145689620365616,0.8867453598424231,0.9977927483237666,0.0002045587419828251,0.9961734816525067,0.9086066767987278,0.06222181156897915,0.349864462018013
graph-foundation,one obstacle,ID,144,0.9900207735084489,0.0028592232100874923,0.9661363636363637,0.9998655595085197,3.6061835950422775e-05,0.9995178773140425,0.034478240456438575,0.010411358906877962,0.001741617440711707
graph-foundation,six obstacles,OOD count,144,0.7716730179583078,0.007134006660045867,0.7156841500739876,0.9761494481430915,0.0013629485644763952,0.9644213733200813,0.6530731763276789,0.06548339992816289,0.3641683757305145
graph-foundation,three obstacles,ID,144,0.9305955457301393,0.006376161799467946,0.8721605000631077,0.9969373091776137,0.0003466324913172898,0.9938777341636011,1.4923915966517396,0.06200763316105012,0.9154263854026795
graph-foundation,three stars,OOD shape,144,0.8570906472079843,0.0070827004071305905,0.8014726543536485,0.9928241630006271,0.0005250515764394265,0.9885162891126407,1.5429274899264176,0.05902801505840743,0.9911162555217743
graph-foundation,two crescents,OOD shape,144,0.7648803752770245,0.015402474763085594,0.6472681627885776,0.9959700622493496,0.0003158899651641655,0.9932973710317461,0.7695352747622464,0.051210579749218194,0.3253464102745056
graph-foundation,two obstacles,ID,144,0.949000944798667,0.00535706676457251,0.9051178296437679,0.9985529875556387,0.0001686771407324614,0.9970862667981101,0.7706555129132338,0.05156643200265607,0.34489834010601045
graph-foundation,wavenumber 12,OOD frequency,144,0.9837889554868207,0.0018380852816694078,0.9677288920792778,0.9993930539221935,7.17611764314703e-05,0.9987959683505783,1.6399494734489255,0.0954061059013485,0.74970241189003
graph-small,180-degree aperture,OOD aperture,144,0.7891489402952317,0.008852989336561172,0.7202379453242275,0.989111922327958,0.0006009997894081551,0.9842170558022976,0.2656427481625643,0.02138945842850772,0.15126918703317643
graph-small,30% noise,OOD noise,144,0.9352273080795526,0.0043352607272902025,0.8993183814936284,0.9963623802997204,0.0003188525836287443,0.9940547636778848,1.028889926771323,0.06260154770811406,0.5463118553161621
graph-small,four obstacles,ID,144,0.9400007146228683,0.004174322854596732,0.9076964799360552,0.9967496651054665,0.0002632040415564414,0.9948276467444028,0.5684423872994052,0.05321126674865428,0.30576128959655763
graph-small,heteroscedastic noise,OOD noise,144,0.937246238726035,0.006282269890525541,0.8818249921764016,0.9972276763395986,0.0003462464084132084,0.9940686975931337,1.4948334251013067,0.055060729850164664,1.0839975476264954
graph-small,mirrored kites,lsmlab-inspired,144,0.9290427799482391,0.00513497804246226,0.8865640042767465,0.9977815837513729,0.00020585541542321895,0.9961351105339744,0.9116012446789278,0.0622232939925779,0.3627368152141571
graph-small,one obstacle,ID,144,0.9900549522417619,0.0028905684538195245,0.96760406934496,0.9998662698973432,3.66931146747036e-05,0.9995178773140425,0.03461149581077431,0.010418025498279493,0.0016943195252679289
graph-small,six obstacles,OOD count,144,0.772551476632998,0.007180346252726397,0.717436322731233,0.9761953297791154,0.0013612243515367904,0.9644990699165639,0.6577325032816993,0.06659314119837885,0.369403612613678
graph-small,three obstacles,ID,144,0.9308309663316938,0.006342756357265361,0.8734005635730347,0.9969568437657412,0.0003430796612559894,0.9940790982302536,1.4937345371064212,0.0630022097552125,0.9521804392337799
graph-small,three stars,OOD shape,144,0.8563892927117358,0.007061789333958408,0.7972913371984227,0.9927848540655566,0.0005206300366292437,0.9884876632151008,1.5471888348046277,0.059472941526992174,0.9924991667270661
graph-small,two crescents,OOD shape,144,0.7652939173315826,0.015476826668361908,0.641455411333604,0.9959965412351851,0.00031391115295673115,0.9934251091300239,0.7702268718017472,0.0514605322908565,0.32056333422660827
graph-small,two obstacles,ID,144,0.948797493932108,0.005339519003847258,0.9062479870270442,0.9985515918476425,0.00016699333911691165,0.997118675910887,0.7721488138453828,0.05149024503252266,0.34056327044963836
graph-small,wavenumber 12,OOD frequency,144,0.9837922146907078,0.001843950609180053,0.9684894919493366,0.9993924267010951,7.220897221245244e-05,0.9987829750755065,1.6485721903542678,0.09707969999895617,0.7720744848251343
identity,180-degree aperture,OOD aperture,144,0.789201371990458,0.00881226680203892,0.7202379453242275,0.9891139202436278,0.0006000584521442792,0.9842721820548337,0.25154872409378487,0.01878038579475912,0.1420578256249428
identity,30% noise,OOD noise,144,0.9348643816144926,0.004344364300612121,0.897889231312496,0.9963414899995462,0.0003205295979500342,0.9940424433493428,1.0628500918133392,0.06314039084132826,0.554297947883606
identity,four obstacles,ID,144,0.9399880708057881,0.004185090732361808,0.9078058891143045,0.9967473209209664,0.00026397003799036214,0.9947789534495707,0.5926592395537429,0.05700866957227436,0.31028219759464265
identity,heteroscedastic noise,OOD noise,144,0.9372729504190966,0.0062714725770552995,0.8811063331247507,0.9972393590435108,0.00034458448910024744,0.9941740579804489,1.520533574745059,0.05488235129070884,1.099078154563904
identity,mirrored kites,lsmlab-inspired,144,0.9288129605199893,0.005166376931221107,0.8857280916153054,0.9977836326652422,0.00020519456558687151,0.9960790046454212,0.927118492933611,0.06307006975389426,0.3674131691455841
identity,one obstacle,ID,144,0.9899008466387169,0.002911197964898468,0.9661363636363637,0.9998644873787256,3.661961540978536e-05,0.9995178773140425,0.036043551916211274,0.010753881508028326,0.0018176485784351826
identity,six obstacles,OOD count,144,0.7723775818214231,0.00713496190167837,0.7202086764958053,0.9762057537476423,0.0013575730780046738,0.9647652795183153,0.6345079959266715,0.06390997872897454,0.3661238044500351
identity,three obstacles,ID,144,0.9307912136567952,0.006297646800833518,0.8747334698979475,0.9969522851688551,0.0003431960931953716,0.9940908796285384,1.5162760133130684,0.06277095519041483,0.9442406952381134
identity,three stars,OOD shape,144,0.8564201688783082,0.007021311205069976,0.8016046604146818,0.9927828273551901,0.0005241586972037843,0.9883183612422541,1.5685360317842827,0.060167757874691856,0.9747354149818421
identity,two crescents,OOD shape,144,0.7655608435383944,0.015388655496365906,0.6447897606497511,0.9959959512781507,0.0003138160278590596,0.993330660535513,0.7699567144736648,0.05177571488499317,0.31732659935951235
identity,two obstacles,ID,144,0.9489713945040477,0.005328597399410887,0.9059217777433062,0.9985569008417561,0.0001674802112540037,0.997113849459898,0.7821048465039995,0.051936062530573895,0.35075447857379916
identity,wavenumber 12,OOD frequency,144,0.9837761166754354,0.0018577462972301504,0.9675066706895532,0.999393080377905,7.200402254018404e-05,0.9987462923890774,1.648311289648215,0.09673044132076347,0.7988856315612793
