architecture,affine_depth,width,rank_ratio,grid_size,target_kind,powerlaw_alpha,powerlaw_max_frequency,optimizer,learning_rate,steps,record_every,seed,bias_scale,tag,rank,spectral_backend,spectral_cuda_driver,spectral_relative_floor,stable,elapsed_seconds,final_loss,final_parameter_displacement,final_feature_displacement,t50_1,final_relative_error_1,t50_4,final_relative_error_4,t50_8,final_relative_error_8,t50_16,final_relative_error_16,calibration_score
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,101,0.1,cal_fc_d5_mup_gd_lr1_s101,128,,,,False,0.02249798900447786,0.42875009775161743,0.0,0.0,,1.0,,1.0,,1.0,,1.0,inf
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,102,0.1,cal_fc_d5_mup_gd_lr1_s102,128,,,,True,1.030651637003757,0.4243221879005432,0.4893791079521179,1.6458085775375366,30.0,0.9906221069395542,,1.0011353271726806,,0.9998431276374807,,0.9997044222982368,-0.056794568412424126
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,101,0.1,cal_fc_d7_mup_gd_lr0.1_s101,128,,,,True,1.372891855891794,0.06668151170015335,0.09208206087350845,7.608627796173096,60.0,0.06936955451965332,300.0,0.15710834356454706,,0.6469050314691331,,0.9531588703393936,-0.7195556899189627
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,102,0.1,cal_fc_d7_mup_gd_lr0.1_s102,128,,,,True,1.3412306829122826,0.06959619373083115,0.09473134577274323,10.074087142944336,60.0,0.0265347957611084,330.0,0.21943857119633603,,0.5773664779133267,,0.9172469849387804,-0.8013455332684054
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,101,0.1,cal_fc_d7_mup_gd_lr0.3_s101,128,,,,True,1.2733341429848224,0.0639006644487381,0.15173855423927307,7.198699474334717,30.0,0.06060248613357544,270.0,0.1822152871351976,420.0,0.39666655328538686,,0.8317057639360428,-0.7888065577920498
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,102,0.1,cal_fc_d7_mup_gd_lr0.3_s102,128,,,,True,1.272178441984579,0.04428316652774811,0.1558830440044403,8.260130882263184,30.0,0.23417603969573975,240.0,0.054812743113591154,390.0,0.37458826435936826,,0.8508205140630404,-0.8001101713565092
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,101,0.1,cal_fc_d7_mup_gd_lr1_s101,128,,,,True,1.273579181986861,0.4287745952606201,0.8504379391670227,5.126031875610352,,0.9995545245765243,,1.0010271167131857,,1.000156965397764,,1.0001976803469006,-0.05506405854495639
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,102,0.1,cal_fc_d7_mup_gd_lr1_s102,128,,,,False,0.3050420469371602,0.42896080017089844,0.41275298595428467,1.9528837203979492,,1.0006400408456102,,0.9994158086169941,,0.9999615929199435,,1.0002110677208595,inf
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.003,600,30,101,0.1,cal_fc_d5_muon_p0_lr0.003_s101,128,direct_torch_svd,gesvd,1e-07,True,16.071749700931832,0.01653917133808136,0.5902806520462036,13.228946685791016,150.0,0.0025786757469177246,270.0,0.04539431058443506,420.0,0.20789241790771487,,0.7164244204759598,-1.4568711401060284
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.003,600,30,102,0.1,cal_fc_d5_muon_p0_lr0.003_s102,128,direct_torch_svd,gesvd,1e-07,True,14.8887473779032,0.015355267561972141,0.5802388191223145,13.064682960510254,150.0,0.0035437345504760742,300.0,0.04004245537977948,450.0,0.19100238217247859,,0.7143439203500748,-1.4503293867942708
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.01,600,30,101,0.1,cal_fc_d5_muon_p0_lr0.01_s101,128,direct_torch_svd,gesvd,1e-07,True,16.050153914955445,0.003675897605717182,1.4879652261734009,15.094806671142578,60.0,0.006747841835021973,90.0,0.004430605815007102,150.0,0.007446236080593557,360.0,0.250505268573761,-2.178600070902007
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.01,600,30,102,0.1,cal_fc_d5_muon_p0_lr0.01_s102,128,direct_torch_svd,gesvd,1e-07,True,14.846125119016506,0.002987471641972661,1.4419682025909424,14.85108470916748,60.0,0.007090926170349121,90.0,0.0009680161109337782,150.0,0.009058621194627525,330.0,0.2312227686246236,-2.3392848699774986
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.03,600,30,101,0.1,cal_fc_d5_muon_p0_lr0.03_s101,128,direct_torch_svd,gesvd,1e-07,True,16.021151906927116,0.00660884752869606,2.227727174758911,12.42160701751709,30.0,0.03849482536315918,60.0,2.7179718017612284e-05,90.0,0.004567729102240693,270.0,0.2142069339752197,-2.5744358489173806
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.03,600,30,102,0.1,cal_fc_d5_muon_p0_lr0.03_s102,128,direct_torch_svd,gesvd,1e-07,True,14.779944980982691,0.006562367081642151,2.2434096336364746,11.866769790649414,30.0,0.03639507293701172,60.0,0.02594896463247449,90.0,0.06829184956020781,240.0,0.1401436924934387,-1.5884146571993956
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.003,600,30,101,0.1,cal_fc_d5_muon_p1_3_lr0.003_s101,128,direct_torch_svd,gesvd,1e-07,True,15.926033121999353,0.0211377814412117,0.4460739493370056,10.189952850341797,30.0,0.012275934219360352,120.0,0.0600177141336294,270.0,0.23862351311577693,,0.7665525476137797,-1.2188437970694528
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.003,600,30,102,0.1,cal_fc_d5_muon_p1_3_lr0.003_s102,128,direct_torch_svd,gesvd,1e-07,True,14.853359726956114,0.019829511642456055,0.4717675745487213,10.394805908203125,60.0,0.007122397422790527,120.0,0.05679741272559529,240.0,0.2265658908420139,,0.7295675675074259,-1.2990994963054103
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.01,600,30,101,0.1,cal_fc_d5_muon_p1_3_lr0.01_s101,128,direct_torch_svd,gesvd,1e-07,True,16.01196403603535,0.017315544188022614,0.7173400521278381,9.555907249450684,30.0,0.016147375106811523,60.0,0.03428217080923224,180.0,0.11584032906426325,,0.5867197712262472,-1.3703693896530698
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.01,600,30,102,0.1,cal_fc_d5_muon_p1_3_lr0.01_s102,128,direct_torch_svd,gesvd,1e-07,True,14.819866220001131,0.0168134942650795,0.7410805225372314,9.233036994934082,30.0,0.012294769287109375,60.0,0.010718162243182809,150.0,0.14733721150292292,,0.5587772130966187,-1.507303342040045
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.03,600,30,101,0.1,cal_fc_d5_muon_p1_3_lr0.03_s101,128,direct_torch_svd,gesvd,1e-07,True,16.069021344999783,0.020447805523872375,1.197510838508606,9.153219223022461,30.0,0.04351752996444702,60.0,0.13024031198941746,120.0,0.11315573586357966,360.0,0.3055532375971476,-1.180359712112709
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.03,600,30,102,0.1,cal_fc_d5_muon_p1_3_lr0.03_s102,128,direct_torch_svd,gesvd,1e-07,True,14.85824324504938,0.01608090102672577,1.2450157403945923,9.982682228088379,30.0,0.06732547283172607,30.0,0.03531028674199034,120.0,0.029188023673163543,450.0,0.30999125043551123,-1.4358947475820645
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.003,600,30,101,0.1,cal_fc_d5_muon_p2_3_lr0.003_s101,128,direct_torch_svd,gesvd,1e-07,True,16.122166132903658,0.030507797375321388,0.288639098405838,9.30550765991211,30.0,0.010109305381774902,120.0,0.06275494282062233,390.0,0.36753292878468835,,0.8997480173905691,-1.1468917700489398
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.003,600,30,102,0.1,cal_fc_d5_muon_p2_3_lr0.003_s102,128,direct_torch_svd,gesvd,1e-07,True,14.870696860016324,0.028788303956389427,0.3127974271774292,9.116790771484375,30.0,0.002460181713104248,120.0,0.040214391855093116,330.0,0.3620365858078003,,0.856459895769755,-1.3594155421437026
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.01,600,30,101,0.1,cal_fc_d5_muon_p2_3_lr0.01_s101,128,direct_torch_svd,gesvd,1e-07,True,16.025050085037947,0.03259839117527008,0.36766666173934937,7.8315253257751465,30.0,0.024181008338928223,60.0,0.004357503010676491,300.0,0.33677560753292507,,0.7829111417134603,-1.3620792738292913
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.01,600,30,102,0.1,cal_fc_d5_muon_p2_3_lr0.01_s102,128,direct_torch_svd,gesvd,1e-07,True,14.790641640080139,0.029987458139657974,0.38640648126602173,8.247536659240723,30.0,0.013839006423950195,60.0,0.0533041220444899,270.0,0.30102116531795925,,0.811823790272077,-1.1644779237274911
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.03,600,30,101,0.1,cal_fc_d5_muon_p2_3_lr0.03_s101,128,direct_torch_svd,gesvd,1e-07,True,15.926681019947864,0.038871318101882935,0.6621813774108887,7.498959064483643,30.0,0.222744882106781,60.0,0.08499497633713946,180.0,0.19411314858330622,,0.6214154362678528,-0.8718961141734463
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.03,600,30,102,0.1,cal_fc_d5_muon_p2_3_lr0.03_s102,128,direct_torch_svd,gesvd,1e-07,True,14.837623469997197,0.03389769047498703,0.6728821992874146,8.793684959411621,30.0,0.016872167587280273,60.0,0.11103578714224012,150.0,0.13916091124216717,,0.5901929090420405,-1.1736882066953507
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,101,0.1,cal_mmnn_d3_mup_gd_lr0.1_s101,32,,,,True,0.7620463890489191,0.06580144166946411,0.2825491428375244,2.8293161392211914,30.0,0.007337391376495361,390.0,0.24076291231008679,,0.7274347146352133,,0.9176859917740027,-0.9093598391909191
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,102,0.1,cal_mmnn_d3_mup_gd_lr0.1_s102,32,,,,True,0.741581054055132,0.0636008009314537,0.28269633650779724,3.139349937438965,30.0,0.007675886154174805,420.0,0.24352888877575216,,0.7997888260417514,,0.9162376361588637,-0.8953149944283745
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,101,0.1,cal_mmnn_d3_mup_gd_lr0.3_s101,32,,,,True,0.7440578669775277,0.04169829189777374,0.465232253074646,3.525177478790283,30.0,0.08453893661499023,210.0,0.04078641304602986,480.0,0.3849413924747043,,0.8993131394187609,-0.9377627988633458
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,102,0.1,cal_mmnn_d3_mup_gd_lr0.3_s102,32,,,,True,0.7531918380409479,0.03862167149782181,0.4492030143737793,4.062132835388184,30.0,0.006523013114929199,240.0,0.04070956890399636,510.0,0.43403270509507924,,0.8891140396396319,-1.2093191704752746
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,101,0.1,cal_mmnn_d3_mup_gd_lr1_s101,32,,,,True,0.7440707170171663,0.4093692898750305,0.6222524642944336,1.0,,0.9593784064054489,,1.0010388674071202,,1.0020175551374753,,0.9997317583377784,-0.06238278650848477
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,102,0.1,cal_mmnn_d3_mup_gd_lr1_s102,32,,,,True,0.753643715986982,0.4134911000728607,1.0703941583633423,1.0,,0.9675842821598053,,1.001842238797018,,1.001955125739591,,1.0007398199522868,-0.060615676242958876
mmnn,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,101,0.1,cal_mmnn_d5_mup_gd_lr0.1_s101,32,,,,True,1.2214593440294266,0.03372523561120033,0.14912083745002747,6.201916694641113,30.0,0.032727837562561035,150.0,0.09603790136483996,390.0,0.3265659279293484,,0.8372386768460274,-0.9872617196961285
mmnn,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,102,0.1,cal_mmnn_d5_mup_gd_lr0.1_s102,32,,,,True,1.2150623369961977,0.04215388000011444,0.15329495072364807,5.544299125671387,30.0,0.013379573822021484,180.0,0.07612553009620082,480.0,0.4245031144883898,,0.8189937074979147,-1.0689908527991396
mmnn,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,101,0.1,cal_mmnn_d5_mup_gd_lr0.3_s101,32,,,,True,1.2178675609175116,0.04427541047334671,0.2530645728111267,6.6748480796813965,30.0,0.05987536907196045,150.0,0.03813270422128534,300.0,0.3131824334462484,,0.8155047744512558,-1.0116331829398568
mmnn,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,102,0.1,cal_mmnn_d5_mup_gd_lr0.3_s102,32,,,,True,1.2187299031065777,0.05099784582853317,0.2511737644672394,5.870396137237549,30.0,0.04175424575805664,120.0,0.015981050638052167,360.0,0.3144981728659736,,0.8803713793555895,-1.1272197220761464
mmnn,5,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,101,0.1,cal_mmnn_d5_mup_gd_lr1_s101,32,,,,False,0.016825709026306868,0.42875009775161743,0.0,0.0,,1.0,,1.0,,1.0,,1.0,inf
mmnn,5,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,102,0.1,cal_mmnn_d5_mup_gd_lr1_s102,32,,,,False,0.01679125800728798,0.42875009775161743,0.0,0.0,,1.0,,1.0,,1.0,,1.0,inf
mmnn,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,101,0.1,cal_mmnn_d7_mup_gd_lr0.1_s101,32,,,,True,1.6814797619590536,0.0306426752358675,0.11600979417562485,9.84947681427002,30.0,0.04824113845825195,180.0,0.04508326603816102,420.0,0.2761819230185615,,0.8162669936815897,-1.0544358971981602
mmnn,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.1,600,30,102,0.1,cal_mmnn_d7_mup_gd_lr0.1_s102,32,,,,True,1.6142051160568371,0.02946474775671959,0.11444278806447983,9.537264823913574,30.0,0.007252931594848633,150.0,0.09077233534592845,300.0,0.19686648580763078,,0.7486524283885956,-1.2328748116341897
mmnn,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,101,0.1,cal_mmnn_d7_mup_gd_lr0.3_s101,32,,,,True,1.6701215390348807,0.06152009963989258,0.19857974350452423,8.190731048583984,30.0,0.08481502532958984,180.0,0.27440432401803827,450.0,0.5166582862536112,,0.8374885693192482,-0.6808859369742435
mmnn,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,600,30,102,0.1,cal_mmnn_d7_mup_gd_lr0.3_s102,32,,,,True,1.6282397649483755,0.1246819868683815,0.21092170476913452,9.69433307647705,60.0,0.09594106674194336,180.0,0.3308285566476675,480.0,0.424180719587538,,0.847118929028511,-0.6213537318754571
mmnn,7,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,101,0.1,cal_mmnn_d7_mup_gd_lr1_s101,32,,,,False,0.03395473293494433,0.42875009775161743,0.0,0.0,,1.0,,1.0,,1.0,,1.0,inf
mmnn,7,128,0.25,128,hierarchy,1.25,24,mup_gd,1.0,600,30,102,0.1,cal_mmnn_d7_mup_gd_lr1_s102,32,,,,False,0.20435208606068045,0.4291059076786041,0.5651659965515137,2.1809818744659424,,1.000190484104678,,1.001088822923171,,1.0002389365302709,,1.000011383187181,inf
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.003,600,30,101,0.1,cal_mmnn_d5_muon_p0_lr0.003_s101,32,direct_torch_svd,gesvd,1e-07,True,8.691711173974909,0.0028912080451846123,0.6482455134391785,16.895362854003906,90.0,0.0005050897598266602,150.0,0.006836799474862871,210.0,0.004712581634521459,450.0,0.2520127693812052,-2.4776123886636787
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.003,600,30,102,0.1,cal_mmnn_d5_muon_p0_lr0.003_s102,32,direct_torch_svd,gesvd,1e-07,True,8.691796286962926,0.003154382575303316,0.6535977125167847,14.555251121520996,90.0,0.006175398826599121,150.0,0.00610274534959056,210.0,0.013282457987467472,450.0,0.27911072969436646,-2.0888515346350593
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.01,600,30,101,0.1,cal_mmnn_d5_muon_p0_lr0.01_s101,32,direct_torch_svd,gesvd,1e-07,True,8.708379200077616,0.004857185296714306,0.9814216494560242,15.561430931091309,30.0,0.04361283779144287,60.0,0.035903032009418225,90.0,0.002254221174452015,240.0,0.11865760882695513,-1.941532901847475
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.01,600,30,102,0.1,cal_mmnn_d5_muon_p0_lr0.01_s102,32,direct_torch_svd,gesvd,1e-07,True,8.645379708032124,0.004877250641584396,0.9624050855636597,12.533724784851074,30.0,0.008386194705963135,60.0,0.02553200721740726,90.0,0.0177803039550781,240.0,0.1331746180852254,-1.92052110359668
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.03,600,30,101,0.1,cal_mmnn_d5_muon_p0_lr0.03_s101,32,direct_torch_svd,gesvd,1e-07,False,7.698955537984148,0.020944349467754364,1.3522815704345703,30.367231369018555,30.0,0.16624248027801514,30.0,0.01866978865403392,90.0,0.04682842890421547,270.0,0.22803093989690143,inf
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.03,600,30,102,0.1,cal_mmnn_d5_muon_p0_lr0.03_s102,32,direct_torch_svd,gesvd,1e-07,False,7.233134443988092,0.018553558737039566,1.3273133039474487,30.659486770629883,30.0,0.09837448596954346,30.0,0.194157967200646,90.0,0.10014425383673771,210.0,0.2673381169637044,inf
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.003,600,30,101,0.1,cal_mmnn_d5_muon_p1_3_lr0.003_s101,32,direct_torch_svd,gesvd,1e-07,True,8.564771068980917,0.018380414694547653,0.300704687833786,12.800113677978516,30.0,0.008096456527709961,90.0,0.020397039560171238,210.0,0.1822203662660387,,0.6442192792892456,-1.438473514296063
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.003,600,30,102,0.1,cal_mmnn_d5_muon_p1_3_lr0.003_s102,32,direct_torch_svd,gesvd,1e-07,True,8.59973567200359,0.017444416880607605,0.3082927167415619,10.449636459350586,30.0,5.805492401123047e-05,90.0,0.05134523831881006,210.0,0.15506839752197268,,0.6441692858934402,-1.8952858945971545
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.01,600,30,101,0.1,cal_mmnn_d5_muon_p1_3_lr0.01_s101,32,direct_torch_svd,gesvd,1e-07,True,8.612475553061813,0.01431595254689455,0.4925227165222168,14.697081565856934,30.0,0.020586073398590088,60.0,0.012280152394221413,120.0,0.07418343755933976,450.0,0.3338623146216074,-1.5774640556563635
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.01,600,30,102,0.1,cal_mmnn_d5_muon_p1_3_lr0.01_s102,32,direct_torch_svd,gesvd,1e-07,True,8.670229063020088,0.015096625313162804,0.5028016567230225,9.86498737335205,30.0,0.09742993116378784,60.0,0.06294446725111745,150.0,0.06709492206573489,510.0,0.41127657890319824,-1.216049621323796
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.03,600,30,101,0.1,cal_mmnn_d5_muon_p1_3_lr0.03_s101,32,direct_torch_svd,gesvd,1e-07,True,8.649869660031982,0.035337239503860474,0.8404393196105957,15.047728538513184,30.0,0.06326007843017578,30.0,0.06813219877389758,90.0,0.20449746979607478,480.0,0.4156519571940104,-1.0767901321045736
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p1_3,0.03,600,30,102,0.1,cal_mmnn_d5_muon_p1_3_lr0.03_s102,32,direct_torch_svd,gesvd,1e-07,True,8.674824389978312,0.02857944369316101,0.821933925151825,12.855015754699707,30.0,0.09240531921386719,30.0,0.05936105434711159,90.0,0.024616082509358747,450.0,0.32961230476697284,-1.319486701203561
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.003,600,30,101,0.1,cal_mmnn_d5_muon_p2_3_lr0.003_s101,32,direct_torch_svd,gesvd,1e-07,True,8.636492517078295,0.0254710391163826,0.1998070329427719,11.77820110321045,30.0,0.012090206146240234,90.0,0.07475766768822299,300.0,0.25934314727783203,,0.7896311183770498,-1.1722458801881344
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.003,600,30,102,0.1,cal_mmnn_d5_muon_p2_3_lr0.003_s102,32,direct_torch_svd,gesvd,1e-07,True,8.585397896938957,0.027240853756666183,0.1839485466480255,9.120631217956543,30.0,0.01093590259552002,90.0,0.1092118116525503,270.0,0.24937950240241158,,0.8097530752420425,-1.1391324915774814
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.01,600,30,101,0.1,cal_mmnn_d5_muon_p2_3_lr0.01_s101,32,direct_torch_svd,gesvd,1e-07,True,8.631700252066366,0.025960421189665794,0.26074105501174927,11.345163345336914,30.0,0.05837106704711914,60.0,0.06860259863046503,180.0,0.18422990375094947,,0.6181259055932363,-1.0731094224161644
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.01,600,30,102,0.1,cal_mmnn_d5_muon_p2_3_lr0.01_s102,32,direct_torch_svd,gesvd,1e-07,True,8.652197389048524,0.02875220775604248,0.2605442702770233,8.370128631591797,30.0,0.0532381534576416,60.0,0.03627782601576582,210.0,0.15597558021545413,,0.6807803213596344,-1.1532173601248608
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.03,600,30,101,0.1,cal_mmnn_d5_muon_p2_3_lr0.03_s101,32,direct_torch_svd,gesvd,1e-07,True,8.61622275901027,0.04771050438284874,0.4475328326225281,20.131500244140625,30.0,0.142716646194458,60.0,0.057597398757934536,120.0,0.20601586500803631,,0.5756605267524719,-0.9509717442676033
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.03,600,30,102,0.1,cal_mmnn_d5_muon_p2_3_lr0.03_s102,32,direct_torch_svd,gesvd,1e-07,True,8.640721463016234,0.06242505833506584,0.4454880356788635,22.12025260925293,60.0,0.07293051481246948,90.0,0.0059085992666391566,120.0,0.22649522622426352,,0.6594245731830597,-1.2285416576395878
