model,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,average_precision_q10,auc_mean,auc_ci95,auc_q10,area_matched_iou_mean,area_matched_iou_ci95,area_matched_iou_q10,score_correlation_exact_mean,score_correlation_exact_ci95,score_correlation_exact_q10,relative_residual_mean,relative_residual_ci95,relative_residual_q10,success_ap80_mean,success_ap80_ci95,success_ap80_q10
exact,two obstacles,ID,192,0.9467666488273389,0.004761841526349889,0.900763069100244,0.9984667675649718,0.00015524839267792268,0.9967391150876267,0.7680712502307626,0.013747411787140958,0.6410256410256411,1.0,0.0,1.0,2.325329156368146e-05,3.170596630716702e-07,2.0594170200638474e-05,1.0,0.0,1.0
exact,wavenumber 12,OOD frequency,192,0.979658146549161,0.0017737509880805017,0.9638811949990651,0.9991980980573265,7.609491898349192e-05,0.9984946799392692,0.8537312497323534,0.007400986306873179,0.7858662613981763,1.0,0.0,1.0,1.3987940846504898e-05,1.4541022923188246e-07,1.2797203999070916e-05,1.0,0.0,1.0
foundation,180-degree aperture,OOD aperture,192,0.7842135841828456,0.00816144820226915,0.713805121044585,0.9889024060399755,0.0005319039502569892,0.9840824169958364,0.5246028513198143,0.010134734440997715,0.4426229508196721,0.9999973033589163,5.914111623437977e-07,0.9999906626195891,0.016630986445913248,0.001089845854890714,0.008912797644734382,0.375,0.06865861370288577,0.0
foundation,30% noise,OOD noise,192,0.932527523190995,0.0034219548142901536,0.8988249029160966,0.9962232254893094,0.00023880077099353258,0.9936608989658351,0.7297990485141183,0.008026212006514963,0.6563392857142857,0.999876368245006,6.995733439250819e-06,0.9998076129636781,0.2183224412923058,0.010159697817187893,0.1074649803340435,1.0,0.0,1.0
foundation,four obstacles,ID,192,0.9369295847144357,0.003819613964895639,0.8998154449943626,0.996407227614318,0.00024560642755637935,0.9938629503629869,0.7387241398866286,0.009302708802663645,0.6575302663438257,0.9999752407844307,2.0719921540117017e-06,0.9999562204211625,0.09818222552227478,0.006487292743520972,0.050328748673200606,1.0,0.0,1.0
foundation,heteroscedastic noise,OOD noise,192,0.9422837685179055,0.0049629346734016725,0.8953387305693078,0.9975033812801987,0.00025322875054734436,0.9953180867146988,0.7560006639052048,0.01270195229478144,0.6363636363636364,0.99997919163684,1.968980937210454e-06,0.9999624049466045,0.11181431767666557,0.007941558784169758,0.04047283641994,1.0,0.0,1.0
foundation,mirrored kites,lsmlab-inspired,192,0.9338766272652665,0.004383410447937308,0.8993710771520005,0.9979615078202294,0.00017021773021670239,0.9964182502433703,0.72922421847483,0.012049636025717599,0.625462962962963,0.9999938574927034,7.030068721763836e-07,0.9999868689143546,0.024515049129452866,0.0011027734472441565,0.01645855624228716,1.0,0.0,1.0
foundation,one obstacle,ID,192,0.9918378999080334,0.0025297069827846476,0.9659090909090909,0.999902192624403,2.843629040363173e-05,0.999671592775041,0.9386908947498153,0.01410281477769255,0.8,0.9999999956246651,3.337514317924071e-10,0.9999999921562808,0.0006693660325254314,2.0735117941215703e-05,0.0004884768626652658,1.0,0.0,1.0
foundation,six obstacles,OOD count,192,0.7777270642966604,0.007714953866474339,0.7045674340301932,0.9761235804587662,0.0013279198762506245,0.9624199423609283,0.5200784958965201,0.01032202430462593,0.4229655626233823,0.9999478353347527,4.394290837544851e-06,0.9999029079130016,0.14215937650684887,0.011751269527424177,0.05498241893947124,0.3489583333333333,0.06759748948207064,0.0
foundation,three obstacles,ID,192,0.9309178206398637,0.005386920117979677,0.8757611455346496,0.996934204909568,0.0002759759482017969,0.993984568663628,0.7254081107743499,0.013467758250055806,0.607928388746803,0.9999927215700547,6.943984021293966e-07,0.9999852030748284,0.08074463513912633,0.006365562187785092,0.027198622934520245,1.0,0.0,1.0
foundation,three stars,OOD shape,192,0.8593930068993751,0.005523404094053331,0.8129069446863735,0.9927430362082399,0.0004595380742182837,0.9880716463414634,0.6028147979451259,0.009748089162265739,0.5238095238095238,0.9999924288424199,7.278357712004714e-07,0.9999852726935697,0.0883937329199398,0.007292963000113778,0.023310678824782372,0.9375,0.034329306851442885,1.0
foundation,two crescents,OOD shape,192,0.7634688679411942,0.013289297220023664,0.6398494055295526,0.9959092446732377,0.0002763536715289413,0.9933407325194229,0.5420124138966534,0.015115330778771079,0.41344537815126053,0.9999944625731428,1.398795750007347e-06,0.9999847327166408,0.02170900075240449,0.001926183082260337,0.01109342761337757,0.3645833333333333,0.06826012737916376,0.0
foundation,two obstacles,ID,192,0.9467241845348929,0.004761166238089712,0.9007724365798063,0.9984656526056107,0.00015514624663404025,0.9967391150876267,0.7669041095825765,0.013803948418653492,0.6363636363636364,0.9999942696351543,7.401656381198983e-07,0.9999887851104484,0.023861623073268372,0.0013665243973921758,0.014095395244657994,1.0,0.0,1.0
foundation,wavenumber 12,OOD frequency,192,0.9797794266707726,0.0017768737346687017,0.9633529175652937,0.9992034265434855,7.596877293402001e-05,0.9984862455152892,0.8533518333416038,0.007615727295377088,0.7783783783783784,0.9999406055611821,5.022857477441829e-06,0.9998959580348502,0.162168741672455,0.01052729889906971,0.0657663255929947,1.0,0.0,1.0
small,180-degree aperture,OOD aperture,192,0.7842543692343374,0.008165260634547351,0.7138745744250454,0.988907287918873,0.0005314289366453905,0.9841171132699903,0.5245341055894435,0.010184376479213815,0.4426229508196721,0.9999972301835679,6.070225045406364e-07,0.999990584324251,0.01682513341559873,0.001096325185025756,0.009387844894081353,0.375,0.06865861370288577,0.0
small,30% noise,OOD noise,192,0.9325206870098649,0.0034220689599729712,0.8989439101006582,0.996222897804885,0.00023927631276330055,0.9935695637812636,0.7307336056800917,0.008013225695262867,0.6563392857142857,0.999873772470815,7.08740331140098e-06,0.9998037500013265,0.21994512776533762,0.010037963610174271,0.10732384398579597,1.0,0.0,1.0
small,four obstacles,ID,192,0.9370036834462372,0.0038207131306974614,0.899856378027084,0.9964116573893552,0.00024552133080849893,0.9938837662637703,0.7392396751220259,0.00924286326840588,0.6615819209039548,0.9999743956380462,2.077415783605792e-06,0.9999540800327136,0.09918842018426706,0.006583090122621817,0.050837814807891846,1.0,0.0,1.0
small,heteroscedastic noise,OOD noise,192,0.9423240280281675,0.004963905171841517,0.897329083095032,0.9975053718821689,0.00025242905243269244,0.9953254831043755,0.7558185248109007,0.01278085027912023,0.6330241187384045,0.9999787073763464,2.0257598257161274e-06,0.9999608339788997,0.11313608366375168,0.008016303730157265,0.04176485165953636,1.0,0.0,1.0
small,mirrored kites,lsmlab-inspired,192,0.9340483611228739,0.004370119002998917,0.8988155720671034,0.9979662250504374,0.0001699951653425669,0.9964193264723542,0.7291650815590754,0.012132850216777253,0.6219594594594594,0.9999938341956541,7.061198891652549e-07,0.999987708747831,0.024212964170146734,0.001114680173731297,0.016311361640691757,1.0,0.0,1.0
small,one obstacle,ID,192,0.9918378999080334,0.002529706982784646,0.9659090909090909,0.999902192624403,2.843629040363191e-05,0.999671592775041,0.9386908947498153,0.01410281477769255,0.8,0.9999999957613822,3.04018970715427e-10,0.9999999930739262,0.0006640048853417587,2.083587569905177e-05,0.00047125378041528164,1.0,0.0,1.0
small,six obstacles,OOD count,192,0.7776092141459685,0.0077223896067699725,0.7039657110382449,0.9761144607948617,0.0013280880551753975,0.9624831532282719,0.5193196821103075,0.010338225792324941,0.41863167760074976,0.9999472791022557,4.4199431650238e-06,0.9999020650334028,0.14114858638883257,0.01165200744953176,0.05597617067396641,0.34375,0.06735896406022747,0.0
small,three obstacles,ID,192,0.9309572557472744,0.005376196584811517,0.8754794639749648,0.9969354450362271,0.0002758839321657465,0.9939870498685012,0.7253401217043723,0.013448411963994367,0.6088016967126193,0.9999924551535467,7.388751902409687e-07,0.9999841854511109,0.08107420831220224,0.006449960796813957,0.0263364227488637,1.0,0.0,1.0
small,three stars,OOD shape,192,0.8593423291556143,0.005515560924978972,0.811851898167622,0.992742397763827,0.00045898613085192894,0.9880816252897792,0.603196564687939,0.00977752925646134,0.5238095238095238,0.9999922766309255,7.257779133421806e-07,0.9999847601989054,0.08801662153564394,0.0072096098069411516,0.023574117571115497,0.9375,0.034329306851442885,1.0
small,two crescents,OOD shape,192,0.7632397687004153,0.01330427418292626,0.6398494055295526,0.9959047488137571,0.00027656653409120535,0.9933281267702773,0.5420124138966534,0.015115330778771079,0.41344537815126053,0.9999943436791665,1.424547911857752e-06,0.9999854897296938,0.021733088166608166,0.0019138754984916954,0.01124658714979887,0.3645833333333333,0.06826012737916376,0.0
small,two obstacles,ID,192,0.9465913706118386,0.004755090415046883,0.9006745225738464,0.9984624369240951,0.00015500000174887508,0.9967445279124466,0.7674606669823117,0.01358547004188495,0.6410256410256411,0.9999941493965049,7.647793351204458e-07,0.9999887561418139,0.023880246832656365,0.001365249782702715,0.014151800330728293,1.0,0.0,1.0
small,wavenumber 12,OOD frequency,192,0.9798311757485249,0.0017748542469113748,0.9636730140435212,0.9992030577369481,7.730333334837377e-05,0.9985025350949039,0.8541038019486847,0.007641587541828405,0.7783783783783784,0.9999398507220335,5.093243838064022e-06,0.9998977520270309,0.16363402124261484,0.010464420411068508,0.06984656155109406,1.0,0.0,1.0
