seed,trained_head,evaluation_cell,predicted_h_relative,realized_h_relative,mean_absolute_gap
1,heavy_ball,oracle_interval_richardson,0.008146524196490645,0.008146390609908849,1.7251212725000187e-07
1,identity,learned_global_heavy_ball,2.719169819438318e+21,2.7191447681653906e+21,2.498618914032845e+16
1,identity,learned_global_richardson,1.0301435623249145e+21,1.0301340097678924e+21,9560972205228032.0
1,identity,oracle_interval_heavy_ball,15.533825159072876,15.533361673355103,0.00046423741878243163
1,identity,oracle_interval_richardson,0.5814875513315201,0.5814789608120918,8.64058824845415e-06
1,initial,learned_global_heavy_ball,0.012287059100344777,0.012287058401852846,7.511712318830632e-08
1,initial,learned_global_richardson,0.06869202293455601,0.06869218312203884,3.01829800264386e-07
1,initial,oracle_interval_heavy_ball,0.013104143552482128,0.013103739416692406,4.3958681494871144e-07
1,initial,oracle_interval_richardson,0.008152071211952716,0.008151941583491862,1.733729888542257e-07
1,pcg,learned_global_heavy_ball,0.012231481494382024,0.012231480912305415,7.891607722854133e-08
1,pcg,learned_global_richardson,0.06917046383023262,0.06917062867432833,3.0754586077819113e-07
1,pcg,oracle_interval_heavy_ball,0.006079900311306119,0.006079761020373553,1.8162895898399256e-07
1,pcg,oracle_interval_richardson,0.007868755026720464,0.007868631044402719,1.6913988254430024e-07
1,richardson,learned_global_heavy_ball,0.012149558635428548,0.012149557238444686,7.669962442946598e-08
1,richardson,learned_global_richardson,0.06803245097398758,0.0680326335132122,3.070146590289369e-07
1,richardson,oracle_interval_heavy_ball,0.008253125939518213,0.00825289316708222,2.755252346275938e-07
1,richardson,oracle_interval_richardson,0.007686953176744282,0.007686824363190681,1.758351206859743e-07
2,heavy_ball,learned_global_heavy_ball,0.011994364787824452,0.011994378990493715,7.879171803892859e-08
2,heavy_ball,learned_global_richardson,0.06701724696904421,0.06701740343123674,2.942235255432024e-07
2,heavy_ball,oracle_interval_heavy_ball,0.005667129880748689,0.0056669857003726065,1.8641983423606234e-07
2,heavy_ball,oracle_interval_richardson,0.007684764743316919,0.0076846356387250125,1.7584880573906503e-07
2,identity,learned_global_heavy_ball,2.765809941604297e+21,2.7657860338234625e+21,2.414599797420851e+16
2,identity,learned_global_richardson,1.062158350254124e+21,1.0621493958314274e+21,9028270901166080.0
2,identity,oracle_interval_heavy_ball,15.622781157493591,15.622313857078552,0.0004688559129135683
2,identity,oracle_interval_richardson,0.5827886611223221,0.5827799811959267,8.730712693250098e-06
2,initial,learned_global_heavy_ball,0.012317821732722223,0.012317836983129382,8.017214980782228e-08
2,initial,learned_global_richardson,0.06810092180967331,0.06810107454657555,2.9639022613991983e-07
2,initial,oracle_interval_heavy_ball,0.0075099816313013434,0.0075097824446856976,2.386472193194322e-07
2,initial,oracle_interval_richardson,0.00821136002195999,0.00821123190689832,1.7388368966919643e-07
2,pcg,learned_global_heavy_ball,0.012250856962054968,0.012250873958691955,8.031734921587486e-08
2,pcg,learned_global_richardson,0.06837818305939436,0.06837834790349007,2.9628057518493733e-07
2,pcg,oracle_interval_heavy_ball,0.007191555283498019,0.00719140499131754,1.9102373016721685e-07
2,pcg,oracle_interval_richardson,0.008101678104139864,0.008101555577013642,1.7060027523996268e-07
2,richardson,learned_global_heavy_ball,0.012066220282576978,0.012066234019584954,7.983776662001674e-08
2,richardson,learned_global_richardson,0.06775258760899305,0.06775273941457272,2.913536718551768e-07
2,richardson,oracle_interval_heavy_ball,0.007313476642593741,0.007313321577385068,1.9209831059185944e-07
2,richardson,oracle_interval_richardson,0.007642826589290053,0.007642702490556985,1.66544928958956e-07
