method,family,noise_rel,n_tasks,auc_mean,auc_ci95,average_precision_mean,average_precision_ci95,iou_top7_mean,iou_top7_ci95,centroid_error_mean,centroid_error_ci95,relative_residual_mean,relative_residual_ci95
identity_cg_8,ellipse,0.08,576,0.9994412687304002,4.9798381909030855e-05,0.9923745523610421,0.0005993635334692226,0.7413881085715641,0.010283672019022035,0.0053714501899888205,0.0002458171440708898,0.5644806256750599,0.04007016586501077
identity_cg_8,ellipse,0.15,576,0.9993356070758784,5.68444492941881e-05,0.9915081034129235,0.0006475633688327248,0.7523086323166355,0.009566782233260402,0.006285912634031356,0.0002779946008795519,0.8594136575055826,0.04256363036066668
identity_cg_8,kite,0.08,576,0.9986834985890319,0.00010940453194098746,0.9863803307095976,0.000926251723409628,0.726166705939477,0.009152660151346645,0.00613876318973578,0.0002675617534000865,0.6198468773186,0.037069899717158135
identity_cg_8,kite,0.15,576,0.9988428487139969,9.742934808581351e-05,0.9879447850773607,0.0008064003835007886,0.7394716942043443,0.009173404745271969,0.006564480266762176,0.0002760840741597075,0.844321998845165,0.0378416055832917
identity_cg_8,two_disks,0.08,576,0.9961617569185035,9.412490254718427e-05,0.913221363973245,0.0026893988778631858,0.7009246102389177,0.006815566703683273,0.007844978766216728,0.0003725669772013301,1.5973103072546009,0.041542387024614276
identity_cg_8,two_disks,0.15,576,0.9961886456792526,9.812011097108425e-05,0.9135212891044944,0.002797422579808383,0.6965858153355603,0.006892970975388329,0.008555765439925582,0.0004141807957828101,1.4509393277629796,0.051391643045805895
trained_pcg_20,ellipse,0.08,576,0.9994439907695608,4.99591096856671e-05,0.9924043526791451,0.0006015597601282169,0.7417878078976132,0.010322200653142745,0.005307174565749608,0.0002400759239098367,0.002547268164057136,0.00019448033111844334
trained_pcg_20,ellipse,0.15,576,0.9993459903474666,5.703776796986453e-05,0.9917300967862283,0.0006336515591163196,0.7527906713092217,0.009595774695562507,0.006305379372655591,0.00029351431377143487,0.016076408313993953,0.001105174041696906
trained_pcg_20,kite,0.08,576,0.9987276497907208,0.00010877899677045848,0.9869416837297429,0.0009209590248363356,0.7284060728400354,0.009344197841525605,0.0061452730602569415,0.0002622267257794536,0.0022585905355501585,0.00016665415943264804
trained_pcg_20,kite,0.15,576,0.9989237596825826,9.313869025685717e-05,0.9888704281258972,0.0007728455702266665,0.741846683459687,0.009314048806895039,0.006684230009417054,0.00027819492590653964,0.010170326765243468,0.0005959993812555453
trained_pcg_20,two_disks,0.08,576,0.9960517911267497,9.696785148088195e-05,0.9113999406216371,0.0027078507697282156,0.7006328842453973,0.006835255634850484,0.00784284054397075,0.0003945761866520591,0.004914095375751357,0.00035933619786464674
trained_pcg_20,two_disks,0.15,576,0.9961513081046639,0.00010053513522195174,0.9130884378508678,0.0028006823109791505,0.6966347846050814,0.0068991092446483064,0.008333003554360889,0.0004046232678122488,0.017869907407455483,0.0010048877366769012
trained_pcg_8,ellipse,0.08,576,0.9994424168233067,4.9828999796407486e-05,0.9923838397519664,0.000601223705055095,0.7413239643140787,0.010275412892345548,0.00525025081516623,0.0002423103151576364,0.48452522204024717,0.03301390231281125
trained_pcg_8,ellipse,0.15,576,0.9993342355365206,5.677355074126789e-05,0.9914786723625247,0.0006500983518321673,0.7526778111094392,0.009589094008146773,0.006181521272133573,0.00028825757641770506,0.75669843746194,0.03638525446188197
trained_pcg_8,kite,0.08,576,0.9986919391490336,0.00010991380665108156,0.98651213530546,0.0009305297699411809,0.7269142102084012,0.009212817244637787,0.006218390085438032,0.00026518040171114466,0.49428117423990947,0.029081425659382272
