seed,depth,task,auc,average_precision,iou_top7,centroid_error,relative_residual
17,1,145,0.9987551867219917,0.980780656358708,0.8333333333333334,0.0008359540952369571,3.311762809753418
17,1,146,0.9978760619690155,0.9679569070171075,0.7567567567567568,0.014286458492279053,2.9618825912475586
17,1,147,0.9979923069706351,0.9627805700881926,0.7638888888888888,0.015120841562747955,2.885662794113159
17,1,148,0.9977631340305906,0.9579724002994097,0.7083333333333334,0.00408583041280508,3.2448081970214844
17,1,149,0.9991208791208791,0.9831226131897136,0.6805555555555556,0.00531394500285387,3.92880916595459
17,1,150,0.996724809567526,0.9354209521980873,0.547945205479452,0.04843864589929581,3.240861415863037
17,1,151,0.9980095068330362,0.9439267629414431,0.4722222222222222,0.022483302280306816,4.120295524597168
17,1,152,0.9980558065664449,0.9486045961827997,0.5138888888888888,0.05016789212822914,3.54970121383667
17,1,153,0.997577131679559,0.9498461889927311,0.6388888888888888,0.0059951916337013245,3.357905387878418
17,1,154,0.99930425982733,0.9940198008245421,0.6990291262135923,0.022382084280252457,2.510504722595215
17,1,155,0.9995558516544527,0.9935903963385523,0.8974358974358975,0.009867697022855282,2.7540268898010254
17,1,156,0.9985127854920707,0.9806175168828575,0.8552631578947368,0.008091799914836884,2.8284428119659424
17,1,157,0.9971322537112011,0.924168681456544,0.5,0.040104977786540985,3.7138309478759766
17,1,158,0.9993630400607145,0.9922279659983848,0.875,0.007824894972145557,2.8955531120300293
17,1,159,0.9985734881250474,0.9807918724345694,0.8552631578947368,0.014453115873038769,2.806765556335449
17,1,160,0.9989688969463486,0.9905214357996368,0.7578947368421053,0.024939652532339096,2.436734437942505
17,1,161,0.9991501631383262,0.9882743049542966,0.9054054054054054,0.002469300292432308,3.2563724517822266
17,1,162,0.9993666393666394,0.9943291873156959,0.7272727272727273,0.030472882091999054,2.5481066703796387
17,1,163,0.9987433134265283,0.9890102946007153,0.7422680412371134,0.026756884530186653,2.434950590133667
17,1,164,0.9984420617153031,0.9856145428697329,0.8658536585365854,0.0234235730022192,2.482450485229492
17,1,165,0.9968602825745684,0.9376372396437567,0.6805555555555556,0.0199657641351223,3.0056874752044678
17,1,166,0.9997418283045977,0.9975486523593174,0.75,0.01287455391138792,2.5148720741271973
17,1,167,0.9977073878257615,0.9680670027509186,0.8051948051948052,0.011475792154669762,2.6378109455108643
17,1,168,0.9999005370996619,0.999173417077921,0.6545454545454545,0.019187672063708305,2.531048536300659
17,1,169,0.9980610952833174,0.9636221122362318,0.7222222222222222,0.002284905407577753,3.1171364784240723
17,1,170,0.9993397545440422,0.9931119323780139,0.8554216867469879,0.016320863738656044,2.7851028442382812
17,1,171,0.9996501212912857,0.9962581104617007,0.782608695652174,0.012859898619353771,2.461428165435791
17,1,172,0.9997362869198313,0.9967075996339068,0.922077922077922,0.0028319188859313726,2.73427152633667
17,1,173,0.9996967491508977,0.997557747711147,0.6666666666666666,0.022599227726459503,2.4296159744262695
17,1,174,0.9970841334186757,0.9414579253762638,0.5753424657534246,0.03890274092555046,3.206294536590576
17,1,175,0.9988981762917932,0.9875661087703536,0.8352941176470589,0.024274008348584175,2.5434625148773193
17,1,176,0.9995311815244754,0.99619231715755,0.6728971962616822,0.03671468794345856,2.4145545959472656
17,1,177,0.9992663008804389,0.9936291341048776,0.7058823529411765,0.019944466650485992,2.3952863216400146
17,1,178,0.998329636627509,0.9610193043334494,0.5138888888888888,0.06095067411661148,3.4420695304870605
17,1,179,0.9981707317073171,0.9585148727068802,0.5555555555555556,0.033061087131500244,3.572730541229248
17,1,180,0.9984184222180047,0.9762184740408311,0.8904109589041096,0.006738846655935049,2.8566696643829346
17,1,181,0.9998176415691407,0.9982967488467469,0.7128712871287128,0.005608037579804659,2.722963571548462
17,1,182,0.9979327820752201,0.9568041335438748,0.6388888888888888,0.036319587379693985,3.1961171627044678
17,1,183,0.9977160177595629,0.9528303927307822,0.6666666666666666,0.02121972292661667,3.1420888900756836
17,1,184,0.9987766714082504,0.9840390990022243,0.8717948717948718,0.014688043855130672,2.615513801574707
17,1,185,0.9990477980329512,0.9907323825980441,0.8255813953488372,0.019107094034552574,2.503767728805542
17,1,186,0.998938592173271,0.985561584156136,0.8666666666666667,0.007812915369868279,3.146040201187134
17,1,187,0.9988695687918774,0.991169316863182,0.6792452830188679,0.031087400391697884,2.385498046875
17,1,188,0.9992167063239881,0.9891133577721888,0.9066666666666666,0.008825715631246567,2.904104471206665
17,1,189,0.999546118082901,0.9948804315735577,0.8068181818181818,0.013334034942090511,2.4880881309509277
17,1,190,0.9985304522941273,0.9755294707666362,0.7916666666666666,0.009117715060710907,3.6029536724090576
17,1,191,0.9987355110642782,0.9841000755070882,0.8607594936708861,0.010301204398274422,2.7763171195983887
17,2,0,0.9994064577397911,0.9894049689168961,0.7222222222222222,0.0074548362754285336,4.934604167938232
17,2,1,0.99952158392522,0.9951713297576887,0.8275862068965517,0.0019135826732963324,5.181925296783447
17,2,2,0.9988772967496371,0.9731607926357368,0.5138888888888888,0.007088602054864168,3.923252820968628
17,2,3,0.9987520992722523,0.9887252819502146,0.782608695652174,0.014649417251348495,4.657742023468018
17,2,4,0.9994773405344193,0.9887621966669512,0.6527777777777778,0.0058120847679674625,5.085862159729004
17,2,5,0.9975085392806912,0.9733129336631072,0.8414634146341463,0.02038351073861122,5.168195724487305
17,2,6,0.9993808049535604,0.9891766405480666,0.7638888888888888,0.014602823182940483,5.164892196655273
17,2,7,0.9996311447924351,0.9944313633827248,0.8611111111111112,0.0031558142509311438,5.419018268585205
17,2,8,0.9979800853485065,0.9781388427656676,0.825,0.01675024814903736,5.438831329345703
17,2,9,0.9977379697927643,0.9772992817707844,0.8148148148148148,0.00893152691423893,5.542679786682129
17,2,10,0.9983146298351626,0.9860065437351394,0.6792452830188679,0.006489642895758152,3.5303807258605957
17,2,11,0.9973166368515206,0.9762487124846975,0.875,0.020822666585445404,5.350951671600342
17,2,12,0.9994784628878932,0.9878018959419796,0.5972222222222222,0.0020832540467381477,4.849364280700684
17,2,13,0.9983656690229108,0.9872090507242881,0.6605504587155964,0.013289561495184898,3.939941167831421
17,2,14,0.999309262166405,0.9868030043425422,0.6805555555555556,0.00985894538462162,4.686694622039795
17,2,15,0.9990339861245279,0.9887243308121781,0.7945205479452054,0.015673791989684105,4.8556084632873535
17,2,16,0.9977121940059482,0.9805211319179796,0.7473684210526316,0.017100051045417786,4.393956184387207
17,2,17,0.998193359375,0.978403623288342,0.7894736842105263,0.019985882565379143,5.870143413543701
17,2,18,0.9972995479419463,0.9752303961144668,0.7608695652173914,0.020647143945097923,4.208224773406982
17,2,19,0.9983429531022364,0.9852678072794916,0.7422680412371134,0.012296332977712154,4.297683238983154
17,2,20,0.9957748101865486,0.9620887977178004,0.7613636363636364,0.025629974901676178,4.56673526763916
17,2,21,0.9985819864207175,0.9853366325233293,0.7888888888888889,0.01522776111960411,4.126450061798096
17,2,22,0.9987403817191052,0.9734535470153586,0.5138888888888888,0.021948929876089096,3.8620717525482178
17,2,23,0.9990925589836661,0.9805669678505551,0.5277777777777778,0.012201637960970402,3.8049981594085693
17,2,24,0.9993270444030524,0.9928714090673836,0.7888888888888889,0.009631487540900707,4.375173091888428
17,2,25,0.9991080719488629,0.9874052939237737,0.8493150684931506,0.013918629847466946,5.14389181137085
17,2,26,0.9982441471571907,0.9852110018022667,0.6923076923076923,0.013306070119142532,4.050509929656982
17,2,27,0.9999274297429198,0.9987574701754661,0.7916666666666666,0.004291437100619078,5.45127010345459
17,2,28,0.9974959091585263,0.977487471221299,0.8160919540229885,0.010504039004445076,5.0177812576293945
17,2,29,0.9983185651756166,0.9596909042706561,0.5277777777777778,0.015600370243191719,4.027665615081787
17,2,30,0.9983983140147524,0.9814484638160634,0.8375,0.022504881024360657,5.760588645935059
17,2,31,0.9993553836578644,0.9874383792876507,0.6388888888888888,0.006123600527644157,4.625918388366699
