architecture,affine_depth,width,rank_ratio,grid_size,target_kind,powerlaw_alpha,powerlaw_max_frequency,optimizer,learning_rate,steps,record_every,seed,bias_scale,tag,rank,stable,elapsed_seconds,final_loss,final_parameter_displacement,final_feature_displacement,t50_1,final_relative_error_1,t50_4,final_relative_error_4,t50_8,final_relative_error_8,t50_16,final_relative_error_16,t50_2,final_relative_error_2,t50_3,final_relative_error_3,t50_5,final_relative_error_5,t50_6,final_relative_error_6,t50_7,final_relative_error_7,t50_9,final_relative_error_9,t50_10,final_relative_error_10,t50_11,final_relative_error_11,t50_12,final_relative_error_12,t50_13,final_relative_error_13,t50_14,final_relative_error_14,t50_15,final_relative_error_15,t50_17,final_relative_error_17,t50_18,final_relative_error_18,t50_19,final_relative_error_19,t50_20,final_relative_error_20,t50_21,final_relative_error_21,t50_22,final_relative_error_22,t50_23,final_relative_error_23,t50_24,final_relative_error_24
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.01,2500,25,1,0.1,hierarchy_fc_d5_muon_p2_3_s1,128,True,19.303031167946756,0.008965540677309036,0.687823474407196,10.470383644104004,25.0,0.005129098892211914,75.0,0.02040004730224613,325.0,0.01468084918128122,1750.0,0.299087127049764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.01,2500,25,2,0.1,hierarchy_fc_d5_muon_p2_3_s2,128,True,19.560381720075384,0.007974171079695225,0.7240753173828125,9.844990730285645,25.0,0.02101922035217285,75.0,0.010463329461904638,275.0,0.00645171271430119,1525.0,0.2822982370853424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.01,2500,25,3,0.1,hierarchy_fc_d5_muon_p2_3_s3,128,True,19.475188533891924,0.006962163373827934,0.7110605835914612,10.276997566223145,25.0,0.12839066982269287,50.0,0.05778408050537113,200.0,0.016324480374654157,1250.0,0.2430213093757629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.01,2500,25,4,0.1,hierarchy_fc_d5_muon_p2_3_s4,128,True,19.26710986008402,0.007543736603111029,0.6970863342285156,9.080869674682617,25.0,0.006452977657318115,75.0,0.012318042608407792,300.0,0.002041551801893471,1575.0,0.2652074495951334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.01,2500,25,5,0.1,hierarchy_fc_d5_muon_p2_3_s5,128,True,19.326192808919586,0.007613855414092541,0.6694326996803284,10.686603546142578,25.0,0.003004908561706543,75.0,0.008527187200692949,275.0,0.0019154681099785452,1425.0,0.25327743093172705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.01,2500,25,6,0.1,hierarchy_fc_d5_muon_p2_3_s6,128,True,19.00612982106395,0.00762867322191596,0.7133451104164124,10.576822280883789,25.0,0.0072966814041137695,75.0,0.011674679242647576,325.0,0.00308767954508466,1675.0,0.2770777642726898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,muon_p2_3,0.01,2500,25,7,0.1,hierarchy_fc_d5_muon_p2_3_s7,128,True,19.778070790925995,0.00677468441426754,0.7206783294677734,10.949543952941895,25.0,0.12826693058013916,75.0,0.0522259015303392,250.0,0.007817573017544242,1300.0,0.23181042075157163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,0,0.1,hierarchy_fc_d5_mup_gd_s0,128,True,3.401614857953973,0.015529431402683258,0.2923073470592499,5.561348915100098,25.0,0.015356183052062988,200.0,0.004762906294602649,500.0,0.1528064012527466,,0.5126912991205851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,1,0.1,hierarchy_fc_d5_mup_gd_s1,128,True,3.4010900440625846,0.01748294197022915,0.28134122490882874,5.847651481628418,25.0,0.002954244613647461,200.0,0.054783967825082595,475.0,0.1730140315161811,,0.5801212886969248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,5,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,2,0.1,hierarchy_fc_d5_mup_gd_s2,128,True,3.4470676810014993,0.026860270649194717,0.28742656111717224,5.747642517089844,25.0,0.019320368766784668,225.0,0.06780822460467995,475.0,0.11381880442301434,,0.5516514281431834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
