method,context_size,context_measurements,regime_class,n_tasks,raw_condition_median,transformed_condition_median,condition_reduction_median,geometry_commutator_mean,energy_factor_median,transformed_mean_residual_median,transformed_covariance_residual_median,gain_spread_median
hybrid-PCG,32,1024,ID,48,45013.7998046875,1377.8634643554688,22.7224702835083,0.2201250454721351,0.3558973371982574,0.0718584358692169,0.00889635784551495,304.8384552001953
hybrid-PCG,32,1024,OOD,120,10494.4921875,548.1166076660156,14.946410655975342,0.2175436610355973,0.1297188438475132,0.040772549808025305,0.00555115099996325,302.2244415283203
hybrid-PCG,48,2304,All,168,26624.7470703125,1254.8339233398438,20.328146934509277,0.22079704803902475,0.32822585105895996,0.15371724218130106,0.01402951497584575,228.73047637939453
hybrid-PCG,48,2304,ID,48,93869.0185546875,2378.6507568359375,22.453774452209473,0.21660082554444668,0.5381857752799988,0.21451484411954874,0.016395634040236397,218.70530700683594
hybrid-PCG,48,2304,OOD,120,24018.3173828125,1000.5940551757812,18.563448905944824,0.222475537036856,0.2642699331045151,0.13153578341007227,0.012619430199265449,234.06494140625
identity-CG,8,64,All,168,445.68699645996094,445.68699645996094,1.0,0.2281837728584096,0.09626259282231331,8.280783276859438e-06,4.752131985696906e-07,1.0
identity-CG,8,64,ID,48,1829.6370849609375,1829.6370849609375,1.0,0.21627579505244887,0.39553529024124146,3.703466290971846e-05,1.136185488803676e-06,1.0
identity-CG,8,64,OOD,120,406.63902282714844,406.63902282714844,1.0,0.23294696398079393,0.08347477763891215,7.859515335439937e-06,4.677972640365624e-07,1.0
identity-CG,12,144,All,168,1489.9171142578125,1489.9171142578125,1.0,0.22148064519500443,0.38086462020874023,2.7965274966845755e-05,9.009986570163164e-07,1.0
identity-CG,12,144,ID,48,5079.18408203125,5079.18408203125,1.0,0.218567533728977,0.74897101521492,8.55875896377161e-05,1.987910025036399e-06,1.0
identity-CG,12,144,OOD,120,1234.2411499023438,1234.2411499023438,1.0,0.22264588978141545,0.32333680987358093,2.150694672309328e-05,7.671628168282041e-07,1.0
identity-CG,16,256,All,168,2769.33056640625,2769.33056640625,1.0,0.22459454932028336,0.5926421582698822,0.0170391788706183,0.000579256855417,1.0
identity-CG,16,256,ID,48,9666.602416992188,9666.602416992188,1.0,0.2344069631459812,0.9243741929531097,0.02971387654542915,0.00079343811376015,1.0
identity-CG,16,256,OOD,120,2542.6746826171875,2542.6746826171875,1.0,0.22066958379000423,0.5620116889476776,0.0058253731112926505,0.0004937282064929,1.0
identity-CG,24,576,All,168,6717.66650390625,6717.66650390625,1.0,0.21544335494261407,0.91599240899086,0.1856714487075805,0.00596044119447465,1.0
identity-CG,24,576,ID,48,23373.45556640625,23373.45556640625,1.0,0.20026146636034048,1.2275723814964294,0.29509079456329346,0.00663320347666735,1.0
identity-CG,24,576,OOD,120,5944.821533203125,5944.821533203125,1.0,0.22151611037552354,0.8720019161701202,0.1510934680700302,0.005681257229298299,1.0
identity-CG,32,1024,All,168,11775.544921875,11775.544921875,1.0,0.21828119944603666,1.1088794469833374,0.4523894041776657,0.012982093263417451,1.0
identity-CG,32,1024,ID,48,45013.7998046875,45013.7998046875,1.0,0.2201250454721351,1.42513507604599,0.6882438361644745,0.0165547356009483,1.0
identity-CG,32,1024,OOD,120,10494.4921875,10494.4921875,1.0,0.2175436610355973,1.0707795023918152,0.3514454215764999,0.0121284346096217,1.0
identity-CG,48,2304,All,168,26624.7470703125,26624.7470703125,1.0,0.22079704803902475,1.3510956764221191,0.8825093805789948,0.0280057676136493,1.0
identity-CG,48,2304,ID,48,93869.0185546875,93869.0185546875,1.0,0.21660082554444668,1.5516116619110107,1.4588096141815186,0.02833278663456435,1.0
identity-CG,48,2304,OOD,120,24018.3173828125,24018.3173828125,1.0,0.222475537036856,1.3233685493469238,0.8361003994941711,0.02762085199356075,1.0
population-PCG,8,64,All,168,445.68699645996094,490.01641845703125,0.9047601521015167,0.2281837728584096,0.11080326139926905,4.518696641753195e-06,6.333574162908917e-07,46.8745231628418
population-PCG,8,64,ID,48,1829.6370849609375,594.1542053222656,2.9978595972061157,0.21627579505244887,0.14457728713750834,5.909414539928548e-06,8.006580571873201e-07,46.809200286865234
population-PCG,8,64,OOD,120,406.63902282714844,450.1147918701172,0.5921604931354523,0.23294696398079393,0.09771565347909925,3.968532610088005e-06,5.812958647766209e-07,46.89658737182617
population-PCG,12,144,All,168,1489.9171142578125,761.2051696777344,2.1941416263580322,0.22148064519500443,0.19640925526618955,6.137460786703741e-06,7.604692200402496e-07,189.24880981445312
population-PCG,12,144,ID,48,5079.18408203125,1036.2233581542969,4.1595869064331055,0.218567533728977,0.27354031801223755,6.834128498667269e-06,1.0051807066702168e-06,189.14193725585938
population-PCG,12,144,OOD,120,1234.2411499023438,652.8749389648438,1.3299044370651245,0.22264588978141545,0.16318023949861526,5.702367388948915e-06,7.141489106743393e-07,189.2636260986328
population-PCG,16,256,All,168,2769.33056640625,1080.018798828125,3.2994863986968994,0.22459454932028336,0.28509266674518585,8.2602441580093e-06,1.2441638546079048e-06,268.04595947265625
population-PCG,16,256,ID,48,9666.602416992188,1534.0635375976562,6.244028329849243,0.2344069631459812,0.3900007158517837,3.757870763365645e-05,1.2579197118611773e-05,268.04595947265625
population-PCG,16,256,OOD,120,2542.6746826171875,991.2324523925781,2.248679995536804,0.22066958379000423,0.2617548257112503,7.73119199948269e-06,1.1561551787053759e-06,268.04595947265625
population-PCG,24,576,All,168,6717.66650390625,1365.3538208007812,5.817838430404663,0.21544335494261407,0.35369729995727534,0.0389788076281547,0.0052839478012174,268.04595947265625
population-PCG,24,576,ID,48,23373.45556640625,1968.070068359375,9.973182678222656,0.20026146636034048,0.472445085644722,0.06460411287844176,0.0075576698873192,268.04595947265625
population-PCG,24,576,OOD,120,5944.821533203125,1275.7381591796875,3.80451500415802,0.22151611037552354,0.3331286907196045,0.037206785753369304,0.00475401547737415,268.04595947265625
population-PCG,32,1024,All,168,11775.544921875,1687.415771484375,6.963959693908691,0.21828119944603666,0.42098143696784973,0.09497774392366404,0.0102988914586603,268.04595947265625
population-PCG,32,1024,ID,48,45013.7998046875,2633.54345703125,10.936733722686768,0.2201250454721351,0.5745277404785156,0.14370830357074732,0.0123196090571582,268.04595947265625
population-PCG,32,1024,OOD,120,10494.4921875,1576.1912841796875,5.551002025604248,0.2175436610355973,0.39882445335388184,0.08529618754982946,0.00982965016737575,268.04595947265625
population-PCG,48,2304,All,168,26624.7470703125,3095.71923828125,10.472928524017334,0.22079704803902475,0.6330170333385468,0.2051658853888511,0.015829036943614448,268.04595947265625
population-PCG,48,2304,ID,48,93869.0185546875,4321.406982421875,16.041775226593018,0.21660082554444668,0.7554020285606384,0.2635106146335602,0.01889228355139485,268.04595947265625
population-PCG,48,2304,OOD,120,24018.3173828125,2697.18603515625,7.564924240112305,0.222475537036856,0.5831353962421417,0.1824457347393036,0.0137840849347412,268.04595947265625
