method,depth,context_size,average_precision_mean_candidate,physical_mean_relative_residual_mean_candidate,physical_covariance_relative_residual_mean_candidate,average_precision_mean_cg,physical_mean_relative_residual_mean_cg,physical_covariance_relative_residual_mean_cg,physical_mean_residual_gain,physical_covariance_residual_gain,average_precision_delta,runtime_ratio
hybrid-PCG,32,16,0.7476055091003566,0.0003005178694073492,1.3084160960779285e-05,0.7475376776867838,0.01841804202434729,0.0007311007187578612,61.28767670511401,55.87677505262953,6.783141357280531e-05,1.1407601735811688
hybrid-PCG,48,16,0.7476055091003566,8.14960290567509e-05,2.392707904231797e-06,0.747605835640433,8.134405162589738e-05,2.6375104678912804e-06,0.998135155385943,1.1023119300214288,-3.2654007642296534e-07,1.1552803834852885
hybrid-PCG,64,16,0.7476055091003566,8.118243302608483e-05,2.411548699060837e-06,0.747605835640433,8.596818792651887e-05,2.79293527344613e-06,1.0589506217299045,1.1581500612174334,-3.2654007642296534e-07,1.1431472857165184
hybrid-PCG,96,16,0.7476055091003566,8.115271811263297e-05,2.5508594950181194e-06,0.747605835640433,8.794559048076812e-05,3.949083792674303e-06,1.0837048040548345,1.5481385001357166,-3.2654007642296534e-07,1.1178546024287368
hybrid-PCG,128,16,0.7476055091003566,8.11527875373954e-05,2.6282520398776147e-06,0.747605835640433,8.821063987137246e-05,5.950441864534978e-06,1.0869699310171543,2.264030151694303,-3.2654007642296534e-07,1.1041555908768967
hybrid-PCG,1,24,0.6501993783805641,4.6686668041206545,0.5596449696237132,0.7295638411227753,1.7425530453523,0.39891158416867256,0.3732442511884312,0.7127940137421185,-0.0793644627422112,1.4069257201660117
hybrid-PCG,2,24,0.7644280298502311,4.154341669309707,0.33130305987738423,0.7557262957505382,2.3879713259992146,0.24950087265599338,0.5748134159595988,0.7530895511449065,0.008701734099692882,1.3679475891317372
hybrid-PCG,4,24,0.7815227008480712,2.733673523579325,0.16978383215055576,0.7800454519596934,2.277083452258791,0.18113471915768012,0.832975639782069,1.0668549346739857,0.0014772488883777468,1.317782677859124
hybrid-PCG,8,24,0.784848923563016,1.9829676339314097,0.07626895494537335,0.7861698419217766,1.7731248711546261,0.11702449035476002,0.8941774141009293,1.5343659872955817,-0.001320918358760581,1.2647548046666566
hybrid-PCG,16,24,0.7780574600720818,0.669664441829636,0.022514849586600747,0.7700533252100957,0.9666793797874734,0.04793383775921978,1.4435280110533308,2.1289876965354733,0.008004134861986034,1.2259825640326543
hybrid-PCG,32,24,0.7780919496048361,0.12767354682416351,0.003940308744003663,0.7779675395902097,0.21041483056199334,0.007039226460619782,1.6480691247011725,1.7864657106710309,0.0001244100146263749,1.1467666099704672
hybrid-PCG,48,24,0.7779604408665607,0.0008143058736485138,5.627533365559946e-05,0.7778167688856337,0.03829510986231196,0.001337272282225487,47.027918011606566,23.763027162299675,0.00014367198092701816,1.1798198545218634
hybrid-PCG,64,24,0.7779604408665607,0.00014583911522656569,3.952995466452844e-06,0.7779620731581545,0.004860093230079267,0.00015756868654036643,33.325032331202486,39.86057861122673,-1.6322915937783122e-06,1.158734283526015
hybrid-PCG,96,24,0.7779604408665607,0.0001413162501107358,3.847717543354043e-06,0.777959565181123,0.00017538042913566807,5.420713480794975e-06,1.2410492706835872,1.408812736308538,8.756854377178769e-07,1.1247799309070394
hybrid-PCG,128,24,0.7779604408665607,0.00014128363082881586,3.947301225691392e-06,0.777959565181123,0.00018131909271120955,6.313894860996004e-06,1.28336942961851,1.5995472602651675,8.756854377178769e-07,1.1102746689025198
hybrid-PCG,1,32,0.6631769512031562,4.844356282835915,0.6193774576698031,0.7246381047886479,1.7313646716730935,0.4066923704175722,0.3573982941361081,0.6566147433708902,-0.061461153585491646,1.4992121860481014
hybrid-PCG,2,32,0.7642074038068782,4.283489150660379,0.3616524799061673,0.7514271571495974,2.445904179697945,0.2553621407243467,0.5710074412867052,0.7060981326344059,0.012780246657280836,1.4763563163821611
hybrid-PCG,4,32,0.7903059032305703,2.9688841650883355,0.1888760055548378,0.7809019734482877,2.3475680120644116,0.20699302805587644,0.7907240166759967,1.0959201908565277,0.00940392978228255,1.4093339956048119
hybrid-PCG,8,32,0.7969341186231981,2.3457702387656485,0.08165235234247073,0.8031856786046466,1.9797716680027189,0.1479310259289507,0.8439750983644847,1.8117178707661765,-0.006251559981448551,1.3395193865943809
hybrid-PCG,16,32,0.7913852130847968,0.8375206946262291,0.026500848177376905,0.7860803053180302,1.3809694988386971,0.06358391388008987,1.6488780608042166,2.3993161824295806,0.00530490776676662,1.2739614622938318
hybrid-PCG,32,32,0.7894695816921902,0.3144980597495478,0.008452301423988326,0.7900095660811146,0.49635547532566954,0.01539840446119857,1.5782465421915317,1.8218002043202852,-0.0005399843889244416,1.2180130576033885
hybrid-PCG,48,32,0.7901103219988037,0.07755669924953115,0.0018101846974318226,0.7899487177838511,0.14510851834590233,0.004559890445393815,1.8709991496547544,2.5190194414211455,0.00016160421495259314,1.1955079814081648
hybrid-PCG,64,32,0.7901139433674154,0.006560086410207124,0.00017511648546462923,0.7901053817869921,0.03966175860564575,0.001310617278379869,6.04592014884656,7.4842598336899195,8.561580423283033e-06,1.1662174689771783
hybrid-PCG,96,32,0.7901122197049775,0.00021354519961794104,5.3090566054725924e-06,0.7901047616803092,0.0025344937369784783,8.260172359355696e-05,11.868652357969195,15.558644356590744,7.4580246682831586e-06,1.130990853322029
hybrid-PCG,128,32,0.7901122197049775,0.00020863483543850293,5.339884249825186e-06,0.7901110873754321,0.00033134480621633866,9.498627154666142e-06,1.5881566734525772,1.7788076876342598,1.1323295453502524e-06,1.118241293616209
hybrid-PCG,1,48,0.6753301691103205,5.351715612979162,0.7466170706209683,0.7281950310910629,1.7473873850845156,0.40833050048067454,0.32650976087867833,0.5469075333906608,-0.05286486198074236,1.3840104601593801
