method,network_width,depth,context_size,scenario,regime,risk_mean,solver_risk_mean,n_geometry_batches,n_unique_geometries,n_trained_seeds,tasks_per_geometry,simultaneous_configurations,delta,hoeffding_slack,risk_ucb,solver_risk_ucb
context-PCG,128,32,24,ID four obstacles,ID,0.21523273022446424,0.03824008915144389,192,192,3,4,90,0.05,0.13971270693414128,0.3549454371586055,0.17795279608558517
context-PCG,128,32,24,OOD half aperture,OOD aperture,0.4744525974575858,0.15566259540383456,192,192,3,4,90,0.05,0.13971270693414128,0.614165304391727,0.2953753023379758
context-PCG,128,32,24,OOD six obstacles,OOD count,0.27333097948045454,0.017471240929312393,192,192,3,4,90,0.05,0.13971270693414128,0.4130436864145958,0.1571839478634537
context-PCG,128,32,24,OOD wavenumber 12,OOD frequency,0.16383057128980597,0.11051834684176313,192,192,3,4,90,0.05,0.13971270693414128,0.3035432782239472,0.25023105377590443
context-PCG,128,32,48,All scenarios,All,0.25405953280706695,0.31612708566074393,768,768,3,4,90,0.05,0.06985635346707064,0.3239158862741376,0.3859834391278146
context-PCG,128,32,48,ID four obstacles,ID,0.180828443612895,0.2555313927722018,192,192,3,4,90,0.05,0.13971270693414128,0.32054115054703625,0.3952440997063431
context-PCG,128,32,48,OOD half aperture,OOD aperture,0.47275157681926955,0.42717674733861405,192,192,3,4,90,0.05,0.13971270693414128,0.6124642837534109,0.5668894542727554
context-PCG,128,32,48,OOD six obstacles,OOD count,0.21843247075433067,0.1858219747060427,192,192,3,4,90,0.05,0.13971270693414128,0.358145177688472,0.32553468164018395
context-PCG,128,32,48,OOD wavenumber 12,OOD frequency,0.14422564004177263,0.3959782278261172,192,192,3,4,90,0.05,0.13971270693414128,0.2839383469759139,0.5356909347602585
exact,0,0,8,All scenarios,All,0.6522437451800956,6.0184139292272995e-06,768,768,3,4,90,0.05,0.06985635346707064,0.7221000986471663,0.06986237188099986
exact,0,0,8,ID four obstacles,ID,0.42290940460108845,2.8119890049767648e-06,192,192,3,4,90,0.05,0.13971270693414128,0.5626221115352297,0.13971551892314626
exact,0,0,8,OOD half aperture,OOD aperture,0.5091061521574088,9.573422170157676e-06,192,192,3,4,90,0.05,0.13971270693414128,0.6488188590915501,0.13972228035631143
exact,0,0,8,OOD six obstacles,OOD count,0.8260338018105395,6.819869925835841e-06,192,192,3,4,90,0.05,0.13971270693414128,0.9657465087446808,0.13971952680406713
exact,0,0,8,OOD wavenumber 12,OOD frequency,0.8509256221513457,4.868374615938917e-06,192,192,3,4,90,0.05,0.13971270693414128,0.990638329085487,0.13971757530875722
exact,0,0,24,All scenarios,All,0.28175228552385095,4.4841336595554075e-05,768,768,3,4,90,0.05,0.06985635346707064,0.3516086389909216,0.0699011948036662
exact,0,0,24,ID four obstacles,ID,0.2151849259496973,4.1240389677454324e-05,192,192,3,4,90,0.05,0.13971270693414128,0.3548976328838386,0.13975394732381874
exact,0,0,24,OOD half aperture,OOD aperture,0.47468919040687774,5.7343862830157626e-05,192,192,3,4,90,0.05,0.13971270693414128,0.614401897341019,0.13977005079697144
exact,0,0,24,OOD six obstacles,OOD count,0.27331882442764827,3.2375606782490716e-05,192,192,3,4,90,0.05,0.13971270693414128,0.41303153136178955,0.13974508254092377
exact,0,0,24,OOD wavenumber 12,OOD frequency,0.1638162013111805,4.840548709211362e-05,192,192,3,4,90,0.05,0.13971270693414128,0.30352890824532175,0.1397611124212334
exact,0,0,48,All scenarios,All,0.25405482210811464,0.00015659940010841658,768,768,3,4,90,0.05,0.06985635346707064,0.3239111755751853,0.07001295286717905
exact,0,0,48,ID four obstacles,ID,0.18055823547532415,0.00014327963549417292,192,192,3,4,90,0.05,0.13971270693414128,0.3202709424094654,0.13985598656963547
exact,0,0,48,OOD half aperture,OOD aperture,0.4731095492469319,0.00022186484076293229,192,192,3,4,90,0.05,0.13971270693414128,0.6128222561810732,0.1399345717749042
exact,0,0,48,OOD six obstacles,OOD count,0.21824829858870934,0.00010491669320933193,192,192,3,4,90,0.05,0.13971270693414128,0.3579610055228506,0.13981762362735062
exact,0,0,48,OOD wavenumber 12,OOD frequency,0.14430320512149322,0.00015633643096722916,192,192,3,4,90,0.05,0.13971270693414128,0.2840159120556345,0.13986904336510853
hybrid-PCG,128,32,8,All scenarios,All,0.6522446482546802,1.0223731328098251e-05,768,768,3,4,90,0.05,0.06985635346707064,0.7221010017217508,0.06986657719839874
hybrid-PCG,128,32,8,ID four obstacles,ID,0.4229096344414444,4.101061977472328e-06,192,192,3,4,90,0.05,0.13971270693414128,0.5626223413755858,0.13971680799611877
hybrid-PCG,128,32,8,OOD half aperture,OOD aperture,0.5091089978868736,1.9378644329073145e-05,192,192,3,4,90,0.05,0.13971270693414128,0.6488217048210149,0.13973208557847036
hybrid-PCG,128,32,8,OOD six obstacles,OOD count,0.8260337800019045,9.939641574603695e-06,192,192,3,4,90,0.05,0.13971270693414128,0.9657464869360458,0.1397226465757159
hybrid-PCG,128,32,8,OOD wavenumber 12,OOD frequency,0.8509261806884982,7.475577431243837e-06,192,192,3,4,90,0.05,0.13971270693414128,0.9906388876226395,0.13972018251157253
hybrid-PCG,128,32,24,All scenarios,All,0.2817920078471764,0.08559092566316175,768,768,3,4,90,0.05,0.06985635346707064,0.35164836131424704,0.15544727913023237
hybrid-PCG,128,32,24,ID four obstacles,ID,0.21527125642727266,0.041165910682404015,192,192,3,4,90,0.05,0.13971270693414128,0.3549839633614139,0.1808786176165453
hybrid-PCG,128,32,24,OOD half aperture,OOD aperture,0.4746573004778898,0.15641735352158195,192,192,3,4,90,0.05,0.13971270693414128,0.6143700074120311,0.2961300604557232
hybrid-PCG,128,32,24,OOD six obstacles,OOD count,0.27330111252382505,0.015822622107493533,192,192,3,4,90,0.05,0.13971270693414128,0.41301381945796634,0.1555353290416348
hybrid-PCG,128,32,24,OOD wavenumber 12,OOD frequency,0.1639383619597181,0.1289578163411675,192,192,3,4,90,0.05,0.13971270693414128,0.3036510688938594,0.2686705232753088
hybrid-PCG,128,32,48,All scenarios,All,0.25400541354141803,0.3406190686499035,768,768,3,4,90,0.05,0.06985635346707064,0.3238617670084887,0.41047542211697413
hybrid-PCG,128,32,48,ID four obstacles,ID,0.18142897163016922,0.3048994496956971,192,192,3,4,90,0.05,0.13971270693414128,0.32114167856431053,0.4446121566298384
hybrid-PCG,128,32,48,OOD half aperture,OOD aperture,0.47237750712716214,0.4584731400875943,192,192,3,4,90,0.05,0.13971270693414128,0.6120902140613034,0.5981858470217356
hybrid-PCG,128,32,48,OOD six obstacles,OOD count,0.21862053270133555,0.18106101306201083,192,192,3,4,90,0.05,0.13971270693414128,0.3583332396354768,0.3207737199961521
hybrid-PCG,128,32,48,OOD wavenumber 12,OOD frequency,0.14359464270700512,0.41804267175431153,192,192,3,4,90,0.05,0.13971270693414128,0.2833073496411464,0.5577553786884528
identity-CG,0,32,8,All scenarios,All,0.6522436835414381,9.40972781055329e-06,768,768,3,4,90,0.05,0.06985635346707064,0.7221000370085088,0.06986576319488119
identity-CG,0,32,8,ID four obstacles,ID,0.4229099507765271,3.5871218537917406e-06,192,192,3,4,90,0.05,0.13971270693414128,0.5626226577106683,0.1397162940559951
identity-CG,0,32,8,OOD half aperture,OOD aperture,0.5091059221519804,1.959949476090506e-05,192,192,3,4,90,0.05,0.13971270693414128,0.6488186290861216,0.1397323064289022
identity-CG,0,32,8,OOD six obstacles,OOD count,0.8260332732030338,8.514289686710409e-06,192,192,3,4,90,0.05,0.13971270693414128,0.965745980137175,0.139721221223828
identity-CG,0,32,8,OOD wavenumber 12,OOD frequency,0.8509255880342113,5.938004940805943e-06,192,192,3,4,90,0.05,0.13971270693414128,0.9906382949683525,0.1397186449390821
identity-CG,0,32,24,All scenarios,All,0.28189990500700435,0.18717559660090208,768,768,3,4,90,0.05,0.06985635346707064,0.351756258474075,0.25703195006797275
identity-CG,0,32,24,ID four obstacles,ID,0.2154521662080741,0.20826608650531522,192,192,3,4,90,0.05,0.13971270693414128,0.35516487314221534,0.3479787934394565
identity-CG,0,32,24,OOD half aperture,OOD aperture,0.4747177367299759,0.13993105668431025,192,192,3,4,90,0.05,0.13971270693414128,0.6144304436641173,0.27964376361845156
identity-CG,0,32,24,OOD six obstacles,OOD count,0.27282650307825623,0.16522159024372027,192,192,3,4,90,0.05,0.13971270693414128,0.4125392100123975,0.3049342971778616
identity-CG,0,32,24,OOD wavenumber 12,OOD frequency,0.1646032140117111,0.23528365297026257,192,192,3,4,90,0.05,0.13971270693414128,0.30431592094585236,0.37499635990440383
identity-CG,0,32,48,All scenarios,All,0.2561175151529122,0.49524277690722224,768,768,3,4,90,0.05,0.06985635346707064,0.32597386861998284,0.5650991303742929
identity-CG,0,32,48,ID four obstacles,ID,0.18232150186371374,0.47780976780166623,192,192,3,4,90,0.05,0.13971270693414128,0.32203420879785505,0.6175224747358075
identity-CG,0,32,48,OOD half aperture,OOD aperture,0.4735419704417236,0.49032162331996915,192,192,3,4,90,0.05,0.13971270693414128,0.6132546773758649,0.6300343302541105
identity-CG,0,32,48,OOD six obstacles,OOD count,0.22093362324009705,0.44111500431997824,192,192,3,4,90,0.05,0.13971270693414128,0.3606463301742383,0.5808277112541196
identity-CG,0,32,48,OOD wavenumber 12,OOD frequency,0.1476729650661145,0.5717247121872752,192,192,3,4,90,0.05,0.13971270693414128,0.2873856720002558,0.7114374191214164
population-PCG,128,32,8,All scenarios,All,0.6522429770263857,1.662622441635613e-05,768,768,3,4,90,0.05,0.06985635346707064,0.7220993304934563,0.069872979691487
population-PCG,128,32,8,ID four obstacles,ID,0.42290810663071454,7.624003992176032e-06,192,192,3,4,90,0.05,0.13971270693414128,0.5626208135648558,0.13972033093813346
population-PCG,128,32,8,OOD half aperture,OOD aperture,0.5091044749521835,2.290663454959452e-05,192,192,3,4,90,0.05,0.13971270693414128,0.6488171818863248,0.13973561356869088
population-PCG,128,32,8,OOD six obstacles,OOD count,0.8260332958114253,1.8633325498199387e-05,192,192,3,4,90,0.05,0.13971270693414128,0.9657460027455665,0.13973134025963949
population-PCG,128,32,8,OOD wavenumber 12,OOD frequency,0.8509260307112197,1.734093362545458e-05,192,192,3,4,90,0.05,0.13971270693414128,0.990638737645361,0.13973004786776674
population-PCG,128,32,24,All scenarios,All,0.28162196182589555,0.15616975361431795,768,768,3,4,90,0.05,0.06985635346707064,0.3514783152929662,0.2260261070813886
population-PCG,128,32,24,ID four obstacles,ID,0.21512176670857974,0.10567969690182788,192,192,3,4,90,0.05,0.13971270693414128,0.354834473642721,0.24539240383596916
population-PCG,128,32,24,OOD half aperture,OOD aperture,0.47458148634336106,0.10329404208557641,192,192,3,4,90,0.05,0.13971270693414128,0.6142941932775023,0.2430067490197177
population-PCG,128,32,24,OOD six obstacles,OOD count,0.27223490383250054,0.16182490915536096,192,192,3,4,90,0.05,0.13971270693414128,0.4119476107666418,0.30153761608950225
population-PCG,128,32,24,OOD wavenumber 12,OOD frequency,0.16454969041914075,0.25388036631450656,192,192,3,4,90,0.05,0.13971270693414128,0.30426239735328203,0.39359307324864784
population-PCG,128,32,48,All scenarios,All,0.25274334603238896,0.36040633221607915,768,768,3,4,90,0.05,0.06985635346707064,0.3225996994994596,0.4302626856831498
population-PCG,128,32,48,ID four obstacles,ID,0.17850119634856465,0.29566820109013886,192,192,3,4,90,0.05,0.13971270693414128,0.31821390328270593,0.43538090802428014
population-PCG,128,32,48,OOD half aperture,OOD aperture,0.4730555609053951,0.340982776089715,192,192,3,4,90,0.05,0.13971270693414128,0.6127682678395363,0.4806954830238563
population-PCG,128,32,48,OOD six obstacles,OOD count,0.21314696254922316,0.34230424016336247,192,192,3,4,90,0.05,0.13971270693414128,0.35285966948336445,0.48201694709750376
population-PCG,128,32,48,OOD wavenumber 12,OOD frequency,0.14626966432637287,0.4626701115211003,192,192,3,4,90,0.05,0.13971270693414128,0.2859823712605142,0.6023828184552416
