method,network_width,parameter_count,dataset_size,context_size,context_measurements,regime_class,n_tasks,n_seeds,training_seconds,average_precision_mean,average_precision_std,auc_mean,auc_std,iou_top7_mean,iou_top7_std,centroid_error_mean,centroid_error_std,area_matched_iou_mean,area_matched_iou_std,exact_score_correlation_mean,exact_score_correlation_std,relative_score_error_mean,relative_score_error_std,transformed_mean_relative_residual_mean,transformed_mean_relative_residual_std,transformed_covariance_relative_residual_mean,transformed_covariance_relative_residual_std,posterior_std_mean_mean,posterior_std_mean_std,uq_error_correlation_mean,uq_error_correlation_std,numerical_coverage_95_mean,numerical_coverage_95_std,average_precision_ci95,auc_ci95,iou_top7_ci95,centroid_error_ci95,area_matched_iou_ci95,exact_score_correlation_ci95,relative_score_error_ci95,transformed_mean_relative_residual_ci95,transformed_covariance_relative_residual_ci95,posterior_std_mean_ci95,uq_error_correlation_ci95,numerical_coverage_95_ci95,localization_risk_mean,localization_risk_ci95
context-PCG,32,34564,128,24,576,ID,48,3,1.1397954319836572,0.8720222895956851,0.1601166239036596,0.9910135487956491,0.01279413909943987,0.2976653561048319,0.1756039467420374,0.027565787158285532,0.01915959022239041,0.7185083305833103,0.25010488697110794,0.9999526594733527,5.7681416479350605e-05,0.004062519827129965,0.0033899141432270855,0.30139701627194876,0.10453779385820182,0.007097842329433913,0.003497837945682773,0.019212526880437467,0.012146731344667734,-0.025236752627712914,0.1503140286914601,0.9538956073423227,0.06617866804740956,0.045297254197130855,0.0036194828300244518,0.049678643101915235,0.005420279340505412,0.07075508067102095,1.6318166852480077e-05,0.00095901224312972,0.029573912478015992,0.000989544062965602,0.003436330119692811,0.04252408401471589,0.01872205318777357,0.12797771040431494,0.045297254197130855
context-PCG,32,34564,128,24,576,OOD,120,3,1.1397954319836572,0.7397883446870186,0.1435063034749792,0.9794929833004976,0.014837412351932104,0.40770503628117666,0.09991812832112801,0.048704720707610206,0.03504277035791765,0.49977641032009357,0.1522365379081481,0.9999565524628711,5.3343119780308834e-05,0.00434168679009109,0.003008696197316839,0.17294560355755187,0.1151942139796966,0.006961123584187537,0.004731256954685885,0.031333053531125137,0.009473376955824751,0.018357686125153448,0.26880555948435764,0.9590667461355528,0.09005566609818622,0.02567653558875985,0.002654749910451938,0.017877621509824682,0.006269947162151593,0.027238572723669124,9.544295130515887e-06,0.0005383240534771461,0.020610860033647215,0.0008465292787486545,0.0016950022031219137,0.04809541704737728,0.016113003119355745,0.2602116553129814,0.02567653558875985
context-PCG,32,34564,128,32,1024,All,168,3,1.1397954319836572,0.7897211160019301,0.16008843853448673,0.9832409424016891,0.016644505369422094,0.3981279437648382,0.14015818713445297,0.04345073580459154,0.03688067579506356,0.5742994481254321,0.20814332679169054,0.9997734567803233,0.00019091555833549725,0.012626819169825073,0.00706971866963667,0.49174937494986115,0.27182511200458065,0.015302021161741751,0.009448796232065008,0.027476209235222336,0.011380983847857415,0.06591188697495468,0.21924665554597522,0.595777141639874,0.27180360331128783,0.024208138708950312,0.002516936878224578,0.021194340243470663,0.0055769955875632615,0.03147486834428804,2.8869732006829396e-05,0.0010690636485341921,0.04110465487840508,0.001428821293482486,0.001721001454917081,0.03315388355035426,0.041101402392245266,0.21027888399806993,0.024208138708950312
context-PCG,32,34564,128,32,1024,ID,48,3,1.1397954319836572,0.8955379174042429,0.1183585691886024,0.9931535486963777,0.007907988141447766,0.3288457803657672,0.186156679259786,0.027533421744010366,0.020136982850994738,0.741388467310833,0.22447690990248895,0.9997696609082568,0.00015454314217865943,0.011576729380370377,0.007021965045390434,0.7022798092414936,0.2735361893404343,0.01697140065759105,0.00829484048165234,0.01908733640448185,0.011930323265540922,0.07702539864044185,0.16762290632436452,0.37733842618763447,0.20158252904089002,0.033483832373149884,0.002237182750284486,0.052664028352221295,0.005696785310147457,0.0635048841359381,4.372050712174722e-05,0.001986525370506192,0.07738383434891405,0.002346623908633822,0.0033751079209508603,0.047420793743472446,0.05702802642878487,0.10446208259575707,0.033483832373149884
context-PCG,32,34564,128,32,1024,OOD,120,3,1.1397954319836572,0.7473943954410048,0.15527326506119804,0.9792758998838137,0.0175670014487298,0.4258408091244666,0.10569049688240474,0.049817661428824024,0.04006995017999701,0.5074638404512718,0.15852748812400264,0.9997749751291498,0.0002042293295541171,0.013046855085606952,0.007074179370441436,0.4075372012332082,0.2216117203131775,0.014634269363402033,0.009825638585250013,0.030831758367518534,0.009263764900649389,0.0614664823087598,0.23725778493754693,0.6831526278207699,0.24633691481660716,0.027781912151489,0.0031431353673237795,0.018910429290431355,0.0071694237599529,0.028364166535181867,3.6541263495642495e-05,0.0012657312882293,0.03965136781953069,0.001758029805711296,0.0016574978478133564,0.042450803979641266,0.04407526643048621,0.25260560455899517,0.027781912151489
context-PCG,32,34564,128,48,2304,All,168,3,1.1397954319836572,0.802135920969792,0.14770489518499258,0.9849663043318677,0.014020375601377406,0.3957765165890481,0.13943217693445067,0.043025474600394076,0.031170057873573888,0.5857125102519628,0.20080038250990961,0.9991520269797943,0.0005110687160742838,0.028833907793298138,0.011431663043771544,1.065757635182568,0.6109706290331236,0.02975528486560848,0.015074190702036907,0.0262864406991173,0.01118350256958328,0.35008626841674023,0.2473528889421052,0.25010628665664364,0.2243241036889277,0.022335532930187134,0.0021201231045589264,0.021084554953623005,0.004713451461436635,0.03036448826104953,7.728242265206544e-05,0.0017286650252259573,0.09238931849249235,0.002279478160825879,0.0016911388725804357,0.03740403179883675,0.0339216814629163,0.19786407903020797,0.022335532930187134
context-PCG,32,34564,128,48,2304,ID,48,3,1.1397954319836572,0.8924633116222522,0.11634830876561789,0.9925981018106921,0.00905760039410506,0.3184702187572871,0.1785253429370638,0.029094492483030338,0.01927979426649676,0.7384976948098808,0.22899556501701854,0.9991922319293277,0.00039527862361128744,0.024210025042217805,0.011895337150276393,1.4345036602268617,0.7422769672443236,0.028466679330449506,0.009880957318363012,0.01802844211730791,0.01160136687419314,0.2925596197867305,0.2431933363084875,0.12279442705524458,0.09913906720921133,0.03291512641893772,0.002562409932616822,0.05050511085292318,0.005454285260744429,0.06478321904184499,0.00011182496767597196,0.0033652102918485813,0.20999136535736693,0.0027953389501279634,0.0032820456210136783,0.06879979170958594,0.028046603898818818,0.10753668837774777,0.03291512641893772
context-PCG,32,34564,128,48,2304,OOD,120,3,1.1397954319836572,0.766004964708808,0.14374557183901635,0.9819135853403381,0.014510917539582658,0.4266990357217525,0.106398115117999,0.048597867447339564,0.03327256431627127,0.5245984364287957,0.15063647577739958,0.9991359449999808,0.0005512917394864276,0.03068346089373027,0.010744096237337346,0.9182592251648506,0.47901646236113893,0.030270727079672065,0.016714926359432725,0.029589640131841056,0.009157046333848397,0.3730969278687441,0.246241145307747,0.30103103049720326,0.23996703573679054,0.02571934613098481,0.00259633257639875,0.0190370382572121,0.005953217113873988,0.026952285283678355,9.863860768443944e-05,0.001922362730604041,0.08570691980482992,0.002990679789939009,0.0016384034734751249,0.0440581310911804,0.04293555045335824,0.23399503529119203,0.02571934613098481
context-PCG,32,34564,256,8,64,All,168,3,2.393810935027432,0.5113357614587895,0.27535068242956756,0.8909547565962784,0.11502425788995206,0.2261727704438986,0.11440068884951345,0.09796559803154581,0.05999456718204823,0.3621013339099904,0.2540613971434332,0.9999999998472489,4.350023854290854e-10,2.140545711560278e-06,2.049041190176958e-06,1.8405324052732338e-05,2.7122839733738537e-05,8.359527023620623e-07,8.018174432699177e-07,0.035831700395127446,0.016004008161429675,-0.1316402185480203,0.1844149947923313,1.0,0.0,0.04163778205896579,0.01739365575293672,0.017299361336901842,0.009072215441801505,0.03841847418177556,6.577987880694477e-11,3.098504414575241e-07,4.101442130772773e-06,1.2124865520349611e-07,0.002420082630686673,0.027886734450104485,0.0,0.48866423854121055,0.04163778205896579
context-PCG,32,34564,256,8,64,ID,48,3,2.393810935027432,0.7639285889874764,0.23405296095598863,0.9575812735485068,0.05311503012832029,0.23456860731047044,0.10201810203751731,0.06537817499095881,0.0581236343678258,0.6153816595574867,0.2851284445985861,0.9999999995171054,7.158825010887401e-10,3.0217914443279406e-06,2.7258892663527065e-06,4.2616354998392316e-05,4.086280016103786e-05,1.4805033320778687e-06,1.1685389736459447e-06,0.020712050357057348,0.013241903046873343,-0.09066165792289328,0.10268979036475998,1.0,0.0,0.06621396460615882,0.015026328701874394,0.02886108755005191,0.01644327101478637,0.08066330227888037,2.0252432780874608e-10,7.711585218378248e-07,1.1560152849680374e-05,3.3058158258659706e-07,0.003746155981460673,0.029051109273959003,0.0,0.2360714110125236,0.06621396460615882
context-PCG,32,34564,256,8,64,OOD,120,3,2.393810935027432,0.41029863044731474,0.2207576313368346,0.8643041498153872,0.12225483469918634,0.22281443569726986,0.11923132413182556,0.11100056724778061,0.05583182888125301,0.2607892036509918,0.14915511247131566,0.9999999999793062,3.991044563108734e-11,1.7880474184532127e-06,1.5870850588690541e-06,8.72091167446835e-06,6.471188918263865e-06,5.781324504757398e-07,3.582229395152188e-07,0.04187956041035548,0.012692183113620184,-0.1480316427980711,0.2064305591899845,1.0,0.0,0.03949855191203393,0.02187416537141116,0.02133319069081557,0.00998958168764336,0.026687235758134836,7.140884775061814e-12,2.839655472245185e-07,1.1578426071741206e-06,6.409421629884273e-08,0.00227091969846987,0.03693511345007489,0.0,0.5897013695526853,0.03949855191203393
context-PCG,32,34564,256,12,144,All,168,3,2.393810935027432,0.7382337680423819,0.16517210238356653,0.9794429606539209,0.017345354909665246,0.36156231621534574,0.12603995548182362,0.04543919286723909,0.03277280366514865,0.5254295514331294,0.19231260552198126,0.9999999996081651,8.37993821276742e-10,3.854408457166463e-06,2.6824009503127773e-06,4.315111805279979e-05,5.047407409743886e-05,1.57366340335416e-06,3.1465523737097158e-06,0.03143384554035336,0.012075090695138428,-0.16713776304624875,0.14844252631754523,1.0,0.0,0.02497687654370462,0.0026229174414659105,0.01905941961271995,0.004955814325318713,0.029080989686540402,1.267191487931251e-10,4.0562538352326513e-07,7.632552345080273e-06,4.7581310065268965e-07,0.0018259624064488258,0.022447075505880557,0.0,0.26176623195761806,0.02497687654370462
context-PCG,32,34564,256,12,144,ID,48,3,2.393810935027432,0.8500356493655407,0.1541485703770452,0.9905065690009618,0.010553300478585888,0.2866285215079493,0.1614401962386419,0.027426186924761425,0.017597977145517,0.675705479985455,0.23364400592040102,0.9999999987810902,1.2262015006581827e-09,6.240094511629953e-06,2.872799096511659e-06,9.53451117311265e-05,6.940473170311531e-05,3.17474044564392e-06,5.568357407963015e-06,0.021774491382529914,0.013487760061909852,-0.1419789523916112,0.11425009608018974,1.0,0.0,0.04360888211516768,0.002985545927353779,0.045671694970638894,0.00497849645265699,0.06609827055921616,3.468944055780052e-10,8.127195525323729e-07,1.9634711860595412e-05,1.575297397731432e-06,0.003815709332229281,0.0323215386261507,0.0,0.14996435063445934,0.04360888211516768
context-PCG,32,34564,256,12,144,OOD,120,3,2.393810935027432,0.6935130155131184,0.1477928248364742,0.9750175173151043,0.017581465053969986,0.3915358340983043,0.09396417924276322,0.05264439524423016,0.034666213094505974,0.46531918001219913,0.1326230438648046,0.9999999999389951,7.315642179139919e-11,2.9001340353810673e-06,1.9036727672239069e-06,2.2273520581469105e-05,1.1590951725617507e-05,9.332325864382559e-07,4.477596309272749e-07,0.035297587203482736,0.008948832488487168,-0.17720128730810375,0.15940660436930693,1.0,0.0,0.02644349157344658,0.0031457232346557267,0.01681232485244857,0.006202572519079684,0.023729273371451868,1.3089344664227198e-11,3.4061027546082623e-07,2.0738844028708855e-06,8.011436306502504e-08,0.0016011492896446404,0.028521460389267853,0.0,0.3064869844868816,0.02644349157344658
context-PCG,32,34564,256,16,256,All,168,3,2.393810935027432,0.7475606515295413,0.17016830801303026,0.9810476296237708,0.01637237231041511,0.3736204073420519,0.13744529195635047,0.047310933124251796,0.03606497565897388,0.5405931322518664,0.20767202666631643,0.9999996383152575,8.3291794101855e-07,0.00013072046158749736,0.0001549169812063348,0.016868171262022474,0.01772944628221879,0.0007087708662849532,0.0006548231207868937,0.029012376838918014,0.011946778172073522,0.10459132839549141,0.19890882942603796,1.0,0.0,0.025732389184115825,0.002475785656437173,0.020784103605674988,0.005453647629271354,0.03140359961986892,1.2595158797183653e-07,2.3426124982828858e-05,0.002680998695232929,9.902057314664826e-05,0.0018065593353408422,0.03007845274312646,0.0,0.2524393484704587,0.025732389184115825
context-PCG,32,34564,256,16,256,ID,48,3,2.393810935027432,0.8612879130115961,0.14973048550690496,0.9915690473622366,0.009783133294487916,0.3038383445587625,0.18210182037017458,0.029174355275851313,0.019578156914144336,0.7106115451851873,0.24889526570509873,0.9999991937313566,1.3552783945770862e-06,0.00021783389320259906,0.0002072043887049075,0.03317949878692157,0.018982451043567404,0.000988667233286775,0.0007296783343263081,0.020048342790687405,0.0124542503806785,0.09785674743642946,0.13184659800797904,1.0,0.0,0.04235899869551942,0.0027676643741343884,0.05151690215521418,0.005538692540662803,0.07041287684088247,3.8341046950862266e-07,5.86184597020646e-05,0.0053701663777424415,0.00020642719154511453,0.003523327756821468,0.03729961773730511,0.0,0.13871208698840387,0.04235899869551942
context-PCG,32,34564,256,16,256,OOD,120,3,2.393810935027432,0.7020697469367195,0.15645765104167375,0.9768390625283844,0.01660912544979696,0.4015332324553676,0.10326715432495308,0.05456556426361199,0.03857702226793675,0.47258576707853805,0.14047411239229637,0.9999998161488178,3.694828338894821e-07,9.587508894145668e-05,0.00011152240274505532,0.010343640252062834,0.012188571323478723,0.0005968123194842245,0.0005892572692201182,0.032597990458210255,0.009677698903005126,0.10728516077911618,0.22052715915038243,1.0,0.0,0.027993825691466814,0.002971749605300398,0.018476838291893696,0.006902305063859166,0.02513400776690706,6.610886702585317e-08,1.9953889645876665e-05,0.0021808121161590983,0.0001054315028517461,0.00173156003801351,0.03945731520567078,0.0,0.29793025306328047,0.027993825691466814
context-PCG,32,34564,256,24,576,All,168,3,2.393810935027432,0.7778976927869804,0.15940116743296406,0.9827895055744782,0.015181226359433472,0.3767375528944993,0.13550090272801035,0.04261935317689282,0.0326394899502352,0.5627077471423813,0.21025402267215398,0.9999596507597808,4.923717537152656e-05,0.004028653567296492,0.002977949844817791,0.21191035001538688,0.12183037148902998,0.006561180817135117,0.0039736090263339935,0.027857482649518928,0.011628234314021298,0.0015584031830266013,0.224793494897577,0.9646956909980092,0.07668211886123295,0.024104211440319167,0.0022956638021175294,0.020490078349543167,0.004935654987567817,0.031794042040492604,7.445511880447604e-06,0.00045031748433298734,0.018422857758925788,0.0006008783605188827,0.0017583899986216814,0.03399266152613489,0.011595661666029966,0.2221023072130196,0.024104211440319167
context-PCG,32,34564,256,24,576,ID,48,3,2.393810935027432,0.8719628198686196,0.15993698607165227,0.9910023922789558,0.012809781955614307,0.2981624264000074,0.17638749412293464,0.02767562014438828,0.01917728024471776,0.7191547549331921,0.24945738780471247,0.9999584487463316,5.180480523299444e-05,0.003815174330763158,0.0032167721838059077,0.2960379999130964,0.10061151134287459,0.007379176543812058,0.00364015518761938,0.019220260651006,0.012149844327239761,0.0040938576567889256,0.16304975976222036,0.9652157636980215,0.05724955830503774,0.045246434361304474,0.0036239082195638223,0.04990030993464433,0.005425283876690219,0.07057190210019189,1.4655663940826882e-05,0.0009100301002586002,0.02846316074711803,0.0010298058429573903,0.003437210787542523,0.046127043118110646,0.01619599347021635,0.12803718013138043,0.045246434361304474
context-PCG,32,34564,256,24,576,OOD,120,3,2.393810935027432,0.7402716419543246,0.14338065755122056,0.9795043508926873,0.014850355329308689,0.40816760349229597,0.09995867428254386,0.048596846389894637,0.034981301681200686,0.500128944026057,0.15374869550627293,0.9999601315651605,4.838789647545722e-05,0.004114045261909825,0.0028866341013239006,0.17825929005630312,0.1132910874619406,0.00623398252646434,0.004067816924069658,0.0313123714489241,0.00945121781695994,0.0005442213935216734,0.24578677871833132,0.9644876619180044,0.08341066632062945,0.0256540546805708,0.002657065702937613,0.017884876102801196,0.006258949020417755,0.027509132047154425,8.657693187211995e-06,0.0005164843734358595,0.020270347494617216,0.0007278247957773154,0.0016910374301196058,0.043976834593249844,0.014924061803579426,0.2597283580456754,0.0256540546805708
context-PCG,32,34564,256,32,1024,All,168,3,2.393810935027432,0.7898268162925443,0.16009156387860154,0.9832377959183388,0.01664602257304327,0.39883100032992075,0.14094643015419803,0.04316556345189119,0.03688273455403401,0.5726377190655446,0.20721886175584703,0.9997906086224572,0.00018045042180212805,0.012131516739914503,0.006887020866310969,0.4861404643216658,0.26759814416503613,0.015176299958035211,0.008611565639445465,0.02747615091114611,0.01138015304821136,0.06293781106060196,0.2047872948737115,0.6104151379937927,0.2702004804721913,0.024208611314995677,0.0025171663056338736,0.021313536211230943,0.005577306907501049,0.03133507325337363,2.7287222494418046e-05,0.0010414365831119985,0.04046546428653781,0.0013022175580531818,0.0017208758236519181,0.030967378316114645,0.0408589825122614,0.21017318370745575,0.024208611314995677
context-PCG,32,34564,256,32,1024,ID,48,3,2.393810935027432,0.8952358979950524,0.11925858970998397,0.9931185773651071,0.007960387126488753,0.32937256959665706,0.1868235444511581,0.027137978841589406,0.01969172145592334,0.74348339288616,0.22260359190865117,0.9997900907433892,0.00014580600230308072,0.011102796129610648,0.006798177507728621,0.676041578873992,0.27064011708801566,0.016390969598432954,0.007994414195871791,0.01906475270516234,0.011908832485348936,0.07130277077946948,0.17403176609771295,0.3939200557457904,0.2070398794104649,0.03373844964739485,0.0022520065086626376,0.05285268560311971,0.005570820134858391,0.0629749194184083,4.1248755992781955e-05,0.0019232155109021297,0.07656453078259606,0.0022616328221199723,0.0033690281441636806,0.04923387063198968,0.058571919754203595,0.10476410200494757,0.03373844964739485
context-PCG,32,34564,256,32,1024,OOD,120,3,2.393810935027432,0.747663183611541,0.15516236114753862,0.9792854833396315,0.017569796232847806,0.42661437262322616,0.10662733765967689,0.0495765972960119,0.04013513496435507,0.5042994495372983,0.15558271516797778,0.9997908157740842,0.0001931321634010676,0.012543004984036044,0.006907404211753075,0.4101800185007354,0.2262723706525234,0.014690432101876115,0.008831577301688863,0.03084071019353962,0.009261719350523518,0.05959182717305496,0.21645394383698657,0.6970131708929936,0.24302081534037817,0.027762068923581556,0.003143635417650011,0.019078051373755546,0.007181086797707247,0.027837279800764846,3.455572854168254e-05,0.001235891426190561,0.04048526397187529,0.0015801696747852953,0.001657131852457517,0.03872852451548813,0.043481940951706065,0.25233681638845895,0.027762068923581556
context-PCG,32,34564,256,48,2304,All,168,3,2.393810935027432,0.8020395484136128,0.14753851345286442,0.984986250272618,0.013989674874864622,0.3960487258978515,0.13891746209744132,0.04302804668467221,0.03130859749292782,0.5842825394023118,0.19874846636532156,0.9991887593693495,0.0004984090683264378,0.028235124058223142,0.011399588046919849,1.049947730664696,0.5741902566979143,0.02975062090193937,0.01456013333959645,0.026310266635846298,0.01120798137104067,0.3488775862713156,0.24239521566249372,0.2612518172910703,0.23059668880362713,0.02231037313672006,0.002115480624110678,0.02100672117446978,0.0047344010462580435,0.03005420307679732,7.536806511636942e-05,0.001723814731351002,0.08682749052160003,0.0022017438031905834,0.001694840490427009,0.03665434591567638,0.03487020474111436,0.1979604515863872,0.02231037313672006
