seed,method,depth,context_size,context_measurements,batch_size,block_size,inference_ms
17,block-Jacobi-PCG,64,16,256,8,4,11.929454197525047
17,block-Jacobi-PCG,64,24,576,8,4,12.40980630100239
17,block-Jacobi-PCG,64,32,1024,8,4,12.746263848384842
17,block-Jacobi-PCG,64,48,2304,8,4,15.35859375144355
17,angular-Jacobi-PCG,64,8,64,8,4,11.434351952630095
17,angular-Jacobi-PCG,64,12,144,8,4,11.564774898579344
17,angular-Jacobi-PCG,64,16,256,8,4,11.656030049198307
17,angular-Jacobi-PCG,64,24,576,8,4,11.838120350148529
17,angular-Jacobi-PCG,64,32,1024,8,4,12.044336250983179
17,angular-Jacobi-PCG,64,48,2304,8,4,14.566543200635351
17,optimized-CG,96,8,64,8,4,15.811303548980504
17,optimized-CG,96,12,144,8,4,15.949853550409898
17,optimized-CG,96,16,256,8,4,16.030459298053756
17,optimized-CG,96,24,576,8,4,16.08116425049957
17,optimized-CG,96,32,1024,8,4,16.091374051757157
17,optimized-CG,96,48,2304,8,4,18.162261450197548
17,Jacobi-PCG,96,8,64,8,4,15.870787150925025
17,Jacobi-PCG,96,12,144,8,4,15.98121999995783
17,Jacobi-PCG,96,16,256,8,4,16.045660548843443
17,Jacobi-PCG,96,24,576,8,4,16.163460549432784
17,Jacobi-PCG,96,32,1024,8,4,16.14294329774566
17,Jacobi-PCG,96,48,2304,8,4,18.16800654924009
17,block-Jacobi-PCG,96,8,64,8,4,16.153078051866032
17,block-Jacobi-PCG,96,12,144,8,4,16.37517015042249
17,block-Jacobi-PCG,96,16,256,8,4,16.617604848579504
17,block-Jacobi-PCG,96,24,576,8,4,17.085086248698644
17,block-Jacobi-PCG,96,32,1024,8,4,17.4213639984373
17,block-Jacobi-PCG,96,48,2304,8,4,20.074965347885154
17,angular-Jacobi-PCG,96,8,64,8,4,16.154015451320447
17,angular-Jacobi-PCG,96,12,144,8,4,16.30442019959446
17,angular-Jacobi-PCG,96,16,256,8,4,16.388366001774557
17,angular-Jacobi-PCG,96,24,576,8,4,16.546605550684035
17,angular-Jacobi-PCG,96,32,1024,8,4,16.71627319883555
17,angular-Jacobi-PCG,96,48,2304,8,4,19.24043355102185
17,optimized-CG,128,8,64,8,4,20.54084524861537
17,optimized-CG,128,12,144,8,4,20.63610890181735
17,optimized-CG,128,16,256,8,4,20.773519299109466
17,optimized-CG,128,24,576,8,4,20.82313555001747
17,optimized-CG,128,32,1024,8,4,20.783062049304135
17,optimized-CG,128,48,2304,8,4,22.80770764918998
17,Jacobi-PCG,128,8,64,8,4,20.621242650668137
17,Jacobi-PCG,128,12,144,8,4,20.654584100702778
17,Jacobi-PCG,128,16,256,8,4,20.772745649446733
17,Jacobi-PCG,128,24,576,8,4,20.889699799590744
17,Jacobi-PCG,128,32,1024,8,4,20.82969594921451
17,Jacobi-PCG,128,48,2304,8,4,22.86818169814069
17,block-Jacobi-PCG,128,8,64,8,4,20.800626851269044
17,block-Jacobi-PCG,128,12,144,8,4,21.11636789923068
17,block-Jacobi-PCG,128,16,256,8,4,21.358882650383748
17,block-Jacobi-PCG,128,24,576,8,4,21.798302000388503
17,block-Jacobi-PCG,128,32,1024,8,4,22.128866650746204
17,block-Jacobi-PCG,128,48,2304,8,4,24.73188014992047
17,angular-Jacobi-PCG,128,8,64,8,4,20.86436440004036
17,angular-Jacobi-PCG,128,12,144,8,4,20.95303115202114
17,angular-Jacobi-PCG,128,16,256,8,4,21.094513151911087
17,angular-Jacobi-PCG,128,24,576,8,4,21.232416198472492
17,angular-Jacobi-PCG,128,32,1024,8,4,21.376360350404866
17,angular-Jacobi-PCG,128,48,2304,8,4,23.862490250030532
29,optimized-CG,32,8,64,8,4,6.548812051187269
29,optimized-CG,32,12,144,8,4,6.623481950373389
29,optimized-CG,32,16,256,8,4,6.559301802190021
29,optimized-CG,32,24,576,8,4,6.701174849877134
29,optimized-CG,32,32,1024,8,4,6.722589398850687
29,optimized-CG,32,48,2304,8,4,8.794142247643322
29,Jacobi-PCG,32,8,64,8,4,6.574597698636353
29,Jacobi-PCG,32,12,144,8,4,6.65350949857384
29,Jacobi-PCG,32,16,256,8,4,6.583556649275124
29,Jacobi-PCG,32,24,576,8,4,6.723840750055388
29,Jacobi-PCG,32,32,1024,8,4,6.746052100788802
29,Jacobi-PCG,32,48,2304,8,4,8.793146797688678
29,block-Jacobi-PCG,32,8,64,8,4,6.858757897862233
29,block-Jacobi-PCG,32,12,144,8,4,7.085255198762752
29,block-Jacobi-PCG,32,16,256,8,4,7.2113086498575285
29,block-Jacobi-PCG,32,24,576,8,4,7.6635455508949235
29,block-Jacobi-PCG,32,32,1024,8,4,7.984130352269858
29,block-Jacobi-PCG,32,48,2304,8,4,10.663084048428573
29,angular-Jacobi-PCG,32,8,64,8,4,6.850088498322293
29,angular-Jacobi-PCG,32,12,144,8,4,6.9453906995477155
29,angular-Jacobi-PCG,32,16,256,8,4,6.920211447868496
29,angular-Jacobi-PCG,32,24,576,8,4,7.111966700176708
29,angular-Jacobi-PCG,32,32,1024,8,4,7.355325747630559
29,angular-Jacobi-PCG,32,48,2304,8,4,9.742484451271594
29,optimized-CG,48,8,64,8,4,8.9326538000023
29,optimized-CG,48,12,144,8,4,8.984669699566439
29,optimized-CG,48,16,256,8,4,8.921544149052352
29,optimized-CG,48,24,576,8,4,9.076233900850639
29,optimized-CG,48,32,1024,8,4,9.078146750107408
29,optimized-CG,48,48,2304,8,4,11.13172615005169
29,Jacobi-PCG,48,8,64,8,4,8.965822448953986
29,Jacobi-PCG,48,12,144,8,4,9.030594051000662
29,Jacobi-PCG,48,16,256,8,4,8.996253050281666
29,Jacobi-PCG,48,24,576,8,4,9.11803244962357
29,Jacobi-PCG,48,32,1024,8,4,9.10704554989934
29,Jacobi-PCG,48,48,2304,8,4,11.159934898023494
29,block-Jacobi-PCG,48,8,64,8,4,9.261990649974905
29,block-Jacobi-PCG,48,12,144,8,4,9.478252101689577
29,block-Jacobi-PCG,48,16,256,8,4,9.583082699100487
29,block-Jacobi-PCG,48,24,576,8,4,10.03817740129307
29,block-Jacobi-PCG,48,32,1024,8,4,10.337152300053276
29,block-Jacobi-PCG,48,48,2304,8,4,13.012205751147121
29,angular-Jacobi-PCG,48,8,64,8,4,9.254662701277994
29,angular-Jacobi-PCG,48,12,144,8,4,9.348118148045614
29,angular-Jacobi-PCG,48,16,256,8,4,9.29653985076584
29,angular-Jacobi-PCG,48,24,576,8,4,9.481725850491785
29,angular-Jacobi-PCG,48,32,1024,8,4,9.720797499176115
29,angular-Jacobi-PCG,48,48,2304,8,4,12.073561499710195
29,optimized-CG,64,8,64,8,4,11.312046798411757
29,optimized-CG,64,12,144,8,4,11.370023648487404
29,optimized-CG,64,16,256,8,4,11.297338700387627
29,optimized-CG,64,24,576,8,4,11.431822198210284
29,optimized-CG,64,32,1024,8,4,11.417966449516825
29,optimized-CG,64,48,2304,8,4,13.463752748793922
29,Jacobi-PCG,64,8,64,8,4,11.368695148848929
29,Jacobi-PCG,64,12,144,8,4,11.443381500430405
29,Jacobi-PCG,64,16,256,8,4,11.333677702350542
29,Jacobi-PCG,64,24,576,8,4,11.474595751496963
29,Jacobi-PCG,64,32,1024,8,4,11.47538649966009
29,Jacobi-PCG,64,48,2304,8,4,13.51985674991738
29,block-Jacobi-PCG,64,8,64,8,4,11.63644775224384
29,block-Jacobi-PCG,64,12,144,8,4,11.87096509966068
29,block-Jacobi-PCG,64,16,256,8,4,11.953166700550355
29,block-Jacobi-PCG,64,24,576,8,4,12.368961100582965
29,block-Jacobi-PCG,64,32,1024,8,4,12.67942969861906
29,block-Jacobi-PCG,64,48,2304,8,4,15.363890249864198
29,angular-Jacobi-PCG,64,8,64,8,4,11.640034150332212
29,angular-Jacobi-PCG,64,12,144,8,4,11.752787049044855
29,angular-Jacobi-PCG,64,16,256,8,4,11.686182249104604
29,angular-Jacobi-PCG,64,24,576,8,4,11.85856550000608
29,angular-Jacobi-PCG,64,32,1024,8,4,12.08630925102625
29,angular-Jacobi-PCG,64,48,2304,8,4,14.408297699992545
29,optimized-CG,96,8,64,8,4,16.124664997914806
29,optimized-CG,96,12,144,8,4,16.160574249806814
29,optimized-CG,96,16,256,8,4,16.001182451145723
29,optimized-CG,96,24,576,8,4,16.22105030110106
29,optimized-CG,96,32,1024,8,4,16.147962849936448
29,optimized-CG,96,48,2304,8,4,18.15565750002861
29,Jacobi-PCG,96,8,64,8,4,16.16112810152117
29,Jacobi-PCG,96,12,144,8,4,16.248071298468858
29,Jacobi-PCG,96,16,256,8,4,16.08176770096179
29,Jacobi-PCG,96,24,576,8,4,16.23435125220567
29,Jacobi-PCG,96,32,1024,8,4,16.174692849745043
29,Jacobi-PCG,96,48,2304,8,4,18.1164813489886
29,block-Jacobi-PCG,96,8,64,8,4,16.416552750160918
29,block-Jacobi-PCG,96,12,144,8,4,16.63799690140877
29,block-Jacobi-PCG,96,16,256,8,4,16.668189599295147
29,block-Jacobi-PCG,96,24,576,8,4,17.10198755026795
29,block-Jacobi-PCG,96,32,1024,8,4,17.35337214777246
29,block-Jacobi-PCG,96,48,2304,8,4,20.02224180032499
29,angular-Jacobi-PCG,96,8,64,8,4,16.449280752567574
29,angular-Jacobi-PCG,96,12,144,8,4,16.528428299352527
29,angular-Jacobi-PCG,96,16,256,8,4,16.44258874875959
29,angular-Jacobi-PCG,96,24,576,8,4,16.559789300663397
29,angular-Jacobi-PCG,96,32,1024,8,4,16.731976700248197
29,angular-Jacobi-PCG,96,48,2304,8,4,19.099342249683104
29,optimized-CG,128,8,64,8,4,20.894622648484074
29,optimized-CG,128,12,144,8,4,22.08188774820883
29,optimized-CG,128,16,256,8,4,20.855116998427548
29,optimized-CG,128,24,576,8,4,20.85549804905895
29,optimized-CG,128,32,1024,8,4,20.83798540115822
29,optimized-CG,128,48,2304,8,4,23.543873950256966
29,Jacobi-PCG,128,8,64,8,4,21.256034600082785
29,Jacobi-PCG,128,12,144,8,4,21.415593149140477
29,Jacobi-PCG,128,16,256,8,4,21.071758499601856
29,Jacobi-PCG,128,24,576,8,4,20.929555551265366
29,Jacobi-PCG,128,32,1024,8,4,21.003995501087047
29,Jacobi-PCG,128,48,2304,8,4,23.4543117985595
29,block-Jacobi-PCG,128,8,64,8,4,21.755496799596585
29,block-Jacobi-PCG,128,12,144,8,4,22.032538350322284
29,block-Jacobi-PCG,128,16,256,8,4,22.004171850858256
29,block-Jacobi-PCG,128,24,576,8,4,22.411694351467304
29,block-Jacobi-PCG,128,32,1024,8,4,22.591217249282636
29,block-Jacobi-PCG,128,48,2304,8,4,25.34986189857591
29,angular-Jacobi-PCG,128,8,64,8,4,21.873571700416505
29,angular-Jacobi-PCG,128,12,144,8,4,21.782634948613122
29,angular-Jacobi-PCG,128,16,256,8,4,21.795230300631374
29,angular-Jacobi-PCG,128,24,576,8,4,21.78788234887179
29,angular-Jacobi-PCG,128,32,1024,8,4,21.799736100365408
29,angular-Jacobi-PCG,128,48,2304,8,4,23.644333399715833
43,optimized-CG,32,8,64,8,4,6.447474300512113
43,optimized-CG,32,12,144,8,4,6.538000900764018
43,optimized-CG,32,16,256,8,4,6.626403800328262
43,optimized-CG,32,24,576,8,4,6.669643599889241
43,optimized-CG,32,32,1024,8,4,6.699999049305916
43,optimized-CG,32,48,2304,8,4,8.809005049988627
43,Jacobi-PCG,32,8,64,8,4,6.5235792979365215
43,Jacobi-PCG,32,12,144,8,4,6.637236548704095
43,Jacobi-PCG,32,16,256,8,4,6.682234999607317
43,Jacobi-PCG,32,24,576,8,4,6.695524949464016
43,Jacobi-PCG,32,32,1024,8,4,6.74492635007482
43,Jacobi-PCG,32,48,2304,8,4,8.793042099568993
43,block-Jacobi-PCG,32,8,64,8,4,6.842977300402708
43,block-Jacobi-PCG,32,12,144,8,4,7.006681052735075
43,block-Jacobi-PCG,32,16,256,8,4,7.192754701827653
43,block-Jacobi-PCG,32,24,576,8,4,7.627744399360381
43,block-Jacobi-PCG,32,32,1024,8,4,7.957271600025706
43,block-Jacobi-PCG,32,48,2304,8,4,10.650461699697189
43,angular-Jacobi-PCG,32,8,64,8,4,6.766814200091176
43,angular-Jacobi-PCG,32,12,144,8,4,6.9664141978137195
43,angular-Jacobi-PCG,32,16,256,8,4,6.942911501391791
43,angular-Jacobi-PCG,32,24,576,8,4,8.789203347987495
43,angular-Jacobi-PCG,32,32,1024,8,4,7.3994324513478205
43,angular-Jacobi-PCG,32,48,2304,8,4,9.835834801197052
43,optimized-CG,48,8,64,8,4,8.859057549852878
43,optimized-CG,48,12,144,8,4,8.937305700965226
43,optimized-CG,48,16,256,8,4,8.958684300887398
43,optimized-CG,48,24,576,8,4,9.041259449440986
43,optimized-CG,48,32,1024,8,4,9.072702599223703
43,optimized-CG,48,48,2304,8,4,11.155572900315747
43,Jacobi-PCG,48,8,64,8,4,8.857032001833431
43,Jacobi-PCG,48,12,144,8,4,8.9855855476344
43,Jacobi-PCG,48,16,256,8,4,8.981827399111353
43,Jacobi-PCG,48,24,576,8,4,9.100072548608296
43,Jacobi-PCG,48,32,1024,8,4,9.140069500426762
43,Jacobi-PCG,48,48,2304,8,4,11.173361449618824
43,block-Jacobi-PCG,48,8,64,8,4,9.185598650947213
43,block-Jacobi-PCG,48,12,144,8,4,9.42991315096151
43,block-Jacobi-PCG,48,16,256,8,4,9.622155150282197
43,block-Jacobi-PCG,48,24,576,8,4,10.05979134934023
43,block-Jacobi-PCG,48,32,1024,8,4,10.36898799939081
43,block-Jacobi-PCG,48,48,2304,8,4,13.082705851411447
43,angular-Jacobi-PCG,48,8,64,8,4,9.188469001674093
43,angular-Jacobi-PCG,48,12,144,8,4,9.310911898501217
43,angular-Jacobi-PCG,48,16,256,8,4,9.333737101405859
43,angular-Jacobi-PCG,48,24,576,8,4,9.466968700871803
43,angular-Jacobi-PCG,48,32,1024,8,4,9.76399265055079
43,angular-Jacobi-PCG,48,48,2304,8,4,12.210049550049007
43,optimized-CG,64,8,64,8,4,11.207671399461105
43,optimized-CG,64,12,144,8,4,11.288559099193662
43,optimized-CG,64,16,256,8,4,11.303399299504235
43,optimized-CG,64,24,576,8,4,11.391360548441298
43,optimized-CG,64,32,1024,8,4,11.42556334962137
43,optimized-CG,64,48,2304,8,4,13.497915348852985
43,Jacobi-PCG,64,8,64,8,4,11.283308247220702
43,Jacobi-PCG,64,12,144,8,4,11.373889449168928
43,Jacobi-PCG,64,16,256,8,4,11.336747300811112
43,Jacobi-PCG,64,24,576,8,4,11.507694851025008
43,Jacobi-PCG,64,32,1024,8,4,11.479378401418217
43,Jacobi-PCG,64,48,2304,8,4,13.561986800050363
43,block-Jacobi-PCG,64,8,64,8,4,11.667698601377197
43,block-Jacobi-PCG,64,12,144,8,4,11.86734314833302
43,block-Jacobi-PCG,64,16,256,8,4,11.979926851927303
43,block-Jacobi-PCG,64,24,576,8,4,12.348071348969825
43,block-Jacobi-PCG,64,32,1024,8,4,12.671310099540278
43,block-Jacobi-PCG,64,48,2304,8,4,15.362363401800394
43,angular-Jacobi-PCG,64,8,64,8,4,11.554538502241485
43,angular-Jacobi-PCG,64,12,144,8,4,11.683626400190406
43,angular-Jacobi-PCG,64,16,256,8,4,11.705730549874716
43,angular-Jacobi-PCG,64,24,576,8,4,11.853035748936236
43,angular-Jacobi-PCG,64,32,1024,8,4,12.096904049394652
43,angular-Jacobi-PCG,64,48,2304,8,4,14.659083398873918
43,optimized-CG,96,8,64,8,4,16.0607041005278
43,optimized-CG,96,12,144,8,4,16.042776248650625
43,optimized-CG,96,16,256,8,4,16.043958551017568
43,optimized-CG,96,24,576,8,4,16.088046549702995
43,optimized-CG,96,32,1024,8,4,16.115456700208597
43,optimized-CG,96,48,2304,8,4,18.182849750155583
43,Jacobi-PCG,96,8,64,8,4,16.03913779836148
43,Jacobi-PCG,96,12,144,8,4,16.238523449283093
43,Jacobi-PCG,96,16,256,8,4,16.1708075000206
43,Jacobi-PCG,96,24,576,8,4,16.219659749185666
43,Jacobi-PCG,96,32,1024,8,4,16.21676039940212
43,Jacobi-PCG,96,48,2304,8,4,18.310712301172316
43,block-Jacobi-PCG,96,8,64,8,4,16.35522535070777
43,block-Jacobi-PCG,96,12,144,8,4,16.644584300229326
43,block-Jacobi-PCG,96,16,256,8,4,16.792506398633122
43,block-Jacobi-PCG,96,24,576,8,4,17.20317260187585
43,block-Jacobi-PCG,96,32,1024,8,4,17.55857255193405
43,block-Jacobi-PCG,96,48,2304,8,4,20.192473247880116
43,angular-Jacobi-PCG,96,8,64,8,4,16.360989498207346
43,angular-Jacobi-PCG,96,12,144,8,4,16.52564409887418
43,angular-Jacobi-PCG,96,16,256,8,4,16.5903705987148
43,angular-Jacobi-PCG,96,24,576,8,4,16.777962099877186
43,angular-Jacobi-PCG,96,32,1024,8,4,16.86418880126439
43,angular-Jacobi-PCG,96,48,2304,8,4,19.269736498245038
43,optimized-CG,128,8,64,8,4,20.68777329986915
43,optimized-CG,128,12,144,8,4,20.731705601792783
43,optimized-CG,128,16,256,8,4,20.873111000400968
43,optimized-CG,128,24,576,8,4,20.774354951572604
43,optimized-CG,128,32,1024,8,4,20.7441001519328
43,optimized-CG,128,48,2304,8,4,22.86238204978872
43,Jacobi-PCG,128,8,64,8,4,20.675397798186168
43,Jacobi-PCG,128,12,144,8,4,20.853805949445814
43,Jacobi-PCG,128,16,256,8,4,20.76260345056653
43,Jacobi-PCG,128,24,576,8,4,20.770315401023254
43,Jacobi-PCG,128,32,1024,8,4,20.761976498761214
43,Jacobi-PCG,128,48,2304,8,4,22.89985014940612
43,block-Jacobi-PCG,128,8,64,8,4,21.0307756497059
43,block-Jacobi-PCG,128,12,144,8,4,21.31727029918693
43,block-Jacobi-PCG,128,16,256,8,4,21.541965450160205
43,block-Jacobi-PCG,128,24,576,8,4,21.798472202499397
43,block-Jacobi-PCG,128,32,1024,8,4,22.169250648585148
43,block-Jacobi-PCG,128,48,2304,8,4,24.848189851036295
43,angular-Jacobi-PCG,128,8,64,8,4,21.29770604951773
43,angular-Jacobi-PCG,128,12,144,8,4,21.18730710062664
43,angular-Jacobi-PCG,128,16,256,8,4,21.21180279937107
43,angular-Jacobi-PCG,128,24,576,8,4,21.219489350914955
43,angular-Jacobi-PCG,128,32,1024,8,4,21.4653201517649
43,angular-Jacobi-PCG,128,48,2304,8,4,23.948923201533034
17,optimized-CG,1,8,64,8,4,2.0713989972136915
17,optimized-CG,1,12,144,8,4,2.14454639935866
17,optimized-CG,1,16,256,8,4,2.1237831912003458
17,optimized-CG,1,24,576,8,4,2.2970851976424456
17,optimized-CG,1,32,1024,8,4,2.355035801883787
17,optimized-CG,1,48,2304,8,4,4.503451997879893
17,Jacobi-PCG,1,8,64,8,4,2.0986415911465883
17,Jacobi-PCG,1,12,144,8,4,2.146144805010408
17,Jacobi-PCG,1,16,256,8,4,2.1301487926393747
17,Jacobi-PCG,1,24,576,8,4,2.327348606195301
17,Jacobi-PCG,1,32,1024,8,4,2.381586004048586
17,Jacobi-PCG,1,48,2304,8,4,4.404385795351118
17,block-Jacobi-PCG,1,8,64,8,4,2.38348440034315
17,block-Jacobi-PCG,1,12,144,8,4,2.585391199681908
17,block-Jacobi-PCG,1,16,256,8,4,2.7317226049490273
17,block-Jacobi-PCG,1,24,576,8,4,3.2558742095716298
17,block-Jacobi-PCG,1,32,1024,8,4,3.6613579955883324
17,block-Jacobi-PCG,1,48,2304,8,4,6.2835643999278545
17,angular-Jacobi-PCG,1,8,64,8,4,2.3477710084989667
17,angular-Jacobi-PCG,1,12,144,8,4,2.438086608890444
17,angular-Jacobi-PCG,1,16,256,8,4,2.457593602593988
17,angular-Jacobi-PCG,1,24,576,8,4,2.625653601717204
17,angular-Jacobi-PCG,1,32,1024,8,4,2.8830794035457075
17,angular-Jacobi-PCG,1,48,2304,8,4,5.41482619009912
17,optimized-CG,2,8,64,8,4,2.2171993972733617
17,optimized-CG,2,12,144,8,4,2.2539722034707665
17,optimized-CG,2,16,256,8,4,2.412592200562358
17,optimized-CG,2,24,576,8,4,2.431602799333632
17,optimized-CG,2,32,1024,8,4,2.490967803169042
17,optimized-CG,2,48,2304,8,4,4.506398795638233
17,Jacobi-PCG,2,8,64,8,4,2.229159197304398
17,Jacobi-PCG,2,12,144,8,4,2.287356404121965
17,Jacobi-PCG,2,16,256,8,4,2.296901005320251
17,Jacobi-PCG,2,24,576,8,4,2.4510018061846495
17,Jacobi-PCG,2,32,1024,8,4,2.526040200609714
17,Jacobi-PCG,2,48,2304,8,4,4.533487209118903
17,block-Jacobi-PCG,2,8,64,8,4,2.5479670031927526
17,block-Jacobi-PCG,2,12,144,8,4,2.7311155921779573
17,block-Jacobi-PCG,2,16,256,8,4,2.8916622046381235
17,block-Jacobi-PCG,2,24,576,8,4,3.3909927937202156
17,block-Jacobi-PCG,2,32,1024,8,4,3.767989808693528
17,block-Jacobi-PCG,2,48,2304,8,4,6.449138396419585
17,angular-Jacobi-PCG,2,8,64,8,4,2.514272602275014
17,angular-Jacobi-PCG,2,12,144,8,4,2.5898177991621196
17,angular-Jacobi-PCG,2,16,256,8,4,2.595185802783817
17,angular-Jacobi-PCG,2,24,576,8,4,2.771133801434189
17,angular-Jacobi-PCG,2,32,1024,8,4,3.0409600003622472
17,angular-Jacobi-PCG,2,48,2304,8,4,5.570469598751515
17,optimized-CG,4,8,64,8,4,2.508077397942543
17,optimized-CG,4,12,144,8,4,2.5803218013606966
17,optimized-CG,4,16,256,8,4,2.5563055998645723
17,optimized-CG,4,24,576,8,4,2.729793603066355
17,optimized-CG,4,32,1024,8,4,2.8070435975678265
17,optimized-CG,4,48,2304,8,4,4.818996996618807
17,Jacobi-PCG,4,8,64,8,4,2.5367159978486598
17,Jacobi-PCG,4,12,144,8,4,2.5947913993149996
17,Jacobi-PCG,4,16,256,8,4,2.5957827921956778
17,Jacobi-PCG,4,24,576,8,4,2.7571107959374785
17,Jacobi-PCG,4,32,1024,8,4,2.8228490031324327
17,Jacobi-PCG,4,48,2304,8,4,4.870534606743604
17,block-Jacobi-PCG,4,8,64,8,4,2.829505002591759
17,block-Jacobi-PCG,4,12,144,8,4,3.0289000016637146
17,block-Jacobi-PCG,4,16,256,8,4,3.1961207976564765
17,block-Jacobi-PCG,4,24,576,8,4,3.65528300171718
17,block-Jacobi-PCG,4,32,1024,8,4,4.047416802495718
17,block-Jacobi-PCG,4,48,2304,8,4,6.744917808100581
17,angular-Jacobi-PCG,4,8,64,8,4,2.795071608852595
17,angular-Jacobi-PCG,4,12,144,8,4,2.8941059950739145
17,angular-Jacobi-PCG,4,16,256,8,4,2.8920629993081093
17,angular-Jacobi-PCG,4,24,576,8,4,3.0698632006533444
17,angular-Jacobi-PCG,4,32,1024,8,4,3.3409517956897616
17,angular-Jacobi-PCG,4,48,2304,8,4,5.886002606712282
17,optimized-CG,8,8,64,8,4,3.1411161995492876
17,optimized-CG,8,12,144,8,4,3.1682386063039303
17,optimized-CG,8,16,256,8,4,3.1707708025351167
17,optimized-CG,8,24,576,8,4,3.291891806293279
17,optimized-CG,8,32,1024,8,4,3.377488604746759
17,optimized-CG,8,48,2304,8,4,5.438720202073455
17,Jacobi-PCG,8,8,64,8,4,3.149654995650053
17,Jacobi-PCG,8,12,144,8,4,3.1785104074515402
17,Jacobi-PCG,8,16,256,8,4,3.1865122029557824
17,Jacobi-PCG,8,24,576,8,4,3.331783995963633
17,Jacobi-PCG,8,32,1024,8,4,3.3966150018386543
17,Jacobi-PCG,8,48,2304,8,4,5.4686267976649106
17,block-Jacobi-PCG,8,8,64,8,4,3.4976924071088433
17,block-Jacobi-PCG,8,12,144,8,4,3.734403394628316
17,block-Jacobi-PCG,8,16,256,8,4,3.819773392751813
17,block-Jacobi-PCG,8,24,576,8,4,4.282899608369917
17,block-Jacobi-PCG,8,32,1024,8,4,4.668060794938356
17,block-Jacobi-PCG,8,48,2304,8,4,7.355953799560666
