seed,method,network_width,parameter_count,context_size,context_measurements,depth,batch_size,inference_ms,peak_memory_mib,matvec_proxy
29,looped-HB,256,364035,16,256,32,8,5.158286201185547,554.74169921875,6553600
29,looped-HB,256,364035,24,576,32,8,5.4983576002996415,559.998046875,14893056
29,looped-HB,256,364035,32,1024,32,8,5.830604198854417,564.85693359375,26738688
29,looped-HB,256,364035,48,2304,32,8,10.165372901246885,572.77294921875,61341696
43,looped-HB,256,364035,8,64,32,8,4.994268299196847,541.37451171875,1622016
43,looped-HB,256,364035,12,144,32,8,5.1264458015793934,543.34326171875,3667968
43,looped-HB,256,364035,16,256,32,8,5.189254900324158,545.3330078125,6553600
43,looped-HB,256,364035,24,576,32,8,5.490680449292995,550.22998046875,14893056
43,looped-HB,256,364035,32,1024,32,8,5.834054748993367,555.3232421875,26738688
43,looped-HB,256,364035,48,2304,32,8,10.359336997498758,562.3173828125,61341696
17,looped-HB,32,31171,8,64,32,8,5.006156902527437,545.712890625,1622016
17,looped-HB,32,31171,12,144,32,8,5.164148050243966,547.681640625,3667968
17,looped-HB,32,31171,16,256,32,8,5.173819948686287,549.67138671875,6553600
17,looped-HB,32,31171,24,576,32,8,5.497818850562908,554.927734375,14893056
17,looped-HB,32,31171,32,1024,32,8,5.781036650296301,559.78662109375,26738688
17,looped-HB,32,31171,48,2304,32,8,10.264538502087817,567.70263671875,61341696
29,looped-HB,32,31171,8,64,32,8,5.078636651160196,538.11083984375,1622016
29,looped-HB,32,31171,12,144,32,8,5.146949997288175,540.07958984375,3667968
29,looped-HB,32,31171,16,256,32,8,5.158566849422641,542.0693359375,6553600
29,looped-HB,32,31171,24,576,32,8,5.488116550259292,546.96630859375,14893056
29,looped-HB,32,31171,32,1024,32,8,5.858427350176498,552.0595703125,26738688
29,looped-HB,32,31171,48,2304,32,8,10.198247199878097,559.0537109375,61341696
43,looped-HB,32,31171,8,64,32,8,5.030595802236348,546.587890625,1622016
43,looped-HB,32,31171,12,144,32,8,5.155805899994448,548.556640625,3667968
43,looped-HB,32,31171,16,256,32,8,5.160375300329179,550.54638671875,6553600
43,looped-HB,32,31171,24,576,32,8,5.504219399881549,555.380859375,14893056
43,looped-HB,32,31171,32,1024,32,8,5.829233798431233,560.53662109375,26738688
43,looped-HB,32,31171,48,2304,32,8,10.306563298217952,567.39013671875,61341696
17,looped-HB,512,990211,8,64,32,8,4.971068349550478,561.029296875,1622016
17,looped-HB,512,990211,12,144,32,8,5.107553247944452,562.998046875,3667968
17,looped-HB,512,990211,16,256,32,8,5.156665848335251,564.98779296875,6553600
17,looped-HB,512,990211,24,576,32,8,5.49390260130167,570.548828125,14893056
17,looped-HB,512,990211,32,1024,32,8,5.746001750230789,574.13427734375,26738688
17,looped-HB,512,990211,48,2304,32,8,10.282003300380891,582.28466796875,61341696
29,looped-HB,512,990211,8,64,32,8,5.010913597652689,552.82763671875,1622016
29,looped-HB,512,990211,12,144,32,8,5.122948499047197,554.79638671875,3667968
29,looped-HB,512,990211,16,256,32,8,5.181537248427048,556.7861328125,6553600
29,looped-HB,512,990211,24,576,32,8,5.513058399083093,561.43701171875,14893056
29,looped-HB,512,990211,32,1024,32,8,5.842460948042572,565.0888671875,26738688
29,looped-HB,512,990211,48,2304,32,8,10.172096901806071,573.4892578125,61341696
