method,network_width,parameter_count,dataset_size,depth,context_size,context_measurements,regime_class,n_tasks,average_precision_mean,average_precision_std,transformed_mean_relative_residual_mean,mean_relative_residual_mean,mean_relative_residual_std,covariance_relative_residual_mean,transformed_covariance_relative_residual_mean,relative_score_error_mean,numerical_coverage_95_mean,average_precision_ci95,mean_relative_residual_ci95
context-PCG,128,199684,32768,1,24,576,ID,48,0.7801230355486913,0.17354685333666034,0.9960932793716589,6.359811782836914,2.244310625576369,0.5802988391369581,0.5845739282667637,0.17188951093703506,0.06345663096969166,0.04909668802055734,0.6349191384726105
context-PCG,128,199684,32768,1,24,576,OOD,120,0.5981011376148793,0.153711351758977,1.1039934481183689,3.8626060088475547,1.0699256758015574,0.5201667827864488,0.5620471452673276,0.18708265771468477,0.13162202074502902,0.02750245040298101,0.19143399298022096
context-PCG,128,199684,32768,1,32,1024,All,168,0.6452040513634456,0.16629495652815068,1.0818648810187976,4.726116855939229,1.8815745925913752,0.6093939839019662,0.6132180829133306,0.18973967849853487,0.08965773610716925,0.025146671496612212,0.2845265975835993
context-PCG,128,199684,32768,1,32,1024,ID,48,0.7493425103860772,0.15466781502933194,1.0067428362866242,6.477324038743973,2.2333507310435774,0.6795595313111941,0.6386641909678777,0.18201775848865506,0.05099383363994998,0.04375577727465647,0.6318185664237999
context-PCG,128,199684,32768,1,32,1024,OOD,120,0.603548667754393,0.15243425457686138,1.111913698911667,4.0256339828173315,1.125415691549037,0.581327764938275,0.6030396396915118,0.19282844650248684,0.10512329709405696,0.027273948724289152,0.20136241653835002
context-PCG,128,199684,32768,1,48,2304,All,168,0.6136146187230151,0.17481841767803308,1.1508903624046416,5.164535501173565,2.194066273713529,0.7823746835901624,0.7002135767113595,0.20253215579404713,0.07195244017722346,0.02643556613313684,0.3317807405513848
context-PCG,128,199684,32768,1,48,2304,ID,48,0.7252624259269268,0.170759978403207,1.0539639306565125,7.2849141011635465,2.637607049613372,0.9195468711356322,0.7361943808694681,0.197092174552381,0.039275084156542975,0.048308276553974065,0.7461833386542601
context-PCG,128,199684,32768,1,48,2304,OOD,120,0.5689554958414506,0.15599051283737145,1.1896609351038934,4.316384061177572,1.2120424456313257,0.7275058085719744,0.6858212550481161,0.2047081482907136,0.08502338258549566,0.027910244061690327,0.2168619094544953
context-PCG,128,199684,32768,2,8,64,All,168,0.5736636683410702,0.25917217295636724,0.919375136139847,1.9614581329127152,1.536092912791811,0.2252883138135075,0.23447864236576213,0.1566698521575225,0.24316690454447992,0.0391913118140397,0.23228379665086787
context-PCG,128,199684,32768,2,8,64,ID,48,0.8034438564137191,0.18273901095100462,0.8287662925819556,3.1494870744645596,2.286501048532699,0.2108685431691507,0.24199927318841216,0.11136915224293864,0.22661564238175436,0.051697164410364156,0.6468548779776306
context-PCG,128,199684,32768,2,8,64,OOD,120,0.48175159311201055,0.22640487374515908,0.9556186735630036,1.4862465562919775,0.6704010523541842,0.23105622207125026,0.23147039003670214,0.17479013212335603,0.24978740940957017,0.04050897178324871,0.11994996779019892
context-PCG,128,199684,32768,2,12,144,All,168,0.7425413863281786,0.16018215302523947,1.00947216827245,3.110406451282047,1.6598422489136668,0.27997975849679535,0.290416018150392,0.11069102787102258,0.22374574378288037,0.024222309959616186,0.2509968350276714
context-PCG,128,199684,32768,2,12,144,ID,48,0.8328467150863835,0.13582812778866657,0.958151564002037,4.9384892880916595,1.956107176392366,0.2566838655620813,0.2885025631015499,0.08296103441777324,0.1484906424884684,0.038425999009731676,0.5533859123784068
context-PCG,128,199684,32768,2,12,144,OOD,120,0.7064192548248965,0.15529327373538263,1.030000409980615,2.379173316558202,0.6840576254037306,0.289298115670681,0.2911814001699289,0.1217830252523223,0.25384778430064514,0.027785492157539914,0.12239343874190045
context-PCG,128,199684,32768,2,16,256,All,168,0.7404903377508306,0.160433799055205,1.0243872407646406,3.6265877669765834,1.7699673783548662,0.31103943589897376,0.3295855630366575,0.10468299775606106,0.20850036073326395,0.02426036318853596,0.26764965788770173
context-PCG,128,199684,32768,2,16,256,ID,48,0.8282809188371146,0.1377098207295721,0.9461373475690683,5.312263955672582,2.3674039287706665,0.29158567730337376,0.33378892702360946,0.09693509798186517,0.11652316900532844,0.03895833301345405,0.6697424348225978
context-PCG,128,199684,32768,2,16,256,OOD,120,0.7053741053163171,0.15581671488806473,1.0556871980428695,2.952317291498184,0.7604160061058757,0.31882093933721384,0.32790421744187676,0.10778215766573941,0.24529123742443817,0.027879147662977742,0.13605568654651026
context-PCG,128,199684,32768,2,24,576,All,168,0.77020790997709,0.15036233141974456,0.9889579152777082,3.9847388977096196,2.247665734154691,0.3662577945561636,0.3847682328806037,0.11760365909763741,0.15421525372810369,0.022737383217253358,0.339885905327572
context-PCG,128,199684,32768,2,24,576,ID,48,0.8544240287457306,0.15278689980886126,0.9264255315065384,6.2034244785706205,3.048285465609205,0.35826055457194644,0.40114322304725647,0.10835507030909257,0.08737244656610221,0.04322366328931427,0.8623649327267862
context-PCG,128,199684,32768,2,24,576,OOD,120,0.7365214624696338,0.13602731337145932,1.0139708687861761,3.097264665365219,0.8000089942879557,0.3694566905498505,0.37821823681394257,0.12130309461305534,0.1809523765929043,0.024338374470321646,0.14313977097698807
context-PCG,128,199684,32768,2,32,1024,All,168,0.768828173256593,0.14395650182261346,1.030751959198997,4.307027685500326,2.65238752300497,0.40050240765724865,0.4112557236637388,0.13472049763160088,0.11989795690238848,0.021768711070452182,0.4010868345933756
context-PCG,128,199684,32768,2,32,1024,ID,48,0.8338402108973763,0.14254266530011975,0.9748635664582253,6.866522893309593,3.709593695770375,0.40058580227196217,0.43544222724934417,0.12705963508536414,0.06629995609061244,0.04032555262919512,1.0494501102302107
context-PCG,128,199684,32768,2,32,1024,OOD,120,0.7428233582002797,0.13664127480997418,1.053107316295306,3.28322960237662,0.8593156307211607,0.4004690498113632,0.40158112222949666,0.13778484265009555,0.14133715722709891,0.024448226109897192,0.15375107462116794
context-PCG,128,199684,32768,2,48,2304,All,168,0.7633651786633161,0.14242499312809873,1.1431639240611167,5.21577977566492,3.858795960911709,0.4647129046775046,0.4534008313147795,0.16028955410278975,0.08138210477911685,0.02153712048683368,0.5835166407170888
context-PCG,128,199684,32768,2,48,2304,ID,48,0.8320751555416055,0.13313389701631784,1.0736475388209026,8.923489833871523,5.541436533651693,0.45570161069432896,0.481389407068491,0.15278535289689896,0.04668898719925583,0.03766379672751116,1.5676814384565054
context-PCG,128,199684,32768,2,48,2304,OOD,120,0.7358811879120005,0.137114980283094,1.1709704781572023,3.7326957523822784,1.0026088157107789,0.46831742227077483,0.44220540101329486,0.16329123458514608,0.09525935181106125,0.024532982773156044,0.1793894784746556
context-PCG,128,199684,32768,4,8,64,All,168,0.5268927964094715,0.27556420069450055,0.821302572753103,1.4668227007523889,0.7695677934812312,0.090392088606244,0.09339200727464184,0.05586604250683667,0.466988573782146,0.041670069710851895,0.1163719507859475
context-PCG,128,199684,32768,4,8,64,ID,48,0.7816165542356649,0.218515605676027,0.5964022342426082,1.7057614522054791,0.9924674230775691,0.08669678595227497,0.09775357623584564,0.04552077507833014,0.4095450633515914,0.06181842144200227,0.2807706535991267
context-PCG,128,199684,32768,4,8,64,OOD,120,0.42500329327899417,0.22597735349787879,0.9112627081573009,1.3712472001711526,0.6401943490154524,0.09187020966783162,0.0916473796901603,0.060004149478239274,0.4899659779543678,0.04043247870539501,0.11454530280674549
context-PCG,128,199684,32768,4,12,144,All,168,0.7506079096965417,0.16127194923732058,0.7674895501917317,2.133958007608141,0.6684516790043126,0.1337136978593965,0.13817363933083554,0.052566685736001914,0.44311071614113945,0.024387105981790298,0.10108144669098736
context-PCG,128,199684,32768,4,12,144,ID,48,0.8569979253917072,0.14078252657412396,0.666899899020791,2.740297501285871,0.6137026690282263,0.12206728407181795,0.13537890526155627,0.04167993677159146,0.3390465503325686,0.039827606511235396,0.17361748657126078
context-PCG,128,199684,32768,4,12,144,OOD,120,0.7080519034184756,0.1492640370325198,0.807725410660108,1.8914222101370493,0.5202830854574344,0.13837226337442793,0.13929153295854724,0.05692138532176609,0.4847363824645678,0.02670672483495254,0.09309045551651879
context-PCG,128,199684,32768,4,16,256,All,168,0.7458811181529613,0.16801820754224406,0.7776264296401114,2.549037735377039,0.7078113927702451,0.1596775160481532,0.16891695696505757,0.049378895721886085,0.4236667812136667,0.025407256832826387,0.10703331566486715
context-PCG,128,199684,32768,4,16,256,ID,48,0.8530265602079775,0.14223900988991042,0.6821141590674719,3.0997515122095742,0.7440390300983564,0.14698970814545945,0.17049168453862265,0.04395830961099511,0.3132440422972043,0.04023964801811076,0.2104898558142883
context-PCG,128,199684,32768,4,16,256,OOD,120,0.7030229413309549,0.1585666610460789,0.8158313378691673,2.3287522246440253,0.5596125258455721,0.16475263920923072,0.16828706593563156,0.051547130166242475,0.4678358767802517,0.02837117546024962,0.10012738526356713
context-PCG,128,199684,32768,4,24,576,All,168,0.783198810559582,0.1543217403120582,0.8203436093670982,3.0469504715431306,1.0546779361796947,0.18554323419396362,0.20046238920518325,0.05348922930923951,0.36443147984876606,0.023336114272087972,0.15948553190995962
context-PCG,128,199684,32768,4,24,576,ID,48,0.8744743176114677,0.14978624942988011,0.7790804356336594,4.065897370378177,1.16679851221967,0.17531881186490253,0.21033045214911297,0.04481726500671352,0.24837903326260855,0.042374774400330405,0.3300892032088399
context-PCG,128,199684,32768,4,24,576,OOD,120,0.7466886077388277,0.14090917855240678,0.8368488788604737,2.6393717120091122,0.6610688925209254,0.18963300312558806,0.19651516402761138,0.0569580150302499,0.4108524584832291,0.025211850979874273,0.11828023253623188
context-PCG,128,199684,32768,4,32,1024,All,168,0.793550388538956,0.14574804716421477,0.8852762633136341,3.3192916817608333,1.2701146998832495,0.20435221639594858,0.2180733867876586,0.06679769317131663,0.27771197241686635,0.02203962368931388,0.19206329396752073
context-PCG,128,199684,32768,4,32,1024,ID,48,0.8749025168626748,0.1342726803983029,0.8232704910139242,4.415178865194321,1.6284126294645505,0.19407126943891242,0.22957963868975637,0.058604362575958135,0.16092686743165052,0.03798596040465865,0.46068059028684083
context-PCG,128,199684,32768,4,32,1024,OOD,120,0.7610095372094684,0.13766923134840262,0.910078572233518,2.8809368083874385,0.7337405958320801,0.20846459517876303,0.21347088602681952,0.07007502540946002,0.3244260144109527,0.024632150871413037,0.131282850060207
context-PCG,128,199684,32768,4,48,2304,All,168,0.8024706792419669,0.14023294058499688,0.9994903189085779,3.548360193059558,1.0480127570157403,0.23248288789320556,0.24031369813850945,0.09263907858569703,0.1570775598194727,0.021205644257154013,0.15847764162632583
context-PCG,128,199684,32768,4,48,2304,ID,48,0.8804558320856185,0.12102554629070428,0.9047613168756167,4.375663737456004,1.1035275111104568,0.20801089890301225,0.24738944290826714,0.08201677685913936,0.0749362228113265,0.034238324547582216,0.3121897337429122
context-PCG,128,199684,32768,4,48,2304,OOD,120,0.7712766181045064,0.13556587285615726,1.0373819197217624,3.2174387753009794,0.8209040431451594,0.2422716834892829,0.23748340023060638,0.0968879992763201,0.18993409462273117,0.024255812286456915,0.146878369579414
context-PCG,128,199684,32768,8,8,64,All,168,0.5112200638631837,0.27519332366804317,0.05581309326241385,0.2130491149499892,0.463637862325485,0.00737961348475629,0.007710909415398011,0.0024011202448751233,0.9308339380437419,0.04161398669459767,0.07011005781956378
context-PCG,128,199684,32768,8,8,64,ID,48,0.7633339977001596,0.2333219474876731,0.057261076471760895,0.3649798511028308,0.6252937934839754,0.008731122278383874,0.009287991215875462,0.003939263544468209,0.8000106234103441,0.06600715970302934,0.17689663459538196
context-PCG,128,199684,32768,8,8,64,OOD,120,0.4103744903283934,0.2210967767930593,0.05523389997867503,0.15227682048885258,0.36634141310425355,0.006839009967305257,0.00708007669520703,0.0017858629250378886,0.9831632638971011,0.03955923273347282,0.06554679553046931
context-PCG,128,199684,32768,8,12,144,All,168,0.7366204381128763,0.16616835896961615,0.38386101590558175,1.1038715885508628,0.6785797549533854,0.050374913960695225,0.049041146041071446,0.028877385792189368,0.6087827884725162,0.02512752775778089,0.10261298681764755
context-PCG,128,199684,32768,8,12,144,ID,48,0.8517055264437575,0.15475852897844483,0.3097584343825777,1.539658900971214,0.9240538368262665,0.05800529150292274,0.05576762265991415,0.024228618829511064,0.44265517840782803,0.04378144039889686,0.26141633840430223
context-PCG,128,199684,32768,8,12,144,OOD,120,0.6905864027805236,0.14768510984745165,0.4135020485147834,0.9295566635827224,0.4491301726338572,0.04732276294380422,0.04635055539353436,0.03073689257726069,0.6752338324983914,0.026424218916552018,0.08035958409053265
context-PCG,128,199684,32768,8,16,256,All,168,0.7458837414631645,0.1687769468951205,0.4193091130859795,1.4152422087887924,0.6865546205125982,0.0640391326465067,0.06463096142258669,0.03015981331866762,0.5336112016811967,0.025521991336245355,0.1038189243195057
context-PCG,128,199684,32768,8,16,256,ID,48,0.8618813244092057,0.13904111670809996,0.3641245597973466,1.8217829416195552,0.9062204704637391,0.07012005383148785,0.07025528039472793,0.02781743402980884,0.3753720141636829,0.03933495881832537,0.25637124995802063
context-PCG,128,199684,32768,8,16,256,OOD,120,0.699484708284748,0.157295285799125,0.44138293440143267,1.2526259156564872,0.4937600982172544,0.06160676417251423,0.062381233833730176,0.03109676503421113,0.5969068766882022,0.02814369756565824,0.08834489097125515
context-PCG,128,199684,32768,8,24,576,All,168,0.7844735617055532,0.15501203244823805,0.4689521786002886,1.6427956269610495,0.6135542445115136,0.07320099625559076,0.07917285127387866,0.031955052383377036,0.48357020373944015,0.02344049837337171,0.09278000580535525
context-PCG,128,199684,32768,8,24,576,ID,48,0.8802173819484717,0.15083511420399728,0.41531959424416226,1.9741753712296486,0.7202164061150162,0.06908045010641213,0.08164050236033892,0.027916659348799486,0.3583652137313038,0.042671499956573634,0.20375039661319186
context-PCG,128,199684,32768,8,24,576,OOD,120,0.7461760336083858,0.1398521361619818,0.4904052123427391,1.51024372925361,0.5112852524633729,0.07484921471526221,0.07818579083929454,0.033570409597208056,0.5336521997426947,0.02502272209912579,0.09148053892401162
context-PCG,128,199684,32768,8,32,1024,All,168,0.7971899675602883,0.15136107981282984,0.5628684851385298,1.9154419852864175,0.6751311307148645,0.08171745014953467,0.08934809382827505,0.03543992297324746,0.4389956789978203,0.022888411235619223,0.10209149523033857
context-PCG,128,199684,32768,8,32,1024,ID,48,0.8934689217368582,0.11903458480946345,0.49859903814891976,2.2953176697095237,0.8213137681385201,0.0782433770752201,0.09298877278342839,0.029084607687157843,0.3540072239314516,0.03367507829548334,0.23235100531072103
context-PCG,128,199684,32768,8,32,1024,OOD,120,0.7586783858896603,0.14601502003581412,0.5885762639343739,1.763491711517175,0.5401327484543743,0.0831070793792605,0.08789182224621371,0.037982049087683316,0.47299106102436783,0.0261254019346735,0.09664201085606998
context-PCG,128,199684,32768,8,48,2304,All,168,0.8089607572939512,0.13960097406398744,0.7277490544532027,2.3885115952718827,0.9643855944077645,0.10088090305881836,0.10505466234116323,0.041897312593868044,0.35819059017203037,0.02111007999692348,0.14583176931485528
context-PCG,128,199684,32768,8,48,2304,ID,48,0.8902292471742688,0.11091146661218196,0.6422734279185534,2.9752870897452035,1.281325565948568,0.10852393748549118,0.11363156139850612,0.03351824594816809,0.3056175533759718,0.03137703490133213,0.36248909360577813
context-PCG,128,199684,32768,8,48,2304,OOD,120,0.7764533613418243,0.13697137018410968,0.7619393050670624,2.153801397482554,0.6799339190447837,0.09782368928814923,0.10162390271822606,0.04524893925214803,0.3792198048904538,0.02450728766619429,0.12165561405741504
context-PCG,128,199684,32768,16,8,64,All,168,0.511338911839996,0.2753524096994198,3.826195265299064e-06,2.136233526005479e-05,4.0962434148822224e-05,9.525204566683345e-07,5.72268592386698e-07,1.377755354375105e-06,1.0,0.04163804325201979,6.194227995529562e-06
context-PCG,128,199684,32768,16,8,64,ID,48,0.7639285889874764,0.2340529609559886,4.6395311710985725e-06,5.053138273443386e-05,6.804074038889659e-05,1.9662712039310768e-06,1.201136425580766e-06,1.672836870951026e-06,1.0,0.0662139646061588,1.9248836491901536e-05
context-PCG,128,199684,32768,16,8,64,OOD,120,0.41030304098100384,0.22076269029903667,3.50086090297926e-06,9.694716270303161e-06,6.766401495111492e-06,5.470201577632375e-07,3.2072145910907087e-07,1.2597227477447366e-06,1.0,0.03949945707522103,1.2106628391230204e-06
context-PCG,128,199684,32768,16,12,144,All,168,0.7385881000830492,0.16526050332406972,0.009342925054581756,0.053200327511181686,0.19707206049798415,0.0024828566026555737,0.0031023090515717782,0.00032817505637945573,0.9846255456407865,0.024990244293738872,0.029800701536395576
context-PCG,128,199684,32768,16,12,144,ID,48,0.8507315832440404,0.15468440187612859,0.024482880896897513,0.166195518429087,0.3436851608858474,0.00560983978916475,0.007048708489937969,0.0009450419231017614,0.9461894097427527,0.043760469720683356,0.09722909287542268
context-PCG,128,199684,32768,16,12,144,OOD,120,0.6937307068186527,0.14756406521250387,0.003286942717655453,0.008002251144019569,0.025309100490694823,0.0012320633280519032,0.0015237492762253016,8.142830969053349e-05,1.0,0.026402561283390233,0.004528372647980083
context-PCG,128,199684,32768,16,16,256,All,168,0.7475048388010487,0.1713685290926716,0.10372941410501617,0.4172092102346055,0.5416216160422977,0.015365557950211727,0.016356466543151104,0.005381112024700778,0.870915323761957,0.025913883354733925,0.08190254917186428
context-PCG,128,199684,32768,16,16,256,ID,48,0.8617880943094235,0.15245159485143508,0.12355729456370072,0.7699060263112187,0.8400941450872424,0.01953801861964161,0.022101883320525862,0.005999011881309906,0.7043473580852151,0.043128804969673265,0.2376640045972665
context-PCG,128,199684,32768,16,16,256,OOD,120,0.7017915365976989,0.1570283751017859,0.09579826192154234,0.2761304838039601,0.25038009332412076,0.013696573682439777,0.014058299832201202,0.0051339520820571265,0.9375425100326538,0.028095941182466035,0.0447986828541974
context-PCG,128,199684,32768,16,24,576,All,168,0.7770882611517733,0.16186493781625824,0.1896150176235962,0.7406861083138556,0.5900323232599023,0.025097486698844734,0.026729618174223452,0.01031712911346745,0.7713116371915454,0.024476776103525253,0.08922308478362047
context-PCG,128,199684,32768,16,24,576,ID,48,0.8733331706585433,0.16138980827064403,0.1665291641062746,1.0427576918154955,0.8445776062269506,0.028095156138685174,0.028510693518910515,0.009866809535499925,0.6305803464104732,0.04565744013226403,0.2389323830702632
context-PCG,128,199684,32768,16,24,576,OOD,120,0.7385902973490653,0.14577438682296667,0.19884935903052486,0.6198574749131998,0.39409104560732644,0.023898418922908556,0.026017188036348626,0.010497256944654459,0.8276041535039743,0.02608234719001141,0.07051183476071043
context-PCG,128,199684,32768,16,32,1024,All,168,0.7917762793285283,0.15838377501391682,0.26329344683992006,0.9817908023971886,0.6487186170033223,0.031449508237918526,0.03296646331658671,0.014236789346406455,0.7035577522945546,0.02395036412300384,0.09809746667066015
context-PCG,128,199684,32768,16,32,1024,ID,48,0.8954031096513958,0.11595639084564047,0.2428757377589742,1.400165385256211,0.8626086761855845,0.03457604313734914,0.03453564372224108,0.01338651573557092,0.5327380850600699,0.03280425219980412,0.24403340218651642
context-PCG,128,199684,32768,16,32,1024,OOD,120,0.7503255471993814,0.15436723796504292,0.2714605304722984,0.8144409692535798,0.4448082840220062,0.030198894278146277,0.03233879115432496,0.014576898790740669,0.7718856191883484,0.02761980333525248,0.07958630010184573
context-PCG,128,199684,32768,16,48,2304,All,168,0.8073234762007055,0.14572772459378186,0.4077689877400796,1.6707833521068096,1.3384567264433895,0.04275545088707332,0.041771147854714835,0.019642568154570907,0.6026481894687528,0.022036550565430198,0.20239778953612003
context-PCG,128,199684,32768,16,48,2304,ID,48,0.8951509181168015,0.1071267364063237,0.38504039620359737,2.802665920307239,1.887014664370886,0.05277975314917659,0.04657653761872396,0.017370356867710702,0.4551711209739248,0.030306328549782564,0.5338395279752581
context-PCG,128,199684,32768,16,48,2304,OOD,120,0.772192499434267,0.1446168728826597,0.4168604243546724,1.218030324826638,0.6198557606961925,0.03874572998223201,0.03984899194911118,0.020551452669314994,0.6616390168666839,0.02587524166807203,0.11090626762739074
context-PCG,128,199684,32768,32,8,64,All,168,0.511338911839996,0.2753524096994199,3.1463309668532973e-06,1.9209770222177655e-05,2.7506167350418798e-05,7.524974369758974e-07,3.50315344478856e-07,1.3707716305113477e-06,1.0,0.0416380432520198,4.159407891451787e-06
context-PCG,128,199684,32768,32,8,64,ID,48,0.7639285889874764,0.23405296095598863,2.378957533485012e-06,4.316153043622409e-05,4.190900011958711e-05,1.2722975419876548e-06,4.135456220429508e-07,1.6563756301361348e-06,1.0,0.06621396460615882,1.1856124525250722e-05
context-PCG,128,199684,32768,32,8,64,OOD,120,0.41030304098100384,0.22076269029903667,3.4532803402006116e-06,9.62906613655908e-06,6.641812841991899e-06,5.445773949711944e-07,3.2502323345321806e-07,1.2565300306614328e-06,1.0,0.03949945707522103,1.1883711006535765e-06
context-PCG,128,199684,32768,32,12,144,All,168,0.738233445184776,0.165172497137825,4.1972863510322675e-06,5.2488375870100685e-05,7.599405880512344e-05,1.5247436523950563e-06,5.145714921251879e-07,2.20262656791008e-06,1.0,0.024976936237371027,1.1491615093829819e-05
context-PCG,128,199684,32768,32,12,144,ID,48,0.8500356493655407,0.15414857037704524,4.1937391704512566e-06,0.00012468364639059342,0.00011238379553407183,2.904610024501153e-06,6.910735314373065e-07,3.1876832243445583e-06,1.0,0.04360888211516769,3.179355915603264e-05
context-PCG,128,199684,32768,32,12,144,OOD,120,0.69351256351247,0.1477933060425541,4.1987052232646725e-06,2.3610267661903586e-05,1.314710436224236e-05,9.727971035526176e-07,4.4397067640034037e-07,1.8086039053362886e-06,1.0,0.026443577672138677,2.3523154375244056e-06
context-PCG,128,199684,32768,32,16,256,All,168,0.7476047920544868,0.1702096706376575,5.29623671016411e-05,0.00043719210142019113,0.0023261171952020333,2.552137953821385e-05,2.5565473915801737e-05,4.353390262543772e-06,1.0,0.025738643927828164,0.000351749122111617
context-PCG,128,199684,32768,32,16,256,ID,48,0.8611704376528427,0.14978076842939408,0.00017287568634097547,0.0014297463119418978,0.004220921793085046,8.513329725682302e-05,8.751817801962072e-05,9.245434969310887e-06,1.0,0.04237322381634844,0.0011941056633983445
context-PCG,128,199684,32768,32,16,256,OOD,120,0.7021785338151445,0.15656803694187985,4.9970394059073445e-06,4.017041721150842e-05,1.914849241356484e-05,1.6766124507701838e-06,7.843922742741445e-07,2.3965723798369252e-06,1.0,0.028013576235007453,3.426100004127828e-06
context-PCG,128,199684,32768,32,24,576,All,168,0.7785011657577395,0.15929298572951617,0.026305813529255612,0.12018766646984395,0.2114287091467752,0.003801792412039971,0.004091317551943266,0.0009258785312258946,0.9738444457096713,0.024087852497057485,0.03197167493751803
context-PCG,128,199684,32768,32,24,576,ID,48,0.8721697806894363,0.16137314726712668,0.028166266439560144,0.2048216332623269,0.34467044435201866,0.004299304683324056,0.004979760917194607,0.0012476398897357556,0.9133450208852688,0.045652726707179826,0.0975078311758895
context-PCG,128,199684,32768,32,24,576,OOD,120,0.7410337197850609,0.14272144484237273,0.0255616323651338,0.08633407975285076,0.1084811290029277,0.0036027875035263375,0.0037359402058427297,0.0007971739878219503,0.9980442156394322,0.025536106561432986,0.019409736730053594
context-PCG,128,199684,32768,32,32,1024,All,168,0.7897534843917675,0.1600532713196554,0.06430035386057123,0.31247671778934694,0.46722038473643684,0.007933944897169,0.008054463067050373,0.0024219170314132184,0.9322992526881752,0.024202820818274146,0.07065179712470145
context-PCG,128,199684,32768,32,32,1024,ID,48,0.8955750258595535,0.11956485158534289,0.07516906394933656,0.5900319860472033,0.744967709062472,0.010641879183822256,0.011027083710359821,0.0029625518958103186,0.8245641933754086,0.03382509163172353,0.21075258060875054
context-PCG,128,199684,32768,32,32,1024,OOD,120,0.7474248678046531,0.15485498554416252,0.0599528698250651,0.2014546104862044,0.2089278568875286,0.006850771182507698,0.006865414809726595,0.0022056630856543778,0.9753932764132818,0.027707072450060245,0.03738193670211343
context-PCG,128,199684,32768,32,48,2304,All,168,0.8048250184987147,0.14723839532082716,0.13305772639190153,0.5207750297240203,0.45296657817360053,0.012651515932659388,0.01312126235071831,0.004539716613570376,0.8733069054516298,0.0222649900882255,0.0684963752243913
context-PCG,128,199684,32768,32,48,2304,ID,48,0.8965717478991602,0.11201614913479903,0.1361253919700781,0.8054666919633746,0.6324858483844149,0.01351879950622479,0.014902805414749263,0.005725678958090865,0.7205303915155431,0.03168955138971513,0.17893127866345168
context-PCG,128,199684,32768,32,48,2304,OOD,120,0.7681263267385365,0.14392533439517555,0.13183066016063089,0.4068983648282786,0.2901249832528693,0.012304602503233229,0.01240864512510593,0.004065331675762181,0.9344175110260645,0.02575150973327252,0.051909945955645645
context-PCG,128,199684,32768,48,8,64,All,168,0.511338911839996,0.2753524096994199,3.146336532771394e-06,1.920976276824593e-05,2.7506166803177947e-05,7.58958706336714e-07,3.661167236469423e-07,1.3707914174347701e-06,1.0,0.0416380432520198,4.159407808699513e-06
