method,context_size,tolerance,reached,minimum_audited_depth,residual_at_selected_depth,inference_ms
context-PCG,8,0.01,True,16,2.136233526005479e-05,5.378082799143158
context-PCG,8,0.001,True,16,2.136233526005479e-05,5.378082799143158
context-PCG,12,0.1,True,16,0.053200327511181686,5.542457499541342
context-PCG,12,0.01,True,32,5.2488375870100685e-05,7.949468400329351
context-PCG,12,0.001,True,32,5.2488375870100685e-05,7.949468400329351
context-PCG,16,0.1,True,32,0.00043719210142019113,7.988160848617554
context-PCG,16,0.01,True,32,0.00043719210142019113,7.988160848617554
context-PCG,16,0.001,True,32,0.00043719210142019113,7.988160848617554
context-PCG,24,0.1,True,48,0.01799907916990506,10.673007951118052
context-PCG,24,0.01,True,64,0.00016605501352948729,13.03318720019888
context-PCG,24,0.001,True,64,0.00016605501352948729,13.03318720019888
context-PCG,32,0.1,True,48,0.06833309359661226,11.29271284735296
context-PCG,32,0.01,True,64,0.009602258781742815,13.570190648897553
context-PCG,32,0.001,True,96,0.00024339580099440295,18.257863601320423
context-PCG,48,0.1,True,64,0.0759632068946389,18.41954235278536
context-PCG,48,0.01,True,96,0.0049442532073866695,23.128318451927043
context-PCG,48,0.001,True,128,0.0004481214833243771,27.7802538999822
hybrid-PCG,8,0.1,True,16,3.0575898263809266e-05,5.342787399422377
hybrid-PCG,8,0.01,True,16,3.0575898263809266e-05,5.342787399422377
hybrid-PCG,8,0.001,True,16,3.0575898263809266e-05,5.342787399422377
hybrid-PCG,12,0.1,True,16,0.06069295690407387,5.492177201085724
hybrid-PCG,12,0.01,True,32,5.4097406551323965e-05,8.046755648683757
hybrid-PCG,12,0.001,True,32,5.4097406551323965e-05,8.046755648683757
hybrid-PCG,16,0.1,True,32,0.0003005178694073492,8.075481650303118
hybrid-PCG,16,0.01,True,32,0.0003005178694073492,8.075481650303118
hybrid-PCG,16,0.001,True,32,0.0003005178694073492,8.075481650303118
hybrid-PCG,24,0.1,True,48,0.0008143058736485138,10.97155669995118
hybrid-PCG,24,0.01,True,48,0.0008143058736485138,10.97155669995118
hybrid-PCG,24,0.001,True,48,0.0008143058736485138,10.97155669995118
hybrid-PCG,32,0.1,True,48,0.07755669924953115,11.235469550592825
hybrid-PCG,32,0.01,True,64,0.006560086410207124,13.719806750304995
hybrid-PCG,32,0.001,True,96,0.00021354519961794104,18.7963618489448
hybrid-PCG,48,0.1,True,64,0.09311042791679414,18.288335399120115
hybrid-PCG,48,0.01,True,96,0.004422430058119539,23.26424315106124
hybrid-PCG,48,0.001,True,128,0.00036678620998434027,28.500867501134053
identity-CG,8,0.1,True,16,2.4677841805172696e-05,4.544166999403387
identity-CG,8,0.01,True,16,2.4677841805172696e-05,4.544166999403387
identity-CG,8,0.001,True,16,2.4677841805172696e-05,4.544166999403387
identity-CG,12,0.1,True,32,4.550562243820628e-05,7.179970652214252
identity-CG,12,0.01,True,32,4.550562243820628e-05,7.179970652214252
identity-CG,12,0.001,True,32,4.550562243820628e-05,7.179970652214252
identity-CG,16,0.1,True,32,0.01841804202434729,7.079035398783162
identity-CG,16,0.01,True,48,8.134405162589738e-05,9.206317749340087
identity-CG,16,0.001,True,48,8.134405162589738e-05,9.206317749340087
identity-CG,24,0.1,True,48,0.03829510986231196,9.299349098000675
identity-CG,24,0.01,True,64,0.004860093230079267,11.629923048894852
identity-CG,24,0.001,True,96,0.00017538042913566807,16.497150500072166
identity-CG,32,0.1,True,64,0.03966175860564575,11.764363950351251
identity-CG,32,0.01,True,96,0.0025344937369784783,16.619375650770962
identity-CG,32,0.001,True,128,0.00033134480621633866,21.360185800585896
identity-CG,48,0.1,True,96,0.0355957557677313,20.030882200808264
identity-CG,48,0.01,True,128,0.006205112786292754,24.9120345513802
identity-CG,48,0.001,False,-1,0.006205112786292754,-1.0
looped-Chebyshev,8,0.1,True,64,0.06655363453033451,23.11109739821404
looped-Chebyshev,8,0.01,False,-1,0.01801364985615464,-1.0
looped-Chebyshev,8,0.001,False,-1,0.01801364985615464,-1.0
looped-Chebyshev,12,0.1,True,128,0.09286421210882027,26.84185199905187
looped-Chebyshev,12,0.01,False,-1,0.09286421210882027,-1.0
looped-Chebyshev,12,0.001,False,-1,0.09286421210882027,-1.0
looped-Chebyshev,16,0.1,False,-1,0.12441978006002799,-1.0
looped-Chebyshev,16,0.01,False,-1,0.12441978006002799,-1.0
looped-Chebyshev,16,0.001,False,-1,0.12441978006002799,-1.0
looped-Chebyshev,24,0.1,False,-1,0.16134132572361043,-1.0
looped-Chebyshev,24,0.01,False,-1,0.16134132572361043,-1.0
looped-Chebyshev,24,0.001,False,-1,0.16134132572361043,-1.0
looped-Chebyshev,32,0.1,False,-1,1.1043377257883549,-1.0
looped-Chebyshev,32,0.01,False,-1,1.1043377257883549,-1.0
looped-Chebyshev,32,0.001,False,-1,1.1043377257883549,-1.0
looped-Chebyshev,48,0.1,False,-1,1.7126970500463532,-1.0
looped-Chebyshev,48,0.01,False,-1,1.7126970500463532,-1.0
looped-Chebyshev,48,0.001,False,-1,1.7126970500463532,-1.0
looped-HB,8,0.1,True,96,0.06792929890118582,24.0125454030931
looped-HB,8,0.01,False,-1,0.042655083971776094,-1.0
looped-HB,8,0.001,False,-1,0.042655083971776094,-1.0
looped-HB,12,0.1,False,-1,0.22467069801600048,-1.0
looped-HB,12,0.01,False,-1,0.22467069801600048,-1.0
looped-HB,12,0.001,False,-1,0.22467069801600048,-1.0
looped-HB,16,0.1,False,-1,0.28373791519455455,-1.0
looped-HB,16,0.01,False,-1,0.28373791519455455,-1.0
looped-HB,16,0.001,False,-1,0.28373791519455455,-1.0
looped-HB,24,0.1,False,-1,0.3237338096923416,-1.0
looped-HB,24,0.01,False,-1,0.3237338096923416,-1.0
looped-HB,24,0.001,False,-1,0.3237338096923416,-1.0
looped-HB,32,0.1,False,-1,0.39113843424378764,-1.0
looped-HB,32,0.01,False,-1,0.39113843424378764,-1.0
looped-HB,32,0.001,False,-1,0.39113843424378764,-1.0
looped-HB,48,0.1,False,-1,0.49853074918722823,-1.0
looped-HB,48,0.01,False,-1,0.49853074918722823,-1.0
looped-HB,48,0.001,False,-1,0.49853074918722823,-1.0
looped-Richardson,8,0.1,False,-1,0.29006484514486275,-1.0
looped-Richardson,8,0.01,False,-1,0.29006484514486275,-1.0
looped-Richardson,8,0.001,False,-1,0.29006484514486275,-1.0
looped-Richardson,12,0.1,False,-1,0.8875133455509231,-1.0
looped-Richardson,12,0.01,False,-1,0.8875133455509231,-1.0
looped-Richardson,12,0.001,False,-1,0.8875133455509231,-1.0
looped-Richardson,16,0.1,False,-1,1.1478657474120457,-1.0
looped-Richardson,16,0.01,False,-1,1.1478657474120457,-1.0
looped-Richardson,16,0.001,False,-1,1.1478657474120457,-1.0
looped-Richardson,24,0.1,False,-1,1.2221539783335866,-1.0
looped-Richardson,24,0.01,False,-1,1.2221539783335866,-1.0
looped-Richardson,24,0.001,False,-1,1.2221539783335866,-1.0
looped-Richardson,32,0.1,False,-1,1.3102326364744277,-1.0
looped-Richardson,32,0.01,False,-1,1.3102326364744277,-1.0
looped-Richardson,32,0.001,False,-1,1.3102326364744277,-1.0
looped-Richardson,48,0.1,False,-1,1.3794809207320213,-1.0
looped-Richardson,48,0.01,False,-1,1.3794809207320213,-1.0
looped-Richardson,48,0.001,False,-1,1.3794809207320213,-1.0
optimized-CG,8,0.1,True,16,2.4813577868069725e-05,4.338905599433929
optimized-CG,8,0.01,True,16,2.4813577868069725e-05,4.338905599433929
optimized-CG,8,0.001,True,16,2.4813577868069725e-05,4.338905599433929
optimized-CG,12,0.1,True,32,4.5413891871783905e-05,6.583611300447956
optimized-CG,12,0.01,True,32,4.5413891871783905e-05,6.583611300447956
optimized-CG,12,0.001,True,32,4.5413891871783905e-05,6.583611300447956
optimized-CG,16,0.1,True,32,0.01835620637045087,6.610403349623084
optimized-CG,16,0.01,True,48,8.140458699233268e-05,8.930182550102472
optimized-CG,16,0.001,True,48,8.140458699233268e-05,8.930182550102472
optimized-CG,24,0.1,True,48,0.038241361617803574,9.067584949661978
optimized-CG,24,0.01,True,64,0.004808925023672517,11.42703004879877
optimized-CG,24,0.001,True,96,0.00017551209014394093,16.088046549702995
optimized-CG,32,0.1,True,64,0.03973119384664594,11.42556334962137
optimized-CG,32,0.01,True,96,0.0025400743155668416,16.115456700208597
optimized-CG,32,0.001,True,128,0.00033215493439928606,20.78306204930413
optimized-CG,48,0.1,True,96,0.0355714909119775,18.162261450197548
optimized-CG,48,0.01,True,128,0.006211884396786092,22.86238204978872
optimized-CG,48,0.001,False,-1,0.006211884396786092,-1.0
population-PCG,8,0.1,True,16,2.2926567556592866e-05,4.666909898514859
population-PCG,8,0.01,True,16,2.2926567556592866e-05,4.666909898514859
population-PCG,8,0.001,True,16,2.2926567556592866e-05,4.666909898514859
population-PCG,12,0.1,True,32,5.594901982757347e-05,7.178964151535183
population-PCG,12,0.01,True,32,5.594901982757347e-05,7.178964151535183
population-PCG,12,0.001,True,32,5.594901982757347e-05,7.178964151535183
population-PCG,16,0.1,True,32,0.0034340188077142723,7.2014773497357965
population-PCG,16,0.01,True,32,0.0034340188077142723,7.2014773497357965
population-PCG,16,0.001,True,48,8.679927707686409e-05,9.564701648196204
population-PCG,24,0.1,True,48,0.013446376997048223,9.876058049849236
population-PCG,24,0.01,True,64,0.00017041795908445467,12.253214701195247
population-PCG,24,0.001,True,64,0.00017041795908445467,12.253214701195247
population-PCG,32,0.1,True,64,0.022853882042129785,12.57121265225578
population-PCG,32,0.01,True,96,0.00021948817987188648,17.297456398955546
population-PCG,32,0.001,True,96,0.00021948817987188648,17.297456398955546
population-PCG,48,0.1,True,64,0.09470208295914784,16.803893001633696
population-PCG,48,0.01,True,96,0.009616832960004753,21.51520595070906
population-PCG,48,0.001,True,128,0.0004722552227922735,26.131983697996475
