scenario,comparison,reference,candidate,n_geometry_batches,geometric_mean_gain,gain_ci95_lower,gain_ci95_upper,median_gain,candidate_win_rate,win_rate_ci95_lower,win_rate_ci95_upper,average_precision_delta_mean,average_precision_delta_ci95_lower,average_precision_delta_ci95_upper,coverage_delta_mean,coverage_delta_ci95_lower,coverage_delta_ci95_upper
OOD six obstacles,CG / angular-Jacobi-PCG,identity-CG,angular-Jacobi-PCG,192,3.5892866689032665,3.425396366773429,3.761018408419082,3.577711933279467,1.0,0.9803841471883398,0.9999999999999999,0.0025509041397236165,0.0012573611138016723,0.0038444471656455606,0.821619566006575,0.8147689870264945,0.8284701449866556
OOD six obstacles,angular-Jacobi-PCG / context-PCG,angular-Jacobi-PCG,context-PCG,192,0.9818443832404702,0.9617237391290867,1.0023859801712398,0.9813473579680533,0.4375,0.3692361222491698,0.5082158593522876,-4.975165395719577e-05,-0.00024529101355414264,0.00014578770563975112,0.0021773372621586074,0.0014348046260946488,0.002919869898222566
OOD wavenumber 12,CG / context-PCG,identity-CG,context-PCG,192,2.0494837092655622,1.9714522709806228,2.1306036856046275,2.0817826295500947,1.0,0.9803841471883398,0.9999999999999999,0.003447325024341867,0.002057592761852177,0.004837057286831557,0.7916533652047898,0.7844036425726023,0.7989030878369773
OOD wavenumber 12,CG / hybrid-PCG,identity-CG,hybrid-PCG,192,1.8708261252505687,1.7961111326484518,1.9486491271612763,1.9288193341560458,0.9739583333333334,0.9404959170712583,0.9888265557843556,0.004078322359109379,0.0026025928086027043,0.0055540519096160534,0.7091986077502952,0.6987425593234516,0.7196546561771388
OOD wavenumber 12,CG / angular-Jacobi-PCG,identity-CG,angular-Jacobi-PCG,192,1.8593717943351278,1.786684038685585,1.9350167095646347,1.891554729431495,0.984375,0.9550749394965397,0.9946722030921646,0.003945977483584254,0.0024988452365933386,0.00539310973057517,0.7252853162717656,0.71603322006648,0.7345374124770513
OOD wavenumber 12,angular-Jacobi-PCG / context-PCG,angular-Jacobi-PCG,context-PCG,192,1.1022452397684213,1.0812762376883736,1.1236208900600055,1.087025217633517,0.7708333333333334,0.7064161315751911,0.8246252814851598,-0.0004986524592423871,-0.0010248790506060391,2.757413212126482e-05,0.06636804893302421,0.06024022297257912,0.07249587489346931
All,CG / context-PCG,identity-CG,context-PCG,768,2.241488774700095,2.168927089236227,2.3164780190355763,2.3189511271898042,0.9635416666666666,0.9478118998980538,0.9746571662937658,0.002057982345845267,0.001451197609033436,0.0026647670826570975,0.7278766177812864,0.7182571340994217,0.7374961014631511
All,CG / hybrid-PCG,identity-CG,hybrid-PCG,768,2.0149675651101866,1.9432138543588782,2.0893708015403245,1.9929772002245785,0.92578125,0.9050482147185266,0.9422758994520495,0.0021121016114942015,0.0014632539825582738,0.0027609492404301293,0.6812939217532327,0.6698774359906582,0.6927104075158071
All,CG / angular-Jacobi-PCG,identity-CG,angular-Jacobi-PCG,768,2.032871425117037,1.9626734792456884,2.1055801052784573,2.0462144513790164,0.9309895833333334,0.9108340336588298,0.9468549014801938,0.0024920720074683178,0.0018570234303414215,0.003127120584595214,0.6880808649628231,0.6767088419361019,0.6994528879895442
All,angular-Jacobi-PCG / context-PCG,angular-Jacobi-PCG,context-PCG,768,1.1026220089502452,1.0885341064234761,1.1168922383296433,1.0994741699723112,0.7005208333333334,0.6671937598081447,0.7318518474770809,-0.00043408966162305135,-0.0006495399176049629,-0.00021863940564113984,0.03979575281846337,0.03655361389810384,0.0430378917388229
