seed,method,network_width,parameter_count,dataset_size,training_seconds,context_size,context_measurements,scenario,regime,task,auc,average_precision,iou_top7,centroid_error,area_matched_iou,exact_score_correlation,relative_score_error,mean_relative_residual,covariance_relative_residual,posterior_std_mean,uq_error_correlation,numerical_coverage_95
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,15,0.9998708010335917,0.9909090909090909,0.18181818181818182,0.005333067383617163,0.8181818181818182,0.9999999996701847,2.8494582693383563e-06,0.00016867017257027328,3.5268894862383604e-06,0.009126996621489525,-0.0643983598719808,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,16,1.0,0.9999999999999999,0.18181818181818182,0.01204614620655775,1.0,0.9999999993877632,4.639858161681332e-06,0.00017413098248653114,3.680617965073907e-06,0.010160517878830433,-0.06066760206184641,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,17,1.0,1.0,0.12727272727272726,0.011987995356321335,1.0,0.9999999995491702,2.8628624022530857e-06,0.0001764929183991626,3.6407820971362526e-06,0.007346205413341522,-0.05427355376244255,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,18,1.0,1.0,0.16363636363636364,0.0203875582665205,1.0,0.9999999994969785,4.715361228591064e-06,0.00017507869051769376,4.229998012306169e-06,0.008865205571055412,-0.17844013615246496,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,19,1.0,1.0,0.10909090909090909,0.016007237136363983,1.0,0.9999999995289536,2.890928271881421e-06,0.00018429120245855302,4.500783688854426e-06,0.007487196009606123,-0.04232504544812578,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,20,1.0,1.0,0.12727272727272726,0.030853206291794777,1.0,0.9999999995668503,2.9549728424171917e-06,0.00016238617536146194,3.4790305107890163e-06,0.0084929084405303,-0.04948879695913617,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,21,1.0,1.0,0.07272727272727272,0.022868672385811806,1.0,0.9999999994562587,3.479392034932971e-06,0.0002045234723482281,3.927812031179201e-06,0.007969691418111324,0.05730138378710041,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,22,0.9989730423620026,0.8761904761904762,0.09090909090909091,0.02069697715342045,0.42857142857142855,0.9999999993467931,3.992410256614676e-06,0.00019268544565420598,3.658075684143114e-06,0.008030607365071774,-0.010420192586067021,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,23,0.9998161426732854,0.982142857142857,0.12727272727272726,0.007789338007569313,0.75,0.9999999995243689,2.869844365704921e-06,0.00018054163956549019,5.170609711058205e-06,0.008579812943935394,0.013207114824870676,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,24,1.0,1.0,0.14545454545454545,0.01648278534412384,1.0,0.9999999994921936,3.65124833479058e-06,0.00018112672842107713,4.656179953599349e-06,0.00822305865585804,-0.0035689928410410883,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,25,1.0,1.0,0.2,0.008686603046953678,1.0,0.9999999997386686,2.9501120479835663e-06,0.00017182165174745023,3.984559043601621e-06,0.009582556784152985,-0.0873733387409496,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,26,0.9998389175257733,0.9861111111111112,0.14545454545454545,0.011717944405972958,0.7777777777777778,0.9999999996625355,3.5813172871712595e-06,0.00016555198817513883,2.7824059998238226e-06,0.008889546617865562,-0.1096072562256974,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,27,0.999426523297491,0.9535634118967453,0.16363636363636364,0.027635913342237473,0.8,0.9999999995997563,3.0363507903530262e-06,0.0001708573108771816,4.575968432618538e-06,0.008735709823668003,-0.11158526844375627,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,28,0.9997647888980359,0.986013986013986,0.2,0.025130007416009903,0.8333333333333334,0.9999999997471922,2.582299430287094e-06,0.00013362950994633138,4.303974492358975e-06,0.009481904096901417,-0.1166580743902669,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,29,0.9998389175257733,0.9861111111111112,0.14545454545454545,0.007809119299054146,0.7777777777777778,0.9999999996011256,3.454285206316854e-06,0.00018140611064154655,2.8832876068918267e-06,0.008373797871172428,-0.008318220184354559,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,30,1.0,1.0,0.09090909090909091,0.010828164406120777,1.0,0.9999999994643648,4.30338695878163e-06,0.00016783871978987008,3.684230478029349e-06,0.007195074111223221,0.03370659399398081,1.0
17,identity-CG,0,0,0,0.0,12,144,ID one obstacle,ID,31,1.0,1.0,0.12727272727272726,0.01006264891475439,1.0,0.9999999995778195,3.1066563224158017e-06,0.00015873358643148094,4.125530722376425e-06,0.008288294076919556,-0.09962843527886114,1.0
17,exact,0,0,0,0.0,12,144,ID one obstacle,ID,0,1.0,1.0,0.10909090909090909,0.02599850296974182,1.0,1.0,0.0,7.085760444169864e-05,1.6107177316371235e-06,0.007515669800341129,0.0,1.0
17,exact,0,0,0,0.0,12,144,ID one obstacle,ID,1,0.9997416020671834,0.980909090909091,0.18181818181818182,0.009756664745509624,0.8181818181818182,1.0,0.0,7.59180256864056e-05,1.3771871181234019e-06,0.010361661203205585,0.0,1.0
17,exact,0,0,0,0.0,12,144,ID one obstacle,ID,2,1.0,1.0,0.12727272727272726,0.010004814714193344,1.0,1.0,0.0,6.657141784671694e-05,1.4210289691618527e-06,0.008682661689817905,0.0,1.0
17,exact,0,0,0,0.0,12,144,ID one obstacle,ID,3,0.999892055267703,0.9935897435897435,0.21818181818181817,0.017789797857403755,0.8461538461538461,1.0,0.0,5.641704410663806e-05,1.374564021716651e-06,0.009866379201412201,0.0,1.0
