method,depth,context_size,context_measurements,regime_class,n_tasks,average_precision_mean,transformed_mean_relative_residual_mean,mean_relative_residual_mean,covariance_relative_residual_mean,transformed_covariance_relative_residual_mean,relative_score_error_mean,numerical_coverage_95_mean,raw_condition_median,transformed_condition_median,condition_reduction_median
Jacobi-PCG,1,32,1024,ID,48,0.8583846032614754,2.3141418993473053,2.3321084479490914,0.4063189427057902,0.4076486186434825,0.449406831835707,0.04947916587843788,45013.458984375,45113.330078125,0.9991839528083801
Jacobi-PCG,1,32,1024,OOD,120,0.6778968140436628,1.5017600069443384,1.5228538324435552,0.41276318778594334,0.41595477759838106,0.3562145325044791,0.09316538907587524,10494.00244140625,10746.74462890625,0.9930070638656616
Jacobi-PCG,1,48,2304,All,168,0.7302743542647344,1.7502732298203878,1.7728385478258133,0.41111002631840254,0.413679398418892,0.3561256520804904,0.06019952489268252,26624.3369140625,27054.9013671875,0.992791324853897
Jacobi-PCG,1,48,2304,ID,48,0.8529024747180403,2.339677542448044,2.360460956891378,0.4000648104896148,0.40166657231748104,0.42910907603800297,0.036484905659259874,93973.1376953125,92423.3193359375,0.998065173625946
Jacobi-PCG,1,48,2304,OOD,120,0.6812231060834121,1.5145115047693252,1.5377895841995874,0.4155281126499176,0.41848452885945636,0.32693228249748546,0.06968537258605158,24020.501953125,24927.01171875,0.9903935790061951
Jacobi-PCG,2,8,64,All,168,0.6012301016804326,1.3204277026511373,1.3496298520337968,0.1991882179642007,0.19924686736028105,0.23989622133030064,0.19974641174693322,445.6859893798828,427.49049377441406,1.0190576314926147
Jacobi-PCG,2,8,64,ID,48,0.8395932467603253,1.6958389195303123,1.6991605920096238,0.1661636987701058,0.1665456528620173,0.23795518263553575,0.1765518661025756,1829.6270751953125,1818.7857360839844,1.003862202167511
Jacobi-PCG,2,8,64,OOD,120,0.5058848436484754,1.1702632158994675,1.2098175560434659,0.21239802564183868,0.21232735315958656,0.2406726368082066,0.20902423000467626,406.63999938964844,402.89137268066406,1.029789686203003
Jacobi-PCG,2,12,144,All,168,0.7320410166686013,1.9048863926104136,1.9313629099300929,0.2278950233677668,0.22801790184651807,0.25864183836217436,0.12617680731429048,1489.9290771484375,1461.4237670898438,1.0068761706352234
Jacobi-PCG,2,12,144,ID,48,0.8628038987939904,2.6182190055648484,2.626721722384294,0.17093481301950908,0.17147416722339884,0.2771159997209906,0.07275722658960145,5079.3985595703125,4905.1568603515625,1.0034428834915161
Jacobi-PCG,2,12,144,OOD,120,0.6797358638184456,1.6195533474286397,1.6532193849484125,0.2506791075070699,0.25063539569576576,0.25125217381864784,0.1475446396041661,1234.2193603515625,1246.4429321289062,1.0089395642280579
Jacobi-PCG,2,16,256,All,168,0.746439564894357,2.2053898736124946,2.2292019490684782,0.2381285754963755,0.23843076443743133,0.2822816454406295,0.11938927021747939,2769.3154296875,2816.3656005859375,0.9992445111274719
Jacobi-PCG,2,16,256,ID,48,0.8746905455241681,2.7149645934502282,2.7281963725884757,0.18210415402427313,0.18272205007572964,0.30588419176638126,0.07283694528450718,9666.582397460938,9311.07958984375,0.9977576732635498
Jacobi-PCG,2,16,256,OOD,120,0.6951391726424326,2.0015599856774013,2.0296041796604793,0.2605383440852165,0.26071425018211203,0.27284062691032884,0.1380102001906683,2542.6280517578125,2563.245849609375,1.002553641796112
Jacobi-PCG,2,24,576,All,168,0.7549127278535848,2.375949734733218,2.3966207653284073,0.2478161232457274,0.24791117544685087,0.30507908930026345,0.1046829423700858,6717.5966796875,6707.093505859375,0.9954241216182709
Jacobi-PCG,2,24,576,ID,48,0.8721631792659524,2.972124087313811,2.9740928734342256,0.17946547859658793,0.17969484689335025,0.3399967433263858,0.06361606990685682,23377.8388671875,22730.95947265625,1.0001952052116394
Jacobi-PCG,2,24,576,OOD,120,0.7080125472886376,2.137479993700981,2.16563192208608,0.27515638110538326,0.2751977068682512,0.2911120276898146,0.12110969135537739,5944.91455078125,6192.035400390625,0.9857743084430695
Jacobi-PCG,2,32,1024,All,168,0.7513126980663006,2.4249863567806424,2.4516161247378303,0.25340603748779916,0.2534994115343406,0.31516509840176216,0.08207300572775278,11775.0068359375,11839.533203125,0.9960493743419647
Jacobi-PCG,2,32,1024,ID,48,0.8606742727587767,3.056098180512587,3.0647781466444335,0.185110163098822,0.18577204660202062,0.35551647407313186,0.047831631699712746,45013.458984375,45113.330078125,0.9991839528083801
Jacobi-PCG,2,32,1024,OOD,120,0.7075680681893103,2.1725416272878646,2.2063513159751893,0.2807243872433901,0.2805903575072685,0.29902454813321433,0.09576955533896879,10494.00244140625,10746.74462890625,0.9930070638656616
Jacobi-PCG,2,48,2304,All,168,0.7531317681863572,2.4870027672676813,2.5124370675711405,0.266909378580749,0.2673686329452764,0.3172378291686376,0.062340560108644937,26624.3369140625,27054.9013671875,0.992791324853897
Jacobi-PCG,2,48,2304,ID,48,0.8661791695925048,3.1677217359344163,3.1792731657624245,0.1926650440630813,0.1933190102378527,0.3640923257917166,0.035581419341421325,93973.1376953125,92423.3193359375,0.998065173625946
Jacobi-PCG,2,48,2304,OOD,120,0.7079128076238982,2.2147151798009874,2.245702628294627,0.2966071123878161,0.2969884820282459,0.298496030519406,0.07304421641553437,24020.501953125,24927.01171875,0.9903935790061951
Jacobi-PCG,4,8,64,All,168,0.5494118443911095,1.1143425087488832,1.1368785047282775,0.08711980324282884,0.08731026977433685,0.08873880855805635,0.3395286633278287,445.6859893798828,427.49049377441406,1.0190576314926147
Jacobi-PCG,4,8,64,ID,48,0.8032249127990548,0.9504147836317619,0.9561444893479347,0.058781730709597434,0.05893361083387083,0.06632282730424773,0.2953337546593199,1829.6270751953125,1818.7857360839844,1.003862202167511
Jacobi-PCG,4,8,64,OOD,120,0.44788661702793126,1.1799135987957319,1.2091721108804145,0.09845503225612139,0.09866093335052327,0.0977052010595798,0.3572066267952323,406.63999938964844,402.89137268066406,1.029789686203003
Jacobi-PCG,4,12,144,All,168,0.7524543232636791,1.7014702732364337,1.7226126445900827,0.12143793420511338,0.12176633220432057,0.10052040808035854,0.23768524753506334,1489.9290771484375,1461.4237670898438,1.0068761706352234
Jacobi-PCG,4,12,144,ID,48,0.8556858706661555,1.7038806155323982,1.712987631559372,0.0811632113376011,0.08149139482217525,0.08190364712694034,0.1227147084427997,5079.3985595703125,4905.1568603515625,1.0034428834915161
Jacobi-PCG,4,12,144,OOD,120,0.7111617043026884,1.7005061363180478,1.726462649802367,0.1375478233521183,0.1378763071571787,0.10796711246172583,0.2836734631719688,1234.2193603515625,1246.4429321289062,1.0089395642280579
Jacobi-PCG,4,16,256,All,168,0.7643169265764204,2.0237110792880966,2.049291568143027,0.1438836102218677,0.1439101355638177,0.11802626303618859,0.18904123780694565,2769.3154296875,2816.3656005859375,0.9992445111274719
Jacobi-PCG,4,16,256,ID,48,0.8628131390283517,1.8717454733947914,1.887289007504781,0.10349767387378955,0.10359861166216429,0.10168625251390036,0.09154442858804634,9666.582397460938,9311.07958984375,0.9977576732635498
Jacobi-PCG,4,16,256,OOD,120,0.7249184415956478,2.084497321645419,2.114092592398326,0.16003798476109898,0.1600347451244791,0.12456226724510387,0.22803996149450537,2542.6280517578125,2563.245849609375,1.002553641796112
Jacobi-PCG,4,24,576,All,168,0.7800205591105189,2.242759919947102,2.2668308778887702,0.18337485726390562,0.18369091903081247,0.15116162358650134,0.13326803660519151,6717.5966796875,6707.093505859375,0.9954241216182709
Jacobi-PCG,4,24,576,ID,48,0.8749695509774176,2.178053095936775,2.184190976123015,0.11722668182725704,0.11741125746630128,0.136051088416328,0.07283694550278592,23377.8388671875,22730.95947265625,1.0001952052116394
Jacobi-PCG,4,24,576,OOD,120,0.7420409623637595,2.2686426495512326,2.2998868385950724,0.20983412743856505,0.210202783656617,0.15720583765457072,0.15744047304615374,5944.91455078125,6192.035400390625,0.9857743084430695
Jacobi-PCG,4,32,1024,All,168,0.782412002648065,2.311623204676878,2.336809969374112,0.21006299688347743,0.21083338285929387,0.17479067730406916,0.09800929101350314,11775.0068359375,11839.533203125,0.9960493743419647
Jacobi-PCG,4,32,1024,ID,48,0.8672324320541684,2.250125261644522,2.259336213270823,0.13438753519828117,0.13466732165155307,0.16348717221990225,0.05370429320222073,45013.458984375,45113.330078125,0.9991839528083801
Jacobi-PCG,4,32,1024,OOD,120,0.7484838308856235,2.33622238188982,2.367799471815427,0.24033318155755595,0.24129980734239018,0.17931207933773594,0.1157312901380161,10494.00244140625,10746.74462890625,0.9930070638656616
Jacobi-PCG,4,48,2304,All,168,0.7857571796707781,2.5987960962312564,2.6309597978279706,0.2496457313453512,0.25030971733143637,0.20372105292266318,0.0710641384399163,26624.3369140625,27054.9013671875,0.992791324853897
Jacobi-PCG,4,48,2304,ID,48,0.8667639993786128,2.5668625198304653,2.5805319137871265,0.1563331201517333,0.15660096976595617,0.1919152230645219,0.03794642774058347,93973.1376953125,92423.3193359375,0.998065173625946
Jacobi-PCG,4,48,2304,OOD,120,0.7533544517876442,2.6115695267915724,2.651130951444308,0.28697077582279834,0.28779321635762845,0.2084433848659197,0.08431122271964943,24020.501953125,24927.01171875,0.9903935790061951
Jacobi-PCG,8,8,64,All,168,0.5112196099341939,0.18383995534079353,0.18518292586607354,0.008808073537301574,0.008849847837207566,0.00322601336645483,0.8853711110672781,445.6859893798828,427.49049377441406,1.0190576314926147
Jacobi-PCG,8,8,64,ID,48,0.7639354108790126,0.5488213913037399,0.5452727290764301,0.008147266778972049,0.008219426281859387,0.006512311390934195,0.6546024627362689,1829.6270751953125,1818.7857360839844,1.003862202167511
Jacobi-PCG,8,8,64,OOD,120,0.41013328955626643,0.037847380955615004,0.041147004581930914,0.009072396240633385,0.009102016459346836,0.0019114941566630839,0.9776785703996818,406.63999938964844,402.89137268066406,1.029789686203003
Jacobi-PCG,8,12,144,All,168,0.7381611341945197,1.0424026609176682,1.0482279175803775,0.0507175847666249,0.05039252107962962,0.044657412600437395,0.4569287441582197,1489.9290771484375,1461.4237670898438,1.0068761706352234
Jacobi-PCG,8,12,144,ID,48,0.8506243029017247,1.7126376368105412,1.7110528585811455,0.04474084498360748,0.044808776641730184,0.03683570871362458,0.3062021604273468,5079.3985595703125,4905.1568603515625,1.0034428834915161
Jacobi-PCG,8,12,144,OOD,120,0.6931758667116378,0.7743086705605189,0.7830979411800703,0.05310828067983186,0.05262601885478939,0.04778609415516253,0.5172193776505689,1234.2193603515625,1246.4429321289062,1.0089395642280579
Jacobi-PCG,8,16,256,All,168,0.7506257935027303,1.3933586934137911,1.4017059331138928,0.07658848540103502,0.07622682439562461,0.04319244513421182,0.39218141917427557,2769.3154296875,2816.3656005859375,0.9992445111274719
Jacobi-PCG,8,16,256,ID,48,0.8645067443579652,2.160129318634669,2.1566283541421094,0.06671222695149476,0.06717620021663602,0.03457000653725113,0.29387223132653156,9666.582397460938,9311.07958984375,0.9977576732635498
Jacobi-PCG,8,16,256,OOD,120,0.7050734131606364,1.08665044332544,1.0997369647026063,0.08053898878085113,0.07984707406722005,0.0466414205729961,0.4315050943133732,2542.6280517578125,2563.245849609375,1.002553641796112
Jacobi-PCG,8,24,576,All,168,0.7866427952394872,1.7225400635174342,1.7364229712457884,0.11334406511325917,0.11209942277387845,0.05840415485935015,0.3091062241832592,6717.5966796875,6707.093505859375,0.9954241216182709
Jacobi-PCG,8,24,576,ID,48,0.8861116708557725,2.9251042008399963,2.9270550310611725,0.08559772744774813,0.08553954737726595,0.04841607201766839,0.1865433616330847,23377.8388671875,22730.95947265625,1.0001952052116394
Jacobi-PCG,8,24,576,OOD,120,0.7468552449929731,1.2415144085884093,1.2601701473196347,0.12444260017946358,0.12272337293252344,0.062399387996022855,0.3581313692033291,5944.91455078125,6192.035400390625,0.9857743084430695
Jacobi-PCG,8,32,1024,All,168,0.8029143292868294,1.843211411365441,1.8716785670036362,0.14510527733225548,0.14279060794173604,0.07720546451552457,0.24908891575233563,11775.0068359375,11839.533203125,0.9960493743419647
Jacobi-PCG,8,32,1024,ID,48,0.9022038600825488,2.609207126001517,2.606291292856137,0.10883650358300652,0.10890114326806115,0.06208695717699201,0.13932291309659675,45013.458984375,45113.330078125,0.9991839528083801
Jacobi-PCG,8,32,1024,OOD,120,0.7631985169685416,1.5368131255110105,1.5778334766626358,0.1596127868319551,0.156346393811206,0.08325286745093759,0.2929953168146312,10494.00244140625,10746.74462890625,0.9930070638656616
Jacobi-PCG,8,48,2304,All,168,0.8137777641211121,2.1099071069842292,2.148802357415358,0.19008467162382742,0.18734904017210713,0.11282103734334838,0.1211886509609896,26624.3369140625,27054.9013671875,0.992791324853897
Jacobi-PCG,8,48,2304,ID,48,0.894968869352136,2.942090650399526,2.932657844076554,0.14796247992975012,0.148768153352042,0.08991131297079842,0.06542304294028625,93973.1376953125,92423.3193359375,0.998065173625946
Jacobi-PCG,8,48,2304,OOD,120,0.7813013220287027,1.7770336896181107,1.83526016275088,0.20693354830145833,0.2027813949001332,0.12198492709236836,0.14349489416927097,24020.501953125,24927.01171875,0.9903935790061951
Jacobi-PCG,16,8,64,All,168,0.5113357046002113,2.528594116126964e-05,2.7237726509299762e-05,3.6236951877250637e-06,3.565063582503366e-06,1.6321644674529727e-06,1.0,445.6859893798828,427.49049377441406,1.0190576314926147
Jacobi-PCG,16,8,64,ID,48,0.7639285889874764,6.815559928103642e-05,7.152740789942398e-05,1.1193981913848461e-05,1.113036986547892e-05,2.1529640251335045e-06,1.0,1829.6270751953125,1818.7857360839844,1.003862202167511
Jacobi-PCG,16,8,64,OOD,120,0.41029855084530537,8.138077913362925e-06,9.521853953250077e-06,5.95580497275705e-07,5.389410693131443e-07,1.42384464438076e-06,1.0,406.63999938964844,402.89137268066406,1.029789686203003
Jacobi-PCG,16,12,144,All,168,0.7382913222553883,0.12191567837958026,0.12352459844033718,0.0036828390424701127,0.0037018938774845125,0.0017635988076613487,0.9768661898339078,1489.9290771484375,1461.4237670898438,1.0068761706352234
Jacobi-PCG,16,12,144,ID,48,0.8507775225177466,0.256637491043269,0.25887905079192325,0.00708828544399386,0.0071136054878782225,0.002304754668330073,0.9360650464271506,5079.3985595703125,4905.1568603515625,1.0034428834915161
Jacobi-PCG,16,12,144,OOD,120,0.693296842150445,0.06802695331410477,0.06938281749970274,0.0023206604818606135,0.0023372092333270285,0.001547136463393859,0.9931866471966108,1234.2193603515625,1246.4429321289062,1.0089395642280579
Jacobi-PCG,16,16,256,All,168,0.7456108010336349,0.4759811755447161,0.48176688621086733,0.02370925795929945,0.023751591663486057,0.01812563324624313,0.5804862034994931,2769.3154296875,2816.3656005859375,0.9992445111274719
Jacobi-PCG,16,16,256,ID,48,0.8604294251326442,0.6049427394755185,0.6123104666670164,0.017847069801064156,0.017924918017039656,0.016259215878865946,0.3613148337850968,9666.582397460938,9311.07958984375,0.9977576732635498
Jacobi-PCG,16,16,256,OOD,120,0.699683351394031,0.4243965499723951,0.4295494540284077,0.026054133222593572,0.026082261122064618,0.018872200193194005,0.6681547513852517,2542.6280517578125,2563.245849609375,1.002553641796112
Jacobi-PCG,16,24,576,All,168,0.7701199127061112,0.957770735734985,0.9652769140721786,0.04759640982263672,0.04758438632623953,0.037073471527990086,0.2748724432728652,6717.5966796875,6707.093505859375,0.9954241216182709
Jacobi-PCG,16,24,576,ID,48,0.8716697022972472,1.220686435078581,1.222727255274852,0.035232043999712866,0.03525510686449702,0.031179874630955316,0.16804846519759542,23377.8388671875,22730.95947265625,1.0001952052116394
Jacobi-PCG,16,24,576,OOD,120,0.7294999968696569,0.8526044559975465,0.8622967775911092,0.05254215615180627,0.052516098110936535,0.039430910286804,0.31760203450297314,5944.91455078125,6192.035400390625,0.9857743084430695
Jacobi-PCG,16,32,1024,All,168,0.7866836776302812,1.3259196831356912,1.3402950245709646,0.061738928247775306,0.06175379345326547,0.04232938796104416,0.20880405291695964,11775.0068359375,11839.533203125,0.9960493743419647
Jacobi-PCG,16,32,1024,ID,48,0.8948518172659545,1.6224503436436255,1.6292524691671133,0.03800636299032092,0.03796066980188086,0.03578764995715266,0.13576211417724451,45013.458984375,45113.330078125,0.9991839528083801
Jacobi-PCG,16,32,1024,OOD,120,0.7434164217760119,1.2073074189325175,1.2247120467325052,0.07123195435075706,0.0712710429138193,0.04494608316260075,0.2380208284128457,10494.00244140625,10746.74462890625,0.9930070638656616
Jacobi-PCG,16,48,2304,All,168,0.7990089588468243,1.9955355196836448,2.0243849255854176,0.09491132884397212,0.09506694611073245,0.04553175523012339,0.28777939104613665,26624.3369140625,27054.9013671875,0.992791324853897
Jacobi-PCG,16,48,2304,ID,48,0.8875116073614495,2.1867922681073346,2.202834297592441,0.06546766848380983,0.06548588389220332,0.03579324683717757,0.25348107550234994,93973.1376953125,92423.3193359375,0.998065173625946
Jacobi-PCG,16,48,2304,OOD,120,0.7636078994409743,1.9190328203141689,1.953005176782608,0.10668879298803703,0.1068993709981441,0.04942715858730173,0.3014987172636514,24020.501953125,24927.01171875,0.9903935790061951
Jacobi-PCG,32,8,64,All,168,0.5113357046002113,1.8443722035599722e-05,2.0544881532403567e-05,7.74638617209061e-07,7.056393692430501e-07,1.566442112148942e-06,1.0,445.6859893798828,427.49049377441406,1.0190576314926147
Jacobi-PCG,32,8,64,ID,48,0.7639285889874764,4.3299571640172216e-05,4.714019951041954e-05,1.406279054686858e-06,1.2997066877555123e-06,1.9465983296385048e-06,1.0,1829.6270751953125,1818.7857360839844,1.003862202167511
Jacobi-PCG,32,8,64,OOD,120,0.41029855084530537,8.501382193770723e-06,9.90675434119718e-06,5.219824422179424e-07,4.680124418380653e-07,1.4143796251531171e-06,1.0,406.63999938964844,402.89137268066406,1.029789686203003
Jacobi-PCG,32,12,144,All,168,0.7382307747473628,4.478720021930718e-05,4.8612649349937774e-05,1.68168871742377e-06,1.5869671425015158e-06,2.4527811617536783e-06,1.0,1489.9290771484375,1461.4237670898438,1.0068761706352234
Jacobi-PCG,32,12,144,ID,48,0.8500356493655409,0.00010036348252619386,0.00010776122295886943,3.322090580108276e-06,3.168083465491615e-06,3.6854829374988185e-06,1.0,5079.3985595703125,4905.1568603515625,1.0034428834915161
Jacobi-PCG,32,12,144,OOD,120,0.6935088249000915,2.2556687296552504e-05,2.495321990636512e-05,1.0255279723499673e-06,9.545206133054761e-07,1.959700451455622e-06,1.0,1234.2193603515625,1246.4429321289062,1.0089395642280579
Jacobi-PCG,32,16,256,All,168,0.7475721931122009,0.01933425826128072,0.019694812057342158,0.000788226183590094,0.000788265900963863,0.00015141349999967866,0.9999544460858617,2769.3154296875,2816.3656005859375,0.9992445111274719
Jacobi-PCG,32,16,256,ID,48,0.8612949710694383,0.038034067809348884,0.03870773950863315,0.0010040921624749376,0.0010047977690797875,0.00023731503400385704,0.9998405613005161,9666.582397460938,9311.07958984375,0.9977576732635498
Jacobi-PCG,32,16,256,OOD,120,0.7020830819293059,0.01185433444205345,0.012089641076825764,0.0007018797920361566,0.0007016531537174933,0.0001170528863980073,1.0,2542.6280517578125,2563.245849609375,1.002553641796112
Jacobi-PCG,32,24,576,All,168,0.7775047862325745,0.22193214037854753,0.224284371527444,0.0073868069337636125,0.007388896027155769,0.004447974601394579,0.9524568663466544,6717.5966796875,6707.093505859375,0.9954241216182709
Jacobi-PCG,32,24,576,ID,48,0.8716910125197819,0.309888147128125,0.3102467951054374,0.007469607745103181,0.007474409261097457,0.0041161178002463335,0.9485809803009033,23377.8388671875,22730.95947265625,1.0001952052116394
Jacobi-PCG,32,24,576,OOD,120,0.7398302957176917,0.18674973767871655,0.18989940209624664,0.007353686609227784,0.007354690733579095,0.004580717321853877,0.9540072207649549,5944.91455078125,6192.035400390625,0.9857743084430695
Jacobi-PCG,32,32,1024,All,168,0.7901362085695548,0.5358009200454468,0.5428967008455878,0.016613198261308835,0.01663341997967407,0.013148893419253994,0.5743516067131644,11775.0068359375,11839.533203125,0.9960493743419647
Jacobi-PCG,32,32,1024,ID,48,0.8962710665038448,0.7460585677375396,0.753180039425691,0.01983806013595308,0.019809097953839172,0.0119885568953274,0.3639455713952581,45013.458984375,45113.330078125,0.9991839528083801
Jacobi-PCG,32,32,1024,OOD,120,0.7476822653958389,0.45169786096860964,0.4587833654135466,0.015323253511451137,0.01536314879000803,0.013613028028824631,0.658514020840327,10494.00244140625,10746.74462890625,0.9930070638656616
Jacobi-PCG,32,48,2304,All,168,0.8018068339178377,1.0814644645544744,1.0962257736495562,0.030990233456361104,0.031022399990996742,0.029475657873609545,0.24046403870895677,26624.3369140625,27054.9013671875,0.992791324853897
Jacobi-PCG,32,48,2304,ID,48,0.8919301672984973,1.4851908429215352,1.4979206124941509,0.030836547045813206,0.03085226713058845,0.024584916691916633,0.12056228456397848,93973.1376953125,92423.3193359375,0.998065173625946
Jacobi-PCG,32,48,2304,OOD,120,0.7657575005655738,0.9199739132076502,0.9355478381117185,0.031051708020580267,0.031090453135160057,0.03143195434628671,0.28842474036694815,24020.501953125,24927.01171875,0.9903935790061951
Jacobi-PCG,48,8,64,All,168,0.5113357046002113,1.8443746873467572e-05,2.0544875862272173e-05,8.020308816657548e-07,7.329247113980435e-07,1.5664399369576982e-06,1.0,445.6859893798828,427.49049377441406,1.0190576314926147
Jacobi-PCG,48,8,64,ID,48,0.7639285889874764,4.329966228647973e-05,4.714018253318383e-05,1.4944560427683957e-06,1.3868805250893956e-06,1.946607322741064e-06,1.0,1829.6270751953125,1818.7857360839844,1.003862202167511
Jacobi-PCG,48,8,64,OOD,120,0.41029855084530537,8.501380708262711e-06,9.90675319390751e-06,5.250608172246985e-07,4.7134238592150266e-07,1.414372982644352e-06,1.0,406.63999938964844,402.89137268066406,1.029789686203003
Jacobi-PCG,48,12,144,All,168,0.7382307747473628,4.831919841307445e-05,5.19753331434918e-05,1.5619045747766472e-06,1.4629665837703886e-06,2.445980076429134e-06,1.0,1489.9290771484375,1461.4237670898438,1.0068761706352234
Jacobi-PCG,48,12,144,ID,48,0.8500356493655409,0.0001093585328059227,0.00011619769107556014,2.7935564392104575e-06,2.624422436999415e-06,3.6660702609954874e-06,1.0,5079.3985595703125,4905.1568603515625,1.0034428834915161
Jacobi-PCG,48,12,144,OOD,120,0.6935088249000915,2.3903464655935142e-05,2.628638997066446e-05,1.069243829003123e-06,9.98384242478778e-07,1.9579440026025925e-06,1.0,1234.2193603515625,1246.4429321289062,1.0089395642280579
Jacobi-PCG,48,16,256,All,168,0.7476064244370928,8.03668200811978e-05,8.520114577202695e-05,2.7752610064015115e-06,2.6606602912828576e-06,2.921824335747455e-06,1.0,2769.3154296875,2816.3656005859375,0.9992445111274719
Jacobi-PCG,48,16,256,ID,48,0.8611704376528427,0.00017314135948251727,0.0001826275226145633,5.15495871411531e-06,4.973808600539087e-06,4.18879784310396e-06,1.0,9666.582397460938,9311.07958984375,0.9977576732635498
Jacobi-PCG,48,16,256,OOD,120,0.7021808191507929,4.325700432067e-05,4.623059503501241e-05,1.823381923315992e-06,1.7354009675803657e-06,2.415034932804853e-06,1.0,2542.6280517578125,2563.245849609375,1.002553641796112
Jacobi-PCG,48,24,576,All,168,0.7778571138263295,0.03970147371763314,0.040037626214879746,0.0014479099867717386,0.0014476378121235415,0.00032032551757762463,1.0,6717.5966796875,6707.093505859375,0.9954241216182709
Jacobi-PCG,48,24,576,ID,48,0.8716708282696275,0.04955930809956039,0.04966117627918717,0.001238150759187752,0.0012385328924816416,0.0002473213833885047,1.0,23377.8388671875,22730.95947265625,1.0001952052116394
Jacobi-PCG,48,24,576,OOD,120,0.7403316280490103,0.03575833996486224,0.036188206189156774,0.001531813677805333,0.0015312797799803015,0.0003495271712532726,1.0,5944.91455078125,6192.035400390625,0.9857743084430695
Jacobi-PCG,48,32,1024,All,168,0.7901659141615373,0.1479324258065649,0.14980245371615244,0.0046516057904920066,0.004658932320515778,0.0021166772805285526,0.9985954186746052,11775.0068359375,11839.533203125,0.9960493743419647
Jacobi-PCG,48,32,1024,ID,48,0.8954538970299571,0.19049091342215732,0.19298358634114263,0.005141436651077383,0.005143259499163783,0.0017365759807337665,0.9990965127944946,45013.458984375,45113.330078125,0.9991839528083801
Jacobi-PCG,48,32,1024,OOD,120,0.7480507210141693,0.13090903076032792,0.13253000066615636,0.0044556734462578565,0.004465201449056576,0.002268717800446467,0.9983949810266495,10494.00244140625,10746.74462890625,0.9930070638656616
Jacobi-PCG,48,48,2304,All,168,0.803401808058528,0.4898454377072908,0.49534173868596554,0.013704952878123546,0.013727656934255065,0.01059348749792354,0.6298287083350477,26624.3369140625,27054.9013671875,0.992791324853897
