method,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,auc_mean,auc_ci95,area_matched_iou_mean,area_matched_iou_ci95,score_correlation_mean,score_correlation_ci95,mean_relative_residual_mean,mean_relative_residual_ci95,covariance_relative_residual_mean,covariance_relative_residual_ci95,balanced_brier_mean,balanced_brier_ci95,balanced_nll_mean,balanced_nll_ci95,balanced_ece_mean,balanced_ece_ci95,uncertainty_error_auc_mean,uncertainty_error_auc_ci95,certificate_mean,certificate_ci95,boundary_residual_mean,boundary_residual_ci95
global-safe-HB,wavenumber 12,OOD frequency,4,0.8380537432455067,0.0893624997456003,0.9927381135020573,0.004887612822911367,0.5610353384743629,0.0878417728786935,0.977798803758835,0.005179813612142859,0.48081083595752716,0.01585441279810287,0.46714036911726,0.03063577771150402,0.04437016090378165,0.011568135371701241,0.4514737203717232,0.15971078746102196,0.04657888598740101,0.011604207182786326,0.7827425131438639,0.07372772074915904,0.0,0.0,1.018519107276461e-06,5.595857229668522e-07
learned-Chebyshev,180 degree aperture,OOD aperture,4,0.4698387095131381,0.05091752276434265,0.9627642661317062,0.0036669184980645153,0.2611901030004478,0.03445446387112246,0.9759373328852139,0.005649694708707834,0.3919835537672043,0.02575001978509867,0.036616590805351734,0.0018905056552742233,0.1521573755890131,0.04896317073014178,0.8687807321548462,0.307870908484851,0.16390998288989067,0.05000230580089332,0.9659601254880366,0.006013079715777899,1.0,0.0,1.3170625265956915e-06,3.8641475421787404e-07
learned-Chebyshev,30 percent noise,OOD noise,4,0.6826324009286463,0.07717151924400585,0.9787348321953855,0.0051299733058410586,0.4389165124884366,0.09213570174694498,0.9966563891791453,0.0007014785021025377,0.11436319351196289,0.012732614987515118,0.022324176505208015,0.001539901238120363,0.06385441403836012,0.007587299869537129,0.48936472088098526,0.0683253142265445,0.06860856153070927,0.008498913712972638,0.900488215924124,0.01157956773641626,1.0,0.0,1.2494849386257556e-06,2.0196030773425082e-07
learned-Chebyshev,four obstacles,ID,4,0.7787629704362979,0.035833282702666676,0.9821836392388025,0.00400199148108763,0.507744376088888,0.05081056313188549,0.9879615426094466,0.004158456936348289,0.28976836800575256,0.03448237252426439,0.027691580820828676,0.0013457135402166148,0.06764201633632183,0.010556545045238149,0.5168402343988419,0.10529062521373057,0.0722004733979702,0.010401289631570568,0.9381770499209148,0.013057023731795145,1.0,0.0,1.4382549409219791e-06,6.403140519886888e-07
learned-Chebyshev,one obstacle,ID,4,0.9916666666666667,0.016333333333333328,0.9999358151476252,0.00012580231065467128,0.9166666666666666,0.16333333333333336,0.8691243775683977,0.03417995694790179,0.5608149021863937,0.02008516145256327,0.06338574271649122,0.018139516633994806,0.0026426377589814365,0.001278390176499774,0.011229168390855193,0.005257858504713752,0.0036972903180867434,0.0011041264345056881,0.9979070313229892,0.002312724625475893,0.25,0.49,5.962436411266481e-07,5.266706471587227e-07
learned-Chebyshev,six obstacles,OOD count,4,0.7392751303421884,0.054626731312841716,0.9650356550709587,0.015881135664924842,0.4898275104975034,0.05695591974898436,0.9898423043365082,0.002038249726937359,0.2495693825185299,0.017467182810570005,0.025108850561082363,0.0014109462172785115,0.12191218324005604,0.0020227997048070673,0.800382524728775,0.0789145394944813,0.12703824415802956,0.0013762339421518693,0.9236861352244423,0.020461183717818514,1.0,0.0,2.0142741732342984e-06,1.5482818019796387e-06
learned-Chebyshev,three stars,OOD shape,4,0.818028003000007,0.06605919007943684,0.9894167306565362,0.00274918025626912,0.5808889068957135,0.05890268101904712,0.9869578681185516,0.003741147975805085,0.28741611540317535,0.018465178938393844,0.026969910133630037,0.0010962827545236858,0.05014335550367832,0.002119784393829775,0.3399227112531662,0.03295561123953225,0.05284956190735102,0.002712931848181126,0.9534819377295463,0.009593443554171946,1.0,0.0,1.6486026481743465e-06,1.0959589711027883e-07
learned-Chebyshev,two obstacles,ID,4,0.9010964893760833,0.03792158098522158,0.997255121369595,0.0015097132091011524,0.6684639016897082,0.0412801423382066,0.9625583912068446,0.008215151432411161,0.4802050292491913,0.007483614253693242,0.03584836144000292,0.002240403590858951,0.014844801276922226,0.0015041987445294713,0.0787836778908968,0.006936869759520437,0.01644622697494924,0.0014908960848945777,0.983802628650409,0.004876575300667883,1.0,0.0,1.4980280980125826e-06,2.6369704452573316e-07
learned-Chebyshev,wavenumber 12,OOD frequency,4,0.8981023023816124,0.06727191139731817,0.9956396888340404,0.003325842980536982,0.6766859456333141,0.12248080234432686,0.9853433957938644,0.004980962886776582,0.323343925178051,0.033154835761724295,0.025684007443487644,0.002356162552455561,0.024050868349149823,0.00941310325398836,0.14905934035778046,0.08877400890163954,0.026545910630375147,0.009593507447638068,0.9741574497955424,0.00995293325977684,1.0,0.0,1.018519107276461e-06,5.595857229668522e-07
learned-HB,180 degree aperture,OOD aperture,4,0.4605510852899445,0.06990660254962125,0.962085317452265,0.004060432468985453,0.254371921182266,0.04424879552787687,0.9762529136171847,0.007197231425776232,0.39520953595638275,0.03184855775980913,0.12133820541203022,0.035794954796437274,0.12939131632447243,0.041284859095267995,0.6350800544023514,0.19675541755827358,0.1460689064115286,0.04714562877774348,0.9596167377671124,0.008337827516547085,0.0,0.0,1.3170625265956915e-06,3.8641475421787404e-07
learned-HB,30 percent noise,OOD noise,4,0.6797293010395251,0.08869946083044557,0.9784200351215004,0.0057645453564933065,0.4396460387476215,0.08838206370563297,0.9968781604068335,0.0008933650290317425,0.13248734176158905,0.01311770049376864,0.09480376727879047,0.022515119855636458,0.06918196100741625,0.008571455941897859,0.5407639071345329,0.06687196818152044,0.07472563534975052,0.009543188170467625,0.8946660304001901,0.01832015833321579,0.0,0.0,1.2494849386257556e-06,2.0196030773425082e-07
learned-HB,four obstacles,ID,4,0.7840277800385289,0.02941874852806069,0.9824415572771303,0.00366577775405237,0.5059174952032095,0.03607749813759153,0.9875831436298421,0.004297040115794662,0.29316817969083786,0.03150430254395045,0.11248193681240082,0.01271498270034291,0.07232134882360697,0.011396957336699702,0.5788105055689812,0.11842091480346155,0.0767707685008645,0.011685692216626636,0.9294707947240763,0.017565066510173692,0.0,0.0,1.4382549409219791e-06,6.403140519886888e-07
learned-HB,one obstacle,ID,4,0.9916666666666667,0.016333333333333328,0.9999358151476252,0.00012580231065467128,0.9166666666666666,0.16333333333333336,0.8592909391774006,0.03426927880351119,0.6032591015100479,0.018628919322074857,0.30630048271268606,0.17382898696876667,0.003148309886455536,0.0013527012500692177,0.013004058273509145,0.005810754063191784,0.0037672420730814338,0.0014946092164824381,0.9971573142205692,0.0012150916749880073,0.0,0.0,5.962436411266481e-07,5.266706471587227e-07
