name,class,factor,rank,N,bs,L,final_test_error,output_even_defect,last_layer_active_even_mean,mirror_distance_median,mirror_mismatch_median,mirror_corr_median
rank5_f1_N128_bs1_L1,output-only/asymmetric,1,5,128,1,1,0.0006329413154162467,0.00015990526298992336,1.8146880865097046,0.03161361325278559,0.8884672871730658,0.12102268692540702
rank5_f1_N128_bs1_L2,intermediate,1,5,128,1,2,0.0006693810573779047,4.202093623462133e-05,0.006483549252152443,0.029647477324581596,1.0211595615220197,-0.024509995434100065
rank5_f1_N256_bs16_L2,intermediate,1,5,256,16,2,0.0013201561523601413,0.0003512196126393974,0.023472538217902184,0.029647477324581596,0.9183155021320841,0.09011615141021594
rank5_f1_N64_bs1_L2,intermediate,1,5,64,1,2,0.001461541629396379,0.0002671341353561729,0.09487705677747726,0.029647477324581596,0.9804931115983256,0.02104017394501334
rank5_f1_N256_bs8_L1,intermediate,1,5,256,8,1,0.001612154534086585,0.0015768732409924269,2.5628013610839844,0.03161361325278559,0.8594996810749009,0.15670500980842086
rank5_f1_N64_bs4_L2,intermediate,1,5,64,4,2,0.0017849269788712263,0.0003020910080522299,0.1989613026380539,0.029647477324581596,0.9272025982703325,0.08202162113304728
rank5_f1_N256_bs16_L1,intermediate,1,5,256,16,1,0.0020200598519295454,0.0014080405235290527,2.1722261905670166,0.03161361325278559,0.873022842830392,0.13921217789664989
rank5_f1_N128_bs2_L1,intermediate,1,5,128,2,1,0.002131675835698843,0.001212156261317432,2.642319679260254,0.03161361325278559,0.8533267568186009,0.15217195680437484
rank5_f1_N128_bs4_L1,intermediate,1,5,128,4,1,0.0026355446316301823,0.0015463075833395123,3.060015916824341,0.03161361325278559,0.8468926437952187,0.16388719423680229
rank5_f1_N128_bs16_L2,intermediate,1,5,128,16,2,0.002795461332425475,0.0009340735268779099,0.12785877287387848,0.029647477324581596,0.9351186187855854,0.06578583249957064
rank5_f1_N64_bs1_L1,intermediate,1,5,64,1,1,0.0037459004670381546,0.0013725830940529704,2.2422893047332764,0.03161361325278559,0.9487289410982118,0.05350106979774668
rank5_f1_N64_bs8_L2,intermediate,1,5,64,8,2,0.004775749519467354,0.0034640980884432793,0.1337023824453354,0.029647477324581596,0.9300560857678686,0.08127527048445529
rank5_f1_N64_bs2_L1,intermediate,1,5,64,2,1,0.005150995682924986,0.0045998613350093365,2.0533030033111572,0.03161361325278559,0.8445996314376154,0.16001827802247537
rank5_f1_N128_bs8_L1,intermediate,1,5,128,8,1,0.005352832842618227,0.0009427230106666684,0.005765897687524557,0.03161361325278559,0.8469838547657724,0.15687104940596652
rank5_f1_N64_bs4_L1,intermediate,1,5,64,4,1,0.00647751335054636,0.003359387628734112,3.115865468978882,0.03161361325278559,0.8639505516516829,0.14549232267289208
rank5_f1_N32_bs4_L2,intermediate,1,5,32,4,2,0.006990720983594656,0.004827672615647316,0.2072354108095169,0.029647477324581596,0.9312795468133598,0.07614861189094146
rank5_f1_N128_bs16_L1,intermediate,1,5,128,16,1,0.008596241474151611,0.0012527431827038527,0.28877201676368713,0.03161361325278559,0.858721184471698,0.15453422271426032
rank5_f1_N64_bs16_L2,intermediate,1,5,64,16,2,0.009125490672886372,0.006139528006315231,0.045065540820360184,0.029647477324581596,0.9229760577715065,0.08408872878880637
rank5_f1_N32_bs2_L2,intermediate,1,5,32,2,2,0.009693615138530731,0.006184705533087254,0.29783445596694946,0.029647477324581596,0.9220169891491216,0.08821011286161748
rank5_f1_N32_bs2_L1,underfit,1,5,32,2,1,0.010091233998537064,0.0034158709459006786,1.4148221015930176,0.03161361325278559,0.8731439877301835,0.13439865774468648
rank5_f1_N64_bs8_L1,underfit,1,5,64,8,1,0.011246535927057266,0.0012768676970154047,0.20576323568820953,0.03161361325278559,0.8575661960012979,0.15529789314869147
rank5_f1_N32_bs8_L2,underfit,1,5,32,8,2,0.015109328553080559,0.017864760011434555,0.09734360128641129,0.029647477324581596,0.9365439665284467,0.06545486787357035
rank5_f2_N512_bs2_L3,partial-symmetric,2,5,512,2,3,0.00014289106184151024,0.0002020520478254184,0.0001233114890055731,0.030073436117875003,0.6474577738487155,0.37761441764311354
rank5_f2_N512_bs4_L4,partial-symmetric,2,5,512,4,4,0.00026727188378572464,5.713210703106597e-05,0.0008706423104740679,0.029614108333207274,0.8531420713188214,0.16269094984434573
rank5_f2_N512_bs4_L3,partial-symmetric,2,5,512,4,3,0.0004376143333502114,0.00029802790959365666,0.00039174119592644274,0.030073436117875003,0.6807972113046018,0.3496466199691966
rank5_f2_N512_bs8_L3,partial-symmetric,2,5,512,8,3,0.0005191399832256138,0.00034267688170075417,0.00031726984889246523,0.030073436117875003,0.6943032052241507,0.31672657558897704
rank5_f2_N512_bs4_L2,output-only/asymmetric,2,5,512,4,2,0.0007073224987834692,6.761142140021548e-05,0.05694347620010376,0.029647477324581596,0.8220539416746673,0.194292360562613
rank5_f2_N512_bs1_L3,partial-symmetric,2,5,512,1,3,0.0009526113863103092,0.00017894234042614698,2.6188832634943537e-05,0.030073436117875003,0.7478367053570636,0.26972912537366317
rank5_f2_N512_bs1_L1,partial-symmetric,2,5,512,1,1,0.000970075954683125,0.00022343755699694157,0.0008784231613390148,0.03161361325278559,0.5219095050181478,0.513256099180614
rank5_f2_N512_bs16_L3,intermediate,2,5,512,16,3,0.0010040493216365576,0.00046915627899579704,0.000653423834592104,0.030073436117875003,0.6965515141089794,0.31870763058835755
rank5_f2_N512_bs2_L2,intermediate,2,5,512,2,2,0.0012320640962570906,5.242016413831152e-05,0.1937984824180603,0.029647477324581596,0.9747435087397083,0.025747350528158307
rank5_f2_N512_bs1_L2,intermediate,2,5,512,1,2,0.0013314932584762573,3.1934778235154226e-05,0.0011989121558144689,0.029647477324581596,0.9440507162913692,0.05812851473337015
rank5_f2_N512_bs2_L1,intermediate,2,5,512,2,1,0.0017158875707536936,0.0003748921153601259,3.106022596359253,0.03161361325278559,0.6923568375573509,0.325796357293365
rank5_f2_N256_bs2_L2,intermediate,2,5,256,2,2,0.0017889462178573012,0.00014919867680873722,0.006638772785663605,0.029647477324581596,1.0307858599000808,-0.03148300143674297
rank5_f2_N512_bs8_L2,intermediate,2,5,512,8,2,0.001974819926545024,0.00020770433184225112,0.12042132765054703,0.029647477324581596,0.8073930357540511,0.20710182598671545
rank5_f2_N512_bs8_L4,intermediate,2,5,512,8,4,0.002054620534181595,0.0002148457570001483,0.0003550969122443348,0.029614108333207274,0.8957937226424451,0.11125683738401795
