tag,parameterization,seed,width,rank,rank_ratio,gamma,frequency,lambda_initial,lambda_plateau,saddle_index,dynamic_amplification,scaled_bv_proxy
spectrum_muP_s0,muP,0,256,64,0.25,1.0,24,5.016348586650565e-05,4.055303361383267e-05,24659.067667354466,0.8084173759724717,0.023358547361567616
spectrum_muP_s0,muP,0,256,64,0.25,1.0,25,4.064063250552863e-05,3.5852539440384135e-05,27892.02705328049,0.8821845830157015,0.022407837150240084
spectrum_muP_s0,muP,0,256,64,0.25,1.0,26,3.988536263932474e-05,2.957888318633195e-05,33807.90253981219,0.7415974490142613,0.0199953250339604
spectrum_muP_s0,muP,0,256,64,0.25,1.0,27,3.7665518902940676e-05,2.4749222575337626e-05,40405.30957915789,0.6570790286764208,0.01804218325742113
spectrum_muP_s0,muP,0,256,64,0.25,1.0,28,4.0278464439325035e-05,2.4930024665081874e-05,40112.274794522986,0.6189417847007586,0.01954513933742419
spectrum_muP_s0,muP,0,256,64,0.25,1.0,29,3.31859482685104e-05,1.967848038475495e-05,50816.93202157554,0.5929762869975764,0.01654960200357891
spectrum_muP_s0,muP,0,256,64,0.25,1.0,30,3.880578151438385e-05,2.139309981430415e-05,46744.04404598562,0.5512864057736997,0.019253789832873736
spectrum_muP_s0,muP,0,256,64,0.25,1.0,31,3.502095569274388e-05,1.5961177268764004e-05,62652.02015875096,0.4557607567537358,0.015338691355282208
spectrum_muP_s0,muP,0,256,64,0.25,1.0,32,2.5215626010322012e-05,2.1818996174260974e-05,45831.62268389145,0.8652966285798088,0.022342652082443237
spectrum_muP_s1,muP,1,256,64,0.25,1.0,1,0.056440677493810654,0.06624741852283478,15.094927806965197,1.1737530707369617,0.06624741852283478
spectrum_muP_s1,muP,1,256,64,0.25,1.0,2,0.016103357076644897,0.014687878079712391,68.08335380869266,0.9121003781885075,0.058751512318849564
spectrum_muP_s1,muP,1,256,64,0.25,1.0,3,0.0046661472879350185,0.0038794854190200567,257.76614473076074,0.8314108363126499,0.03491536877118051
spectrum_muP_s1,muP,1,256,64,0.25,1.0,4,0.002021638210862875,0.0015459198039025068,646.8640853656241,0.7646866761796502,0.02473471686244011
spectrum_muP_s1,muP,1,256,64,0.25,1.0,5,0.0013661675620824099,0.0010608125012367964,942.6736570639058,0.7764878413741799,0.02652031253091991
spectrum_muP_s1,muP,1,256,64,0.25,1.0,6,0.0009085790370590985,0.0007455713930539787,1341.253177517771,0.8205905734599103,0.026840570149943233
spectrum_muP_s1,muP,1,256,64,0.25,1.0,7,0.0006486044730991125,0.0004993285983800888,2002.68921756971,0.7698506857256703,0.02446710132062435
spectrum_muP_s1,muP,1,256,64,0.25,1.0,8,0.0005283131031319499,0.00035206624306738377,2840.3745593087287,0.6663969547229889,0.02253223955631256
spectrum_muP_s1,muP,1,256,64,0.25,1.0,9,0.00033467408502474427,0.0002872912446036935,3480.788289874476,0.8584209458059846,0.023270590812899172
spectrum_muP_s1,muP,1,256,64,0.25,1.0,10,0.00029819607152603567,0.00018113765690941364,5520.663218582411,0.6074448130132338,0.018113765690941364
spectrum_muP_s1,muP,1,256,64,0.25,1.0,11,0.00020146566384937614,0.0001691195066086948,5912.978461519399,0.839445806185293,0.02046346029965207
spectrum_muP_s1,muP,1,256,64,0.25,1.0,12,0.00022105543757788837,0.00012392560893204063,8069.35716207284,0.5606087336728631,0.01784528768621385
spectrum_muP_s1,muP,1,256,64,0.25,1.0,13,0.00019861699547618628,0.00011319031182210892,8834.678373990262,0.569892377793421,0.019129162697936408
spectrum_muP_s1,muP,1,256,64,0.25,1.0,14,0.00014125241432338953,8.883577538654208e-05,11256.726196724254,0.6289150936787354,0.017411811975762248
spectrum_muP_s1,muP,1,256,64,0.25,1.0,15,0.00012600536865647882,9.665523248258978e-05,10346.05136540463,0.7670723359898686,0.0217474273085827
spectrum_muP_s1,muP,1,256,64,0.25,1.0,16,0.00011347937834216282,0.00010019036562880501,9980.999607336467,0.882894910886022,0.025648733600974083
