name,model,optimizer,dim,target,freq,depth,width,rank,steps,batch_size,lr,seed,fix_wb,nparams,ntrainable,final_train_mse,test_mse,test_max_error,grad_effective_rank,grad_top_singular,grad_spectral_slope,weight_effective_rank,weight_spectral_slope,elapsed_sec
mmnn_sgd_sumcos_d1_f8_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,sgd,1,sumcos,8,3,512,10,20000,1024,0.001,0,False,33823,33823,0.013721015304327011,0.01400190033018589,0.2539355158805847,1.0524304739613255,0.18850219529122114,-3.919859025409952,5.742753567615736,-0.2711326782109626,78.47897744178772
mmnn_sgd_sumcos_d1_f8_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,sgd,1,sumcos,8,6,512,10,20000,1024,0.001,0,True,66109,31293,0.5557991862297058,0.4568012058734894,2.8240480422973633,0.5435875347862442,0.029708752503211144,-6.618582410017559,8.57414143968026,-0.0715473451158054,76.51274371147156
mmnn_sgd_sumcos_d1_f8_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,sgd,1,sumcos,8,6,512,10,20000,1024,0.001,0,False,66109,66109,0.5558005571365356,0.4568004310131073,2.8240668773651123,0.40455485621211057,0.015240831458559765,-6.463163883143028,8.566208358143447,-0.07225900586277201,138.6831078529358
mmnn_sgd_sumcos_d1_f16_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,sgd,1,sumcos,16,3,512,10,20000,1024,0.001,0,True,33823,15903,0.04773078113794327,0.04847380146384239,0.992243766784668,1.1064126472399034,1.7401468139141798,-4.662973088709897,2.727245475588899,-0.6429857937745794,49.62672305107117
mmnn_sgd_sumcos_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,sgd,1,sumcos,16,3,512,10,20000,1024,0.001,0,False,33823,33823,0.0684329941868782,0.054714180529117584,1.3061182498931885,1.1071253977251425,1.0664703329093754,-4.6569519781524376,5.317175030996574,-0.3196829680135637,79.85220789909363
mmnn_sgd_sumcos_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,sgd,1,sumcos,16,6,512,10,20000,1024,0.001,0,True,66109,31293,0.5581320524215698,0.44043731689453125,3.9932289123535156,0.5051312370760772,0.023915742514613418,-6.597218494649025,8.574139205225087,-0.07154546395347045,77.82868504524231
mmnn_sgd_sumcos_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,sgd,1,sumcos,16,6,512,10,20000,1024,0.001,0,False,66109,66109,0.558132529258728,0.4404364228248596,3.9932432174682617,0.3769041533465614,0.012233093791970922,-6.389454347677859,8.566206923733537,-0.07225748561502524,137.45588898658752
mmnn_sgd_sumcos_d1_f32_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,sgd,1,sumcos,32,3,512,10,20000,1024,0.001,0,True,33823,15903,0.22963640093803406,0.18333931267261505,4.301589488983154,1.0799190198687145,2.1094459742307663,-4.400734767598293,2.3475662266168644,-0.6820296903721329,50.81528973579407
mmnn_sgd_sumcos_d1_f32_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,sgd,1,sumcos,32,3,512,10,20000,1024,0.001,0,False,33823,33823,0.1764916479587555,0.20912960171699524,5.603582859039307,1.116743479234894,0.9195457915775478,-4.896819559462298,5.106549975514884,-0.336186952695088,81.92279481887817
mmnn_sgd_sumcos_d1_f32_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,sgd,1,sumcos,32,6,512,10,20000,1024,0.001,0,True,66109,31293,0.5494247674942017,0.42989158630371094,5.645744323730469,0.38316278766394624,0.005378137084855033,-6.235855751961412,8.574139889638777,-0.07154403277481501,79.733074426651
mmnn_sgd_sumcos_d1_f32_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,sgd,1,sumcos,32,6,512,10,20000,1024,0.001,0,False,66109,66109,0.5494248270988464,0.4298917055130005,5.6457414627075195,0.21304120865908546,0.00273510220453334,-6.658169144423308,8.566209503454695,-0.07225689251152435,138.55698919296265
mmnn_adamw_chirp1d_d1_f8_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,adamw,1,chirp1d,8,3,512,10,20000,1024,0.001,0,True,33823,15903,9.938437142409384e-05,9.764183778315783e-05,0.04700183868408203,1.2004336940438622,0.08992780465632677,-3.085994047018611,2.7773984691899676,-1.0133098141068126,46.14104676246643
mmnn_adamw_chirp1d_d1_f8_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,adamw,1,chirp1d,8,3,512,10,20000,1024,0.001,0,False,33823,33823,1.3489498087437823e-05,9.978467460314278e-06,0.023164063692092896,1.4922621071062778,0.02123035298427567,-3.229098824226641,5.070579076375055,-0.46402919524085035,79.72129416465759
mmnn_adamw_chirp1d_d1_f8_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,adamw,1,chirp1d,8,6,512,10,20000,1024,0.001,0,True,66109,31293,0.0027276440523564816,0.002072578761726618,0.17589843273162842,1.4058473899463748,0.3702442358647074,-2.76767616249032,3.4979650802911215,-0.8589404757315212,78.02604675292969
mmnn_adamw_chirp1d_d1_f8_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,adamw,1,chirp1d,8,6,512,10,20000,1024,0.001,0,False,66109,66109,4.4885018724016845e-06,2.0670431695180014e-06,0.006872348487377167,1.1576062155134028,0.006832949883703675,-2.9735696299311214,6.246866241987193,-0.4051686628895284,140.1666738986969
mmnn_adamw_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,adamw,1,chirp1d,16,3,512,10,20000,1024,0.001,0,True,33823,15903,0.11495532095432281,0.1312044858932495,1.1019415855407715,1.378662884209741,1.4482897259294987,-2.784849229006801,3.594479742963057,-0.8247338775291492,46.36070203781128
mmnn_adamw_chirp1d_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,adamw,1,chirp1d,16,3,512,10,20000,1024,0.001,0,False,33823,33823,0.00043760929838754237,0.0007595001952722669,0.08364671468734741,1.5537341320023872,0.1537324171513319,-2.4604883314944734,5.042531123841405,-0.5027881256478909,78.16957354545593
mmnn_adamw_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,adamw,1,chirp1d,16,6,512,10,20000,1024,0.001,0,True,66109,31293,0.0028302324935793877,0.004210400395095348,0.22174197435379028,1.2506682024599642,0.5658724095140185,-2.5378638769500093,3.931495074448624,-0.8014708525268318,79.92088603973389
mmnn_adamw_chirp1d_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,adamw,1,chirp1d,16,6,512,10,20000,1024,0.001,0,False,66109,66109,9.631668945075944e-06,8.817783964332193e-06,0.023587122559547424,1.4395623080011732,0.009054842513121133,-2.3465587379758124,6.130103434760855,-0.4419007589451942,140.27533769607544
mmnn_adamw_chirp1d_d1_f32_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,adamw,1,chirp1d,32,3,512,10,20000,1024,0.001,0,True,33823,15903,0.19545328617095947,0.23500500619411469,1.6035325527191162,1.162591594739523,1.3927632011473179,-3.44408004712462,2.959296906847208,-1.090907048218063,46.9933078289032
mmnn_adamw_chirp1d_d1_f32_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,adamw,1,chirp1d,32,3,512,10,20000,1024,0.001,0,False,33823,33823,0.0634089857339859,0.06833848357200623,1.0591031312942505,1.42609918215009,1.2717058770358562,-2.6728399054996914,5.088173155858971,-0.5579706618778599,79.34001398086548
mmnn_adamw_chirp1d_d1_f32_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,adamw,1,chirp1d,32,6,512,10,20000,1024,0.001,0,True,66109,31293,0.023181935772299767,0.03210504353046417,0.7837327122688293,1.456756685672037,1.2488551480429513,-2.5301855306012744,4.191343643318557,-0.7435935067360262,80.02316570281982
mmnn_adamw_chirp1d_d1_f32_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,adamw,1,chirp1d,32,6,512,10,20000,1024,0.001,0,False,66109,66109,0.011699801310896873,0.01866426132619381,0.4708055853843689,1.361074529996203,0.6019934272127492,-2.267048684898693,6.459863407172439,-0.411411491102796,141.66618490219116
mmnn_adamw_sumcos_d1_f8_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,adamw,1,sumcos,8,3,512,10,20000,1024,0.001,0,True,33823,15903,0.002200908027589321,0.0018208748660981655,0.1859859824180603,1.3387900100608348,0.9250142835080624,-3.145061951715109,3.091263344074638,-0.9761023170575572,48.80051946640015
mmnn_adamw_sumcos_d1_f8_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,adamw,1,sumcos,8,3,512,10,20000,1024,0.001,0,False,33823,33823,0.011394314467906952,0.008014434017241001,0.3942399024963379,1.2687635087939486,0.6366789136081934,-3.7594225031960957,5.001280950654499,-0.4919957518408668,80.89648008346558
mmnn_adamw_sumcos_d1_f8_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,adamw,1,sumcos,8,6,512,10,20000,1024,0.001,0,True,66109,31293,1.5365929357358254e-05,2.0885134290438145e-05,0.017660856246948242,1.3192001763687056,0.021846347488462925,-2.9526001286415418,3.4311494205752444,-0.8589696353415617,80.86365938186646
mmnn_adamw_sumcos_d1_f8_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,adamw,1,sumcos,8,6,512,10,20000,1024,0.001,0,False,66109,66109,0.017100878059864044,0.017654772847890854,0.3389264941215515,1.5370086102102667,0.11709467581074152,-3.2612158858955786,6.342517648082581,-0.3813151134244679,141.13402700424194
mmnn_adamw_sumcos_d1_f16_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,adamw,1,sumcos,16,3,512,10,20000,1024,0.001,0,True,33823,15903,0.007383478805422783,0.007364396005868912,0.22718200087547302,1.575402425001498,0.4080668203532696,-3.11582276580396,2.9686697427516378,-1.0753925783099405,49.011481285095215
mmnn_adamw_sumcos_d1_f16_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,adamw,1,sumcos,16,3,512,10,20000,1024,0.001,0,False,33823,33823,0.003054126165807247,0.0031175408512353897,0.15885871648788452,1.2803726616566735,0.07450000481912866,-3.2093886360525836,4.9602180500823625,-0.568032518955358,80.80313682556152
mmnn_adamw_sumcos_d1_f16_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,adamw,1,sumcos,16,6,512,10,20000,1024,0.001,0,True,66109,31293,0.001056500943377614,0.0005129540804773569,0.09263765811920166,1.8329372642735478,0.19366312452725,-2.2875183168698956,4.025027969768461,-0.8163497389943232,80.84827065467834
mmnn_adamw_sumcos_d1_f16_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,adamw,1,sumcos,16,6,512,10,20000,1024,0.001,0,False,66109,66109,0.006216864567250013,0.010067619383335114,0.6610256433486938,1.4737237437156172,0.32035289970891817,-2.7174543406490987,6.147060627431297,-0.4138107797537745,144.1458945274353
mmnn_adamw_sumcos_d1_f32_r10_w512_L3_bs1024_steps20000_fixWb_s0,mmnn,adamw,1,sumcos,32,3,512,10,20000,1024,0.001,0,True,33823,15903,0.028802692890167236,0.02604646235704422,0.8771497011184692,1.2630553027716356,1.576627567410469,-3.5382148477220103,2.49876884263386,-1.1500174813539663,51.93224835395813
mmnn_adamw_sumcos_d1_f32_r10_w512_L3_bs1024_steps20000_trainWb_s0,mmnn,adamw,1,sumcos,32,3,512,10,20000,1024,0.001,0,False,33823,33823,0.01517198234796524,0.008399025537073612,0.29872122406959534,1.4773056131909597,0.7817726004868746,-3.1722927277957655,5.174032715894294,-0.562154109534485,85.25677132606506
mmnn_adamw_sumcos_d1_f32_r10_w512_L6_bs1024_steps20000_fixWb_s0,mmnn,adamw,1,sumcos,32,6,512,10,20000,1024,0.001,0,True,66109,31293,0.005627044476568699,0.004690926522016525,0.32375669479370117,1.3668154582679775,0.4971234503069094,-2.554849164488152,4.197106409721591,-0.8767337862865237,83.91626143455505
mmnn_adamw_sumcos_d1_f32_r10_w512_L6_bs1024_steps20000_trainWb_s0,mmnn,adamw,1,sumcos,32,6,512,10,20000,1024,0.001,0,False,66109,66109,0.0036114086396992207,0.003630759660154581,0.2595980167388916,1.2932608269078745,0.14982729198943293,-2.8496882885507375,5.927805295039628,-0.46378388148437716,145.99564146995544
