case,family,beta,n_tokens,mode,eigenvalue,n_plus,n_minus,geometry,max_linear_rate,linearly_stable,linearly_neutral
pd_simple,positive_definite,0.5,3,3,0.4,1,2,sign_split,2.8851591119007285,False,False
pd_simple,positive_definite,0.5,3,3,0.4,2,1,sign_split,2.8851591119007285,False,False
pd_simple,positive_definite,0.5,3,3,0.4,3,0,homogeneous,2.6,False,False
pd_simple,positive_definite,0.5,4,0,3.0,0,4,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.5,4,0,3.0,1,3,sign_split,-0.4622336046452512,True,False
pd_simple,positive_definite,0.5,4,0,3.0,2,2,sign_split,-0.7154447609345994,True,False
pd_simple,positive_definite,0.5,4,0,3.0,3,1,sign_split,-0.4622336046452512,True,False
pd_simple,positive_definite,0.5,4,0,3.0,4,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.5,4,1,2.0,0,4,homogeneous,1.0,False,False
pd_simple,positive_definite,0.5,4,1,2.0,1,3,sign_split,1.5226998318547702,False,False
pd_simple,positive_definite,0.5,4,1,2.0,2,2,sign_split,1.4768116880884705,False,False
pd_simple,positive_definite,0.5,4,1,2.0,3,1,sign_split,1.5226998318547702,False,False
pd_simple,positive_definite,0.5,4,1,2.0,4,0,homogeneous,1.0,False,False
pd_simple,positive_definite,0.5,4,2,1.0,0,4,homogeneous,2.0,False,False
pd_simple,positive_definite,0.5,4,2,1.0,1,3,sign_split,2.4306630445034116,False,False
pd_simple,positive_definite,0.5,4,2,1.0,2,2,sign_split,2.5378828427399904,False,False
pd_simple,positive_definite,0.5,4,2,1.0,3,1,sign_split,2.4306630445034116,False,False
pd_simple,positive_definite,0.5,4,2,1.0,4,0,homogeneous,2.0,False,False
pd_simple,positive_definite,0.5,4,3,0.4,0,4,homogeneous,2.6,False,False
pd_simple,positive_definite,0.5,4,3,0.4,1,3,sign_split,2.840319902522926,False,False
pd_simple,positive_definite,0.5,4,3,0.4,2,2,sign_split,2.921049871910038,False,False
pd_simple,positive_definite,0.5,4,3,0.4,3,1,sign_split,2.8403199025229258,False,False
pd_simple,positive_definite,0.5,4,3,0.4,4,0,homogeneous,2.6,False,False
pd_simple,positive_definite,0.5,7,0,3.0,0,7,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.5,7,0,3.0,1,6,sign_split,-0.07149557667569462,True,False
pd_simple,positive_definite,0.5,7,0,3.0,2,5,sign_split,-0.5348992090499713,True,False
pd_simple,positive_definite,0.5,7,0,3.0,3,4,sign_split,-0.6952467271954983,True,False
pd_simple,positive_definite,0.5,7,0,3.0,4,3,sign_split,-0.6952467271954983,True,False
pd_simple,positive_definite,0.5,7,0,3.0,5,2,sign_split,-0.5348992090499713,True,False
pd_simple,positive_definite,0.5,7,0,3.0,6,1,sign_split,-0.07149557667569455,True,False
pd_simple,positive_definite,0.5,7,0,3.0,7,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,0.5,7,1,2.0,0,7,homogeneous,1.0,False,False
pd_simple,positive_definite,0.5,7,1,2.0,1,6,sign_split,1.6016280553625417,False,False
pd_simple,positive_definite,0.5,7,1,2.0,2,5,sign_split,1.5084340418206814,False,False
pd_simple,positive_definite,0.5,7,1,2.0,3,4,sign_split,1.4798521202713475,False,False
pd_simple,positive_definite,0.5,7,1,2.0,4,3,sign_split,1.4798521202713475,False,False
pd_simple,positive_definite,0.5,7,1,2.0,5,2,sign_split,1.5084340418206812,False,False
pd_simple,positive_definite,0.5,7,1,2.0,6,1,sign_split,1.6016280553625417,False,False
pd_simple,positive_definite,0.5,7,1,2.0,7,0,homogeneous,1.0,False,False
pd_simple,positive_definite,0.5,7,2,1.0,0,7,homogeneous,2.0,False,False
pd_simple,positive_definite,0.5,7,2,1.0,1,6,sign_split,2.3031684657222726,False,False
pd_simple,positive_definite,0.5,7,2,1.0,2,5,sign_split,2.460428044446996,False,False
pd_simple,positive_definite,0.5,7,2,1.0,3,4,sign_split,2.5296149850620164,False,False
pd_simple,positive_definite,0.5,7,2,1.0,4,3,sign_split,2.5296149850620164,False,False
pd_simple,positive_definite,0.5,7,2,1.0,5,2,sign_split,2.460428044446996,False,False
pd_simple,positive_definite,0.5,7,2,1.0,6,1,sign_split,2.3031684657222726,False,False
pd_simple,positive_definite,0.5,7,2,1.0,7,0,homogeneous,2.0,False,False
pd_simple,positive_definite,0.5,7,3,0.4,0,7,homogeneous,2.6,False,False
pd_simple,positive_definite,0.5,7,3,0.4,1,6,sign_split,2.7564881996530635,False,False
pd_simple,positive_definite,0.5,7,3,0.4,2,5,sign_split,2.8617279416099466,False,False
pd_simple,positive_definite,0.5,7,3,0.4,3,4,sign_split,2.9144571576026794,False,False
pd_simple,positive_definite,0.5,7,3,0.4,4,3,sign_split,2.91445715760268,False,False
pd_simple,positive_definite,0.5,7,3,0.4,5,2,sign_split,2.8617279416099466,False,False
pd_simple,positive_definite,0.5,7,3,0.4,6,1,sign_split,2.7564881996530635,False,False
pd_simple,positive_definite,0.5,7,3,0.4,7,0,homogeneous,2.6,False,False
pd_simple,positive_definite,1.5,2,0,3.0,0,2,homogeneous,-1.0,True,False
pd_simple,positive_definite,1.5,2,0,3.0,1,1,sign_split,-0.9992596325440827,True,False
pd_simple,positive_definite,1.5,2,0,3.0,2,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,1.5,2,1,2.0,0,2,homogeneous,1.0,False,False
pd_simple,positive_definite,1.5,2,1,2.0,1,1,sign_split,1.009890492626539,False,False
pd_simple,positive_definite,1.5,2,1,2.0,2,0,homogeneous,1.0,False,False
pd_simple,positive_definite,1.5,2,2,1.0,0,2,homogeneous,2.0,False,False
pd_simple,positive_definite,1.5,2,2,1.0,1,1,sign_split,2.0948517463551335,False,False
pd_simple,positive_definite,1.5,2,2,1.0,2,0,homogeneous,2.0,False,False
pd_simple,positive_definite,1.5,2,3,0.4,0,2,homogeneous,2.6,False,False
pd_simple,positive_definite,1.5,2,3,0.4,1,1,sign_split,2.7851801732007853,False,False
pd_simple,positive_definite,1.5,2,3,0.4,2,0,homogeneous,2.6,False,False
pd_simple,positive_definite,1.5,3,0,3.0,0,3,homogeneous,-1.0,True,False
pd_simple,positive_definite,1.5,3,0,3.0,1,2,sign_split,-0.9989382361587346,True,False
pd_simple,positive_definite,1.5,3,0,3.0,2,1,sign_split,-0.9989382361587346,True,False
pd_simple,positive_definite,1.5,3,0,3.0,3,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,1.5,3,1,2.0,0,3,homogeneous,1.0,False,False
pd_simple,positive_definite,1.5,3,1,2.0,1,2,sign_split,1.010725514044716,False,False
pd_simple,positive_definite,1.5,3,1,2.0,2,1,sign_split,1.010725514044716,False,False
pd_simple,positive_definite,1.5,3,1,2.0,3,0,homogeneous,1.0,False,False
pd_simple,positive_definite,1.5,3,2,1.0,0,3,homogeneous,2.0,False,False
pd_simple,positive_definite,1.5,3,2,1.0,1,2,sign_split,2.0871233512513196,False,False
pd_simple,positive_definite,1.5,3,2,1.0,2,1,sign_split,2.0871233512513196,False,False
pd_simple,positive_definite,1.5,3,2,1.0,3,0,homogeneous,2.0,False,False
pd_simple,positive_definite,1.5,3,3,0.4,0,3,homogeneous,2.6,False,False
pd_simple,positive_definite,1.5,3,3,0.4,1,2,sign_split,2.760480439752696,False,False
pd_simple,positive_definite,1.5,3,3,0.4,2,1,sign_split,2.760480439752696,False,False
pd_simple,positive_definite,1.5,3,3,0.4,3,0,homogeneous,2.6,False,False
pd_simple,positive_definite,1.5,4,0,3.0,0,4,homogeneous,-1.0,True,False
pd_simple,positive_definite,1.5,4,0,3.0,1,3,sign_split,-0.998474874083039,True,False
pd_simple,positive_definite,1.5,4,0,3.0,2,2,sign_split,-0.9992596325440827,True,False
pd_simple,positive_definite,1.5,4,0,3.0,3,1,sign_split,-0.998474874083039,True,False
pd_simple,positive_definite,1.5,4,0,3.0,4,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,1.5,4,1,2.0,0,4,homogeneous,1.0,False,False
pd_simple,positive_definite,1.5,4,1,2.0,1,3,sign_split,1.0122021740285465,False,False
pd_simple,positive_definite,1.5,4,1,2.0,2,2,sign_split,1.009890492626539,False,False
pd_simple,positive_definite,1.5,4,1,2.0,3,1,sign_split,1.0122021740285465,False,False
pd_simple,positive_definite,1.5,4,1,2.0,4,0,homogeneous,1.0,False,False
pd_simple,positive_definite,1.5,4,2,1.0,0,4,homogeneous,2.0,False,False
pd_simple,positive_definite,1.5,4,2,1.0,1,3,sign_split,2.0762627081625906,False,False
pd_simple,positive_definite,1.5,4,2,1.0,2,2,sign_split,2.0948517463551335,False,False
pd_simple,positive_definite,1.5,4,2,1.0,3,1,sign_split,2.0762627081625906,False,False
pd_simple,positive_definite,1.5,4,2,1.0,4,0,homogeneous,2.0,False,False
pd_simple,positive_definite,1.5,4,3,0.4,0,4,homogeneous,2.6,False,False
pd_simple,positive_definite,1.5,4,3,0.4,1,3,sign_split,2.730937430753208,False,False
pd_simple,positive_definite,1.5,4,3,0.4,2,2,sign_split,2.7851801732007853,False,False
pd_simple,positive_definite,1.5,4,3,0.4,3,1,sign_split,2.730937430753208,False,False
pd_simple,positive_definite,1.5,4,3,0.4,4,0,homogeneous,2.6,False,False
pd_simple,positive_definite,1.5,7,0,3.0,0,7,homogeneous,-1.0,True,False
pd_simple,positive_definite,1.5,7,0,3.0,1,6,sign_split,-0.9970193535335845,True,False
pd_simple,positive_definite,1.5,7,0,3.0,2,5,sign_split,-0.9987105169729453,True,False
pd_simple,positive_definite,1.5,7,0,3.0,3,4,sign_split,-0.9992001658431747,True,False
pd_simple,positive_definite,1.5,7,0,3.0,4,3,sign_split,-0.9992001658431747,True,False
pd_simple,positive_definite,1.5,7,0,3.0,5,2,sign_split,-0.9987105169729453,True,False
pd_simple,positive_definite,1.5,7,0,3.0,6,1,sign_split,-0.9970193535335845,True,False
pd_simple,positive_definite,1.5,7,0,3.0,7,0,homogeneous,-1.0,True,False
pd_simple,positive_definite,1.5,7,1,2.0,0,7,homogeneous,1.0,False,False
pd_simple,positive_definite,1.5,7,1,2.0,1,6,sign_split,1.017789044972652,False,False
pd_simple,positive_definite,1.5,7,1,2.0,2,5,sign_split,1.0114219400143627,False,False
pd_simple,positive_definite,1.5,7,1,2.0,3,4,sign_split,1.0100267643169285,False,False
pd_simple,positive_definite,1.5,7,1,2.0,4,3,sign_split,1.0100267643169285,False,False
pd_simple,positive_definite,1.5,7,1,2.0,5,2,sign_split,1.0114219400143627,False,False
pd_simple,positive_definite,1.5,7,1,2.0,6,1,sign_split,1.017789044972652,False,False
pd_simple,positive_definite,1.5,7,1,2.0,7,0,homogeneous,1.0,False,False
pd_simple,positive_definite,1.5,7,2,1.0,0,7,homogeneous,2.0,False,False
pd_simple,positive_definite,1.5,7,2,1.0,1,6,sign_split,2.052147847096666,False,False
pd_simple,positive_definite,1.5,7,2,1.0,2,5,sign_split,2.0816220743585947,False,False
pd_simple,positive_definite,1.5,7,2,1.0,3,4,sign_split,2.0934926852027043,False,False
pd_simple,positive_definite,1.5,7,2,1.0,4,3,sign_split,2.0934926852027043,False,False
pd_simple,positive_definite,1.5,7,2,1.0,5,2,sign_split,2.0816220743585947,False,False
pd_simple,positive_definite,1.5,7,2,1.0,6,1,sign_split,2.052147847096666,False,False
pd_simple,positive_definite,1.5,7,2,1.0,7,0,homogeneous,2.0,False,False
pd_simple,positive_definite,1.5,7,3,0.4,0,7,homogeneous,2.6,False,False
pd_simple,positive_definite,1.5,7,3,0.4,1,6,sign_split,2.679937485071107,False,False
pd_simple,positive_definite,1.5,7,3,0.4,2,5,sign_split,2.744853623557899,False,False
pd_simple,positive_definite,1.5,7,3,0.4,3,4,sign_split,2.7805764355224314,False,False
pd_simple,positive_definite,1.5,7,3,0.4,4,3,sign_split,2.7805764355224314,False,False
pd_simple,positive_definite,1.5,7,3,0.4,5,2,sign_split,2.744853623557899,False,False
pd_simple,positive_definite,1.5,7,3,0.4,6,1,sign_split,2.6799374850711075,False,False
pd_simple,positive_definite,1.5,7,3,0.4,7,0,homogeneous,2.6,False,False
pd_flat_top,positive_definite,0.1,2,0,3.0,0,2,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,2,0,3.0,1,1,sign_split,2.126062162645227,False,False
pd_flat_top,positive_definite,0.1,2,0,3.0,2,0,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,2,1,3.0,0,2,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,2,1,3.0,1,1,sign_split,2.126062162645227,False,False
pd_flat_top,positive_definite,0.1,2,1,3.0,2,0,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,2,2,1.0,0,2,homogeneous,2.0,False,False
pd_flat_top,positive_definite,0.1,2,2,1.0,1,1,sign_split,2.900332005375044,False,False
pd_flat_top,positive_definite,0.1,2,2,1.0,2,0,homogeneous,2.0,False,False
pd_flat_top,positive_definite,0.1,2,3,0.4,0,2,homogeneous,2.6,False,False
pd_flat_top,positive_definite,0.1,2,3,0.4,1,1,sign_split,2.9840085278755346,False,False
pd_flat_top,positive_definite,0.1,2,3,0.4,2,0,homogeneous,2.6,False,False
pd_flat_top,positive_definite,0.1,3,0,3.0,0,3,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,3,0,3.0,1,2,sign_split,2.215771700561099,False,False
pd_flat_top,positive_definite,0.1,3,0,3.0,2,1,sign_split,2.215771700561099,False,False
pd_flat_top,positive_definite,0.1,3,0,3.0,3,0,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,3,1,3.0,0,3,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,3,1,3.0,1,2,sign_split,2.215771700561099,False,False
pd_flat_top,positive_definite,0.1,3,1,3.0,2,1,sign_split,2.215771700561099,False,False
pd_flat_top,positive_definite,0.1,3,1,3.0,3,0,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,3,2,1.0,0,3,homogeneous,2.0,False,False
pd_flat_top,positive_definite,0.1,3,2,1.0,1,2,sign_split,2.828976385697362,False,False
pd_flat_top,positive_definite,0.1,3,2,1.0,2,1,sign_split,2.828976385697362,False,False
pd_flat_top,positive_definite,0.1,3,2,1.0,3,0,homogeneous,2.0,False,False
pd_flat_top,positive_definite,0.1,3,3,0.4,0,3,homogeneous,2.6,False,False
pd_flat_top,positive_definite,0.1,3,3,0.4,1,2,sign_split,2.9453944415028284,False,False
pd_flat_top,positive_definite,0.1,3,3,0.4,2,1,sign_split,2.945394441502828,False,False
pd_flat_top,positive_definite,0.1,3,3,0.4,3,0,homogeneous,2.6,False,False
pd_flat_top,positive_definite,0.1,4,0,3.0,0,4,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,4,0,3.0,1,3,sign_split,2.3303392607646867,False,False
pd_flat_top,positive_definite,0.1,4,0,3.0,2,2,sign_split,2.126062162645227,False,False
pd_flat_top,positive_definite,0.1,4,0,3.0,3,1,sign_split,2.3303392607646867,False,False
pd_flat_top,positive_definite,0.1,4,0,3.0,4,0,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,4,1,3.0,0,4,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,4,1,3.0,1,3,sign_split,2.3303392607646867,False,False
pd_flat_top,positive_definite,0.1,4,1,3.0,2,2,sign_split,2.126062162645227,False,False
pd_flat_top,positive_definite,0.1,4,1,3.0,3,1,sign_split,2.3303392607646867,False,False
pd_flat_top,positive_definite,0.1,4,1,3.0,4,0,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,4,2,1.0,0,4,homogeneous,2.0,False,False
pd_flat_top,positive_definite,0.1,4,2,1.0,1,3,sign_split,2.7344894470991314,False,False
pd_flat_top,positive_definite,0.1,4,2,1.0,2,2,sign_split,2.900332005375044,False,False
pd_flat_top,positive_definite,0.1,4,2,1.0,3,1,sign_split,2.734489447099132,False,False
pd_flat_top,positive_definite,0.1,4,2,1.0,4,0,homogeneous,2.0,False,False
pd_flat_top,positive_definite,0.1,4,3,0.4,0,4,homogeneous,2.6,False,False
pd_flat_top,positive_definite,0.1,4,3,0.4,1,3,sign_split,2.8959576963120894,False,False
pd_flat_top,positive_definite,0.1,4,3,0.4,2,2,sign_split,2.9840085278755346,False,False
pd_flat_top,positive_definite,0.1,4,3,0.4,3,1,sign_split,2.89595769631209,False,False
pd_flat_top,positive_definite,0.1,4,3,0.4,4,0,homogeneous,2.6,False,False
pd_flat_top,positive_definite,0.1,7,0,3.0,0,7,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,7,0,3.0,1,6,sign_split,2.552576509908212,False,False
pd_flat_top,positive_definite,0.1,7,0,3.0,2,5,sign_split,2.275285162853115,False,False
pd_flat_top,positive_definite,0.1,7,0,3.0,3,4,sign_split,2.1424123737859286,False,False
pd_flat_top,positive_definite,0.1,7,0,3.0,4,3,sign_split,2.1424123737859286,False,False
pd_flat_top,positive_definite,0.1,7,0,3.0,5,2,sign_split,2.275285162853115,False,False
pd_flat_top,positive_definite,0.1,7,0,3.0,6,1,sign_split,2.552576509908212,False,False
pd_flat_top,positive_definite,0.1,7,0,3.0,7,0,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,7,1,3.0,0,7,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,7,1,3.0,1,6,sign_split,2.552576509908212,False,False
pd_flat_top,positive_definite,0.1,7,1,3.0,2,5,sign_split,2.275285162853115,False,False
pd_flat_top,positive_definite,0.1,7,1,3.0,3,4,sign_split,2.1424123737859286,False,False
pd_flat_top,positive_definite,0.1,7,1,3.0,4,3,sign_split,2.1424123737859286,False,False
pd_flat_top,positive_definite,0.1,7,1,3.0,5,2,sign_split,2.275285162853115,False,False
pd_flat_top,positive_definite,0.1,7,1,3.0,6,1,sign_split,2.552576509908212,False,False
pd_flat_top,positive_definite,0.1,7,1,3.0,7,0,homogeneous,0.0,False,True
pd_flat_top,positive_definite,0.1,7,2,1.0,0,7,homogeneous,2.0,False,False
pd_flat_top,positive_definite,0.1,7,2,1.0,1,6,sign_split,2.5365451223101227,False,False
pd_flat_top,positive_definite,0.1,7,2,1.0,2,5,sign_split,2.7804122797384334,False,False
pd_flat_top,positive_definite,0.1,7,2,1.0,3,4,sign_split,2.887478819732044,False,False
pd_flat_top,positive_definite,0.1,7,2,1.0,4,3,sign_split,2.887478819732044,False,False
