suite,K,M,M_over_K,cond,depth,identity_mse_z_primal_vs_dual,identity_rel_z_primal_vs_dual,z_star_mse_true,cond_H_mean,dual_unprecond_mse,dual_diag_mse,dual_rowsum_abs_mse,dual_softmax_exp_mse,dual_signed_relu_mse,primal_scalar_opt_mse,primal_jacobi_mse,step,train_cond,eval_cond,loss,eval_mse_post,eval_mse_true,eval_rel_post,dual_diag_same_depth_mse,primal_jac_same_depth_mse,layer0_mse,layerlast_mse,score_corr_linear_kernel,attn_entropy_last
dual_primal_sweep,8.0,8.0,1.0,1000.0,16.0,2.0673703092326245e-12,1.662303077409888e-06,0.2513279914855957,545.8303985595703,0.2162987664341926,0.1053214035928249,0.1151616238057613,154.98691177368164,0.1151616219431161,0.2162989974021911,0.2106990814208984,,,,,,,,,,,,,
dual_primal_sweep,8.0,8.0,1.0,1000.0,32.0,2.063528601464748e-12,1.6300860465889857e-06,0.2580423653125763,545.5683288574219,0.1523626931011676,0.0643426533788442,0.0712027549743652,213.69142150878903,0.0712027549743652,0.1523629240691661,0.0508139468729496,,,,,,,,,,,,,
dual_primal_sweep,8.0,16.0,2.0,10.0,4.0,6.170958519570793e-13,7.782493298691406e-07,0.0052048523211851,44.56374931335449,0.2788991630077362,0.2050499618053436,0.2302430868148803,84.95347595214844,0.2302430905401706,0.2411164417862892,0.1696363613009452,,,,,,,,,,,,,
dual_primal_sweep,8.0,16.0,2.0,10.0,8.0,6.29091803606638e-13,7.839208109317042e-07,0.0053312254603952,44.58658027648926,0.1917916536331176,0.1092192195355892,0.1298449821770191,258.0986785888672,0.1298449859023094,0.1314288787543773,0.0725345816463232,,,,,,,,,,,,,
dual_primal_sweep,8.0,16.0,2.0,10.0,16.0,6.086432220850023e-13,7.743853984720772e-07,0.0054228843655437,45.726688385009766,0.1399421282112598,0.047088136896491,0.0601369254291057,657.1175842285156,0.0601369272917509,0.0579374535009264,0.0223666727542877,,,,,,,,,,,,,
dual_primal_sweep,8.0,16.0,2.0,10.0,32.0,6.380522466712529e-13,7.72181863339938e-07,0.0052604851080104,44.47395038604736,0.1119036208838224,0.0153469266369938,0.0208326559513807,1234.1669006347656,0.0208326573483645,0.0166501968633383,0.0035520055680535,,,,,,,,,,,,,
dual_primal_sweep,8.0,16.0,2.0,100.0,4.0,1.4536188821644839e-12,1.2089252265923278e-06,0.022164343856275,219.7801856994629,0.4239059686660766,0.3077614083886146,0.3286750018596649,126.83253288269044,0.3286749944090843,0.4159049987792969,0.4294317811727524,,,,,,,,,,,,,
dual_primal_sweep,8.0,16.0,2.0,100.0,8.0,1.4726360864254773e-12,1.235135442811952e-06,0.0235654711723327,220.2221450805664,0.3260874524712562,0.2257604449987411,0.2471894025802612,315.9107818603516,0.2471894025802612,0.3126197010278702,0.1798531748354435,,,,,,,,,,,,,
dual_primal_sweep,8.0,16.0,2.0,100.0,16.0,1.4751048689823354e-12,1.2198583476674685e-06,0.0238737296313047,222.4229202270508,0.2498640678822994,0.1422380693256855,0.1619541458785534,684.2296295166016,0.1619541458785534,0.2225870043039322,0.0452204588800668,,,,,,,,,,,,,
dual_primal_sweep,8.0,16.0,2.0,100.0,32.0,1.4546547831301854e-12,1.2061260008522368e-06,0.0246691461652517,227.0998764038086,0.1811733841896057,0.083224132657051,0.0980114098638296,1113.6500549316406,0.0980114098638296,0.138539221137762,0.0063603461021557,,,,,,,,,,,,,
