source_file,benchmark,suite,tag,d,K,m,R,M,z_mse_exact,z_mse_primal_jacobi,z_mse_dual_diag,u_mse_exact,u_rel_exact,u_mse_primal_jacobi,u_rel_primal_jacobi,u_mse_dual_diag,u_rel_dual_diag,A_rel_exact,A_rel_primal_jacobi,A_rel_dual_diag,step,solver,u_mse,u_rel,z_mse_true_basis,A_rel,A0_rel,Abasis_rel_raw,loss,loss_u,loss_prompt,loss_z,loss_A,z_scale,attn_entropy_last,score_corr_linear_kernel_last
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,32.0,16.0,4.0,32.0,128.0,5.579225970109292e-08,4.633456410374493e-05,2.2554399038199332e-05,1.1338275207606331e-08,0.0001677328837104,4.6942514018155634e-06,0.0030188485980033,2.3803888780093985e-06,0.0022079637274146,0.0001069185673259,0.0024770060554146,0.0017921741819009,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,32.0,16.0,8.0,32.0,256.0,1.0496467695020328e-08,3.119506800430827e-06,1.1246941085119031e-06,2.266800080974462e-09,7.77213426772505e-05,4.167692964074377e-07,0.0006757949013262,1.4387254054781806e-07,0.0004466332029551,4.709604036179371e-05,0.0005444991402328,0.0003544911160133,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,32.0,16.0,16.0,32.0,512.0,2.235967855312992e-09,3.7075508885209285e-07,6.78951863619659e-08,6.077867098497335e-10,3.914944318239577e-05,4.358063776521704e-08,0.0001870406267698,8.521523930937747e-09,0.000109505126602,2.192393731093034e-05,0.0001486219698563,8.153577073244378e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,32.0,16.0,32.0,32.0,1024.0,4.934813668810989e-10,2.6011987301899357e-06,4.66490881478876e-08,1.7617932113189738e-10,2.0931620383635163e-05,1.0604295539451414e-06,0.0001092107850126,1.8087018105461542e-08,4.455609814613126e-05,1.0382728760305326e-05,7.681195711484179e-05,2.940273043350317e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,64.0,4.0,4.0,32.0,128.0,5.530474567194688e-08,5.754623089160305e-08,1.856597720006903e-07,1.3385479391558872e-09,6.482929165940732e-05,1.3934486897682063e-09,6.577468593604863e-05,4.395448005567459e-09,0.0001161106338258,5.500487168319523e-05,5.581507502938621e-05,9.975552529795095e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,64.0,4.0,8.0,32.0,256.0,1.2433311269433034e-08,1.2455847908654505e-08,4.0743518781027894e-08,3.2981456454805875e-10,3.2311065297108144e-05,3.3034988633495743e-10,3.233657480450347e-05,1.0344569645326374e-09,5.706057709176093e-05,2.635761666169856e-05,2.63801593973767e-05,4.765530320582912e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,64.0,4.0,16.0,32.0,512.0,3.4045664065729397e-09,3.409621252004058e-09,1.1513057174283858e-08,1.0000029970758105e-10,1.7669070075498894e-05,1.0013146561904661e-10,1.767960020515602e-05,3.0968960729182976e-10,3.088430094067007e-05,1.3809204574499743e-05,1.3818143997923473e-05,2.5297402316937223e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,64.0,4.0,32.0,32.0,1024.0,7.309458038839978e-10,7.31085081362437e-10,2.474673799213178e-09,2.5065106240562685e-11,9.167152711597735e-06,2.5064891134851663e-11,9.167097232420929e-06,6.966010407394306e-11,1.5143945347517729e-05,6.404031410056632e-06,6.40453299638466e-06,1.175323541247053e-05,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,64.0,8.0,4.0,32.0,128.0,5.182694451377756e-08,2.1862251742277294e-07,1.775859175268124e-07,3.4745251120682492e-09,0.0001023356016958,1.572456476139905e-08,0.0001550815068185,1.0634934710651578e-08,0.0001690678764134,7.645098958164454e-05,0.0001224062289111,0.000131758119096,,,,,,,,,,,,,,,,
data/transformers/runs_pure_icl_hardcoded/hardcoded_sweep.csv,pure_icl_parametric,hardcoded_sweep,sweep,64.0,8.0,8.0,32.0,256.0,1.1696115187476153e-08,1.3910813834172586e-08,2.3020458428391063e-08,8.363398862343273e-10,5.120899004396051e-05,9.702953995827102e-10,5.430527380667627e-05,1.5964845001548154e-09,7.034849841147661e-05,3.670855949167162e-05,3.9458962419303134e-05,5.130036151967943e-05,,,,,,,,,,,,,,,,
