source_file,benchmark,sweep_suite,K,M,cond,capacity,proj_rank,method,precond,depth,tau,z_mse_post,z_mse_true,z_rel_post,first_mse_post,last_grad_mse,attn_entropy,eta_mean,rho_mean,precond_rank,d,m_prompt,u_mse,u_rel,mode,n_context,x_dim,lengthscale,lam,mse_to_exact,mse_to_yq,rel_to_exact,eval_mse_post,eval_mse_true,eval_rel_post,eff_rho_meanH,layer0_mse_post,layerlast_mse_post,layer,target,probe_mse,probe_r2
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,softmax_vector_full,jacobi,32.0,5.0,1.8566954551602066e-07,1.8566954551602066e-07,0.000453229251434,0.1316560246050357,3.178875613230048e-05,4.849552273750305,0.7246139496564865,0.5215043276548386,8.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,softmax_vector_projected,jacobi,32.0,5.0,1.8439594029473485e-07,1.8439594029473485e-07,0.0004594693236867,0.1295177340507507,3.2063384423963726e-05,4.8495495319366455,0.7247953712940216,0.5220002681016922,8.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,linear,lowrank_spectral,32.0,5.0,6.491338635237001e-14,6.491338635237001e-14,2.3763133683019086e-07,5.788977424595748e-13,1.6387619559965483e-11,0.0,0.0461592571809887,1.2102374000733107e-06,8.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,softmax_scalar,lowrank_spectral,32.0,5.0,7.085011816343467e-06,7.085011816343467e-06,0.0025611229939386,0.3682203963398933,0.000559450534638,4.849552273750305,0.0461584776639938,1.176786952328257e-06,8.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,signed_relu_scalar,lowrank_spectral,32.0,5.0,6.261070526240258e-14,6.261070526240258e-14,2.3455829278873358e-07,4.768799152224043e-13,1.6020989222764737e-11,3.874032735824585,0.0460655633360147,1.167621292097465e-06,8.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,softmax_vector_full,lowrank_spectral,32.0,5.0,1.819664525726239e-07,1.819664525726239e-07,0.0004465803358471,0.0001127461164287,3.2330379326594993e-05,4.849547982215881,0.0461593344807624,1.1927736522920895e-06,8.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,at,8.0,softmax_vector_projected,lowrank_spectral,32.0,5.0,1.889392926557321e-07,1.889392926557321e-07,0.0004615881916834,0.0001094845756597,3.135100359941134e-05,4.849554181098938,0.0462002046406269,1.2012856132059824e-06,8.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,above,8.0,linear,scalar_opt,32.0,5.0,1.293535638069443e-05,1.293535638069443e-05,0.0024346573627553,0.3768551722168922,1.6173967547217227e-11,0.0,0.0463107265532016,0.8377938717603683,0.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,above,8.0,softmax_scalar,scalar_opt,32.0,5.0,0.0028395084664225,0.0028395084664225,0.0451149214059114,0.5533528923988342,0.0172079079784452,4.850790500640869,0.04620305262506,0.8394614905118942,0.0,,,,,,,,,,,,,,,,,,,,,,
data/transformers/runs_richardson_weak_sweep/weak_sweep.csv,richardson_weak_krr_lab,weak_sweep,8.0,128.0,10.0,above,8.0,signed_relu_scalar,scalar_opt,32.0,5.0,1.484585300204344e-05,1.484585300204344e-05,0.0024942173622548,0.3724220916628837,1.622503520426477e-11,1.937017112970352,0.0461634341627359,0.8386801928281784,0.0,,,,,,,,,,,,,,,,,,,,,,
