model,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,average_precision_q10,auc_mean,auc_ci95,auc_q10,relative_residual_mean,relative_residual_ci95,relative_residual_q10
analytic-Chebyshev,six obstacles,OOD count,12,0.8070309764183589,0.027657689423055902,0.7395660415135223,0.9814155774851816,0.004885924644860317,0.9688380334705031,0.009561285706392178,0.0031613289203715972,0.0035934928338974717
analytic-Chebyshev,three obstacles,ID,12,0.9349798621307267,0.02414236970164282,0.885756965293822,0.9975185957323749,0.0010317041813230436,0.9955137929895128,0.010361816675867885,0.00716507654428364,0.0017947070649825037
analytic-Chebyshev,three stars,OOD shape,12,0.861717460301387,0.026386162541022308,0.8290875539116257,0.9940694337149544,0.0012668520858444424,0.9917501858832665,0.011383646138710901,0.0067762041015846704,0.0017726610763929786
analytic-Chebyshev,two crescents,OOD shape,12,0.7403923112535399,0.051300939845203904,0.6590302730834137,0.9945715065349926,0.001383839439649004,0.9920796946956749,0.028533615986816585,0.01454468791443893,0.0036090826382860542
analytic-Chebyshev,two obstacles,ID,12,0.9330498638362653,0.0208597005055238,0.8981888965850661,0.9979916064452596,0.0007144853847585478,0.9963832616179001,0.009436572436243296,0.006731752403817674,0.003983613755553961
analytic-Chebyshev,wavenumber 12,OOD frequency,12,0.976148469087097,0.0047014428557677216,0.9700159703143578,0.9990985887301292,0.0002759824637699541,0.9983522838357222,0.010670546539283047,0.004180373419484268,0.003638571919873357
exact,180-degree aperture,OOD aperture,12,0.7904051038432377,0.03636163098303331,0.7355547185288404,0.9899650551143907,0.0013055280645273358,0.9878073718316005,1.9454368612059625e-05,7.084621918813655e-07,1.8240972895000596e-05
exact,30% noise,OOD noise,12,0.9409455385063591,0.013491387978340883,0.91199534669667,0.9965583986437481,0.0012248012921122753,0.9945050489643293,1.2282556326681515e-05,4.603401786954761e-07,1.140994163506548e-05
exact,four obstacles,ID,12,0.9402097358685843,0.013171888911458504,0.9110552838718334,0.9964171771564624,0.0008107863651923852,0.9952600290400144,1.4964960731352525e-05,3.209652137769955e-07,1.4231996647140478e-05
exact,heteroscedastic noise,OOD noise,12,0.9333860402585393,0.020292504243839677,0.8836148438462319,0.9969568624056695,0.001210316594911843,0.9947142949064897,1.5810608298731193e-05,6.290770981911583e-07,1.466119128963328e-05
exact,mirrored kites,lsmlab-inspired,12,0.9361951809007087,0.020573026299403968,0.8924186692620807,0.9979713082128084,0.0006869718891112692,0.9966396396396396,2.2109806347240617e-05,1.0009123982617881e-06,2.0408144882821945e-05
exact,one obstacle,ID,12,0.9887268136356155,0.010517134577685631,0.9596671371334913,0.9998390985386386,0.000143894742772414,0.9994440897704927,4.965284066808332e-05,8.9935839045951e-07,4.7211331911967135e-05
exact,six obstacles,OOD count,12,0.8069721509919855,0.027668314033513296,0.739299263545493,0.9814076862022588,0.004888387557704145,0.9687959242673029,1.1519364306877833e-05,4.0946613816111905e-07,1.0764401031337911e-05
exact,three obstacles,ID,12,0.9351564058121724,0.024135442908919676,0.885756965293822,0.9975234144001193,0.0010307410033027354,0.9955166045054822,1.7352328541164752e-05,4.899566450695768e-07,1.6426241199951618e-05
exact,three stars,OOD shape,12,0.8619288240798563,0.026289642815429354,0.8303727100732403,0.9940796909711773,0.0012635640594296034,0.991755392182889,1.7041767023329157e-05,8.11900259028327e-07,1.5473869098059367e-05
exact,two crescents,OOD shape,12,0.74044010702502,0.051121450527181915,0.6590302730834137,0.9945703685091841,0.001380669699087262,0.9920796946956749,2.4331412684356717e-05,2.2784522638104793e-06,2.1471662876137998e-05
exact,two obstacles,ID,12,0.933027553013643,0.020915868596910317,0.8971992765991409,0.9979914128472592,0.0007167969258745089,0.9963509896729775,2.2839401329595905e-05,1.3809473974660552e-06,1.9428939958743284e-05
exact,wavenumber 12,OOD frequency,12,0.976148469087097,0.004701442855767687,0.9700159703143578,0.9990985887301292,0.0002759824637699541,0.9983522838357222,1.4509471611745539e-05,5.67218068638192e-07,1.3649439188156975e-05
graph-foundation,180-degree aperture,OOD aperture,12,0.7934659175841925,0.0334827030002663,0.7268599180894396,0.9900473137338691,0.001292241797054541,0.988354273673364,0.19033440699179968,0.030503607231552606,0.14222295135259627
graph-foundation,30% noise,OOD noise,12,0.941289850745955,0.0133351355460156,0.9108856007556237,0.9965634228259347,0.001199597269782829,0.9942122262149212,0.9952499816815058,0.2470654547561568,0.5570250272750855
graph-foundation,four obstacles,ID,12,0.9390493082694381,0.012654413619885532,0.9084525620787656,0.996397356433839,0.0007433676959556124,0.9950728471306126,0.6716489717364311,0.20574464091663827,0.3460745304822922
graph-foundation,heteroscedastic noise,OOD noise,12,0.9237224679691028,0.022123867788385283,0.8687305734025198,0.9964760358521291,0.0013436386817753012,0.9937744847318769,1.5151656493544579,0.27141694967535746,0.7320767641067506
graph-foundation,mirrored kites,lsmlab-inspired,12,0.9347112730056439,0.02071446710997677,0.8880449661343883,0.997965134099669,0.0006728271396848532,0.9965356981981982,0.8924149796366692,0.17571170234994898,0.38129222095012666
graph-foundation,one obstacle,ID,12,0.9884000162499946,0.010558861804640952,0.9592749802707462,0.9998342306530533,0.0001450658778240843,0.9994382483077905,0.048033806340148054,0.04380777223992735,0.0016253875684924424
graph-foundation,six obstacles,OOD count,12,0.8024511353935369,0.029013855162911426,0.7352504824252379,0.9807115634792979,0.004954694732875893,0.9680414860972758,0.6593827083706856,0.24446809211844506,0.3470753014087677
graph-foundation,three obstacles,ID,12,0.9290031221131304,0.02573052744719218,0.8805449758658186,0.9972393345951902,0.0011016434588519176,0.9952889215825594,1.5187330345312755,0.17745778802616907,1.1137609481811523
graph-foundation,three stars,OOD shape,12,0.8539486410304002,0.024982351268912975,0.823642081882952,0.9935878884694168,0.001275308020381549,0.9912447466555013,1.5965375453233719,0.19298657829328894,1.2384682774543763
graph-foundation,two crescents,OOD shape,12,0.7357677530672375,0.05225620195195566,0.6490995809132143,0.9945671501702966,0.001367394042703551,0.9921870734522623,0.8161033963163694,0.19387528129471573,0.3763346701860428
graph-foundation,two obstacles,ID,12,0.9311623250300788,0.020874069296061545,0.8983544928362709,0.9979120323743852,0.0007035431422430912,0.9964082616179002,0.8369876183569431,0.19782361516647276,0.34324232637882235
graph-foundation,wavenumber 12,OOD frequency,12,0.9773507073685734,0.006104996171596506,0.9636259473366674,0.999148299939677,0.00028680017720735044,0.9985571483248336,1.6549617946147919,0.33916918808010027,0.9172765672206878
graph-small,180-degree aperture,OOD aperture,12,0.7934930341175542,0.033497660677689674,0.7268599180894396,0.9900488191422819,0.001291826168434444,0.988354273673364,0.19136366869012514,0.03293713976020909,0.14523659646511078
graph-small,30% noise,OOD noise,12,0.9414966149056826,0.013066449542111818,0.910833630084623,0.9965725387384591,0.001188426519859475,0.9943579355945849,0.9947310835123062,0.24651551973604025,0.5697982490062714
graph-small,four obstacles,ID,12,0.939267116211067,0.012876766441308536,0.9086780476628681,0.9964166675427558,0.0007476581897885427,0.9950906533984188,0.6766216134031614,0.20826456607247146,0.33306451737880705
graph-small,heteroscedastic noise,OOD noise,12,0.9240443364195906,0.021783108336728366,0.8723226929998538,0.9964913400635865,0.0013396558033054692,0.9937364914890802,1.5065551449855168,0.26658455439666057,0.7606150805950165
graph-small,mirrored kites,lsmlab-inspired,12,0.9353020410548579,0.02093060638765454,0.8896235153113881,0.9979111407419703,0.000709632101501224,0.9964541694976478,0.8861179451147715,0.17329997347380674,0.3899666398763657
graph-small,one obstacle,ID,12,0.9884647146235164,0.010762853089856009,0.9540604937768478,0.9998377423604431,0.00014449050576399337,0.999383748773697,0.047977663188551865,0.04441157448317183,0.0016126289730891586
graph-small,six obstacles,OOD count,12,0.8041601738137846,0.029479867286338526,0.7395560811291337,0.9807517953926025,0.00497015895614225,0.9678800748399324,0.6624114736914635,0.2424560159068615,0.34781260788440704
graph-small,three obstacles,ID,12,0.9293690849903156,0.025334936673062077,0.8787997910652221,0.9972667930899153,0.001080016170052693,0.9952249782957303,1.5140884816646576,0.17613779587384226,1.0807609558105469
graph-small,three stars,OOD shape,12,0.8525786372469436,0.02617505239733025,0.816953472544718,0.9934914590005439,0.0013570698114371033,0.9907736832307195,1.598852018515269,0.19355111844792633,1.2460444927215577
graph-small,two crescents,OOD shape,12,0.7412400231964275,0.05328252229359319,0.6466232848935519,0.9947318715128145,0.0013684197304097273,0.9923786027568922,0.8238997906446457,0.18943295553598927,0.397264501452446
graph-small,two obstacles,ID,12,0.9306324471312903,0.020596567112674744,0.9002454488771009,0.9979058275884873,0.0006938636131221514,0.9964967441193345,0.8380182224015394,0.1962120387528382,0.33608447611331943
graph-small,wavenumber 12,OOD frequency,12,0.9780340129536471,0.006001245617159414,0.9669704181663143,0.9991667420706829,0.00027741286282093925,0.998650873898599,1.6593111604452133,0.3414373933411828,0.897854346036911
identity,180-degree aperture,OOD aperture,12,0.7934636482460687,0.033468192763859886,0.7268599180894396,0.9900474263595352,0.001292585552524688,0.988354273673364,0.19004149983326593,0.031792935205242505,0.13865355849266053
identity,30% noise,OOD noise,12,0.9407720729454311,0.01363569436537194,0.911223652765237,0.9965212542978711,0.0012413080881694839,0.9943991657058942,1.0089646552999814,0.2424901721292504,0.5830139815807343
identity,four obstacles,ID,12,0.9389375141731789,0.01290934741477139,0.9077749187220427,0.9964074206359399,0.0007474971881847608,0.9950590712519404,0.6882178808252016,0.21157529805606465,0.34626255333423617
identity,heteroscedastic noise,OOD noise,12,0.9225451046553759,0.022074478822847455,0.8696937183393776,0.9964524920985167,0.0013380926341665384,0.9937298230441615,1.5132356708248456,0.26950379283100095,0.7494631350040436
identity,mirrored kites,lsmlab-inspired,12,0.9363696007534722,0.020405739035684732,0.8910606461277715,0.9979734134969228,0.0006768490287030071,0.9964954954954955,0.8912477791309357,0.17134570057490944,0.3927435100078583
identity,one obstacle,ID,12,0.9884000162499946,0.010558861804640956,0.9592749802707461,0.9998342306530533,0.0001450658778240938,0.9994382483077904,0.0490837001222341,0.04474444111006471,0.0016092774691060187
identity,six obstacles,OOD count,12,0.8023972407089132,0.02816038662515632,0.738152466477266,0.9807936613675384,0.0049696274271126,0.9679414896107931,0.6446460311611494,0.237466888245395,0.3475983113050461
identity,three obstacles,ID,12,0.9295899090832388,0.025381865858561368,0.8800523262454896,0.9972767669772908,0.0010852832644282992,0.9953476266239365,1.5238099892934163,0.1776635318131112,1.1267178893089294
identity,three stars,OOD shape,12,0.853457741244914,0.025476499949894326,0.8133385977436398,0.9935442641574782,0.001327972354918362,0.9914061063801141,1.596059426665306,0.1877196368718446,1.2542207479476928
identity,two crescents,OOD shape,12,0.7379839153243223,0.05271467707781668,0.6507556290501105,0.9946304187168716,0.0013624921883837306,0.9925023849582205,0.8234053750832876,0.1934445228034473,0.39655961394309996
identity,two obstacles,ID,12,0.9309754289163209,0.02033653384456256,0.900292292082395,0.9979113640133636,0.000693058017074701,0.9964363668961561,0.8364640648166338,0.1955082993372709,0.34503012597560884
identity,wavenumber 12,OOD frequency,12,0.9774526155047066,0.005855177141714067,0.9649900228169634,0.9991593862377105,0.0002706064238856341,0.9985873176368627,1.6766350368658702,0.3340857672805167,0.9201788127422333
