seed,policy,scenario,z_scale,controller,hb_or_polynomial_depth,pcg_depth,examples,u_mse,u_mse_ci95_halfwidth,solver_u_mse,u_mse_over_pcg,jury_margin_min
mean,tail_calibrated,ood,1.0,oracle_chebyshev,40,16,12288,2.2119655787497834e-09,NA,1.4946234380070572e-13,0.9999791182721882,0.42452001571655273
mean,tail_calibrated,ood,1.0,pcg,40,16,12288,2.212011769377468e-09,NA,1.540064636647292e-13,1.0,0.42452001571655273
0,spectral_prediction,nominal,0.5,exact,40,16,4096,1.0558947017466456e-09,3.4846457792293086e-11,0.0,0.9998910329765599,0.4839761257171631
0,spectral_prediction,nominal,0.5,learned_hb,40,16,4096,1.0558250088210343e-09,3.4880136959581966e-11,1.0943356497292986e-13,0.9998250364986295,0.4839761257171631
0,spectral_prediction,nominal,0.5,richardson_same_step,40,16,4096,5.2781872070375773e-08,1.0104904946850716e-07,5.174685817688157e-08,49.98237087427674,0.4839761257171631
0,spectral_prediction,nominal,0.5,oracle_richardson,40,16,4096,1.055849624124489e-09,3.4865656510076826e-11,1.0927615636943038e-13,0.9998483462293797,0.4839761257171631
0,spectral_prediction,nominal,0.5,oracle_chebyshev,40,16,4096,1.0557703314915774e-09,3.4856348154788694e-11,1.0782816022186029e-13,0.9997732592036581,0.4839761257171631
0,spectral_prediction,nominal,0.5,pcg,40,16,4096,1.0560097719882229e-09,3.4882227532868406e-11,1.1141572036751301e-13,1.0,0.4839761257171631
1,spectral_prediction,nominal,0.5,exact,40,16,4096,1.0430661585991035e-09,3.15694096871155e-11,0.0,0.9998900975235492,0.8094134330749512
1,spectral_prediction,nominal,0.5,learned_hb,40,16,4096,1.0432056718212115e-09,3.1568775066604316e-11,1.0327028822769072e-13,1.0000238358182003,0.8094134330749512
1,spectral_prediction,nominal,0.5,richardson_same_step,40,16,4096,1.043081864810866e-09,3.1559085334615606e-11,1.0247756628276155e-13,0.9999051536017101,0.8094134330749512
1,spectral_prediction,nominal,0.5,oracle_richardson,40,16,4096,1.0431864533000889e-09,3.1574685570268167e-11,1.0344217045663198e-13,1.0000054128171267,0.8094134330749512
1,spectral_prediction,nominal,0.5,oracle_chebyshev,40,16,4096,1.0429701970294871e-09,3.1553234413351196e-11,1.0249942310314812e-13,0.9997981081301524,0.8094134330749512
1,spectral_prediction,nominal,0.5,pcg,40,16,4096,1.0431808067531517e-09,3.157186544280011e-11,1.0376973191993685e-13,1.0,0.8094134330749512
2,spectral_prediction,nominal,0.5,exact,40,16,4096,1.0424825477031687e-09,3.137915059164822e-11,0.0,1.000207493098886,0.8069299459457397
2,spectral_prediction,nominal,0.5,learned_hb,40,16,4096,1.0422049769829049e-09,3.1373808667658035e-11,9.922379665051571e-14,0.9999411785069685,0.8069299459457397
2,spectral_prediction,nominal,0.5,richardson_same_step,40,16,4096,1.0422980548627336e-09,3.1377894704516925e-11,9.967082006810825e-14,1.000030481865621,0.8069299459457397
2,spectral_prediction,nominal,0.5,oracle_richardson,40,16,4096,1.0424001452256373e-09,3.13788746606369e-11,1.0016145558260912e-13,1.000128432230521,0.8069299459457397
2,spectral_prediction,nominal,0.5,oracle_chebyshev,40,16,4096,1.0423135805213766e-09,3.137603900892427e-11,1.0024629111601074e-13,1.000045377923252,0.8069299459457397
2,spectral_prediction,nominal,0.5,pcg,40,16,4096,1.0422662846419039e-09,3.137393994959547e-11,1.0327042967205995e-13,1.0,0.8069299459457397
mean,spectral_prediction,nominal,0.5,exact,40,16,12288,1.0471478026829727e-09,NA,0.0,0.999995716848919,0.4839761257171631
mean,spectral_prediction,nominal,0.5,learned_hb,40,16,12288,1.047078552541717e-09,NA,1.039758832837121e-13,0.9999295849767329,0.4839761257171631
mean,spectral_prediction,nominal,0.5,richardson_same_step,40,16,12288,1.8289083996683124e-08,NA,1.724902010842264e-08,17.465543655741488,0.4839761257171631
mean,spectral_prediction,nominal,0.5,oracle_richardson,40,16,12288,1.0471454075500716e-09,NA,1.042932608028905e-13,0.9999934295666115,0.4839761257171631
mean,spectral_prediction,nominal,0.5,oracle_chebyshev,40,16,12288,1.0470180363474803e-09,NA,1.0352462481367305e-13,0.9998717937701033,0.4839761257171631
mean,spectral_prediction,nominal,0.5,pcg,40,16,12288,1.0471522877944262e-09,NA,1.0615196065316993e-13,1.0,0.4839761257171631
0,spectral_prediction,ood,1.0,exact,40,16,4096,2.265502889255391e-09,7.590837640649928e-11,0.0,1.0000279840651418,0.20417237281799316
0,spectral_prediction,ood,1.0,learned_hb,40,16,4096,2.2659461997895467e-09,7.59228335704921e-11,3.861881045847177e-13,1.0002236681853824,0.20417237281799316
0,spectral_prediction,ood,1.0,richardson_same_step,40,16,4096,0.12295234020346807,0.09511640672258993,0.12295209449050991,54273062.9446153,0.20417237281799316
0,spectral_prediction,ood,1.0,oracle_richardson,40,16,4096,2.2104560509138578e-08,3.887655902163995e-08,1.9832798775399994e-08,9.757294589840566,0.20417237281799316
0,spectral_prediction,ood,1.0,oracle_chebyshev,40,16,4096,2.265261729725708e-09,7.591153894205873e-11,1.555128502172533e-13,0.9999215325221087,0.20417237281799316
0,spectral_prediction,ood,1.0,pcg,40,16,4096,2.2654394930490427e-09,7.590353374487035e-11,1.58736899886192e-13,1.0,0.20417237281799316
1,spectral_prediction,ood,1.0,exact,40,16,4096,2.2326327319283225e-09,7.816633802546583e-11,0.0,0.9999452574332334,0.7650214433670044
1,spectral_prediction,ood,1.0,learned_hb,40,16,4096,2.2331612550611742e-09,7.81773553475684e-11,1.461245065808191e-13,1.0001819708848374,0.7650214433670044
1,spectral_prediction,ood,1.0,richardson_same_step,40,16,4096,2.233766404201201e-09,7.822666880544733e-11,1.7743644307607627e-13,1.0004530033766377,0.7650214433670044
1,spectral_prediction,ood,1.0,oracle_richardson,40,16,4096,2.2335437159156106e-09,7.821584957964219e-11,1.5078870780465634e-13,1.0003532663747217,0.7650214433670044
1,spectral_prediction,ood,1.0,oracle_chebyshev,40,16,4096,2.2331785318431216e-09,7.819654123642033e-11,1.467674756861301e-13,1.000189708761258,0.7650214433670044
1,spectral_prediction,ood,1.0,pcg,40,16,4096,2.232754958665721e-09,7.814616878965153e-11,1.5264292382953995e-13,1.0,0.7650214433670044
2,spectral_prediction,ood,1.0,exact,40,16,4096,2.137646187195898e-09,6.958740282590897e-11,0.0,0.9999089412005775,0.6870473623275757
2,spectral_prediction,ood,1.0,learned_hb,40,16,4096,2.138069335306755e-09,6.967730188191865e-11,3.4387769266812453e-13,1.0001068736657497,0.6870473623275757
