case,family,beta,n_tokens,geometry,count,fraction
mixed_equal_extremes,indefinite,0.7,20,consensus,53,0.828125
mixed_equal_extremes,indefinite,1.5,2,bipolar,7,0.109375
mixed_equal_extremes,indefinite,1.5,2,consensus,54,0.84375
mixed_equal_extremes,indefinite,1.5,2,nonconverged,3,0.046875
mixed_equal_extremes,indefinite,1.5,3,bipolar,16,0.25
mixed_equal_extremes,indefinite,1.5,3,consensus,44,0.6875
mixed_equal_extremes,indefinite,1.5,3,nonconverged,4,0.0625
mixed_equal_extremes,indefinite,1.5,4,bipolar,24,0.375
mixed_equal_extremes,indefinite,1.5,4,consensus,35,0.546875
mixed_equal_extremes,indefinite,1.5,4,nonconverged,5,0.078125
mixed_equal_extremes,indefinite,1.5,5,bipolar,19,0.296875
mixed_equal_extremes,indefinite,1.5,5,consensus,42,0.65625
mixed_equal_extremes,indefinite,1.5,5,nonconverged,3,0.046875
mixed_equal_extremes,indefinite,1.5,8,bipolar,37,0.578125
mixed_equal_extremes,indefinite,1.5,8,consensus,21,0.328125
mixed_equal_extremes,indefinite,1.5,8,nonconverged,6,0.09375
mixed_equal_extremes,indefinite,1.5,20,bipolar,36,0.5625
mixed_equal_extremes,indefinite,1.5,20,consensus,21,0.328125
mixed_equal_extremes,indefinite,1.5,20,nonconverged,7,0.109375
mixed_equal_extremes,indefinite,3.0,2,bipolar,10,0.15625
mixed_equal_extremes,indefinite,3.0,2,consensus,45,0.703125
mixed_equal_extremes,indefinite,3.0,2,mixed_extreme_stationary,2,0.03125
mixed_equal_extremes,indefinite,3.0,2,nonconverged,7,0.109375
mixed_equal_extremes,indefinite,3.0,3,bipolar,18,0.28125
mixed_equal_extremes,indefinite,3.0,3,consensus,30,0.46875
mixed_equal_extremes,indefinite,3.0,3,mixed_extreme_stationary,6,0.09375
mixed_equal_extremes,indefinite,3.0,3,nonconverged,10,0.15625
mixed_equal_extremes,indefinite,3.0,4,bipolar,17,0.265625
mixed_equal_extremes,indefinite,3.0,4,consensus,33,0.515625
mixed_equal_extremes,indefinite,3.0,4,mixed_extreme_stationary,2,0.03125
mixed_equal_extremes,indefinite,3.0,4,nonconverged,12,0.1875
mixed_equal_extremes,indefinite,3.0,5,bipolar,16,0.25
mixed_equal_extremes,indefinite,3.0,5,consensus,28,0.4375
mixed_equal_extremes,indefinite,3.0,5,mixed_extreme_stationary,3,0.046875
mixed_equal_extremes,indefinite,3.0,5,nonconverged,17,0.265625
mixed_equal_extremes,indefinite,3.0,8,bipolar,34,0.53125
mixed_equal_extremes,indefinite,3.0,8,consensus,7,0.109375
mixed_equal_extremes,indefinite,3.0,8,mixed_extreme_stationary,4,0.0625
mixed_equal_extremes,indefinite,3.0,8,nonconverged,19,0.296875
mixed_equal_extremes,indefinite,3.0,20,bipolar,32,0.5
mixed_equal_extremes,indefinite,3.0,20,consensus,4,0.0625
mixed_equal_extremes,indefinite,3.0,20,mixed_extreme_stationary,6,0.09375
mixed_equal_extremes,indefinite,3.0,20,nonconverged,22,0.34375
mixed_equal_extremes,indefinite,8.0,2,bipolar,12,0.1875
mixed_equal_extremes,indefinite,8.0,2,consensus,38,0.59375
mixed_equal_extremes,indefinite,8.0,2,mixed_extreme_stationary,13,0.203125
mixed_equal_extremes,indefinite,8.0,2,subspace_stationary,1,0.015625
mixed_equal_extremes,indefinite,8.0,3,bipolar,15,0.234375
mixed_equal_extremes,indefinite,8.0,3,consensus,27,0.421875
mixed_equal_extremes,indefinite,8.0,3,mixed_extreme_stationary,19,0.296875
mixed_equal_extremes,indefinite,8.0,3,nonconverged,3,0.046875
mixed_equal_extremes,indefinite,8.0,4,bipolar,15,0.234375
mixed_equal_extremes,indefinite,8.0,4,consensus,5,0.078125
mixed_equal_extremes,indefinite,8.0,4,mixed_extreme_stationary,35,0.546875
mixed_equal_extremes,indefinite,8.0,4,nonconverged,9,0.140625
mixed_equal_extremes,indefinite,8.0,5,bipolar,13,0.203125
mixed_equal_extremes,indefinite,8.0,5,consensus,4,0.0625
mixed_equal_extremes,indefinite,8.0,5,mixed_extreme_stationary,36,0.5625
mixed_equal_extremes,indefinite,8.0,5,nonconverged,11,0.171875
mixed_equal_extremes,indefinite,8.0,8,bipolar,10,0.15625
mixed_equal_extremes,indefinite,8.0,8,mixed_extreme_stationary,37,0.578125
mixed_equal_extremes,indefinite,8.0,8,nonconverged,17,0.265625
mixed_equal_extremes,indefinite,8.0,20,bipolar,3,0.046875
mixed_equal_extremes,indefinite,8.0,20,mixed_extreme_stationary,37,0.578125
mixed_equal_extremes,indefinite,8.0,20,nonconverged,24,0.375
mixed_flat_negative,indefinite,0.03,2,consensus,64,1.0
mixed_flat_negative,indefinite,0.03,3,consensus,64,1.0
mixed_flat_negative,indefinite,0.03,4,consensus,64,1.0
mixed_flat_negative,indefinite,0.03,5,consensus,64,1.0
mixed_flat_negative,indefinite,0.03,8,consensus,64,1.0
mixed_flat_negative,indefinite,0.03,20,consensus,64,1.0
mixed_flat_negative,indefinite,0.1,2,consensus,64,1.0
mixed_flat_negative,indefinite,0.1,3,consensus,64,1.0
mixed_flat_negative,indefinite,0.1,4,consensus,64,1.0
mixed_flat_negative,indefinite,0.1,5,consensus,64,1.0
mixed_flat_negative,indefinite,0.1,8,consensus,64,1.0
mixed_flat_negative,indefinite,0.1,20,consensus,64,1.0
mixed_flat_negative,indefinite,0.3,2,bipolar,39,0.609375
mixed_flat_negative,indefinite,0.3,2,consensus,25,0.390625
mixed_flat_negative,indefinite,0.3,3,bipolar,34,0.53125
mixed_flat_negative,indefinite,0.3,3,consensus,30,0.46875
mixed_flat_negative,indefinite,0.3,4,bipolar,47,0.734375
mixed_flat_negative,indefinite,0.3,4,consensus,17,0.265625
mixed_flat_negative,indefinite,0.3,5,bipolar,50,0.78125
mixed_flat_negative,indefinite,0.3,5,consensus,14,0.21875
mixed_flat_negative,indefinite,0.3,8,bipolar,61,0.953125
mixed_flat_negative,indefinite,0.3,8,consensus,3,0.046875
mixed_flat_negative,indefinite,0.3,20,bipolar,64,1.0
mixed_flat_negative,indefinite,0.7,2,bipolar,57,0.890625
mixed_flat_negative,indefinite,0.7,2,consensus,7,0.109375
mixed_flat_negative,indefinite,0.7,3,bipolar,60,0.9375
mixed_flat_negative,indefinite,0.7,3,consensus,4,0.0625
mixed_flat_negative,indefinite,0.7,4,bipolar,64,1.0
mixed_flat_negative,indefinite,0.7,5,bipolar,64,1.0
mixed_flat_negative,indefinite,0.7,8,bipolar,64,1.0
mixed_flat_negative,indefinite,0.7,20,bipolar,64,1.0
mixed_flat_negative,indefinite,1.5,2,bipolar,57,0.890625
mixed_flat_negative,indefinite,1.5,2,consensus,7,0.109375
mixed_flat_negative,indefinite,1.5,3,bipolar,63,0.984375
mixed_flat_negative,indefinite,1.5,3,consensus,1,0.015625
mixed_flat_negative,indefinite,1.5,4,bipolar,64,1.0
mixed_flat_negative,indefinite,1.5,5,bipolar,64,1.0
mixed_flat_negative,indefinite,1.5,8,bipolar,64,1.0
mixed_flat_negative,indefinite,1.5,20,bipolar,64,1.0
mixed_flat_negative,indefinite,3.0,2,bipolar,60,0.9375
mixed_flat_negative,indefinite,3.0,2,consensus,4,0.0625
mixed_flat_negative,indefinite,3.0,3,bipolar,57,0.890625
mixed_flat_negative,indefinite,3.0,3,mixed_extreme_stationary,7,0.109375
mixed_flat_negative,indefinite,3.0,4,bipolar,61,0.953125
mixed_flat_negative,indefinite,3.0,4,nonconverged,3,0.046875
mixed_flat_negative,indefinite,3.0,5,bipolar,60,0.9375
mixed_flat_negative,indefinite,3.0,5,nonconverged,4,0.0625
mixed_flat_negative,indefinite,3.0,8,bipolar,54,0.84375
mixed_flat_negative,indefinite,3.0,8,nonconverged,10,0.15625
mixed_flat_negative,indefinite,3.0,20,bipolar,56,0.875
mixed_flat_negative,indefinite,3.0,20,nonconverged,8,0.125
mixed_flat_negative,indefinite,8.0,2,bipolar,62,0.96875
mixed_flat_negative,indefinite,8.0,2,consensus,2,0.03125
mixed_flat_negative,indefinite,8.0,3,bipolar,53,0.828125
mixed_flat_negative,indefinite,8.0,3,mixed_extreme_stationary,11,0.171875
mixed_flat_negative,indefinite,8.0,4,bipolar,50,0.78125
mixed_flat_negative,indefinite,8.0,4,mixed_extreme_stationary,9,0.140625
mixed_flat_negative,indefinite,8.0,4,subspace_stationary,5,0.078125
mixed_flat_negative,indefinite,8.0,5,bipolar,36,0.5625
mixed_flat_negative,indefinite,8.0,5,mixed_extreme_stationary,12,0.1875
mixed_flat_negative,indefinite,8.0,5,nonconverged,3,0.046875
mixed_flat_negative,indefinite,8.0,5,subspace_stationary,13,0.203125
mixed_flat_negative,indefinite,8.0,8,bipolar,22,0.34375
mixed_flat_negative,indefinite,8.0,8,mixed_extreme_stationary,13,0.203125
mixed_flat_negative,indefinite,8.0,8,nonconverged,3,0.046875
mixed_flat_negative,indefinite,8.0,8,subspace_stationary,26,0.40625
mixed_flat_negative,indefinite,8.0,20,bipolar,6,0.09375
mixed_flat_negative,indefinite,8.0,20,mixed_extreme_stationary,4,0.0625
mixed_flat_negative,indefinite,8.0,20,nonconverged,18,0.28125
mixed_flat_negative,indefinite,8.0,20,subspace_stationary,36,0.5625
mixed_flat_positive,indefinite,0.03,2,consensus,64,1.0
mixed_flat_positive,indefinite,0.03,3,consensus,64,1.0
mixed_flat_positive,indefinite,0.03,4,consensus,64,1.0
mixed_flat_positive,indefinite,0.03,5,consensus,64,1.0
mixed_flat_positive,indefinite,0.03,8,consensus,64,1.0
mixed_flat_positive,indefinite,0.03,20,consensus,64,1.0
mixed_flat_positive,indefinite,0.1,2,consensus,64,1.0
mixed_flat_positive,indefinite,0.1,3,consensus,64,1.0
mixed_flat_positive,indefinite,0.1,4,consensus,64,1.0
mixed_flat_positive,indefinite,0.1,5,consensus,64,1.0
mixed_flat_positive,indefinite,0.1,8,consensus,64,1.0
mixed_flat_positive,indefinite,0.1,20,consensus,64,1.0
mixed_flat_positive,indefinite,0.3,2,bipolar,2,0.03125
mixed_flat_positive,indefinite,0.3,2,consensus,62,0.96875
mixed_flat_positive,indefinite,0.3,3,consensus,64,1.0
mixed_flat_positive,indefinite,0.3,4,bipolar,1,0.015625
mixed_flat_positive,indefinite,0.3,4,consensus,63,0.984375
mixed_flat_positive,indefinite,0.3,5,consensus,64,1.0
mixed_flat_positive,indefinite,0.3,8,consensus,64,1.0
mixed_flat_positive,indefinite,0.3,20,bipolar,1,0.015625
mixed_flat_positive,indefinite,0.3,20,consensus,63,0.984375
mixed_flat_positive,indefinite,0.7,2,bipolar,10,0.15625
mixed_flat_positive,indefinite,0.7,2,consensus,54,0.84375
mixed_flat_positive,indefinite,0.7,3,bipolar,8,0.125
mixed_flat_positive,indefinite,0.7,3,consensus,56,0.875
mixed_flat_positive,indefinite,0.7,4,bipolar,18,0.28125
mixed_flat_positive,indefinite,0.7,4,consensus,46,0.71875
mixed_flat_positive,indefinite,0.7,5,bipolar,14,0.21875
mixed_flat_positive,indefinite,0.7,5,consensus,50,0.78125
mixed_flat_positive,indefinite,0.7,8,bipolar,36,0.5625
mixed_flat_positive,indefinite,0.7,8,consensus,28,0.4375
mixed_flat_positive,indefinite,0.7,20,bipolar,49,0.765625
mixed_flat_positive,indefinite,0.7,20,consensus,15,0.234375
mixed_flat_positive,indefinite,1.5,2,bipolar,13,0.203125
mixed_flat_positive,indefinite,1.5,2,consensus,44,0.6875
mixed_flat_positive,indefinite,1.5,2,nonconverged,7,0.109375
mixed_flat_positive,indefinite,1.5,3,bipolar,12,0.1875
mixed_flat_positive,indefinite,1.5,3,consensus,26,0.40625
mixed_flat_positive,indefinite,1.5,3,mixed_extreme_stationary,20,0.3125
mixed_flat_positive,indefinite,1.5,3,nonconverged,6,0.09375
mixed_flat_positive,indefinite,1.5,4,bipolar,20,0.3125
mixed_flat_positive,indefinite,1.5,4,consensus,21,0.328125
mixed_flat_positive,indefinite,1.5,4,mixed_extreme_stationary,17,0.265625
mixed_flat_positive,indefinite,1.5,4,nonconverged,6,0.09375
mixed_flat_positive,indefinite,1.5,5,bipolar,25,0.390625
mixed_flat_positive,indefinite,1.5,5,consensus,15,0.234375
mixed_flat_positive,indefinite,1.5,5,mixed_extreme_stationary,19,0.296875
mixed_flat_positive,indefinite,1.5,5,nonconverged,5,0.078125
mixed_flat_positive,indefinite,1.5,8,bipolar,48,0.75
mixed_flat_positive,indefinite,1.5,8,consensus,5,0.078125
mixed_flat_positive,indefinite,1.5,8,mixed_extreme_stationary,9,0.140625
mixed_flat_positive,indefinite,1.5,8,nonconverged,2,0.03125
mixed_flat_positive,indefinite,1.5,20,bipolar,57,0.890625
mixed_flat_positive,indefinite,1.5,20,consensus,2,0.03125
mixed_flat_positive,indefinite,1.5,20,mixed_extreme_stationary,4,0.0625
mixed_flat_positive,indefinite,1.5,20,nonconverged,1,0.015625
mixed_flat_positive,indefinite,3.0,2,bipolar,21,0.328125
mixed_flat_positive,indefinite,3.0,2,consensus,34,0.53125
mixed_flat_positive,indefinite,3.0,2,nonconverged,3,0.046875
mixed_flat_positive,indefinite,3.0,2,subspace_stationary,6,0.09375
mixed_flat_positive,indefinite,3.0,3,bipolar,16,0.25
mixed_flat_positive,indefinite,3.0,3,consensus,12,0.1875
mixed_flat_positive,indefinite,3.0,3,mixed_extreme_stationary,24,0.375
mixed_flat_positive,indefinite,3.0,3,nonconverged,9,0.140625
mixed_flat_positive,indefinite,3.0,3,subspace_stationary,3,0.046875
mixed_flat_positive,indefinite,3.0,4,bipolar,16,0.25
mixed_flat_positive,indefinite,3.0,4,consensus,6,0.09375
mixed_flat_positive,indefinite,3.0,4,mixed_extreme_stationary,29,0.453125
mixed_flat_positive,indefinite,3.0,4,nonconverged,9,0.140625
mixed_flat_positive,indefinite,3.0,4,subspace_stationary,4,0.0625
mixed_flat_positive,indefinite,3.0,5,bipolar,13,0.203125
mixed_flat_positive,indefinite,3.0,5,consensus,3,0.046875
mixed_flat_positive,indefinite,3.0,5,mixed_extreme_stationary,33,0.515625
mixed_flat_positive,indefinite,3.0,5,nonconverged,10,0.15625
mixed_flat_positive,indefinite,3.0,5,subspace_stationary,5,0.078125
mixed_flat_positive,indefinite,3.0,8,bipolar,12,0.1875
mixed_flat_positive,indefinite,3.0,8,mixed_extreme_stationary,34,0.53125
mixed_flat_positive,indefinite,3.0,8,nonconverged,16,0.25
mixed_flat_positive,indefinite,3.0,8,subspace_stationary,2,0.03125
mixed_flat_positive,indefinite,3.0,20,bipolar,14,0.21875
mixed_flat_positive,indefinite,3.0,20,mixed_extreme_stationary,32,0.5
mixed_flat_positive,indefinite,3.0,20,nonconverged,18,0.28125
mixed_flat_positive,indefinite,8.0,2,bipolar,16,0.25
mixed_flat_positive,indefinite,8.0,2,consensus,26,0.40625
mixed_flat_positive,indefinite,8.0,2,nonconverged,2,0.03125
mixed_flat_positive,indefinite,8.0,2,subspace_stationary,20,0.3125
mixed_flat_positive,indefinite,8.0,3,bipolar,16,0.25
mixed_flat_positive,indefinite,8.0,3,consensus,11,0.171875
mixed_flat_positive,indefinite,8.0,3,mixed_extreme_stationary,19,0.296875
mixed_flat_positive,indefinite,8.0,3,nonconverged,3,0.046875
mixed_flat_positive,indefinite,8.0,3,subspace_stationary,15,0.234375
mixed_flat_positive,indefinite,8.0,4,bipolar,12,0.1875
mixed_flat_positive,indefinite,8.0,4,consensus,2,0.03125
mixed_flat_positive,indefinite,8.0,4,mixed_extreme_stationary,28,0.4375
mixed_flat_positive,indefinite,8.0,4,nonconverged,6,0.09375
mixed_flat_positive,indefinite,8.0,4,subspace_stationary,16,0.25
mixed_flat_positive,indefinite,8.0,5,bipolar,7,0.109375
mixed_flat_positive,indefinite,8.0,5,mixed_extreme_stationary,44,0.6875
mixed_flat_positive,indefinite,8.0,5,nonconverged,5,0.078125
mixed_flat_positive,indefinite,8.0,5,subspace_stationary,8,0.125
mixed_flat_positive,indefinite,8.0,8,bipolar,9,0.140625
mixed_flat_positive,indefinite,8.0,8,mixed_extreme_stationary,42,0.65625
mixed_flat_positive,indefinite,8.0,8,nonconverged,10,0.15625
mixed_flat_positive,indefinite,8.0,8,subspace_stationary,3,0.046875
mixed_flat_positive,indefinite,8.0,20,bipolar,2,0.03125
mixed_flat_positive,indefinite,8.0,20,mixed_extreme_stationary,53,0.828125
mixed_flat_positive,indefinite,8.0,20,nonconverged,9,0.140625
mixed_negative_dominant,indefinite,0.03,2,consensus,64,1.0
mixed_negative_dominant,indefinite,0.03,3,consensus,64,1.0
mixed_negative_dominant,indefinite,0.03,4,consensus,64,1.0
mixed_negative_dominant,indefinite,0.03,5,consensus,64,1.0
mixed_negative_dominant,indefinite,0.03,8,consensus,64,1.0
mixed_negative_dominant,indefinite,0.03,20,consensus,64,1.0
mixed_negative_dominant,indefinite,0.1,2,bipolar,9,0.140625
mixed_negative_dominant,indefinite,0.1,2,consensus,55,0.859375
mixed_negative_dominant,indefinite,0.1,3,consensus,64,1.0
mixed_negative_dominant,indefinite,0.1,4,bipolar,16,0.25
mixed_negative_dominant,indefinite,0.1,4,consensus,48,0.75
mixed_negative_dominant,indefinite,0.1,5,bipolar,3,0.046875
mixed_negative_dominant,indefinite,0.1,5,consensus,61,0.953125
mixed_negative_dominant,indefinite,0.1,8,bipolar,26,0.40625
mixed_negative_dominant,indefinite,0.1,8,consensus,38,0.59375
mixed_negative_dominant,indefinite,0.1,20,bipolar,28,0.4375
mixed_negative_dominant,indefinite,0.1,20,consensus,36,0.5625
mixed_negative_dominant,indefinite,0.3,2,bipolar,31,0.484375
mixed_negative_dominant,indefinite,0.3,2,consensus,33,0.515625
mixed_negative_dominant,indefinite,0.3,3,bipolar,44,0.6875
mixed_negative_dominant,indefinite,0.3,3,consensus,20,0.3125
mixed_negative_dominant,indefinite,0.3,4,bipolar,50,0.78125
mixed_negative_dominant,indefinite,0.3,4,consensus,14,0.21875
mixed_negative_dominant,indefinite,0.3,5,bipolar,57,0.890625
mixed_negative_dominant,indefinite,0.3,5,consensus,7,0.109375
mixed_negative_dominant,indefinite,0.3,8,bipolar,63,0.984375
mixed_negative_dominant,indefinite,0.3,8,consensus,1,0.015625
mixed_negative_dominant,indefinite,0.3,20,bipolar,64,1.0
mixed_negative_dominant,indefinite,0.7,2,bipolar,45,0.703125
mixed_negative_dominant,indefinite,0.7,2,consensus,19,0.296875
mixed_negative_dominant,indefinite,0.7,3,bipolar,59,0.921875
mixed_negative_dominant,indefinite,0.7,3,consensus,5,0.078125
mixed_negative_dominant,indefinite,0.7,4,bipolar,59,0.921875
mixed_negative_dominant,indefinite,0.7,4,consensus,5,0.078125
mixed_negative_dominant,indefinite,0.7,5,bipolar,63,0.984375
mixed_negative_dominant,indefinite,0.7,5,consensus,1,0.015625
mixed_negative_dominant,indefinite,0.7,8,bipolar,64,1.0
mixed_negative_dominant,indefinite,0.7,20,bipolar,64,1.0
mixed_negative_dominant,indefinite,1.5,2,bipolar,53,0.828125
mixed_negative_dominant,indefinite,1.5,2,consensus,11,0.171875
mixed_negative_dominant,indefinite,1.5,3,bipolar,62,0.96875
mixed_negative_dominant,indefinite,1.5,3,consensus,2,0.03125
mixed_negative_dominant,indefinite,1.5,4,bipolar,64,1.0
mixed_negative_dominant,indefinite,1.5,5,bipolar,63,0.984375
mixed_negative_dominant,indefinite,1.5,5,consensus,1,0.015625
mixed_negative_dominant,indefinite,1.5,8,bipolar,64,1.0
mixed_negative_dominant,indefinite,1.5,20,bipolar,64,1.0
mixed_negative_dominant,indefinite,3.0,2,bipolar,52,0.8125
mixed_negative_dominant,indefinite,3.0,2,consensus,12,0.1875
mixed_negative_dominant,indefinite,3.0,3,bipolar,57,0.890625
mixed_negative_dominant,indefinite,3.0,3,consensus,4,0.0625
mixed_negative_dominant,indefinite,3.0,3,mixed_extreme_stationary,3,0.046875
mixed_negative_dominant,indefinite,3.0,4,bipolar,64,1.0
mixed_negative_dominant,indefinite,3.0,5,bipolar,64,1.0
mixed_negative_dominant,indefinite,3.0,8,bipolar,64,1.0
mixed_negative_dominant,indefinite,3.0,20,bipolar,64,1.0
mixed_negative_dominant,indefinite,8.0,2,bipolar,59,0.921875
mixed_negative_dominant,indefinite,8.0,2,consensus,5,0.078125
mixed_negative_dominant,indefinite,8.0,3,bipolar,51,0.796875
mixed_negative_dominant,indefinite,8.0,3,consensus,1,0.015625
mixed_negative_dominant,indefinite,8.0,3,mixed_extreme_stationary,12,0.1875
mixed_negative_dominant,indefinite,8.0,4,bipolar,48,0.75
mixed_negative_dominant,indefinite,8.0,4,consensus,1,0.015625
mixed_negative_dominant,indefinite,8.0,4,mixed_extreme_stationary,15,0.234375
mixed_negative_dominant,indefinite,8.0,5,bipolar,52,0.8125
mixed_negative_dominant,indefinite,8.0,5,mixed_extreme_stationary,12,0.1875
mixed_negative_dominant,indefinite,8.0,8,bipolar,52,0.8125
mixed_negative_dominant,indefinite,8.0,8,mixed_extreme_stationary,12,0.1875
mixed_negative_dominant,indefinite,8.0,20,bipolar,63,0.984375
mixed_negative_dominant,indefinite,8.0,20,mixed_extreme_stationary,1,0.015625
mixed_positive_dominant,indefinite,0.03,2,consensus,64,1.0
mixed_positive_dominant,indefinite,0.03,3,consensus,64,1.0
mixed_positive_dominant,indefinite,0.03,4,consensus,64,1.0
mixed_positive_dominant,indefinite,0.03,5,consensus,64,1.0
mixed_positive_dominant,indefinite,0.03,8,consensus,64,1.0
mixed_positive_dominant,indefinite,0.03,20,consensus,64,1.0
mixed_positive_dominant,indefinite,0.1,2,consensus,64,1.0
mixed_positive_dominant,indefinite,0.1,3,consensus,64,1.0
mixed_positive_dominant,indefinite,0.1,4,consensus,64,1.0
mixed_positive_dominant,indefinite,0.1,5,consensus,64,1.0
mixed_positive_dominant,indefinite,0.1,8,consensus,64,1.0
mixed_positive_dominant,indefinite,0.1,20,consensus,64,1.0
mixed_positive_dominant,indefinite,0.3,2,bipolar,4,0.0625
mixed_positive_dominant,indefinite,0.3,2,consensus,60,0.9375
mixed_positive_dominant,indefinite,0.3,3,bipolar,7,0.109375
mixed_positive_dominant,indefinite,0.3,3,consensus,57,0.890625
mixed_positive_dominant,indefinite,0.3,4,bipolar,4,0.0625
mixed_positive_dominant,indefinite,0.3,4,consensus,60,0.9375
mixed_positive_dominant,indefinite,0.3,5,bipolar,5,0.078125
mixed_positive_dominant,indefinite,0.3,5,consensus,59,0.921875
mixed_positive_dominant,indefinite,0.3,8,bipolar,6,0.09375
mixed_positive_dominant,indefinite,0.3,8,consensus,58,0.90625
mixed_positive_dominant,indefinite,0.3,20,bipolar,5,0.078125
mixed_positive_dominant,indefinite,0.3,20,consensus,59,0.921875
mixed_positive_dominant,indefinite,0.7,2,bipolar,8,0.125
mixed_positive_dominant,indefinite,0.7,2,consensus,56,0.875
mixed_positive_dominant,indefinite,0.7,3,bipolar,19,0.296875
mixed_positive_dominant,indefinite,0.7,3,consensus,45,0.703125
mixed_positive_dominant,indefinite,0.7,4,bipolar,23,0.359375
mixed_positive_dominant,indefinite,0.7,4,consensus,41,0.640625
mixed_positive_dominant,indefinite,0.7,5,bipolar,28,0.4375
mixed_positive_dominant,indefinite,0.7,5,consensus,36,0.5625
mixed_positive_dominant,indefinite,0.7,8,bipolar,41,0.640625
mixed_positive_dominant,indefinite,0.7,8,consensus,23,0.359375
mixed_positive_dominant,indefinite,0.7,20,bipolar,49,0.765625
mixed_positive_dominant,indefinite,0.7,20,consensus,15,0.234375
mixed_positive_dominant,indefinite,1.5,2,bipolar,16,0.25
mixed_positive_dominant,indefinite,1.5,2,consensus,48,0.75
mixed_positive_dominant,indefinite,1.5,3,bipolar,23,0.359375
mixed_positive_dominant,indefinite,1.5,3,consensus,41,0.640625
mixed_positive_dominant,indefinite,1.5,4,bipolar,19,0.296875
mixed_positive_dominant,indefinite,1.5,4,consensus,45,0.703125
mixed_positive_dominant,indefinite,1.5,5,bipolar,33,0.515625
mixed_positive_dominant,indefinite,1.5,5,consensus,31,0.484375
mixed_positive_dominant,indefinite,1.5,8,bipolar,47,0.734375
mixed_positive_dominant,indefinite,1.5,8,consensus,17,0.265625
mixed_positive_dominant,indefinite,1.5,20,bipolar,62,0.96875
mixed_positive_dominant,indefinite,1.5,20,consensus,2,0.03125
mixed_positive_dominant,indefinite,3.0,2,bipolar,14,0.21875
mixed_positive_dominant,indefinite,3.0,2,consensus,50,0.78125
mixed_positive_dominant,indefinite,3.0,3,bipolar,34,0.53125
mixed_positive_dominant,indefinite,3.0,3,consensus,30,0.46875
mixed_positive_dominant,indefinite,3.0,4,bipolar,40,0.625
mixed_positive_dominant,indefinite,3.0,4,consensus,24,0.375
mixed_positive_dominant,indefinite,3.0,5,bipolar,42,0.65625
mixed_positive_dominant,indefinite,3.0,5,consensus,22,0.34375
mixed_positive_dominant,indefinite,3.0,8,bipolar,54,0.84375
mixed_positive_dominant,indefinite,3.0,8,consensus,10,0.15625
mixed_positive_dominant,indefinite,3.0,20,bipolar,64,1.0
mixed_positive_dominant,indefinite,8.0,2,bipolar,20,0.3125
mixed_positive_dominant,indefinite,8.0,2,consensus,44,0.6875
mixed_positive_dominant,indefinite,8.0,3,bipolar,28,0.4375
mixed_positive_dominant,indefinite,8.0,3,consensus,36,0.5625
mixed_positive_dominant,indefinite,8.0,4,bipolar,44,0.6875
mixed_positive_dominant,indefinite,8.0,4,consensus,20,0.3125
mixed_positive_dominant,indefinite,8.0,5,bipolar,51,0.796875
mixed_positive_dominant,indefinite,8.0,5,consensus,13,0.203125
