method,network_width,parameter_count,dataset_size,context_size,context_measurements,regime_class,n_tasks,n_seeds,training_seconds,average_precision_mean,average_precision_std,auc_mean,auc_std,iou_top7_mean,iou_top7_std,centroid_error_mean,centroid_error_std,area_matched_iou_mean,area_matched_iou_std,exact_score_correlation_mean,exact_score_correlation_std,relative_score_error_mean,relative_score_error_std,mean_relative_residual_mean,mean_relative_residual_std,covariance_relative_residual_mean,covariance_relative_residual_std,posterior_std_mean_mean,posterior_std_mean_std,uq_error_correlation_mean,uq_error_correlation_std,numerical_coverage_95_mean,numerical_coverage_95_std,average_precision_ci95,auc_ci95,iou_top7_ci95,centroid_error_ci95,area_matched_iou_ci95,exact_score_correlation_ci95,relative_score_error_ci95,mean_relative_residual_ci95,covariance_relative_residual_ci95,posterior_std_mean_ci95,uq_error_correlation_ci95,numerical_coverage_95_ci95,localization_risk_mean,localization_risk_ci95
identity-CG,0,0,0,48,2304,ID,8,1,0.0,0.9095514863681046,0.10123665796074642,0.9931200340679383,0.008186393201529115,0.33133738866497486,0.2198304658392752,0.02451344451401379,0.016550047564390078,0.7557029672932638,0.22486060178275435,0.999143810424624,0.0003929612532353759,0.023117930046282664,0.014667508911688353,1.5234729647636414,0.7791234122286098,0.03140436648391182,0.009547434306540897,0.017470045364461777,0.012311177128479794,0.2514493346216219,0.20212024048513968,0.1227678523864597,0.10113194728593573,0.07015342480173273,0.005672881063335474,0.1523347408442222,0.011468597844505324,0.155820447215428,0.00027230825556817244,0.010164065114277572,0.5399049792046908,0.006616034430266387,0.008531210495298053,0.14006218080885605,0.0700808640060759,0.09044851363189543,0.07015342480173273
identity-CG,0,0,0,48,2304,OOD,20,1,0.0,0.7868063111359694,0.1517293561444797,0.9826718373935546,0.014281980643802962,0.4214304143192094,0.10921094995409397,0.048118775989860245,0.03398735208461176,0.5604215543729005,0.16053236808881421,0.9990824509356415,0.0005560373198480941,0.03125449577346438,0.010273642500952545,1.0644514389336108,0.5729809165558585,0.036157878721132825,0.023556456173425225,0.029356534406542723,0.009313509177377392,0.327540045885866,0.2573379623792512,0.29260203596204515,0.2475369929520745,0.06649832228618106,0.006259353996284408,0.047863809164997606,0.014895613808736571,0.07035641237657889,0.00024369410006059772,0.004502622349697524,0.2511199587288907,0.010324072113303582,0.004081825367418063,0.1127833347059727,0.10848787046459808,0.21319368886403056,0.06649832228618106
population-PCG,128,149251,128,8,64,All,28,1,1.284011782030575,0.4782006250538141,0.27767580839172484,0.8819175259481321,0.11876115001952457,0.21138711134721802,0.10832756894911061,0.10631941982345386,0.057682818917331596,0.3283053695418007,0.24161327200021374,0.9999999998904766,3.479611818488486e-10,1.9505969898351135e-06,1.6855891815177021e-06,1.776920591315242e-05,2.6631690724363336e-05,8.131413546306833e-07,7.429510327689854e-07,0.0346332203729876,0.01500536902225678,-0.16923716701161343,0.1663124248662252,1.0,0.0,0.10285255877446564,0.04398974557147739,0.04012509306001689,0.0213660151287004,0.08949480836312393,1.2888662543066457e-10,6.24350970168345e-07,9.864516290979139e-06,2.7519291366074684e-07,0.005558066466910141,0.0616029842590605,0.0,0.5217993749461859,0.10285255877446564
population-PCG,128,149251,128,8,64,ID,8,1,1.284011782030575,0.7516771102609061,0.2625011535939359,0.951228496588879,0.06219593917816821,0.22584245819539933,0.09332704029067494,0.0766694316989742,0.059932435166423846,0.5795528456365096,0.27890485492992056,0.9999999996518114,6.117570175394322e-10,2.743599338828062e-06,2.4085748362804106e-06,4.285922750568716e-05,4.007219814778199e-05,1.4130999730355145e-06,1.0528511781489898e-06,0.0248363357968628,0.019093360631402084,-0.07662426091207178,0.11472607006051598,1.0,0.0,0.18190401886005225,0.043099586948045825,0.06467233939645425,0.04153105869281738,0.19327120394226116,4.2392598482977833e-10,1.6690572077345734e-06,2.7768616586400697e-05,7.295886434964085e-07,0.01323102388254258,0.0795011104763003,0.0,0.2483228897390939,0.18190401886005225
population-PCG,128,149251,128,8,64,OOD,20,1,1.284011782030575,0.3688100309709773,0.20023866531416887,0.8541931376918335,0.12564160120465467,0.2056049726079455,0.11551518585872089,0.11817941507324572,0.05372829478282951,0.22780637910391718,0.13071857161229264,0.9999999999859426,2.4482043263010027e-11,1.633396050237934e-06,1.2367383733774386e-06,7.733197276138525e-06,6.722692781713889e-06,5.731579072687509e-07,4.0473807824510817e-07,0.03855197420343752,0.011361269698499358,-0.20628232945143007,0.17146683424555825,1.0,0.0,0.08775846440379692,0.05506485957472335,0.05062676237066997,0.023547463412112602,0.057289939961165076,1.0729728540979511e-11,5.420244903578758e-07,2.9463500181448444e-06,1.7738428378358337e-07,0.004979295985884408,0.0751486534629124,0.0,0.6311899690290227,0.08775846440379692
population-PCG,128,149251,128,12,144,All,28,1,1.284011782030575,0.7162176694976589,0.18033602788379624,0.9770040021090856,0.01742866966539934,0.3518789945769855,0.125523385090802,0.04463252435172238,0.03552774189848721,0.5194353152152337,0.21295502567354482,0.9999999996159633,8.998359753407698e-10,4.061881309017476e-06,2.8993105105969902e-06,4.840356432719948e-05,6.303158967481676e-05,2.8277607201841556e-06,7.464956271232842e-06,0.032388586168443464,0.012600558267551798,-0.15252522014666206,0.11230625007218803,1.0,0.0,0.06679739950880281,0.006455669586427874,0.04649451249425568,0.013159659758992168,0.07887964537230047,3.333039096101297e-10,1.0739196418433469e-06,2.3347227542888444e-05,2.7650584978315777e-06,0.00466731209791293,0.04159881717169349,0.0,0.28378233050234114,0.06679739950880281
population-PCG,128,149251,128,12,144,ID,8,1,1.284011782030575,0.8556908240887386,0.17211075501081924,0.9882409018173137,0.01422255126091322,0.2959947048792576,0.1618708687671477,0.031000090180896174,0.018844982456851136,0.7024713636861909,0.24513590155115225,0.9999999989098437,1.5107770957928059e-09,5.235746911580463e-06,3.0022064110334276e-06,0.00010931887027250742,9.457274010620289e-05,7.391110258936352e-06,1.344184938802145e-05,0.022092752449680075,0.013932519439670398,-0.12484510873089115,0.07513005885565947,1.0,0.0,0.1192666683436211,0.009855725193517718,0.1121707892021717,0.013058906588849345,0.1698705131331157,1.046915114710483e-09,2.080422901528195e-06,6.553556532759924e-05,9.314726396879046e-06,0.009654743395308248,0.05206247460602561,0.0,0.14430917591126136,0.1192666683436211
population-PCG,128,149251,128,12,144,OOD,20,1,1.284011782030575,0.660428407661227,0.15438222120471123,0.9725092422257943,0.01681370495361205,0.37423271045607676,0.10438335103318228,0.050085498020052854,0.039411842946552415,0.44622089582685087,0.15018933732182485,0.9999999998984113,1.257651796843267e-10,3.5923350679922806e-06,2.795072528780801e-06,2.403744194907631e-05,1.2779338663116033e-05,1.0024209046832766e-06,5.883367194154085e-07,0.03650691965594882,0.009572018480687996,-0.16359726471297045,0.12406486855364018,1.0,0.0,0.06766099166170418,0.0073689310970606915,0.04574802065136602,0.017273001749619214,0.06582337927846033,5.511902023141949e-11,1.224994546573637e-06,5.600792111810872e-06,2.578499360613265e-07,0.004195122064921712,0.05437382602228103,0.0,0.339571592338773,0.06766099166170418
population-PCG,128,149251,128,16,256,All,28,1,1.284011782030575,0.7595663937804699,0.18326507676856338,0.9831559451651092,0.017065835605512534,0.3878393769703884,0.1380535982309734,0.04779496769021659,0.03435694785812025,0.5446694129257647,0.18200928770531105,0.9999994461716379,1.067917069554151e-06,0.00017745686165374793,0.00020114441946899832,0.02359395291464997,0.02902896497045612,0.0007149591407531438,0.0007869693792691673,0.02859995838454255,0.012058363059448757,0.09384463090236876,0.14106418436629148,1.0,0.0,0.06788233439858912,0.006321273969877658,0.0511357683923495,0.012725991577571916,0.06741718362011626,3.9556201816336104e-07,7.450493561327996e-05,0.010752479098120528,0.00029149753737567205,0.0044664801823361125,0.052250905102392185,0.0,0.24043360621953014,0.06788233439858912
population-PCG,128,149251,128,16,256,ID,8,1,1.284011782030575,0.8827588989142021,0.08709959650522803,0.9936368759465205,0.0065000490186947054,0.33250161029578923,0.1950458189169182,0.029783459263853687,0.011850120195051016,0.6807492703289741,0.17834728979886266,0.9999989160770122,1.728873833157567e-06,0.00028497032644732485,0.00027069159150082514,0.05123751331120724,0.03838856762670946,0.0013288211594044126,0.0011367155915941486,0.019994947302620813,0.012825794038280203,0.10830591556849208,0.10022674609994317,1.0,0.0,0.060356941020909674,0.00450430416438071,0.1351598567742715,0.0082117143408403,0.12358836646255779,1.1980484430168613e-06,0.00018757970276120402,0.026601920159106934,0.0007877037170347665,0.008887821819798525,0.06945359158706152,0.0,0.11724110108579788,0.060356941020909674
