name,factor,N,bs,L,final_test_error,final_train_error,min_loss,epochs_run,worked,failed
f3_N64_bs4_L4,3,64,4,4,2.0021255016326904,2.029988754540682,2.012155070900917,314,False,True
f3_N64_bs8_L4,3,64,8,4,2.0023112297058105,2.0285883247852325,2.0234194472432137,355,False,True
f3_N32_bs1_L3,3,32,1,3,2.0029664039611816,2.0573307361901243,2.057291464541777,318,False,True
f3_N64_bs16_L4,3,64,16,4,2.0037593841552734,2.0293910801410675,2.028481036424637,338,False,True
f3_N128_bs16_L5,3,128,16,5,2.0039632320404053,2.0154118835926056,2.0152953267097473,330,False,True
f3_N64_bs8_L5,3,64,8,5,2.0039682388305664,2.031180188059807,2.029902622103691,334,False,True
f3_N32_bs16_L3,3,32,16,3,2.0039825439453125,2.055744171142578,2.055741548538208,344,False,True
f3_N128_bs16_L6,3,128,16,6,2.003990888595581,2.0156192928552628,2.0117416381835938,332,False,True
f3_N64_bs8_L6,3,64,8,6,2.004006862640381,2.0313479974865913,2.0281470715999603,411,False,True
f3_N64_bs16_L5,3,64,16,5,2.0040676593780518,2.030545800924301,2.0298832952976227,377,False,True
f3_N128_bs8_L5,3,128,8,5,2.0040924549102783,2.0159130096435547,2.0126916356384754,353,False,True
f3_N128_bs8_L6,3,128,8,6,2.0041656494140625,2.0160195976495743,2.013564396649599,326,False,True
f3_N64_bs4_L6,3,64,4,6,2.0041747093200684,2.0319775249809027,1.9995271563529968,404,False,True
f3_N32_bs2_L4,3,32,2,4,2.0043110847473145,2.0674010906368494,2.0609171828255057,404,False,True
f3_N32_bs4_L4,3,32,4,4,2.0044901371002197,2.0585042238235474,2.057156391441822,300,False,True
f3_N128_bs4_L6,3,128,4,6,2.0045063495635986,2.016574112698436,2.0109529765322804,353,False,True
f3_N32_bs4_L6,3,32,4,6,2.004714012145996,2.059575468301773,2.0558166578412056,331,False,True
f3_N32_bs4_L5,3,32,4,5,2.0047712326049805,2.0594886392354965,2.058767519891262,320,False,True
f3_N32_bs1_L4,3,32,1,4,2.0047903060913086,2.0587891443537956,2.0390231950896123,331,False,True
f3_N64_bs16_L6,3,64,16,6,2.0049948692321777,2.0302896946668625,2.0282920598983765,322,False,True
f3_N32_bs1_L5,3,32,1,5,2.0051989555358887,2.0591445286409,2.054172542766537,333,False,True
f3_N32_bs1_L6,3,32,1,6,2.0052330493927,2.0591357762805274,2.0495639198857134,340,False,True
f3_N64_bs4_L5,3,64,4,5,2.0053281784057617,2.0343834944069386,2.021070070564747,371,False,True
f3_N32_bs8_L4,3,32,8,4,2.005601167678833,2.0580325424671173,2.0577725768089294,331,False,True
f3_N128_bs4_L5,3,128,4,5,2.0060646533966064,2.0186689915135503,2.016463459469378,423,False,True
f3_N32_bs2_L6,3,32,2,6,2.0062460899353027,2.0698534436523914,2.0571156763471663,349,False,True
f3_N32_bs16_L4,3,32,16,4,2.0068612098693848,2.058145761489868,2.058144211769104,321,False,True
f3_N32_bs16_L5,3,32,16,5,2.007395029067993,2.058583378791809,2.0585824251174927,331,False,True
f3_N32_bs16_L6,3,32,16,6,2.0073976516723633,2.0585871934890747,2.058586359024048,312,False,True
f3_N32_bs8_L5,3,32,8,5,2.007673501968384,2.0585856288671494,2.054737687110901,321,False,True
f3_N32_bs8_L6,3,32,8,6,2.0084524154663086,2.0586593449115753,2.05863818526268,317,False,True
f3_N32_bs2_L5,3,32,2,5,2.0086829662323,2.0747582213953137,2.061077343299985,362,False,True
f3_N64_bs2_L4,3,64,2,4,2.0102622509002686,2.0431807935237885,2.0363883587997407,369,False,True
f3_N128_bs1_L6,3,128,1,6,2.0107455253601074,2.02420410528066,2.0227246603608364,353,False,True
f3_N128_bs1_L5,3,128,1,5,2.010836124420166,2.0242986916127848,2.01164599583376,315,False,True
f3_N64_bs2_L6,3,64,2,6,2.012629508972168,2.0447351820766926,2.0286956199561246,346,False,True
f3_N64_bs2_L5,3,64,2,5,2.015575408935547,2.0484869913198054,2.033442328684032,359,False,True
f3_N128_bs2_L6,3,128,2,6,2.01775860786438,2.032024231972173,2.0208812255878,349,False,True
f3_N128_bs2_L5,3,128,2,5,2.0188748836517334,2.033257146948017,2.0193648480344564,376,False,True
f4_N64_bs1_L1,4,64,1,1,2.0247724056243896,2.318923797470724,2.0757831394439563,350,False,True
f3_N64_bs1_L4,3,64,1,4,2.044144868850708,2.0823144083142324,2.0616467479630955,311,False,True
f3_N64_bs1_L5,3,64,1,5,2.0449767112731934,2.0830495857053393,2.0651148895267397,313,False,True
f3_N64_bs1_L6,3,64,1,6,2.0451931953430176,2.083294694383767,2.028163134244096,324,False,True
f4_N64_bs4_L4,4,64,4,4,2.509561061859131,2.5990452021360397,2.5946367904543877,389,False,True
f4_N64_bs8_L4,4,64,8,4,2.5120959281921387,2.598923847079277,2.598872348666191,348,False,True
f4_N64_bs16_L4,4,64,16,4,2.5128774642944336,2.598740518093109,2.5981192588806152,305,False,True
f4_N128_bs8_L5,4,128,8,5,2.5129287242889404,2.550459921360016,2.5478776544332504,326,False,True
f4_N64_bs4_L5,4,64,4,5,2.5129404067993164,2.6011707931756973,2.601062472909689,453,False,True
f4_N64_bs4_L8,4,64,4,8,2.512968063354492,2.6012115254998207,2.5981706585735083,378,False,True
f4_N128_bs16_L8,4,128,16,8,2.5129785537719727,2.5504193007946014,2.544003501534462,354,False,True
f4_N128_bs8_L8,4,128,8,8,2.5129785537719727,2.5506886392831802,2.53890098631382,418,False,True
f4_N64_bs8_L6,4,64,8,6,2.5129992961883545,2.6005411595106125,2.5871287137269974,338,False,True
f4_N128_bs16_L6,4,128,16,6,2.513007879257202,2.550327807664871,2.5491019785404205,345,False,True
f4_N128_bs16_L7,4,128,16,7,2.513028621673584,2.550321102142334,2.5468979477882385,378,False,True
f4_N64_bs8_L5,4,64,8,5,2.5130512714385986,2.6002808064222336,2.599175378680229,362,False,True
f4_N128_bs8_L6,4,128,8,6,2.513066530227661,2.5510083697736263,2.536934234201908,359,False,True
f4_N64_bs4_L6,4,64,4,6,2.5131137371063232,2.602212416008115,2.599202709272504,406,False,True
f4_N128_bs16_L5,4,128,16,5,2.5131168365478516,2.5502204596996307,2.549395725131035,309,False,True
f4_N64_bs4_L7,4,64,4,7,2.5131454467773438,2.6023204028606415,2.575908384285867,367,False,True
f4_N128_bs8_L7,4,128,8,7,2.513180732727051,2.5512680038809776,2.5417208932340145,389,False,True
f4_N64_bs8_L8,4,64,8,8,2.5132200717926025,2.5999859794974327,2.598884716629982,306,False,True
f4_N64_bs8_L7,4,64,8,7,2.513270139694214,2.599915698170662,2.597628176212311,363,False,True
f4_N64_bs16_L5,4,64,16,5,2.513448476791382,2.599691241979599,2.5993118286132812,377,False,True
f4_N64_bs16_L8,4,64,16,8,2.5136797428131104,2.5995666682720184,2.599167585372925,347,False,True
f4_N128_bs4_L7,4,128,4,7,2.5137319564819336,2.5522723691537976,2.5289649423211813,338,False,True
f4_N128_bs4_L8,4,128,4,8,2.513880729675293,2.5525161987170577,2.5397068671882153,330,False,True
f4_N128_bs4_L6,4,128,4,6,2.513917922973633,2.5525770876556635,2.5511349998414516,392,False,True
f4_N64_bs2_L8,4,64,2,8,2.5140669345855713,2.6048585230018944,2.6029581748880446,304,False,True
f4_N64_bs16_L6,4,64,16,6,2.514202356338501,2.5993908643722534,2.596293091773987,346,False,True
f4_N128_bs4_L5,4,128,4,5,2.5142531394958496,2.5531001086346805,2.5446074921637774,503,False,True
f4_N64_bs2_L6,4,64,2,6,2.5143589973449707,2.6054951641708612,2.5856670513749123,386,False,True
f4_N256_bs4_L6,4,256,4,6,2.5146374702453613,2.5274322496261448,2.5267905057407916,393,False,True
f4_N64_bs2_L7,4,64,2,7,2.5148496627807617,2.6064778165891767,2.5800775580573827,347,False,True
f4_N64_bs16_L7,4,64,16,7,2.5149075984954834,2.599378526210785,2.598717153072357,325,False,True
f4_N256_bs4_L5,4,256,4,5,2.5150389671325684,2.5278996920678765,2.52563486690633,339,False,True
f4_N256_bs4_L8,4,256,4,8,2.515997886657715,2.528949265368283,2.5225862273946404,416,False,True
f4_N256_bs4_L7,4,256,4,7,2.5161333084106445,2.529108227114193,2.52324616513215,395,False,True
f4_N128_bs2_L7,4,128,2,7,2.5170741081237793,2.556884099380113,2.548513228306547,361,False,True
f4_N64_bs2_L5,4,64,2,5,2.5171711444854736,2.610567861702293,2.5775587267708033,486,False,True
f4_N128_bs2_L5,4,128,2,5,2.5178887844085693,2.5579177158069797,2.5537316199042834,420,False,True
f4_N128_bs2_L6,4,128,2,6,2.5180318355560303,2.5580942930537276,2.5504244610783644,340,False,True
f4_N128_bs2_L8,4,128,2,8,2.5183498859405518,2.558490225172136,2.5529566005570814,359,False,True
f4_N256_bs2_L7,4,256,2,7,2.521611213684082,2.5350021369522437,2.514869355038172,385,False,True
f4_N256_bs2_L8,4,256,2,8,2.52162766456604,2.5350200782413594,2.5177835580543615,399,False,True
f4_N256_bs2_L5,4,256,2,5,2.521815776824951,2.5352219958949718,2.5226916647225153,399,False,True
f4_N256_bs2_L6,4,256,2,6,2.5225894451141357,2.536037546393345,2.5082771399255535,400,False,True
f4_N256_bs1_L7,4,256,1,7,2.6236743927001953,2.639813114129389,2.5823465417781577,310,False,True
f4_N256_bs1_L5,4,256,1,5,2.6243932247161865,2.6405593271897843,2.582961410983131,332,False,True
f4_N256_bs1_L6,4,256,1,6,2.6247663497924805,2.640929315942529,2.5953628329521687,335,False,True
f4_N256_bs1_L8,4,256,1,8,2.6249263286590576,2.641075864185936,2.6065835120981404,287,False,True
f4_N128_bs1_L4,4,128,1,4,2.6252777576446533,2.6747202241659807,2.598403567322052,292,False,True
f4_N128_bs1_L8,4,128,1,8,2.627119779586792,2.676485170824435,2.580834748249117,303,False,True
f4_N128_bs1_L7,4,128,1,7,2.62717866897583,2.6765429322531418,2.5879017037612613,324,False,True
f4_N128_bs1_L6,4,128,1,6,2.627211570739746,2.676586525323046,2.635608381441898,353,False,True
f4_N128_bs1_L5,4,128,1,5,2.6272566318511963,2.6766198046182126,2.5977509349895342,306,False,True
f4_N64_bs1_L3,4,64,1,3,2.6373448371887207,2.7561726665148853,2.6941011187400363,319,False,True
f4_N64_bs1_L7,4,64,1,7,2.64583158493042,2.7637179523453597,2.6895366474313676,309,False,True
f4_N64_bs1_L4,4,64,1,4,2.645876169204712,2.76384893298291,2.6403162488404632,309,False,True
f4_N64_bs1_L5,4,64,1,5,2.6463277339935303,2.7642813555621615,2.6599685539932523,330,False,True
f4_N64_bs1_L8,4,64,1,8,2.646486759185791,2.7644455811268926,2.7332079762854846,297,False,True
f4_N64_bs1_L6,4,64,1,6,2.6466763019561768,2.764638727262536,2.655864802146823,330,False,True
