config_name,freq_multiplier,rank,layers,epochs,final_train_error,final_test_error,final_test_error_max,training_time_seconds,total_parameters,epochs_run,thresholds_reached,initial_loss,final_loss,loss_reduction_factor,loss_at_50pct
freq0.6_rank15_L5,0.6,15,5,12000,5.424241862783674e-06,1.554074879095424e-05,0.03811311721801758,124.92769694328308,122842,12000,13,2.296809494495392,5.424241862783674e-06,423434.19644578476,3.629623352026101e-05
freq0.6_rank15_L8,0.6,15,8,12000,1.1979002095818813e-10,2.6400208298582584e-05,0.027931585907936096,161.0237910747528,195148,12000,25,2.0968292355537415,1.1979002095818813e-10,17504206266.77764,3.213492004761065e-06
freq0.6_rank25_L3,0.6,25,3,12000,0.0003681548347231001,0.00046864934847690165,0.1880897879600525,101.91178154945374,121288,12000,8,2.2593581199646,0.0003681548347231001,6136.977996401782,0.0006458707532146946
freq0.6_rank25_L5,0.6,25,5,12000,1.6175753447117415e-08,9.530240276944824e-06,0.028901100158691406,124.34082579612732,200592,12000,21,2.187323606014252,1.6175753447117415e-08,135222363.09827298,7.716038169292006e-07
freq0.6_rank25_L8,0.6,25,8,12000,1.1839304419059004e-07,1.2519140909716953e-05,0.022692203521728516,160.26754355430603,319548,12000,18,2.086465764045715,1.1839304419059004e-07,17623212.3965569,1.515857259164477e-05
freq1.5_rank10_L12,1.5,10,12,30000,1.2223207354545593,1.1377489566802979,3.980635166168213,510.4941186904907,198256,30000,0,2.6419519424438476,1.2223207354545593,2.1614228293863906,1.2223226487636567
freq1.5_rank10_L24,1.5,10,24,30000,1.6782578110694886,1.6165391206741333,3.98087477684021,838.6450273990631,394180,30000,0,2.156285512447357,1.6782578110694886,1.2848356779422585,1.6782582879066468
freq1.5_rank10_L8,1.5,10,8,30000,0.9268698692321777,0.8620162010192871,3.7030537128448486,400.272988319397,132948,30000,0,2.3046591520309447,0.9268698692321777,2.486497003015248,0.9268688023090362
freq1.5_rank15_L12,1.5,15,12,30000,1.2120269060134887,1.1193817853927612,3.7303500175476074,510.83676314353943,291556,30000,0,2.5539427638053893,1.2120269060134887,2.1071667230603266,1.212028592824936
freq1.5_rank15_L24,1.5,15,24,30000,1.2429541945457458,1.239758849143982,4.118220329284668,844.0163426399231,580780,30000,0,2.1548166513442992,1.2429541945457458,1.7336251495026376,1.2429519772529602
freq1.5_rank15_L8,1.5,15,8,30000,0.6603448927402497,0.6276106238365173,2.3504021167755127,401.1286358833313,195148,30000,0,2.0543752193450926,0.6603448927402497,3.111063993877503,0.6603427410125733
freq1.5_rank25_L12,1.5,25,12,30000,1.744731032848358,1.6159803867340088,4.114062786102295,507.039831161499,478156,30000,0,2.1033596634864806,1.744731032848358,1.2055495224685973,1.7447301864624023
freq1.5_rank25_L24,1.5,25,24,30000,1.9322602987289428,1.8009365797042847,3.9106128215789795,836.7890949249268,953980,30000,0,2.153858244419098,1.9322602987289428,1.1146832783532965,1.9322603344917297
freq1.5_rank25_L8,1.5,25,8,30000,0.66261225938797,0.6681318879127502,2.31722354888916,399.8074326515198,319548,30000,0,2.0928354501724242,0.66261225938797,3.1584617104813266,0.6626131415367127
freq2_rank10_L12,2.0,10,12,40000,1.0192497491836547,1.0048636198043823,3.3910458087921143,682.3283717632294,198256,40000,0,2.2198925852775573,1.0192497491836547,2.177967261758495,1.0192497432231904
freq2_rank10_L16,2.0,10,16,40000,1.6475820660591125,1.7045470476150513,4.032586574554443,824.9606289863586,263564,40000,0,2.222683608531952,1.6475820660591125,1.349057903894546,1.6475820899009705
freq2_rank10_L24,2.0,10,24,40000,1.713755762577057,1.7229925394058228,3.9188878536224365,1117.9220159053802,394180,40000,0,2.159313130378723,1.713755762577057,1.259988837109239,1.71375572681427
freq2_rank15_L12,2.0,15,12,40000,1.7632726550102233,1.7560795545578003,3.9130401611328125,682.1639704704285,291556,40000,0,2.0240457892417907,1.7632726550102233,1.1478915546558257,1.7632726311683655
freq2_rank15_L16,2.0,15,16,40000,1.141133087873459,1.1132780313491821,3.3134899139404297,828.7736992835999,387964,40000,0,2.159908652305603,1.141133087873459,1.8927754135415245,1.1411330640316009
freq2_rank15_L24,2.0,15,24,40000,1.5027236223220826,1.446042776107788,3.977221727371216,580.1717987060547,580780,40000,0,2.2231171488761903,1.5027236223220826,1.4793918960566548,1.5027236223220826
freq2_rank25_L12,2.0,25,12,40000,1.8765230178833008,1.895688772201538,3.9654741287231445,676.5163853168488,478156,40000,0,2.102088379859924,1.8765230178833008,1.120203887629931,1.8765230655670166
freq2_rank25_L16,2.0,25,16,40000,1.9628066062927245,1.9173965454101562,3.9081552028656006,809.071081161499,636764,40000,0,2.1211103439331054,1.9628066062927245,1.0806517244912779,1.9628066539764404
freq2_rank25_L24,2.0,25,24,40000,1.9554802775382996,1.911286473274231,3.9190616607666016,1119.325933933258,953980,40000,0,2.452175056934357,1.9554802775382996,1.2540014261976258,1.9554802417755126
freq3_rank10_L16,3.0,10,16,60000,1.9838287353515625,1.8948842287063599,3.929802894592285,1221.527554988861,263564,60000,0,2.1963320136070252,1.9838287353515625,1.1071177539011725,1.9838287472724914
freq3_rank10_L24,3.0,10,24,60000,1.6813411116600037,1.5832579135894775,4.107630252838135,1681.0259656906128,394180,60000,0,2.30840528011322,1.6813411116600037,1.3729547586177264,1.6813411831855773
freq3_rank10_L40,3.0,10,40,60000,2.012087869644165,1.9087111949920654,3.90779709815979,2552.5033082962036,655412,60000,0,1001.8781114459038,2.012087869644165,497.92960166450615,2.012087845802307
freq3_rank15_L16,3.0,15,16,60000,1.7804751634597777,1.6861002445220947,4.011915683746338,1573.770859003067,387964,60000,0,2.157737100124359,1.7804751634597777,1.2118883455422622,1.7804751873016358
freq3_rank15_L24,3.0,15,24,60000,1.8074864625930787,1.7424945831298828,3.9184510707855225,2181.388979911804,580780,60000,0,2.1776255488395693,1.8074864625930787,1.20478111117661,1.8074864625930787
freq3_rank15_L40,3.0,15,40,60000,2.0120876669883727,1.9087095260620117,3.907705783843994,4009.049870967865,966412,60000,0,2.0988354325294494,2.0120876669883727,1.0431133130848707,2.0120876669883727
freq3_rank25_L16,3.0,25,16,60000,1.9715758323669434,1.8837543725967407,3.918938159942627,1219.5767736434937,636764,60000,0,2.050223469734192,1.9715758323669434,1.0398907493569898,1.9715758323669434
freq3_rank25_L24,3.0,25,24,60000,1.6484015583992004,1.6240260601043701,3.9894979000091553,1662.4752898216248,953980,60000,0,2.1950400948524473,1.6484015583992004,1.3316173378191294,1.6484015345573426
freq3_rank25_L40,3.0,25,40,60000,2.012087547779083,1.9087073802947998,3.9075469970703125,2554.595334291458,1588412,60000,0,2.2988646745681764,2.012087547779083,1.142527161457579,2.0120874762535097
freq5_rank10_L24,5.0,10,24,100000,2.0120880126953127,1.9155442714691162,3.9073963165283203,2815.6464743614197,394180,100000,0,2.228275382518768,2.0120880126953127,1.1074442909352955,2.0120880365371705
freq5_rank10_L40,5.0,10,40,100000,2.0120880722999575,1.9155445098876953,3.9073939323425293,4395.0509259700775,655412,100000,0,2.0608174204826355,2.0120880722999575,1.024218297823801,2.0120880007743835
freq5_rank10_L56,5.0,10,56,100000,1.7638673197341968e+31,1.7784265947186887e+31,5980236764151808.0,7726.968220949173,916644,100000,0,2.0574714303016663,1.7638673197341968e+31,1.1664547595403683e-31,1.7638673680912296e+31
freq5_rank15_L24,5.0,15,24,100000,2.012087917327881,1.9155501127243042,3.9073381423950195,2847.1936371326447,580780,100000,0,2.7078920722007753,2.012087917327881,1.3458120039789043,2.0120879650115966
freq5_rank15_L40,5.0,15,40,100000,2.012087857723236,1.9155510663986206,3.907329797744751,4347.256934165955,966412,100000,0,2.130145239830017,2.012087857723236,1.0586740691534056,2.012087953090668
freq5_rank15_L56,5.0,15,56,100000,2.7484535656404253e+32,2.778272465679525e+32,2.2373917016457216e+16,5876.2910592556,1352044,100000,0,2.2783793568611146,2.7484535656404253e+32,8.28967745842278e-33,2.7484536236688644e+32
freq5_rank25_L24,5.0,25,24,100000,2.0120873928070067,1.915583848953247,3.9070005416870117,2804.0731496810913,953980,100000,0,3.91083767414093,2.0120873928070067,1.9436718743538421,2.0120874285697936
freq5_rank25_L40,5.0,25,40,100000,2.012087512016296,1.9155739545822144,3.907099723815918,4245.488387823105,1588412,100000,0,2.295385682582855,2.012087512016296,1.1407981357046784,2.0120875597000123
freq5_rank25_L56,5.0,25,56,100000,2.012087571620941,1.9155726432800293,3.907113552093506,5688.644559144974,2222844,100000,0,2.0940439701080322,2.012087571620941,1.0407320236171764,2.0120875954627992
freq7_rank10_L40,7.0,10,40,140000,2.012089657783508,1.9327934980392456,3.908015012741089,5960.253197193146,655412,140000,0,2.140605115890503,2.012089657783508,1.0638716359431843,2.012089717388153
freq7_rank10_L56,7.0,10,56,140000,2.012089741230011,1.932794451713562,3.908031940460205,7947.361727714539,916644,140000,0,9.986882603168487,2.012089741230011,4.963437961302563,2.012089741230011
freq7_rank10_L80,7.0,10,80,140000,,,,11020.122290849686,1308492,140000,0,2.4657707691192625,,,
freq7_rank15_L40,7.0,15,40,140000,2.0120887398719787,1.9327746629714966,3.907665252685547,6006.266873121262,966412,140000,0,2.136907172203064,2.0120887398719787,1.062034258160516,2.012088751792908
freq7_rank15_L56,7.0,15,56,140000,2.012088894844055,1.9327789545059204,3.907747507095337,8066.304518461227,1352044,140000,0,2.222517657279968,2.012088894844055,1.1045822393708018,2.012088942527771
freq7_rank15_L80,7.0,15,80,140000,2.012088751792908,1.932775855064392,3.907689332962036,11127.846282958984,1930492,140000,0,2.0334988474845885,2.012088751792908,1.010640731266254,2.0120887994766234
freq7_rank25_L40,7.0,25,40,140000,2.0120874643325806,1.9327386617660522,3.9069817066192627,5984.181551218033,1588412,140000,0,2.415776586532593,2.0120874643325806,1.2006319950578879,2.0120874404907227
