model,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,average_precision_q10,auc_mean,auc_ci95,auc_q10,area_matched_iou_mean,area_matched_iou_ci95,area_matched_iou_q10,score_correlation_exact_mean,score_correlation_exact_ci95,score_correlation_exact_q10,relative_residual_mean,relative_residual_ci95,relative_residual_q10,success_ap80_mean,success_ap80_ci95,success_ap80_q10
exact,two obstacles,ID,16,0.9541901260559366,0.018362932486302254,0.9042090848775937,0.9986007327280886,0.0006005886593649453,0.9970021873207113,0.7953333224569303,0.056716447883250976,0.6654240447343895,1.0,0.0,1.0,2.2217745595298766e-05,8.504402161416275e-07,1.9862025510519743e-05,1.0,0.0,1.0
exact,wavenumber 12,OOD frequency,16,0.9771060432427832,0.007135322620990778,0.9536125754828757,0.9991185725029059,0.0002755400413213658,0.9981751250179101,0.8636244432549556,0.03112260401925316,0.7668918918918919,1.0,0.0,1.0,1.3896847349315067e-05,5.305492566118108e-07,1.252425954589853e-05,1.0,0.0,1.0
foundation,180-degree aperture,OOD aperture,16,0.781274890588801,0.02597320876886102,0.7013670387863764,0.9892005928959731,0.0013869671732554558,0.9856848058436392,0.5109263506395573,0.022585788067577134,0.4564393939393939,0.9999985915435048,7.87280048562892e-07,0.9999962142894396,0.02088313439162448,0.005007200890624547,0.011100720148533583,0.375,0.245,0.0
foundation,30% noise,OOD noise,16,0.9329526564614834,0.012850152777622376,0.8963812140490887,0.9960613881072962,0.0009956731511021756,0.992979389766945,0.7200733592698001,0.031774720713677845,0.632996632996633,0.9998765342577947,2.5400813822001312e-05,0.9998106607709566,0.20707059372216463,0.03293087077016994,0.1194668747484684,1.0,0.0,1.0
foundation,four obstacles,ID,16,0.932756354076987,0.014157182066674935,0.9018715835183855,0.9959711241996579,0.001037023056297502,0.9931846723395021,0.725273495778983,0.03748481254502044,0.6345766129032258,0.9999731663302076,7.796487752986737e-06,0.9999544854244162,0.08866072073578835,0.02011135150570217,0.04357270523905754,1.0,0.0,1.0
foundation,heteroscedastic noise,OOD noise,16,0.9504705990557906,0.016403681277983913,0.9063335688343621,0.9979244201172172,0.0008046570741487936,0.9954408371566501,0.7742722354172435,0.036254493619086496,0.699812382739212,0.9999745000901521,6.393449894889179e-06,0.9999609688449976,0.14582677313592285,0.02694037893359646,0.09045389294624329,1.0,0.0,1.0
foundation,mirrored kites,lsmlab-inspired,16,0.934721035420073,0.012843092291589508,0.8978633313293886,0.9980385394960134,0.0005832903888027162,0.9960000134921537,0.7431878454973997,0.023692411974403214,0.7008928571428572,0.9999930943808939,3.510586339749501e-06,0.9999835077315717,0.026375060784630477,0.004164416122958838,0.018708565272390842,1.0,0.0,1.0
foundation,one obstacle,ID,16,0.9885861187423688,0.010236321693351992,0.9582178932178932,0.9998626890991619,0.00012357226070610304,0.9994702851030455,0.928456510809452,0.056244125086767335,0.7712418300653594,0.9999999963906021,9.749282670461997e-10,0.999999993583836,0.0006609085976378992,6.165206058392492e-05,0.0005070352635812014,1.0,0.0,1.0
foundation,six obstacles,OOD count,16,0.7793012520305412,0.029109284039526007,0.7179902979281033,0.9763788990737967,0.005246804766894338,0.9620176387481237,0.5218177777823423,0.038006181174776464,0.4407982261640798,0.9999330800217969,2.184448429717969e-05,0.9998846773026566,0.13435300393030047,0.04353556179967008,0.0630014929920435,0.3125,0.23456964140030284,0.0
foundation,three obstacles,ID,16,0.9349909784084804,0.015016464168704228,0.8976012435487272,0.9970769055603084,0.0007688535045147345,0.9949983977316386,0.7266128002976314,0.042757622582284445,0.62710027100271,0.9999937376157866,1.618627852556787e-06,0.9999896635468486,0.07567235117312521,0.023966952071896083,0.0224358681589365,1.0,0.0,1.0
foundation,three stars,OOD shape,16,0.8532148419889198,0.017466608270061496,0.812332755471006,0.9920790444691706,0.0016773122600497927,0.9880202506607001,0.5963894116775623,0.0277933308752383,0.5382751937984496,0.9999912028093375,3.2757834284709017e-06,0.9999841676114588,0.08429829322267324,0.03358251675108018,0.020433763973414898,1.0,0.0,1.0
foundation,two crescents,OOD shape,16,0.7052532108783525,0.05622814546631327,0.5737788111117175,0.9945926519386719,0.0011075511189838276,0.9921294288899901,0.48621296081014753,0.04998756589043256,0.36231884057971014,0.999991076221955,6.054509925893891e-06,0.9999712826571936,0.020357756409794092,0.004019977881655457,0.013001035433262587,0.25,0.21913466179497937,0.0
foundation,two obstacles,ID,16,0.9540762818273206,0.018440066725607197,0.9035201525283909,0.9985979087433362,0.0006037644735558536,0.9969842584624211,0.7923921459863421,0.05893525498977182,0.6654240447343895,0.9999925178959467,3.223251069208772e-06,0.9999821544078631,0.02941427764017135,0.0053068554739244865,0.01899171620607376,1.0,0.0,1.0
foundation,wavenumber 12,OOD frequency,16,0.9772892079052986,0.007346435459278307,0.9536490891212133,0.9991191482068602,0.0002825606492841317,0.99814623580803,0.8610278248974677,0.03051818882724433,0.7668918918918919,0.9999331644402247,1.7295806796134362e-05,0.9999057249480727,0.18008715636096895,0.04439853653035972,0.07381931692361832,1.0,0.0,1.0
small,180-degree aperture,OOD aperture,16,0.7815086244687912,0.025960531867314958,0.7012850098197616,0.9892309526441867,0.0013848625658454954,0.9858152923059749,0.5109263506395573,0.022585788067577134,0.4564393939393939,0.9999985619533891,8.098685178541341e-07,0.9999960539204811,0.020996178966015577,0.004561380449799012,0.011186240240931511,0.375,0.245,0.0
small,30% noise,OOD noise,16,0.9323880561682127,0.012732447630610237,0.894929801186384,0.9960239759052545,0.00099340855441495,0.9929541237982796,0.7200455072198891,0.028750570618284205,0.632996632996633,0.9998786708461254,2.5435210381347945e-05,0.999807908307505,0.20549034280702472,0.033193651867352236,0.11777020245790482,1.0,0.0,1.0
small,four obstacles,ID,16,0.9328604271079396,0.014214826379445863,0.9019279738012407,0.995981665144863,0.0010302881404866797,0.9931511154063319,0.7254356114175419,0.03726043979382927,0.6316964285714286,0.999973260223372,7.64477256435742e-06,0.9999540187912008,0.08860920160077512,0.02028079534223672,0.043453795835375786,1.0,0.0,1.0
small,heteroscedastic noise,OOD noise,16,0.950947670316534,0.016240480149775003,0.9092685295262083,0.9979454602530249,0.0007974414062237031,0.9954962246588197,0.7800761665260527,0.037403920816307154,0.699812382739212,0.9999762098958971,5.022637796905801e-06,0.9999649305055551,0.14327013259753585,0.025920410905910855,0.09558165818452835,1.0,0.0,1.0
small,mirrored kites,lsmlab-inspired,16,0.9347545754014914,0.01286921988406041,0.8967477172968021,0.9980420722266328,0.0005825290620563476,0.995978438063255,0.7431878454973997,0.023692411974403214,0.7008928571428572,0.9999930587188012,3.4865376345143937e-06,0.9999826512581523,0.026363396435044706,0.00452963464322044,0.019098328426480293,1.0,0.0,1.0
small,one obstacle,ID,16,0.9885861187423687,0.010236321693351983,0.9582178932178932,0.9998626890991619,0.00012357226070610304,0.9994702851030455,0.928456510809452,0.056244125086767335,0.7712418300653594,0.9999999960229686,8.852311766510478e-10,0.9999999936205559,0.0006633081065956503,6.391815913323969e-05,0.0005010960157960653,1.0,0.0,1.0
small,six obstacles,OOD count,16,0.7795266534626399,0.02975132673685293,0.7187484758428684,0.9764022964170666,0.0052494232502667,0.9622223012915189,0.5230028639782033,0.038458525610610264,0.4407982261640798,0.999933822590367,2.1164627872586994e-05,0.9998782578069136,0.1351055030245334,0.04493864051349332,0.060679107904434204,0.3125,0.23456964140030284,0.0
small,three obstacles,ID,16,0.9351734699585195,0.015050379743499829,0.8977382723513518,0.9970871557083691,0.0007695842519998992,0.9950120892346919,0.7285177349855849,0.041278157302136805,0.6299145299145299,0.9999934629949496,1.7964001737964998e-06,0.9999887787626975,0.07430620200466365,0.023227744821086943,0.01957798283547163,1.0,0.0,1.0
small,three stars,OOD shape,16,0.8531421713809546,0.018016896015045882,0.812408100977926,0.9920593024788881,0.0016895436502628416,0.987950431279083,0.6014254260833247,0.029629863408090533,0.5382751937984496,0.9999917413723642,3.0104182397132396e-06,0.9999841864113947,0.08307161665288731,0.032682312676325646,0.019863410852849483,1.0,0.0,1.0
small,two crescents,OOD shape,16,0.7059984325733675,0.05649985048335593,0.5741344298883888,0.9946100223580885,0.0011075820087600647,0.9921294288899901,0.48621296081014753,0.04998756589043256,0.36231884057971014,0.9999911077794901,5.907933206340628e-06,0.999971003397008,0.02025458263233304,0.003892549472954975,0.012814012821763754,0.25,0.21913466179497937,0.0
small,two obstacles,ID,16,0.9544126386871044,0.018108223207252316,0.9065319642928643,0.9986063001665516,0.0005942317596037394,0.9970559738955823,0.7896785605521683,0.05510385214831373,0.6654240447343895,0.9999924685476325,3.392108370111374e-06,0.9999824434494071,0.028865581494756043,0.005391064134157489,0.018371712416410446,1.0,0.0,1.0
small,wavenumber 12,OOD frequency,16,0.9771869310965241,0.007081842619398211,0.9556531922483567,0.9991167971590694,0.00027653715276223546,0.9981790442272835,0.8636244432549556,0.03112260401925316,0.7668918918918919,0.9999334631672444,1.7579447244153322e-05,0.9999010235016188,0.1761114071123302,0.04323392616594417,0.07212438434362411,1.0,0.0,1.0
