run_id,seed,norm,d_model,tau,eta,q_equals_k,use_mlp,residual,data_kind,steps,R_spike,S_token_var,C_col_imbalance,gap,H_attn,H_query,spike_col_load,max_col_load
16,16000,softmax_entropy,64,0.3,1.0,False,True,True,linear,60,0.9875590205192566,1.2125489711761475,0.4846453070640564,0.0035666674375534058,1.1130168437957764,0.06477826088666916,1.7496923208236694,3.02099609375
17,17000,softmax_entropy,64,0.8,1.0,False,True,True,linear,60,0.975106418132782,1.6519534587860107,0.39694511890411377,0.004343904554843903,1.1870523691177368,0.11735212802886963,1.6828241348266602,2.8144283294677734
18,18000,sinkhorn,8,0.1,1.0,False,True,True,linear,60,0.25281837582588196,4.880527496337891,7.142272806959227e-05,0.10589424520730972,2.286325216293335,2.2286291122436523,0.9998614192008972,1.0118519067764282
19,19000,sinkhorn,8,0.3,1.0,False,True,True,linear,60,0.14547117054462433,5.377765655517578,1.317363285124884e-06,0.1631532870233059,2.9563405513763428,2.9529082775115967,0.9998586773872375,1.0014972686767578
20,20000,sinkhorn,8,0.8,1.0,False,True,True,linear,60,0.08076386898756027,5.116844654083252,5.5052606029448725e-08,0.2404770702123642,3.36019229888916,3.3705670833587646,1.00002920627594,1.0001981258392334
21,21000,sinkhorn,32,0.1,1.0,False,True,True,linear,60,0.8816378116607666,1.5078964233398438,0.0008063950808718801,0.019867047667503357,1.0651894807815552,0.34250593185424805,1.0650129318237305,1.0993512868881226
22,22000,sinkhorn,32,0.3,1.0,False,True,True,linear,60,0.7967526912689209,1.9420827627182007,0.00012362978304736316,0.05617476999759674,1.4274712800979614,0.6500906348228455,1.0265406370162964,1.0408411026000977
23,23000,sinkhorn,32,0.8,1.0,False,True,True,linear,60,0.6290623545646667,2.513493537902832,1.9991854060208425e-05,0.09624461457133293,1.693257212638855,1.1641567945480347,1.0031745433807373,1.0105605125427246
24,24000,sinkhorn,64,0.1,1.0,False,True,True,linear,60,0.9782304763793945,0.9944586157798767,0.0031450821552425623,0.002310022711753845,0.8628215789794922,0.06453423947095871,1.1428240537643433,1.1900572776794434
25,25000,sinkhorn,64,0.3,1.0,False,True,True,linear,60,0.954214870929718,1.2035983800888062,0.0004416127922013402,0.020498253405094147,1.2055175304412842,0.1779857724905014,1.0723460912704468,1.0864678621292114
