sigma,sample_size,minimum_risk,optimal_time,aligned_asymptotic_time,time_ratio
0.025,199,0.2668102618744448,0.21334969051492736,0.16666666666666666,1.2800981430895642
0.025,269,0.23553379014011813,0.21746991234257815,0.16666666666666666,1.304819474055469
0.025,364,0.20732245111331676,0.22166970413758194,0.16666666666666666,1.3300182248254917
0.025,493,0.18201901151562358,0.22595060255984917,0.16666666666666666,1.3557036153590951
0.025,667,0.15959714795370547,0.22595060255984917,0.16666666666666666,1.3557036153590951
0.025,903,0.1397296921097059,0.22595060255984917,0.16666666666666666,1.3557036153590951
0.025,1222,0.12227482554155665,0.22595060255984917,0.16666666666666666,1.3557036153590951
0.025,1653,0.10698828644544353,0.22595060255984917,0.16666666666666666,1.3557036153590951
0.025,2237,0.09357397148982999,0.22595060255984917,0.16666666666666666,1.3557036153590951
0.025,3027,0.0818047680472625,0.22595060255984917,0.16666666666666666,1.3557036153590951
0.025,4096,0.0714402717698935,0.23031417394535722,0.16666666666666666,1.3818850436721435
0.05,24,0.5946459188776144,0.19021687561941247,0.16666666666666666,1.1413012537164748
0.05,32,0.535275644294245,0.19389035515914396,0.16666666666666666,1.163342130954864
0.05,43,0.47942155405964415,0.19763477715277125,0.16666666666666666,1.1858086629166276
0.05,59,0.42500555427964176,0.2014515116451551,0.16666666666666666,1.2087090698709306
0.05,80,0.37748527054814274,0.20534195513954376,0.16666666666666666,1.2320517308372627
0.05,108,0.33499473682953884,0.2093075311085384,0.16666666666666666,1.2558451866512303
0.05,147,0.29554493527095677,0.21334969051492736,0.16666666666666666,1.2800981430895642
0.05,199,0.2606739655663518,0.21746991234257815,0.16666666666666666,1.304819474055469
0.05,269,0.22954492826730843,0.22166970413758194,0.16666666666666666,1.3300182248254917
0.05,364,0.201633149848645,0.22595060255984917,0.16666666666666666,1.3557036153590951
0.05,493,0.1766970603187863,0.22595060255984917,0.16666666666666666,1.3557036153590951
0.05,667,0.15459955638258482,0.23031417394535722,0.16666666666666666,1.3818850436721435
0.05,903,0.1349257594320305,0.2347620148792564,0.16666666666666666,1.4085720892755385
0.05,1222,0.1175039472440978,0.2392957527800438,0.16666666666666666,1.435774516680263
0.05,1653,0.10212983929734847,0.24391704649501864,0.16666666666666666,1.463502278970112
0.05,2237,0.0885876861809691,0.24391704649501864,0.16666666666666666,1.463502278970112
0.05,3027,0.07673317042008,0.24862758690723744,0.16666666666666666,1.4917655214434247
0.05,4096,0.06638719208067682,0.24862758690723744,0.16666666666666666,1.4917655214434247
